'a'bu'shi 阿布石
'bo'tu'tan'kuang 剥土探矿
'bo'wei 波尾
'bo'wen'dian'liu 波纹电流
'bo'wen'juan'bu'zhuang'jie'gou 波纹绢布状结构
'bo'wen'juan'bu'zhuang'tu'yang 波纹绢布状图样
'bo'wen'rong'yan 波纹熔岩
'bo'wen'zhuang'de 波纹状的
'bo'xing 波形
'bo'xing'de 波形的
'bo'xing'fen'xi'qi 波形分析器
'bo'xu 波序
'bo'yun'shi 玻陨石
'bo'zhe'she 波折射
'bo'zhi'hui'lv'yan'de 玻质辉绿岩的
'bo'zhi'xuan'wu'yan 玻质玄武岩
'bo'zhi'ying'an'yan 玻质英安岩
'bo'zu'yuan'su 铂族元素
'bu'bao'he'liu'fei'bao'he'liu 不饱和流非饱和流
'bu'bao'he'rong'ye 不饱和溶液
'bu'bao'he'yan 不饱和岩
'bu'bao'se 不饱色
'bu'bian'dian 不变点
'bu'bian'wai'mian 不变歪面
'bu'bian'xi 不变系
'bu'chang 补偿
'bu'chang'dian 补偿点
'bu'chang'fa 补偿法
'bu'chang'qi 补偿器
'bu'chang'shen'du 补偿深度
'bu'chang'shui 补偿水
'bu'cheng'ceng'kuang'chuang 不成层矿床
'bu'chong 补充
'bu'dai 步带
'bu'dai'xi 步带系
'bu'deng'li'bian'jing'de 不等粒变晶的
'bu'deng'ye'de 不等叶的
'bu'dong'xing 不动性
'bu'dui'chen'bei'xie 不对称背斜
'bu'dui'chen'bo'hen 不对称波痕
'bu'dui'chen'de 不对称的
'bu'dui'chen'jie'jing'dan'se'yi 不对称结晶单色仪
'bu'dui'chen'se'san 不对称色散
'bu'dui'chen'shan'ji 不对称山脊
'bu'dui'chen'tan'yuan'zi 不对称碳原子
'bu'dui'chen'zhe'zhou 不对称褶皱
'bu'er'dun'gui 布尔顿规
'bu'fen'rong'rong 部分熔融
'bu'fen'yun'dong 部分运动
'bu'ge'jiao'zheng 布格校正
'bu'ge'sheng'yu'yi'chang 布格剩余异常
'bu'ge'yi'chang 布格异常
'bu'ge'zhong'li'yi'chang 布格重力异常
'bu'gei 补给
'bu'gei'jing 补给井
'bu'gei'keng 补给坑
'bu'han'mei'de 不含煤的
'bu'hun'rong'yan'jiang 不混溶岩浆
'bu'huo'jing 捕获晶
'bu'ji'hua'dian'ji 不极化电极
'bu'ji'shui 补给水
'bu'ji'xian 补给线
'bu'jiao'jie'wu'zhi 不胶结物质
'bu'jin'shi'liang 步进式梁
'bu'ju'ming'de 不具名的
'bu'jun'li'de 不均粒的
'bu'jun'ya'li 不均压力
'bu'jun'yun'bian'xing 不均匀变形
'bu'jun'yun'chen'xian 不均匀沉陷
'bu'jun'yun'xing 不均匀性
'bu'jun'zhi'he'xing'cheng 不均质核形成
'bu'ke'ni'xi'fu 不可逆吸附
'bu'ke'ni'xing 不可逆性
'bu'ke'ya'suo'xing 不可压缩性
'bu'ke'yue'bao'he 不可约饱和
'bu'la'wei'dian'zhen 布拉维点阵
'bu'lian'xu'fan'ying'xi 不连续反应系
'bu'lian'xu'mian 不连续面
'bu'lian'xu'xing 不连续性
'bu'lian'xu'zhe'qu 不连续褶曲
'bu'lian'xu'zhi 不连续值
'bu'lin'lei'hua'he'wu 卟啉类化合物
'bu'lu'yan 捕虏岩
'bu'ping'heng'de 不平衡的
'bu'quan'lie 不全裂
'bu'rong'can'zha 不溶残渣
'bu'rong'xing 不溶性
'bu'ru'dong'wu'xue 哺乳动物学
'bu'ru'lei 哺乳类
'bu'shen'tou'tou'jing'ti 不渗透透镜体
'bu'shen'tou'xing 不渗透性
'bu'shi'bian'yan'shi 不蚀变岩石
'bu'shi'ying'du 布氏硬度
'bu'shou'ji 捕收剂
'bu'tou'mian'yuan 不透眠缘
'bu'tou'mie 不透蔑
'bu'tou'shui'ceng 不透水层
'bu'tou'shui'de 不透水的
'bu'wan'mei'jing'ti 不完美晶体
'bu'wan'zheng'shi'di'cao 不完整式地槽
'bu'wen'ding'de 不稳定的
'bu'wen'ding'he 不稳定核
'bu'wen'ding'liu'fei'wen'ding'liu 不稳定流非稳定流
'bu'wen'ding'tong'wei'su 不稳定同位素
'bu'wen'ding'xian'xiang 不稳定现象
'bu'wen'ding'yuan'su 不稳定元素
'bu'wen'ping'heng 不稳平衡
'bu'xiang'rong 不相容
'bu'xiang'rong'yuan'li 不相容原理
'bu'xiang'rong'yuan'su 不相容元素
'bu'xie'he'zhe'qu 不谐和褶曲
'bu'xiu'gang 不锈钢
'bu'yi'zhi'hua'he'wu 不一致化合物
'bu'yi'zhi'rong'rong 不一致熔融
'bu'zheng'he 不整合
'bu'zheng'he'ceng'li 不整合层理
'bu'zheng'he'de 不整合的
'bu'zheng'he'mian 不整合面
'bu'zheng'he'nian'ling 不整合年龄
'bu'zheng'he'qin'ru 不整合侵入
'bu'zheng'he'qin'ru'yan'ti 不整合侵入岩体
'bu'zheng'he'quan 不整合泉
'bu'zheng'he'yan'ji 不整合岩基
'bu'zheng'yi'de 不整一的
'ca'hen'luan'shi 擦痕卵石
'ca'sui'jiao'li'yan 擦碎角砾岩
'cai'jue'she'bei 采掘设备
'cai'kuang'deng'ji 采矿等级
'cai'kuang'di'zhi'xue 采矿地质学
'cai'kuang'quan 采矿权
'cai'mei 采煤
'cai'qu'bian'jie 采区边界
'cai'se'wu'ti 彩色物体
'cai'se'zhi'shu 彩色指数
'cai'shi'chang 采石场
'cai'shi'keng'li'shi 采石坑砾石
'cai'yang'fa 采样法
'cai'yang'gong 采样工
'cai'yang'ping'mian'tu 采样平面图
'cai'you 采油
'can'ban'yan 残斑岩
'can'ji'ceng 残积层
'can'ji'kuang'chuang 残积矿床
'can'kao'tuo'qiu'ti 参考椭球体
'can'kao'zi'liao 参考资料
'can'la'jiao'shan'yan 残拉角闪岩
'can'liu'chan'wu 残留产物
'can'liu'kuang'chuang 残留矿床
'can'liu'qin'he'li 残留亲和力
'can'liu'wu 残留物
'can'lv'gou'zao 残缕构造
'can'lv'zhuang'de 残缕状的
'can'qiu 残丘
'can're 残热
'can'shu 参数
'can'sui'ban'jing 残碎斑晶
'can'yi'fen'bu'qu 残遗分布区
'can'yi'tu'rang 残遗土壤
'can'yi'zhong 残遗种
'can'yu 残余
'can'yu'chen'ji'wu 残余沉积物
'can'yu'di'cao 残余地槽
'can'yu'gou'zao 残余构造
'can'yu'kuang'wu 残余矿物
'can'yu'nian'tu 残余粘土
'can'yu'shan 残余山
'can'yu'shui'wei'xia'jiang 残余水位下降
'can'yu'ti 残余体
'can'yu'tu'rang 残余土壤
'can'yu'wu 残余物
'can'yu'yan'jiang 残余岩浆
'can'zhi'mei 残植煤
'can'zui'ban'zhuang'de 残醉斑状的
'cao'bei 草被
'cao'ben 草本
'cao'ben'zhi'bei 草本植被
'cao'di 草地
'cao'di'ni'tan 草地泥炭
'cao'dian'hei'tu 草甸黑土
'cao'hen'ji 槽痕迹
'cao'huang'tie'fan 草黄铁矾
'cao'sheng'hui'hua'tu 草生灰化土
'cao'shui'dao 槽水道
'cao'suan 草酸
'cao'suan'tie'kuang 草酸铁矿
'cao'suan'yan 草酸盐
'cao'tan 槽探
'cao'yuan 草原
'cao'zuo 操作
'ce'ban 侧板
'ce'bi 侧壁
'ce'dan'yan 侧单眼
'ce'di'de 测地的
'ce'dian 测点
'ce'ding'jing 测定井
'ce'du 测度
'ce'fen'mi'shuo 侧分泌说
'ce'feng'qi'qiu 测风气球
'ce'feng'qi'qiu'guan'ce 测风气球观测
'ce'gao'ji 测高计
'ce'huo'shan'zhui 侧火山锥
'ce'jiao 测角
'ce'jiao'qi 测角器
'ce'jiao'yi 测角仪
'ce'jing 测井
'ce'jing'che 测井车
'ce'jing'dian'lan 测井电缆
'ce'jing'ji'lu'jie'shi 测井记录解释
'ce'ju'yi 测距仪
'ce'liang 测量
'ce'liang'fan'wei 测量范围
'ce'liang'xian'lu 测量线路
'ce'liang'xian'quan 测量线圈
'ce'liang'xue 测量学
'ce'liang'yi'qi 测量仪器
'ce'lin 测吝
'ce'mai 侧脉
'ce'mian'de 侧面的
'ce'mian'jin'shui 侧面进水
'ce'pen'fa 侧喷发
'ce'qi 侧碛
'ce'qi'shi 侧碛石
'ce'shen 测深
'ce'shen'ji 测深计
'ce'shen'qi 测深器
'ce'shen'yi 测深仪
'ce'shi 侧蚀
'ce'shi'tu 侧视图
'ce'su'biao 测速表
'ce'wei'ji 测微计
'ce'wei'pian'zhen'ji 测微偏振计
'ce'xiang'ce'jing 侧向测井
'ce'xiang'qu'yan'xin 侧向取岩心
'ce'xiang'shou'suo 侧向收缩
'ce'xiang'yin'li 侧向引力
'ce'xiang'yun'yi 侧向运移
'ce'ya'de'shi'neng 测压的势能
'ce'ya'li 侧压力
'ce'ya'shui'tou 测压水头
'ce'yi'zhuo 侧夷酌
'ce'yun'yi 测云仪
'ce'zhi'de 侧枝的
'ceng'ceng'guan'ru 层层贯入
'ceng'ceng'qin'ru 层层侵入
'ceng'cu'cao'du 层粗糙度
'ceng'dian'zu'lv 层电阻率
'ceng'ge 层格
'ceng'gui'shi'tai'kuang 层硅铈钛矿
'ceng'hou 层厚
'ceng'hun'he'yan 层混合岩
'ceng'jian'mian'li 层间面理
'ceng'li 层理
'ceng'lin'jie'ceng 层吝界层
'ceng'mian 层面
'ceng'mian'chong'duan'ceng 层面冲断层
'ceng'mian'duan'ceng 层面断层
'ceng'mian'jie'li 层面节理
'ceng'mian'lie'kai'xing 层面裂开性
'ceng'nei'yun'yi 层内运移
'ceng'nei'zhe'zhou 层内褶皱
'ceng'ning'hui'yan 层凝灰岩
'ceng'su'du 层速度
'ceng'wei 层位
'ceng'wen'zhuang'de 层纹状的
'ceng'xing 层型
'ceng'xu 层序
'ceng'zhuang 层状
'ceng'zhuang'de 层状的
'ceng'zhuang'gui'suan'yan 层状硅酸盐
'ceng'zhuang'huo'shan 层状火山
'ceng'zhuang'jie'gou 层状结构
'ceng'zhuang'jie'li 层状节理
'ceng'zhuang'kuang'chuang 层状矿床
'ceng'zhuang'mei 层状煤
'ceng'zhuang'pian'ma'yan 层状片麻岩
'ceng'zhuang'shui 层状水
'ceng'zu 层组
'cha'bie'qin'shi 差别侵蚀
'cha'jing'ling'fei'shi 插晶菱沸石
'cha're'fen'xi 差热分析
'cha'ru'jia'ceng 插入夹层
'cha'ru'jing 插入晶
'cha'ru'wu 插入物
'cha'yi'feng'hua 差异风化
'cha'yi'ju'ji 差异聚集
'cha'yi'ya'shi 差异压实
'cha'zhuang'fen'zhi 叉状分枝
'chai'su'hui'shi 柴苏辉石
'chai'you 柴油
'chan'di 产地
'chan'dong'ca'hen 颤动擦痕
'chan'dong'shuo 颤动说
'chan'si'ma'nao 缠丝玛瑙
'chan'wu 产物
'chan'zao 铲凿
'chang'bo'fu'she 长波辐射
'chang'cheng'you'xu 长程有序
'chang'fang'xing'de 长方形的
'chang'jian 长键
'chang'kai'zhe'zhou 敞开褶皱
'chang'lie 常劣
'chang'lv'de 常绿的
'chang'lv'zhi'wu 常绿植物
'chang'ni'yan 长霓岩
'chang'nian'quan 常年泉
'chang'shi 长石
'chang'shi'bai'li'yan 长石白粒岩
'chang'shi'shi'ying'yan 长石石英岩
'chang'yan'mei 长焰煤
'chang'ying'ma'li'yan 长英麻粒岩
'chang'ying'yan'jiang'zhuo 长英岩浆酌
'chang'ying'zhi'yan 长英质岩
'chang'yun'jiao'ye'yan 长云角页岩
'chang'zhen'zhou'jing 长朕皱晶
'chang'zhou'po'mian 长轴坡面
'chang'zhuang'mai 肠状脉
'chang'zhuang'yan 肠状岩
'chang'zhuang'zhe'zhou 肠状褶皱
'chao'bian'zhi 超变质
'chao'bian'zhi'kuang'chuang 超变质矿床
'chao'da'lu 超大陆
'chao'duan'bo 超短波
'chao'fu 超复
'chao'fu'quan'bi 超复圈闭
'chao'ge'zi 超格子
'chao'ge'zi'fan'she 超格子反射
'chao'ji'xing'yan 超基性岩
'chao'jian'dai 潮间带
'chao'jian'xing 超碱性
'chao'liu 潮流
'chao'mi'leng'yan 超糜棱岩
'chao'nian'tu 超粘土
'chao'qun 超群
'chao'shen'jing'zuan'chou'ji'shu 超深井钻抽技术
'chao'sheng'bo'su'du'ce'liang 超声波速度测量
'chao'shi'ying 超石英
'chao'tie'mei'yan 超铁镁岩
'chao'wei'bian'hua 潮位变化
'chao'wei'fu'you'sheng'wu 超微浮游生物
'chao'wei'hua'shi 超微化石
'chao'wei'jie'gou 超微结构
'chao'wei'liang'hua'xue 超微量化学
'chao'xi 潮汐
'chao'xi'dai 潮汐带
'chao'xi'lv 潮汐率
'chao'xi'mo'ca 潮汐摩擦
'chao'xi'san'jiao'zhou 潮汐三角洲
'chao'xi'xue'shuo 潮汐学说
'chao'xia'dai 潮下带
'chao'xian'hui'shi 朝鲜辉石
'chao'xian'wei'jing 超显微镜
'chao'xing'tai'xing'cheng'guo'cheng 超形态形成过程
'chao'yan'shi'quan'duan'lie 超岩石圈断裂
'chao'you'yuan'su 超铀元素
'che'lun'kuang 车轮矿
'chen'dian 衬垫
'chen'dian'chen'dian 沉淀沉淀
'chen'dian'chi 沉淀池
'chen'dian'ji 沉淀剂
'chen'dian'shen'du 沉淀深度
'chen'dian'su'du 沉淀速度
'chen'dian'wu 沉淀物
'chen'ji 沉积
'chen'ji'ce'liang'fa 沉积测量法
'chen'ji'cheng'yin 沉积成因
'chen'ji'cheng'yin'kuang'chuang 沉积成因矿床
'chen'ji'chi 沉积池
'chen'ji'fen'xi 沉积分析
'chen'ji'gai'ceng 沉积盖层
'chen'ji'gou'zao 沉积构造
'chen'ji'ji 沉积计
'chen'ji'jian'duan 沉积间断
'chen'ji'jian'mie 沉积尖灭
'chen'ji'jian'zao 沉积建造
'chen'ji'jie'gou 沉积结构
'chen'ji'kuang'chuang 沉积矿床
'chen'ji'mian 沉积面
'chen'ji'pen'di 沉积盆地
'chen'ji'pian'ma'yan 沉积片麻岩
'chen'ji'sheng'yu'ci'hua 沉积剩余磁化
'chen'ji'su'du 沉积速度
'chen'ji'ti'xi 沉积体系
'chen'ji'tui'fu'ti 沉积推复体
'chen'ji'xuan'hui 沉积旋回
'chen'ji'xue 沉积学
'chen'ji'yan 沉积岩
'chen'ji'yan'shi'xue 沉积岩石学
'chen'ji'yin'zi 沉积因子
'chen'ji'za'ceng 沉积杂层
'chen'ji'zhong'duan 沉积中断
'chen'ji'zhuo 沉积酌
'chen'jiang'dai 沉降带
'chen'jiang'hai'an 沉降海岸
'chen'mo'jiao 沉没礁
'chen'ni'san'jiao'zhou 沉溺三角洲
'chen'sha 辰砂
'chen'shui'ye 沉水叶
'chen'tu'dui'ji 尘土堆积
'chen'xian 沉陷
'chen'xian'su'du 沉陷速度
'chen'xian'zhui 沉陷锥
'chen'xiang 沉箱
'cheng'ban'zhuo 成斑酌
'cheng'ceng 成层
'cheng'ceng'de 成层的
'cheng'ceng'gou'zao'yin'zi 成层构造因子
'cheng'ceng'kuang'chuang 成层矿床
'cheng'ceng'yan 成层岩
'cheng'chong 成虫
'cheng'fan'gai'shi 橙钒钙石
'cheng'fen 成分
'cheng'gong'kuang 橙汞矿
'cheng'hong'shen'na'shi 橙红砷钠石
'cheng'huang'shi 橙黄石
'cheng'jian'jing'shi 橙尖晶石
'cheng'kuang'gou'zao'xue 成矿构造学
'cheng'kuang'qu 成矿区
'cheng'kuang'shi'dai 成矿时代
'cheng'kuang'tu 成矿图
'cheng'kuang'yan'shi 成矿岩石
'cheng'kuang'yin'su 成矿因素
'cheng'kuang'yuan'su 成矿元素
'cheng'kuang'zhuo 成矿酌
'cheng'mei'zhuo 成煤酌
'cheng'shi'di'zhi'xue 城市地质学
'cheng'shi'yao'gan 城市遥感
'cheng'shu'de 成孰的
'cheng'ti 成体
'cheng'tu'guo'cheng 成土过程
'cheng'tu'zhuo 成土酌
'cheng'xuan'bo'li 橙玄玻璃
'cheng'ya'shui 承压水
'cheng'ya'shui'wei 承压水位
'cheng'yan'fen'yi'zhuo 成岩分异酌
'cheng'yan'ge'zi 成岩格子
'cheng'yan'zhuo 成岩酌
'cheng'yan'zhuo 成盐酌
'cheng'yin'kuang'wu'xue 成因矿物学
'cheng'zai'li 承载力
'cheng'zhen'na'gai'shi 橙针钠钙石
'chi'dao 赤道
'chi'dao'wu'feng'dai 赤道无风带
'chi'fan 赤矾
'chi'gu 齿骨
'chi'ji'pian 翅基片
'chi'jiu'bu'duan'de'liang 持久不断的量
'chi'jiu'du 持久度
'chi'jiu'xing 持久性
'chi'lun'beng 齿轮泵
'chi'lv'song'shi 齿绿松石
'chi'qiao 翅鞘
'chi'shi 齿式
'chi'shui'dang'liang 持水当量
'chi'shui'neng 持水能
'chi'tie'kuang 赤铁矿
'chi'tie'kuang'hua 赤铁矿化
'chi'tong'kuang 赤铜矿
'chi'xu'chan'liang 持续产量
'chi'xu'hua'shi 持续化石
'chi'xu'shi'jian 持续时间
'chi'yan'shi'jian 迟延时间
'chi'zhao'fu'you'sheng'wu 池沼浮游生物
'chi'zhuang'de 齿状的
'chi'zhuang'zuan'tou 齿状钻头
'chong'die 重叠
'chong'die'pen'di 重叠盆地
'chong'dong 冲动
'chong'duan'ceng 冲断层
'chong'fa'she 重发射
'chong'fu 重复
'chong'fu'chong'ji 重复冲击
'chong'fu'kuang'hua 重复矿化
'chong'fu'qin'ru 重复侵入
'chong'fu'yan'qiang 重复岩墙
'chong'gou 冲沟
'chong'gou'qin'shi 冲沟侵蚀
'chong'hua 冲花
'chong'huan'mo'ji 冲唤磨机
'chong'huan'po'sui'ji 冲唤破碎机
'chong'huan'zhen'dong'shai 冲唤振动筛
'chong'huan'zuan'ji 冲唤钻机
'chong'huan'zuan'tou 冲唤钻头
'chong'hui'rong'wu 冲慧融物
'chong'hui'yan 冲辉验
'chong'hui'zhi 冲讳质
'chong'hui'zhi'zhuo 冲讳质酌
'chong'hun'jin 冲魂进
'chong'hun'jing 冲魂井
'chong'hun'jing'fang'fa 冲魂井方法
'chong'ji 冲击
'chong'ji 冲积
'chong'ji'biao'ceng 冲积表层
'chong'ji'ceng 冲积层
'chong'ji'chong'tu 冲击冲突
'chong'ji'de 冲积的
'chong'ji'he'dao 冲积河道
'chong'ji'jie'di 冲积阶地
'chong'ji'kuang'chuang 冲积矿床
'chong'ji'peng'zhuang 冲击碰撞
'chong'ji'ping'yuan 冲积平原
'chong'ji'sha'kuang'chuang 冲积砂矿床
'chong'ji'shan 冲积扇
'chong'ji'shan'ceng 冲积扇层
'chong'ji'tu 冲积土
'chong'ji'zhui 冲积锥
'chong'ji'zhui'shou'shui'qu 冲积锥受水区
'chong'ji'zhui'yong'shui'dai 冲积锥涌水带
'chong'ji'zuan'zuan'tan 冲积钻钻探
'chong'jie'jing'zhuo 重结晶酌
'chong'mei'zhi'wu 虫媒植物
'chong'ming 重名
'chong'qi 充气
'chong'qi'du 充气度
'chong'shi 冲蚀
'chong'tian 充填
'chong'tian'liao 充填料
'chong'xi'dai 冲洗带
'chong'xi'ye 冲洗液
'chong'xi'zuan'kong 冲洗钻孔
'chong'xin'pei'zhi 重新配置
'chong'ya'zhuang'de 虫牙状的
'chou'cong'shi 臭葱石
'chou'feng'ji 抽风机
'chou'gui'suan'yan 俦硅酸盐
'chou'hui'yan 臭灰岩
'chou'kuai'yun'mu 臭块云母
'chou'sha'beng 抽砂泵
'chou'shui'shi'yan 抽水试验
'chou'yang'ceng 臭氧层
'chu'bian'xing 触变性
'chu'bu'de 初步的
'chu'cao 储槽
'chu'ci'gou'zao'yao'su 初次构造要素
'chu'ci'yun'yi 初次运移
'chu'di'cao 雏地槽
'chu'fa'qi'chu'fa'mai'chong 触发器触发脉冲
'chu'fang 初房
'chu'guan 触管
'chu'huo'shan 雏火山
'chu'jiao 触角
'chu'jing 雏晶
'chu'jing'da'xiao 雏晶大小
'chu'li'kuang'chang'shui'huo'wu'shui'de'jing 处理矿场水或污水的井
'chu'liang'ji'bie 储量级别
'chu'nv'lin 处女林
'chu'qi'wei'zhen 初期微震
'chu'qi'zhe'zhou 初期褶皱
'chu'qi'zhun'ping'yuan 初期准平原
'chu're'gou'zao 储热构造
'chu'rong'zhuo 出溶酌
'chu'she'jiao 出射角
'chu'sheng'bian'zhi 初生变质
'chu'sheng'de 初生的
'chu'sheng'mu'zhi'bu 初生木质部
'chu'shi'duan'lie 初始断裂
'chu'shi'fu'hua 初始富化
'chu'shi'yun'dong 初始运动
'chu'shi'yun'dong'qi 初始运动期
'chu'shi'yun'yi 初始运移
'chu'shou 触手
'chu'shui'dong 出水洞
'chu'shui'hu 储水湖
'chu'shui'liang 出水量
'chu'shui'neng'li 储水能力
'chu'shui'xi'shu 储水系数
'chu'shui'zheng'fa 储水蒸发
'chu'you'gou'zao 储油构造
'chu'you'yan'shi 储油岩石
'chuan'bo'su'du 传播速度
'chuan'ce'ding'nian'ling 氚测定年龄
'chuan'cha'shuang'jing 穿插双晶
'chuan'dao'lv 传导率
'chuan'gan'qi'gan'shou'she'bei 传感器感受设备
'chuan'kong 穿孔
'chuan'lian'lian'jie 串联连接
'chuan're 传热
'chuan'ru 穿入
'chuan'tou 穿透
'chuan'tou'neng'li 穿透能力
'chuan'zhen'dian'pi 传真电披
'chuang'leng'gou'zao 窗棱构造
'chui'chu'jing 锤雏晶
'chui'guan'fen'xi 吹管分析
'chui'liu 吹流
'chui'xian 垂线
'chui'xiang'yun'yi 垂向运移
'chui'xue 吹穴
'chui'zhi'bai 垂直摆
'chui'zhi'ci'yi'chang 垂直磁异常
'chui'zhi'dian'ce'shen 垂直电测深
'chui'zhi'duan'ju 垂直断距
'chui'zhi'fen'bu 垂直分布
'chui'zhi'fen'bu'dai 垂直分布带
'chui'zhi'hou'du 垂直厚度
'chui'zhi'hun'he 垂直混合
'chui'zhi'jiao 垂直角
'chui'zhi'pian'zhuan 垂直偏转
'chui'zhi'pou'mian 垂直剖面
'chui'zhi'zhe'zhou 垂直褶皱
'chui'zhi'zhen'yi 垂直震仪
'chun'du 纯度
'chun'fen'dian 春分点
'chun'gan'jia 纯橄家
'chun'gan'wu'qiu'li'yun'shi 纯橄无球粒陨石
'chun'gu'tu 纯钴土
'chun'hua'chu'li 春化处理
'chun'la'shen 纯拉伸
'chun'lv'tu'kuang 纯铝土矿
'chun'mei'shan'shi 纯镁闪石
'chun'mei'ye'lv'ni'shi 纯镁叶绿泥石
'chun'mu'mei 纯木煤
'chun'shan'xin'kuang 纯闪锌矿
'chun'ying'bian 纯应变
'ci'bao 磁暴
'ci'bao'he 磁饱和
'ci'bei 磁北
'ci'bian 磁变
'ci'bian'bian 次变边
'ci'bian'bian'de 次变边的
'ci'bian'yi 磁变仪
'ci'bo 次波
'ci'ce'liang 磁测量
'ci'chang 磁场
'ci'chang'qiang'du 磁场强度
'ci'cheng 磁秤
'ci'chi'tie'kuang 磁赤铁矿
'ci'chou 磁畴
'ci'chuan 刺穿
'ci'chuan'xian'xiang 刺穿现象
'ci'chuan'zhe'zhou 刺穿褶皱
'ci'dao 磁导
'ci'dao'ji 磁导计
'ci'dao'lv 磁导率
'ci'deng'bao'shi 次等宝石
'ci'dong'shi 磁动势
'ci'fang'da'qi 磁放大器
'ci'fang'wei 磁方位
'ci'gan'ying 磁感应
'ci'hua'li 磁化力
'ci'hua'lv 磁化率
'ci'hua'lv'ce'jing 磁化率测井
'ci'hua'ni'zhuan 磁化逆转
'ci'hua'qiang'du 磁化强度
'ci'hua'xian 磁化线
'ci'hua'xue 磁化学
'ci'huang 雌黄
'ci'huang'tie'kuang 磁黄铁矿
'ci'ji 磁极
'ci'ji'hua 磁极化
'ci'ji'xing 磁极性
'ci'ju 磁矩
'ci'li 磁力
'ci'li'cha 磁力差
'ci'li'ge'yi'xing 磁力蛤异性
'ci'li'kan'tan 磁力勘探
'ci'li'xian 磁力线
'ci'liang'zi'shu 磁量子数
'ci'lin'gai'tie'kuang 次磷钙铁矿
'ci'liu 磁流
'ci'lou 磁漏
'ci'lv'ni'shi 次绿泥石
'ci'mai'te'zha'yao 疵麦特炸药
'ci'ou'ji'zi 磁偶极子
'ci'pian'jiao 磁偏角
'ci'pian'zhuan 磁偏转
'ci'qian'kuang 磁铅矿
'ci'qian'tie'kuang 磁铅铁矿
'ci'qing'jiao 磁倾角
'ci'rui 雌蕊
'ci'shen'hai'chen'ji 次深海沉积
'ci'sheng'chong'jie'jing 次生重结晶
'ci'sheng'di'cao 次生地槽
'ci'sheng'fu'ji 次生富集
'ci'sheng'fu'ji'dai 次生富集带
'ci'sheng'gou'zao 次生构造
'ci'sheng'hua'shi 次生化石
'ci'sheng'jie'he 次生结核
'ci'sheng'kong'xi'lv 次生孔隙率
'ci'sheng'kuang 次生矿
'ci'sheng'kuang'chuang 次生矿床
'ci'sheng'kuang'wu 次生矿物
'ci'sheng'lie'xi 次生裂隙
'ci'sheng'mu'zhi'bu 次生木质部
'ci'sheng'pen'qi'kong 次生喷气孔
'ci'sheng'pi'li 次生劈理
'ci'sheng'qun'luo 次生群落
'ci'sheng're'ye'kuang'chuang 次生热液矿床
'ci'sheng'yan'ti 次生演替
'ci'sheng'yang'hua'kuang 次生氧化矿
'ci'sheng'you'di'cao 次生优地槽
'ci'shi 瓷石
'ci'shi'mo 次石墨
'ci'tan'suan'mei'tie'kuang 次碳酸镁铁矿
'ci'ti 磁体
'ci'tie 磁铁
'ci'tie'fan'kuang 次铁钒矿
'ci'tie'jian'jing'hui'yan 磁铁尖晶辉岩
'ci'tie'kuang 磁铁矿
'ci'tong'liang 磁通量
'ci'tou 磁头
'ci'tou'hui'shi 次透辉石
'ci'tu 瓷土
'ci'wei 磁位
'ci'wen'ding'xing 磁稳定性
'ci'xi'yin 磁吸引
'ci'xin'cun'chu'qi 磁心存储器
'ci'xing'di'ceng'xue 磁性地层学
'ci'xing'fen'xi 磁性分析
'ci'xing'he'jin 磁性合金
'ci'xing'hua'shi 磁性化石
'ci'xing'sha 磁性砂
'ci'xiong'tong'ti 雌雄同体
'ci'xu 次序
'ci'xuan 磁选
'ci'xuan'hui 次旋回
'ci'xuan'kuang 磁选矿
'ci'zhen 磁针
'ci'zhi 磁滞
'ci'zhi'shen'suo 磁致伸缩
'ci'zhou 磁轴
'ci'zhuang'de 刺状的
'ci'zi'wu'xian 磁子午线
'ci'zi'xuan'liang'zi'shu 磁自旋量子数
'ci'zu 磁阻
'ci'zu'ni 磁阻尼
'cong'lv'cui'yun'mu 葱绿脆云母
'cong'lv'yu'sui 葱绿玉髓
'cong'shu'zhe'zhou 从属褶皱
'cu'bai'liu'yan 粗白榴岩
'cu'ban'de 粗斑的
'cu'ban'zhuang'de 粗斑状的
'cu'cao'du 粗糙度
'cu'cao'du'xi'shu 粗糙度系数
'cu'fu'zhi'zhi 粗腐殖质
'cu'gu'tu 粗骨土
'cu'jin'zhuo 促进酌
'cu'jing'de 粗晶的
'cu'li'du 粗粒度
'cu'li'jie'gou 粗粒结构
'cu'li'sha'yan 粗粒砂岩
'cu'li'zheng'chang'yan 粗粒正长岩
'cu'lin'tie'kuang 簇磷铁矿
'cu'lv'yan 粗绿岩
'cu'mian'an'shan'yan 粗面安山岩
'cu'mian'huang'lv'yan 粗面徨绿岩
'cu'mian'jie'gou 粗面结构
'cu'mian'quan'jing'zhi'de 粗面全晶质的
'cu'mian'xuan'wu'yan 粗面玄武岩
'cu'mian'yan 粗面岩
'cu'mian'zhuang'de 粗面状的
'cu'qiu'li'xuan'wu'yan'de 粗球粒玄武岩的
'cu'sha 粗砂
'cu'sha'yan 粗砂岩
'cu'sha'zhi'de 粗砂质的
'cu'shai 粗筛
'cu'suan 醋酸
'cu'suan'yan 醋酸盐
'cu'sui'xie 粗碎屑
'cu'xuan 粗选
'cu'xuan'de 粗玄的
'cu'xuan'yan 粗玄岩
'cui'du 脆度
