'an'fa'zhi'zhi'er'zeng'ju 按法治之而增剧
'ci'wei'cang'han 此为藏寒
'ci'wei'cang'jue 此为藏厥
'ci'wei'chu'zhong 此为除中
'ci'wei'da'ni 此为大逆
'ci'wei'fei'xian'jue'ye 此为肺先绝也
'ci'wei'feng'ye 此为风也
'ci'wei'gan'jue'ye 此为肝绝也
'ci'wei'huai'bing 此为坏病
'ci'wei'jia'you'huan 此为家有患
'ci'wei'jie'xiong'ye 此为结胸也
'ci'wei'jin'ye'nei'jie 此为津液内竭
'ci'wei'ming'jue'ye 此为命绝也
'ci'wei'nan'zhi 此为难治
'ci'wei'nei'shi'ye 此为内实也
'ci'wei'ni'ye 此为逆也
'ci'wei'pi 此为痞
'ci'wei'pi'jue'ye 此为脾绝也
'ci'wei'qi'bu'he'ye 此卫气不和也
'ci'wei're'qi'you'yu 此为热气有余
'ci'wei're'ru'xue'shi 此为热入血室
'ci'wei're'ru'xue'shi'ye 此为热入血室也
'ci'wei're'yue 此为热越
'ci'wei'rong'qi'he 此为荣气和
'ci'wei'rong'ruo'wei'qiang 此为荣弱卫强
'ci'wei'san'yin'bu'shou'xie'ye 此为三阴不受邪也
'ci'wei'shen'jue'ye 此为肾绝也
'ci'wei'shi 此为实
'ci'wei'shi'jue 此为尸厥
'ci'wei'shi'ye 此为实也
'ci'wei'shui'jie'zai'xiong'xie'ye 此为水结在胸胁也
'ci'wei'tu'zhi'nei'fan'ye 此为吐之内烦也
'ci'wei'wan'fa 此为晚发
'ci'wei'wang'xue 此为亡血
'ci'wei'wei'jie'ye 此为未解也
'ci'wei'xiao'ni 此为小逆
'ci'wei'xiong'you'han'ye 此为胸有寒也
'ci'wei'yang'ming'bing'ye 此为阳明病也
'ci'wei'yang'qu'ru'yin'gu'ye 此为阳去入阴故也
'ci'wei'yang'wei'jie 此为阳微结
'ci'wei'yi'jiu 此为医咎
'ci'wei'yi'suo'bing'ye 此为医所病也
'ci'wei'yin'shi 此为阴实
'ci'wei'you'shui'qi 此为有水气
'ci'wei'yu'jie 此为欲解
'ci'wei'yu'jie'ye 此为欲解也
'ci'wei'yu're'zai'li 此为瘀热在里
'ci'wei'yu'yu'zhi'bing 此为欲愈之病
'ci'wei'zai'cang'ye 此为在藏也
'ci'wei'zhong'xu 此为重虚
'ci'wu'yang'ye 此无阳也
'ci'wu'ye 此误也
'ci'xin'jue'ye 此心绝也
'ci'xiong'zhong'shi 此胸中实
'ci'yi'dong'shi'bu'tiao 此以冬时不调
'ci'yi'fa'han 此以发汗
'ci'yi'fa'qi'han 此医发其汗
'ci'yi'jian'ye 此易见也
'ci'yi'jiu'xu'gu'ye 此以久虚故也
'ci'yi'juan 此一卷
'ci'yi'qian'shi'shang'han're'bing'zheng'hou'ye 此以前是伤寒热病证候也
'ci'yi'xia'yue'shang'leng'shui 此亦夏月伤冷水
'ci'yi'xia'zhu'fang 此以下诸方
'ci'yi'yi'xia'zhi'ye 此以医下之也
'ci'yin'yang'ju'xu 此阴阳俱虚
'ci'yin'yang'xu'shi'zhi'jiao'cuo 此阴阳虚实之交错
'ci'yin'yang'zi'he 此阴阳自和
'ci'you'zao'shi 此有燥屎
'ci'you'zao'shi'ye 此有燥屎也
'ci'yu'zi'li'ye 此欲自利也
'ci'yu'zuo'gu'dan 此欲作谷疸
'ci'yu'zuo'gu'jia 此欲作固瘕
'ci'ze'shi'xing'zhi'qi'ye 此则时行之气也
'ci'ze'si'shi'zheng'qi'zhi'xu'ye 此则四时正气之序也
'ci'zha'bing'ye 此诈病也
'ci'zhi'wei'zai 刺之为灾
'ci'zhi'xiao'chai 刺之小差
'ci'zhuan'shu'yang'ming'ye 此转属阳明也
'ci'zi'jing'chang 此自经常
'ci'zuo'xie're'li'ye 此作协热利也
'cong'bai'si'jing 葱白四茎
'cong'chou'zhi'mao'shang 从丑至卯上
'cong'chun'fen'yi'hou 从春分以后
'cong'hai'zhi'chou'shang 从亥至丑上
'cong'li'chun'jie'hou 从立春节后
'cong'shen'zhi'xu'shang 从申至戌上
'cong'shuang'jiang'yi'hou 从霜降以后
'cong'si'zhi'wei'shang 从巳至未上
'cong'xin'xia'zhi'shao'fu 从心下至少腹
'cong'yao'yi'xia'bu'de'han 从腰已下不得汗
'cong'yao'yi'xia'you'shui'qi'zhe 从腰以下有水气者
'cong'yin'zhi'chen'shang 从寅至辰上
'cong'zi'zhi'yin'shang 从子至寅上
'cou'li'kai 腠理开
'cun'huan'guan'fu'chi'ruo 寸缓关浮尺弱
'cun'kou'guan'shang'chi'zhong 寸口关上尺中
'cun'kou'guan'shang'chi'zhong'san'chu 寸口关上尺中三处
'cun'kou'mai'fu'da 寸口脉浮大
'cun'kou'mai'fu'er'da 寸口脉浮而大
'cun'kou'mai'fu'er'jin 寸口脉浮而紧
'cun'kou'mai'fu'wei'zai'biao 寸口脉浮为在表
'cun'kou'mai'huan'er'chi 寸口脉缓而迟
'cun'kou'mai'ruo'er'chi 寸口脉弱而迟
'cun'kou'mai'ruo'er'huan 寸口脉弱而缓
'cun'kou'mai'wei 寸口脉微
'cun'kou'mai'wei'er'huan 寸口脉微而缓
'cun'kou'mai'wei'er'se 寸口脉微而涩
'cun'kou'mai'wei'hua 寸口脉微滑
'cun'kou'mai'yin'yang'ju'jin'zhe 寸口脉阴阳俱紧者
'cun'kou'wei'qi'sheng 寸口卫气盛
'cun'kou'zhu'wei'wang'yang 寸口诸微亡阳
'cun'mai'chen'er'chi 寸脉沉而迟
'cun'mai'fan'fu'shu 寸脉反浮数
'cun'mai'fu 寸脉浮
'cun'mai'wei'fu 寸脉微浮
'cun'mai'xia'bu'zhi'guan 寸脉下不至关
'da'bian'bi'ying 大便必硬
'da'bian'dang'ying 大便当硬
'da'bian'fan'kuai 大便反快
'da'bian'fan'tang 大便反溏
'da'bian'fan'yi 大便反易
'da'bian'fan'ying 大便反硬
'da'bian'nan 大便难
'da'bian'nan'er'zhan'yu'zhe 大便难而谵语者
'da'bian'nan'shi'ye 大便难是也
'da'bian'nan'zhe 大便难者
'da'bian'tang 大便溏
'da'bian'wan'gu'chu 大便完谷出
'da'bian'wei'nan 大便为难
'da'bian'wei'ying'zhe 大便微硬者
'da'bian'yi 大便已
'da'bian'yin'ying'ye 大便因硬也
'da'bian'yin'ying'zhe 大便因硬者
'da'bian'ying 大便硬
'da'bian'ying'zhe 大便硬者
'da'bian'ze'nan 大便则难
'da'bian'zha'nan'zha'yi 大便乍难乍易
'da'bian'zi'tiao 大便自调
'da'bing'cha'hou 大病差后
'da'chai'hu'tang 大柴胡汤
'da'chai'hu'tang'fang 大柴胡汤方
'da'chai'hu'tang'zhu'zhi 大柴胡汤主之
'da'cheng'qi'tang 大承气汤
'da'cheng'qi'tang'fang 大承气汤方
'da'cheng'qi'tang'xia'zhi 大承气汤下之
'da'cheng'qi'tang'zhu'zhi 大承气汤主之
'da'fa 大法
'da'fa'qi'han 大发其汗
'da'fan 大烦
'da'fan'er'kou'jin'bu'neng'yan 大烦而口噤不能言
'da'han 大寒
'da'han 大汗
'da'han'chu 大汗出
'da'han'chu'hou 大汗出后
'da'huang'ban'jin 大黄半斤
'da'huang'er'liang 大黄二两
'da'huang'er'liang'qu'pi 大黄二两去皮
'da'huang'er'liang'wei 大黄二两味
'da'huang'huang'lian'xie'xin'tang'fang 大黄黄连泻心汤方
'da'huang'huang'lian'xie'xin'tang'zhu'zhi 大黄黄连泻心汤主之
'da'huang'liu'liang'qu'pi 大黄六两去皮
'da'huang'san'liang 大黄三两
'da'huang'si'liang 大黄四两
'da'huang'si'liang'qu'pi 大黄四两去皮
'da'huang'yi'jin'qu'pi 大黄一斤去皮
'da'huang'yi'liang 大黄一两
'da'ji 大戟
'da'ke 大渴
'da'ke'yu'yin'shui 大渴欲饮水
'da'man'da'shi 大满大实
'da'qi'jie'qu 大气皆去
'da'qing'long'tang'fa'zhi 大青龙汤发之
'da'qing'long'tang'fang 大青龙汤方
'da'qing'long'tang'zhu'zhi 大青龙汤主之
'da're 大热
'da're'ru'wei 大热入胃
'da'ru'zhi 大如指
'da'shi'tong'zhe 大实痛者
'da'wei 大危
'da'wei'qi'qiang 大为气强
'da'wei'shi 大为实
'da'wei'xue'xu 大为血虚
'da'xia'hou 大下后
'da'xia'zhi'hou 大下之后
'da'xian'xiong'tang'fang 大陷胸汤方
'da'xian'xiong'tang'zhu'zhi 大陷胸汤主之
'da'xian'xiong'wan'fang 大陷胸丸方
'da'xiao'bu'tong 大小不同
'da'xiao'fu'chen'chi'shu'tong'deng 大小浮沉迟数同等
'da'zao'er'shi'wu'ge 大枣二十五个
'da'zao'er'shi'wu'mei'bai 大枣二十五枚掰
'da'zao'liu'mei 大枣六枚
'da'zao'liu'mei'bai 大枣六枚掰
'da'zao'shi'er'mei 大枣十二枚
'da'zao'shi'er'mei'bai 大枣十二枚掰
'da'zao'shi'mei'bai 大枣十枚掰
'da'zao'shi'san'mei'bai 大枣十三枚掰
'da'zao'shi'wu'mei'bai 大枣十五枚掰
'da'zao'si'mei'bai 大枣四枚掰
'da'zao'si'mei'pi 大枣四枚劈
'da'zao'wu'mei'bai 大枣五枚掰
'da'ze'wei'han 大则为寒
'da'ze'wei'kou 大则为芤
'da'ze'wei'xu 大则为虚
'da'zhu'dan'yi'mei 大猪胆一枚
'dai'zhe'shi'yi'liang 代赭石一两
'dan'bian'ying'er 但便硬尔
'dan'chu'tou'ying 但初头硬
'dan'dang'li'qi'xiao'bian 但当利其小便
'dan'fa'chao're 但发潮热
'dan'feng'qi'qu 但风气去
'dan'fu'zhe 但浮者
'dan'han'chu'er 但汗出耳
'dan'jian'yi'zheng'bian'shi 但见一证便是
'dan'jie'xiong'wu'da're'zhe 但结胸无大热者
'dan'jue'wu'han 但厥无汗
'dan'man'er'bu'tong'zhe 但满而不痛者
'dan'ou'zhe 但呕者
'dan'qi'pi'er 但气痞耳
'dan're'zhe 但热者
'dan'shao'fu'ji'jie'zhe 但少腹急结者
'dan'tai'yang'bing'dang'e'han 但太阳病当恶寒
'dan'tian'di'dong'jing 但天地动静
'dan'tou'han'chu 但头汗出
'dan'tou'han'chu'zhe 但头汗出者
'dan'tou'wei'han'chu'zhe 但头微汗出者
'dan'tou'xuan 但头眩
'dan'wei'wei'si'yu'han'chu'zhe 但微微似欲汗出者
'dan'wen'bing'yin'shui'zi'yu 但闻病饮水自愈
'dan'wu'bi'xi'xi'zhi'rong 但务彼翕习之荣
'dan'xin'xia'pi'zhe 但心下痞者
'dan'yang'mai'wei'zhe 但阳脉微者
'dan'yi'fa'jiu'zhi 但以法救之
'dan'yi'wei'zhong'xu 但以胃中虚
'dan'yin'mai'wei'zhe 但阴脉微者
'dan'ying'er 但硬耳
'dan'yu'mei 但欲寐
'dan'yu'mei'ye 但欲寐也
'dan'yu'mian'shui 但欲眠睡
'dan'yu'ou 但欲呕
'dan'yu'qi 但欲起
'dan'yu'shu'shui'bu'yu'yan'zhe 但欲漱水不欲咽者
'dan'yu'wo 但欲卧
'dan'zhi'you'shu'er 但治有殊耳
'dan'zhong 但重
'dan'zuo 但坐
'dang'bian'ying 当便硬
'dang'bu'neng'shi 当不能食
'dang'ci'da'zhui'di'yi'jian'fei'yu'gan'yu 当刺大椎第一间肺俞肝俞
'dang'ci'da'zhui'fei'yu'gan'yu 当刺大椎肺俞肝俞
'dang'ci'qi'men 当刺期门
'dang'ci'qi'men'ju'que 当刺期门巨阙
'dang'cu'qi'jian 当促其间
'dang'da'bian'chu 当大便出
'dang'e'han'fa're 当恶寒发热
'dang'er'san'ri'fa 当二三日发
'dang'fa'qi'han'ye 当发其汗也
'dang'fa're 当发热
'dang'fu'cun'kou 当复寸口
'dang'fu'fu'ling'gan'cao'tang 当服茯苓甘草汤
'dang'geng'yi 当更衣
'dang'gui'er'liang 当归二两
'dang'gui'san'liang 当归三两
'dang'gui'si'liang 当归四两
'dang'gui'si'ni'jia'wu'zhu'yu'sheng'jiang'tang'zhu'zhi 当归四逆加吴茱萸生姜汤主之
'dang'gui'si'ni'tang'fang 当归四逆汤方
'dang'gui'si'ni'tang'zhu'zhi 当归四逆汤主之
'dang'gui'yi'liang'yi'fen 当归一两一分
'dang'han'bu'han 当汗不汗
'dang'han'er'bu'han 当汗而不汗
'dang'he'wei'qi 当和胃气
'dang'hou'zhong'tong'si'shang 当喉中痛似伤
'dang'ji'xia'li 当即下利
'dang'jie'zhi'xun'zhi 当解之熏之
'dang'jiu'qi'li 当救其里
'dang'jiu'zhi 当灸之
'dang'li'qi'xiao'bian 当利其小便
'dang'liu'qi'ri'fa 当六七日发
'dang'qi'wo're 当脐握热
'dang're'shi'ji'zuo 当热时急作
'dang'ri'zu'shi'guan'zhi 当日卒时观之
'dang'san'si'ri'fa 当三四日发
'dang'si'wu'ri'fa 当四五日发
'dang'tu'zhi 当吐之
'dang'wei'li 当微利
'dang'wen'qi'shang'jiu'zhi 当温其上灸之
'dang'wen'qi'xiao'bian 当问其小便
'dang'wen'zhi 当温之
'dang'wu'liu'ri'fa 当五六日发
'dang'xia'xue 当下血
'dang'xia'zhi 当下之
'dang'xian'jie'biao 当先解表
'dang'xian'jie'wai 当先解外
'dang'xiao'gu'yin'shi 当消谷引食
'dang'xiao'xi'he'jie'qi'wai 当消息和解其外
'dang'xu'fa'han 当须发汗
'dang'xu'fu'tu'xia'yao 当须服吐下药
'dang'xu'jie'wai'ze'yu 当须解外则愈
'dang'xu'mai'zhi 当须脉之
'dang'xu'tu'zhi 当须吐之
'dang'xu'zi'yu'da'bian 当须自欲大便
'dang'yi'er'ri'fa 当一二日发
'dang'yi'han'jie 当以汗解
'dang'yi'jiu'huai'zheng'bing'er'zhi'zhi 当依旧坏证病而治之
'dang'yi'tang'xia'zhi 当以汤下之
'dang'yi'wan'yao'wen'zhi 当以丸药温之
'dang'you'suo'qu 当有所去
'dang'yu 当愈
'dang'zhong'fa'han 当重发汗
'dang'zi'han'chu'nai'jie 当自汗出乃解
'dao'cheng'ni 捣成泥
'dao'hou'jing'zhong 到后经中
'dao'jing'bu'jie 到经不解
'dao'qi'ri'yi'lai 到七日以来
'dao'shai 捣筛
'dao'shai'er'wei 捣筛二味
'dao'shai'wei'mo 捣筛为末
'dao'zhi'gen'yuan 道之根源
'de'bing'er'san'ri 得病二三日
'de'bing'liu'qi'ri 得病六七日
'de'ci'mai'zhe 得此脉者
'de'er'sheng'ban 得二升半
'de'kuai'li 得快利
'de'kuai'tu'nai'zhi 得快吐乃止
'de'kuai'xia'li'hou 得快下利后
'de'li'wei'he 得里未和
'de'shi'er'jie 得屎而解
'de'shi'er'ou 得食而呕
'de'tang'fan'ju'zhe 得汤反剧者
'de'tang'ze'ou 得汤则呕
'de'tu 得吐
'de'tu'zhe 得吐者
'de'xiao'bian'li 得小便利
'de'zhi'ba'jiu'ri 得之八九日
'de'zhi'bian'jue 得之便厥
'de'zhi'er'san'ri 得之二三日
'de'zhi'er'san'ri'yi'shang 得之二三日以上
'de'zhi'qi'ba'ri 得之七八日
'de'zhi'shang'han 得之伤寒
'de'zhi'shang'shu 得之伤暑
'de'zhi'yi'er'ri 得之一二日
'dei'xia 得下
'di'dang'tang 抵当汤
'di'dang'tang'fang 抵当汤方
'di'dang'tang'xia'zhi 抵当汤下之
'di'dang'tang'zhu'zhi 抵当汤主之
'di'dang'wan 抵当丸
'di'dang'wan'fang 抵当丸方
'di'er'shi'er'pian 第二十二篇
'di'shi'qi'pian 第十七篇
'dian'dao'bu'de'an 颠倒不得安
'dong'bi'ke'sou 冬必咳嗽
'dong'chen'xia'hong 冬沉夏洪
'dong'fang'gan'mai 东方肝脉
'dong'qi'geng'ju 动气更剧
'dong'qi'leng'lie 冬气冷冽
'dong'qi'zai'shang 动气在上
'dong'qi'zai'xia 动气在下
'dong'qi'zai'you 动气在右
'dong'qi'zai'zuo 动气在左
'dong'shang'yu'han 冬伤于寒
'dong'shi'ji'gang 动失纪纲
'dong'shi'yan'han 冬时严寒
'dong'shi'ying'han 冬时应寒
'dong'shu'bian'chi 动数变迟
'dong'wen'fu'you'xian'hou 冬温复有先后
'dong'wen'zhi'du 冬温之毒
'dong'yue'sheng'han 冬月盛寒
'dong'ze'wei'tong 动则为痛
'du'jian'ruo'shen 独见若神
'du'tou'mian'yao 独头面摇
'du'yu'ru'jian'gui'zhuang 独语如见鬼状
'duan'ming'ze'si 短命则死
'duan'qi 短气
'duan'qi'fu'man'er'chuan 短气腹满而喘
'duan'qi'ye 短气也
'duan'qi'zao'fan 短气躁烦
'dui'bing'zhen'fang 对病真方
'dun'fu 顿服
'duo'cong'feng'han'de'zhi 多从风寒得之
'duo'mian'shui 多眠睡
'duo'yin'nuan'shui 多饮暖水
'e'feng 恶风
'e'feng'bu'yu'qu'yi 恶风不欲去衣
'e'feng'fan'zao 恶风烦躁
'e'feng'han 恶风寒
'e'han 恶寒
'e'han'er'quan 恶寒而蜷
'e'han'er'quan'wo 恶寒而蜷卧
'e'han'fa're 恶寒发热
'e'han'he'gu'zi'ba 恶寒何故自罢
'e'han'jiang'zi'ba 恶寒将自罢
'e'han'mai'wei 恶寒脉微
'e'han'shen'quan'er'li 恶寒身蜷而利
'e'han'zhe 恶寒者
'e'jiao 阿胶
'e'jiao'er'liang 阿胶二两
'e'jiao'san'liang 阿胶三两
'e'shang'han'chu 额上汗出
'e'shang'wei'han'chu 额上微汗出
'e'shui'zhe 恶水者
'e'shui'zhe'ju 恶水者剧
'e'shui'zhe'jue 恶水者厥
'er'bian'gong'zhi 而便攻之
'er'bu'yu'zhe 而不愈者
'er'cheng'bao'ye 而成暴液
'er'da'han'chu 而大汗出
'er'fa'he'bing 而发何病
'er'fan'da'liang 而反大凉
'er'fan'da're 而反大热
'er'fan'da'wen 而反大温
'er'fan'fa'han'zhe 而反发汗者
'er'fan'fa'qi'han 而反发其汗
'er'fan'han'chu 而反汗出
'er'fan'han'chu'sha'sha'ran'zhe 而反汗出濈濈然者
'er'fan'han'zhi'wei'ni 而反汗之为逆
'er'fan'tu'zhe 而反吐者
'er'fan'xia'li 而反下利
'er'fan'xia'zhi 而反下之
'er'fan'yin'leng'shui 而反饮冷水
'er'fan'you'xian'tuo 而反有涎唾
'er'fan'yu'huang'qin'tang'che'qi're 而反与黄芩汤彻其热
'er'fu'da'han 而复大寒
'er'fu'li 而复利
'er'fu'shi'fan 而复时烦
'er'fu'tu'li 而复吐利
'er'fu'xia'zhi 而复下之
'er'gu'qi'duo'ru 而谷气多入
'er'han'chu'ru'liu'zhu'zhe 而汗出如流珠者
'er'han'li'ke'ni 而寒栗咳逆
'er'ke'yu'yin'shui 而渴欲饮水
'er'li'yin'bu'xiu 而利因不休
'er'long'wei'wen'ye 耳聋微闻也
'er'mai'wei'ruo 而脉微弱
'er'mian'se'zha'bai'zha'chi 而面色乍白乍赤
'er'mo'jian'ci'qing'wei'zhi'bai 而莫见此倾危之败
'er'nai'jing'shen 尔乃胫伸
'er'nei'bu'xiao 而内不消
'er'qian'hou'zhong 耳前后肿
'er'qiang'fa'zhi 而强发之
'er'ri'mu'wei'fan 而日暮微烦
'er'ri'yang'ming'shou'zhi 二日阳明受之
'er'ri'zi'zhi 二日自止
'er'ru'yu'jing 而入于经
'er'sa'xi'e'han 而洒淅恶寒
'er'san'ri 二三日
'er'san'ri'bu'yi 二三日不已
'er'san'ri'yan'tong'zhe 二三日咽痛者
'er'san'ri'zhi'si'wu'ri 二三日至四五日
'er'shi'yi'zhi'fu'lai'zhe 而时一止复来者
'er'xia'bu'zhi 而下不止
'er'xiao'bian'li 而小便利
'er'xie'xia'man'tong 而胁下满痛
'er'xiong'zhong'tong 而胸中痛
'er'yang'bing'bing 二阳并病
'er'yi'fan'xia'zhi 而医反下之
'er'yi'shu'qian'xia 而医术浅狭
'er'yi'ta'yao'xia'zhi 而以他药下之
'er'yin'shui'ou'zhe 而饮水呕者
'er'ying'tong'zhe 而硬痛者
'er'you'ren'zhuang're'wei'bing'zhe 而有人壮热为病者
'er'yue'de'mao'fu'mai 二月得毛浮脉
'er'yue'gan'yong'shi 二月肝用事
'er'yue'zhi'shi 二月之时
'er'zhi'mi'wang'yi'zhe 而执迷妄意者
'fa'biao'gong'li 发表攻里
'fa'chao're 发潮热
'fa'dang'fu'zhong'ji'tong'zhe 法当腹中急痛者
'fa'dang'han'chu'er'jie 法当汗出而解
'fa'dang'han'chu'er'yu 法当汗出而愈
'fa'dang'qing'xie'zhong'yu'shang'jiao 法当清邪中于上焦
'fa'dang'shen'teng'tong 法当身疼痛
'fa'dang'xia'li 法当下利
'fa'dang'yan'tong 法当咽痛
'fa'dang'yong'zhong 法当痈肿
'fa'han 发汗
'fa'han'bi'bian'xie 发汗必便血
'fa'han'bu'jie 发汗不解
'fa'han'duo 发汗多
'fa'han'duo'wang'yang 发汗多亡阳
'fa'han'gui'zhi'tang 发汗桂枝汤
'fa'han'guo'duo 发汗过多
'fa'han'hou 发汗后
'fa'han'ruo'tu'ruo'xia'ruo'wang'xue 发汗若吐若下若亡血
'fa'han'ruo'xia'zhi 发汗若下之
'fa'han'ruo'xia'zhi'er'fan're 发汗若下之而烦热
'fa'han'tai'duo 发汗太多
'fa'han'tu'xia'hou 发汗吐下后
'fa'han'tu'xia'zhi'xiang'fan 发汗吐下之相反
'fa'han'yi 发汗已
'fa'han'ze'da'bian'nan 发汗则大便难
'fa'han'ze'dong'jing 发汗则动经
'fa'han'ze'han'li 发汗则寒栗
'fa'han'ze'han'li'er'zhen 发汗则寒栗而振
'fa'han'ze'nv'er'ke 发汗则衄而渴
'fa'han'ze'qi'shang'chong 发汗则气上冲
'fa'han'ze'sheng'luan'yan'si'she'wei'sheng'bu'de'qian 发汗则声乱咽嘶舌萎声不得前
'fa'han'ze'tou'xuan 发汗则头眩
'fa'han'ze'tu'xie 发汗则吐血
'fa'han'ze'wu'han 发汗则无汗
'fa'han'ze'yu 发汗则愈
'fa'han'ze'zhan'yu 发汗则谵语
'fa'han'ze'zhi 发汗则痓
'fa'han'ze'zhi'jing 发汗则致痉
'fa'qi'han 发其汗
'fa're 发热
'fa're'bu'ke 发热不渴
'fa're'e'han 发热恶寒
'fa're'er'e'han 发热而恶寒
'fa're'er'jue 发热而厥
'fa're'er'ke 发热而渴
'fa're'han'bu'chu'zhe 发热汗不出者
'fa're'han'chu 发热汗出
'fa're'han'chu'zhe 发热汗出者
'fa're'mian'huang'er'chuan 发热面黄而喘
'fa're'qi'ba'ri 发热七八日
'fa're'shen'wu'han 发热身无汗
'fa're'tou'tong'xiang'qiang'jing'luan'yao'tong'pei'suan 发热头痛项强颈挛腰痛胚酸
'fa're'wei'e'han 发热微恶寒
'fa're'wu'han 发热无汗
'fa're'wu'han'er'li'bi'zi'zhi 发热无汗而利必自止
'fa'wei'han 发微汗
'fa'wei'wen'bing 发为温病
'fa'ying'wei'jia'dang'wei 法应卫家当微
'fa'yu'dong'shi'fu'han 发于冬时伏寒
'fa'yu'yang'ye 发于阳也
'fa'yu'yang'zhe'qi'ri'yu 发于阳者七日愈
'fa'yu'yin'ye 发于阴也
'fa'yu'yin'zhe'liu'ri'yu 发于阴者六日愈
'fa'ze'bu'shi'ren 发则不识人
'fa'zuo'you'shi 发作有时
'fa'zuo'you'shi'zhe 发作有时者
'fan'bing'ruo'fa'han'ruo'tu'ruo'xia'ruo'wang'jin'ye 凡病若发汗若吐若下若亡津液
'fan'bing'yu'zhi'he'shi'de 凡病欲知何时得
'fan'bu'jie 烦不解
'fan'bu'jie'xiong 反不结胸
'fan'bu'ke'zhe 反不渴者
'fan'bu'neng'shi'zhe 反不能食者
'fan'bu'yu'jin'yi'zhe 反不欲近衣者
'fan'chai'hu'tang'bing'zheng'er'xia'zhi 凡柴胡汤病证而下之
'fan'da'fa're'zhe 反大发热者
'fan'de'bing 凡得病
'fan'de'bing'jue 凡得病厥
'fan'de'mao'fu'zhe 反得毛浮者
'fan'de'shi'qi'bing 凡得时气病
'fan'e'han'zhe 反恶寒者
'fan'e're 反恶热
'fan'e're'ye 反恶热也
'fan'er'san'xia'zhi 反二三下之
'fan'fa'han 凡发汗
'fan'fa'han'wen'fu'tang'yao 凡发汗温服汤药
'fan'fa're 反发热
'fan'fa're'zhe 反发热者
'fan'fan'bu'jie'zhe 反烦不解者
'fan'fu'gui'zhi'tang'tu'zhe 凡服桂枝汤吐者
'fan'fu'tang'fa'han 凡服汤发汗
'fan'fu'xia'yao 凡服下药
'fan'han'chu'e'feng'zhe 反汗出恶风者
'fan'han'chu'zhe 反汗出者
'fan'ji 烦极
'fan'jiu'zhi 反灸之
'fan'jue'li'zhe 凡厥利者
'fan'jue'zhe 凡厥者
'fan'ke'zhe 烦渴者
'fan'liang'gan'bing'ju'zuo 凡两感病俱作
'fan'luan 烦乱
'fan'mai'da'fu'shu'dong'hua 凡脉大浮数动滑
'fan'mai'si'sun 凡脉四损
'fan'neng'yin'shui 反能饮水
'fan'ou 反呕
'fan'ren'you'ji 凡人有疾
'fan'san'shi'yi'zheng 凡三十一证
'fan'shang'han'zhi'bing 凡伤寒之病
'fan'shang'yu'han 凡伤于寒
'fan'shao'zhe 反少者
'fan'shi'xing'zhe 凡时行者
'fan'shu 饭熟
'fan'si'shi'ba'zheng 凡四十八证
'fan'wei'chuan'zhe 反微喘者
'fan'wu'han 反无汗
'fan'xia'zhi 反下之
'fan'yi'leng'shui'xun'zhi 反以冷水潠之
'fan'yin'bing'jian'yang'mai'zhe'sheng 凡阴病见阳脉者生
'fan'yong'tu'tang 凡用吐汤
'fan'yong'zhi'zi'tang 凡用栀子汤
'fan'you'chu'mao'shuang'lu 凡有触冒霜露
'fan'yu'de'jin'yi'zhe 反欲得近衣者
'fan'yu'gui'zhi'tang 反与桂枝汤
'fan'yun'ke'fa'han 凡云可发汗
'fan'yun'qi'bei 反熨其背
'fan'zao 反躁
'fan'zao 烦燥
'fan'zao 烦躁
'fan'zao'bu'de'mian 烦躁不得眠
'fan'zao'shu'ri 烦躁数日
'fan'zao'yu'si'zhe 烦躁欲死者
'fan'zao'zhe 烦躁者
'fan'zao'zhu'bian 烦躁诸变
'fan'zhan'yu 反谵语
'fan'zhi'wen'bing 凡治温病
'fan'zuo'tang'yao 凡作汤药
'fang'cun'bi 方寸匕
'fang'yong'qian'fa 方用前法
'fang'zhi'ru'shuo 方治如说
'fei'bing'zi'de'ci'mai 肺病自得此脉
'fei'da'man 非大满
'fei'hou'bi'ye 非喉痹也
'fei'qi'ye 肺气也
'fei'qi'zhi'ye 非其治也
'fei'ren'dang'chen 肥人当沉
'fei'ren'ze'fu 肥人责浮
'fei'shi'xing'zhi'qi'ye 非时行之气也
'fei'shu'jin 肺属金
'fei'wei'hui'jue'ye 非为蛔厥也
'fei'zhe'jin'ye 肺者金也
'fen'er'fu 分二服
'fen'wei'er'fu 分为二服
'fen'wen'er'fu 分温二服
'fen'wen'fu 分温服
'fen'wen'san'fu 分温三服
'fen'wen'zai'fu 分温再服
'fen'wen'zai'fu'zhi 分温再服之
'feng'jia 风家
'feng'qi'xiang'bo 风气相搏
'feng'shi'ju'qu'ye 风湿俱去也
'feng'shi'xiang'bo 风湿相搏
'feng'wei're 风为热
'feng'wen'wei'bing 风温为病
'feng'xu'xiang'bo 风虚相搏
'feng'ye 风也
'feng'ze'fu'xu 风则浮虚
'feng'ze'shang'wei 风则伤卫
'feng'ze'sheng'wei're 风则生微热
'fu'bing'mai'fu'da 夫病脉浮大
'fu'bing'yang'duo'zhe're 夫病阳多者热
'fu'bu'jie 服不解
'fu'bu'ke'xia'zhi 复不可下之
'fu'bu'neng'tu 复不能吐
'fu'cang'bu'tong 府藏不通
'fu'chai'hu'tang'yi 服柴胡汤已
'fu'chu'qi're 复除其热
'fu'dou'man 腹都满
'fu'e'han 复恶寒
