'a'ba'la'qi'ya'ji'you'jun 阿巴拉契亚鸡油菌
'ban'ke'bao'shu 半壳孢属
'ban'kou'jiao'mu'shu 阪口酵母属
'ban'li'wei'pi'san 伴栎微皮伞
'ban'lie'ni'ren'ge'jun 瓣裂拟韧革菌
'ban'luo'song'ta'niu'gan'jun 半裸松塔牛肝菌
'ban'mai'cha'zi 半埋茶渍
'ban'mian'wu'gong'yi 斑面蜈蚣衣
'ban'na'ni'hei'er 版纳拟黑耳
'ban'na'xiao'bao'pan'jun 版纳小孢盘菌
'ban'ni'xiao'ke'yin'han'mei 班尼小克银汉霉
'ban'pao'hei'fen'jun 斑疱黑粉菌
'ban'qiu'gai'gu'shu 半球盖菇属
'ban'qiu'guo'yi'ke 半球果衣科
'ban'qiu'guo'yi'shu 半球果衣属
'ban'qiu'mao'pan'jun 半球毛盘菌
'ban'qiu'tu'pan'jun 半球土盘菌
'ban'qiu'ye'bei'jun 半球叶杯菌
'ban'qiu'zhuang'wai'dan'zi'jun 半球状外担子菌
'ban'shi'yi'shu 半实衣属
'ban'song'luo 斑松萝
'ban'suo'bao'nan'fei'pan'jun 半梭孢南费盘菌
'ban'tou'ming'chang'ru'bao 半透明长蠕孢
'ban'wen'hong'gu 斑纹红菇
'ban'wen'ma'an'jun 斑纹马鞍菌
'ban'wen'yi'shu 板文衣属
'ban'wo'xiao'bo'kong'jun 半卧小薄孔菌
'ban'xian'da'bao'yi 伴藓大孢衣
'ban'xian'wen'zi'yi 半陷文字衣
'ban'xian'wu'gong'yi 伴藓蜈蚣衣
'ban'xiao'gu'shu 半小菇属
'ban'xue'hong'ru'gu 半血红乳菇
'ban'xue'hong'si'mo'jun 半血红丝膜菌
'ban'ye'shu 斑叶属
'ban'yi'jun'gang 斑衣菌纲
'ban'yi'jun'mu 斑衣菌目
'ban'yi'shu 斑衣属
'ban'you'bing'niu'gan'jun'shu 半疣柄牛肝菌属
'ban'yu'lin'cha'zi 半育鳞茶渍
'ban'yu'wu'gong'yi 半羽蜈蚣衣
'ban'yu'xun 斑玉蕈
'ban'yuan'qiu'yi'gu 半圆球益菇
'ban'yuan'tian'tou'gu 半圆田头菇
'ban'yuan'zhu'mian'fu'yi 半圆柱绵腹衣
'ban'zhan'san 斑粘伞
'ban'zhe'xiang'mo 斑褶香蘑
'ban'zhi'mao'si'mo'jun 半枝毛丝膜菌
'ban'zhi'pan'jun'ke 斑痣盘菌科
'ban'zhi'pan'jun'mu 斑痣盘菌目
'ban'zhi'pan'jun'shu 斑痣盘菌属
'ban'zhong'cao'you'hu'jun 斑种草油壶菌
'ban'zhou'mei'shu 半帚霉属
'ban'zhuang'mu'ceng'kong'jun 斑状木层孔菌
'bang'bao'shu 棒孢属
'bang'bao'ying'nang'mei 棒孢硬囊霉
'bang'bao'zuo'ke'shu 棒孢座壳属
'bang'bing'bei'jun 棒柄杯菌
'bang'bing'bei'san 棒柄杯伞
'bang'ce'nang'ke'jun 棒侧囊壳菌
'bang'dun'yi 棒盾衣
'bang'geng'bao'shu 棒梗孢属
'bang'geng'yin'er 棒梗银耳
'bang'guo'mian'fu'yi 膀果绵腹衣
'bang'hu'jun 棒瑚菌
'bang'hu'jun'ke 棒瑚菌科
'bang'hu'jun'shu 棒瑚菌属
'bang'nang'jun'ke 棒囊菌科
'bang'nang'qiu'gai'gu 棒囊球盖菇
'bang'pan'bao'shu 棒盘孢属
'bang'shi'chuan'dan'ge'jun 邦氏串担革菌
'bang'shu'bao'shu 棒束孢属
'bang'si'pi'jun 棒丝皮菌
'bang'tan'jiao'jun 棒炭角菌
'bang'xiao'gu 棒小菇
'bang'xing'di'chi'jun 棒形地匙菌
'bang'ya'huang'mei 棒芽黄梅
'bang'ya'mao'er'yi 棒芽猫耳衣
'bang'zhu'yi 棒柱衣
'bang'zhuang'dan'ge'bao 棒状单格孢
'bang'zhuang'tan'jiao'jun 棒状炭角菌
'bang'zuo'bao'shu 棒座孢属
'bao'ai'gu'shu 孢矮菇属
'bao'ban'guang'bing'gu 豹斑光柄菇
'bao'ban'kou'mo 豹斑口蘑
'bao'bei'xiao'bo'kong'jun 包被小薄孔菌
'bao'bi'qiu'nang'mei 薄壁球囊霉
'bao'bi'yi'shu 孢壁衣属
'bao'bi'yuan'nang'mei 薄壁原囊霉
'bao'bing'xiao'niu'gan'jun 宝柄小牛肝菌
'bao'chun'bing'xiu'jun 报春柄锈菌
'bao'chun'hua'tiao'hei'fen 报春花条黑粉
'bao'cui'si'chi'jun 薄脆丝齿菌
'bao'dui'hei'fen'jun'shu 孢堆黑粉菌属
'bao'dui'tiao'hei'fen'jun 孢堆条黑粉菌
'bao'jiao'e'gao'jun 苞脚鹅膏菌
'bao'jiao'hei'jie'pi'san 包脚黑洁皮伞
'bao'la'bei'pan'jun 保拉杯盘菌
'bao'la'la'pan'jun 保拉蜡盘菌
'bao'lie'xin'chi'lie'jun 爆裂新齿裂菌
'bao'mao'bing'xiu'jun 苞茅柄锈菌
'bao'mian'si'gai'san 薄棉丝盖伞
'bao'mo'ge'jun'shu 薄膜革菌属
'bao'mo'rui'kong'jun 薄膜锐孔菌
'bao'mu'san'xiu'jun 鲍姆伞锈菌
'bao'mu'xian'kong'jun 鲍姆纤孔菌
'bao'shi'bing'gan'yi 包氏饼干衣
'bao'shi'cheng'yi 包氏橙衣
'bao'shi'lin'he'yi 包氏鳞核衣
'bao'shi'ping'cha'zi 包氏平茶渍
'bao'shi'wang'yi 包氏网衣
'bao'shi'wei'bao'yi 包氏微孢衣
'bao'shi'xing'yi 包氏星衣
'bao'shi'zhen'ceng'kong'jun 鲍氏针层孔菌
'bao'wei'gu'shu 孢微菇属
'bao'yi'shu 苞衣属
'bao'yu'gu 鲍鱼菇
'bao'zha'er'lai'te'wo'kong'jun 鲍扎尔赖特卧孔菌
'bao'zha'er'mu'ceng'kong'jun 鲍扎尔木层孔菌
'bao'zu'yi'shu 孢足衣属
'bei'bao'mei'ke 被孢霉科
'bei'bao'mei'mu 被孢霉目
'bei'bao'mei'shu 被孢霉属
'bei'bao'xiu'jun'shu 被孢锈菌属
'bei'bing'zi'ling'zhi 背柄紫灵芝
'bei'chong'li'mei 北虫疠霉
'bei'chong'yi'mei 北虫疫霉
'bei'dian'niu'pi'ye 杯点牛皮叶
'bei'er'fu'lei'de'er'mei 贝尔弗雷德耳霉
'bei'er'tai'luo'xiu'ge'jun 贝尔泰罗锈革菌
'bei'er'te'bao'shu 贝尔特孢属
'bei'fang'bing'xiu'jun 北方柄锈菌
'bei'fang'hei'er'yi 北方黑尔衣
'bei'fang'ji'pi'yi 北方鸡皮衣
'bei'fang'ma'an'jun 北方马鞍菌
'bei'fang'mei'yi 北方梅衣
'bei'fang'mi'huan'jun 北方蜜环菌
'bei'fang'qiu'nang'mei 北方球囊霉
'bei'fang'shan'gu 北方扇菇
'bei'fang'shi'er 北方石耳
'bei'fang'shi'rui 北方石蕊
'bei'fang'shuang'cha'ren'ge'jun 北方双叉韧革菌
'bei'fang'suo'nang'kong'jun 北方梭囊孔菌
'bei'fang'xiao'xiang'gu 北方小香菇
'bei'fang'zhen'mao'pan'jun 北方针毛盘菌
'bei'fei'lu'wei'bing'xiu'jun 北非芦苇柄锈菌
'bei'fu'ceng'xiu'jun 被覆层锈菌
'bei'gai'ce'er 贝盖侧耳
'bei'ge'jun'shu 杯革菌属
'bei'guan'hu'jun 杯冠瑚菌
'bei'ha'shi'yi 贝哈氏衣
'bei'hai'dao'da'bao'yi 北海道大孢衣
'bei'hai'dao'shan'xiu'jun 北海道栅锈菌
'bei'he'yi'shu 被核衣属
'bei'hua'shi'rui 杯花石蕊
'bei'ji'bing'xiu'jun 北极柄锈菌
'bei'ji'du'hei'fen'jun 北极独黑粉菌
'bei'ji'duo'bao'xiu'jun 北极多胞锈菌
'bei'ji'mei'shu 北极梅属
'bei'ji'peng'jia'xiu 北极膨痂锈
'bei'ji'shan'xiu 北极栅锈
'bei'ji'shen'pan'yi 北极肾盘衣
'bei'ji'tai'he'hei'fen'jun 北极苔核黑粉菌
'bei'ji'xiao'la'chang'yi 北极小腊肠衣
'bei'jia'er'bing'xiu'jun 贝加尔柄锈菌
'bei'jiao'shi'rui 杯角石蕊
'bei'jing'dun'pan'jun 北京盾盘菌
'bei'jing'lian'zuo'jun 北京莲座菌
'bei'jing'ren'ge'jun 北京韧革菌
'bei'jing'si'bao'jiao'mu 北京丝孢酵母
'bei'jing'tiao'hei'fen'jun 北京条黑粉菌
'bei'jing'yang'shi'kong'jun 北京杨氏孔菌
'bei'jun 杯菌
'bei'ke'chao'kong'jun 贝壳巢孔菌
'bei'ke'shan'san'ban'ke 贝壳衫散斑壳
'bei'ke'si'te'luo'pan'jun 贝克斯特罗盘菌
'bei'ke'zhuang'ge'er 贝壳状革耳
'bei'kong'dai'yi 背孔袋衣
'bei'lian'shuang'bao'xiu'jun'shu 被链双胞锈菌属
'bei'mao'bao'shu 被毛孢属
'bei'mao'dun'pan'jun 被毛盾盘菌
'bei'mei'da'ye'mei 北美大叶梅
'bei'mei'hei'fu'jun 北美黑腹菌
'bei'mei'huang'mei 北美黄梅
'bei'mi'hu'jun 杯密瑚菌
'bei'nei'shen'mo'gu 贝内什蘑菇
'bei'pan'jun'shu 杯盘菌属
'bei'san 杯伞
'bei'san'shu 杯伞属
'bei'san'shu 贝伞属
'bei'shi'cha'zi 贝氏茶渍
'bei'shu'hua 杯树花
'bei'xing'ce'er 贝形侧耳
'bei'xing'ci'ge'jun 贝形刺革菌
'bei'xing'ge'jun 贝形革菌
'bei'xing'he'kong'jun 贝形褐孔菌
'bei'xing'mao'bei'gu 杯形毛杯菇
'bei'xing'tu'ma'bo 杯形秃马勃
'bei'ye'qi'guo'jun 贝叶奇果菌
'bei'yi'shu 杯衣属
'bei'you'bing'hui'bao 被疣柄灰包
'bei'zhuang'ao'de'mo 杯状奥德蘑
'bei'zhuang'chi'lie'jun 杯状齿裂菌
'bei'zhuang'gui'hua'er 贝状桂花耳
'bei'zhuang'he'pan'jun 杯状核盘菌
'bei'zhuang'jiao'bei'pan'jun 杯状胶被盘菌
'bei'zhuang'jun'shu 杯状菌属
'bei'zhuang'mu'ceng'kong'jun 贝状木层孔菌
'bei'zhuang'rou'mo'jun 杯状柔膜菌
'bei'zhuang'ru'gu 杯状乳菇
'bei'zhuang'xiao'ce'er 杯状小侧耳
'bei'zong'wang'pan 杯棕网盘
'bei'zuo'bao'shu 杯座孢属
'ben'di'zhou'hei'fen'jun 本地轴黑粉菌
'ben'ge'te'bao'dui'hei'fen'jun 本格特孢堆黑粉菌
'ben'ge'te'bing'xiu'jun 本格特柄锈菌
'ben'ge'te'ji'bao'xiu'jun 本格特戟孢锈菌
'ben'sen'dun'jiao'mu'shu 本森顿酵母属
'ben'xiang'e'gao 本乡鹅膏
'bi'chi'di'xing 篦齿地星
'bi'chi'jiao'mu'shu 毕赤酵母属
'bi'de'ke'shu 彼得壳属
'bi'fu'jun'ke 闭腹菌科
'bi'ge'lao'lin'san 毕格劳鳞伞
'bi'li'hei'zhi'jun 薜荔黑痣菌
'bi'ni'xiao'pi'san 比尼小皮伞
'bi'po'shan'bing'xiu 比婆山柄锈
'bi'qi'bing'xiu'jun 荸荠柄锈菌
'bi'qi'pi'dui'hei'fen'jun 荸荠皮堆黑粉菌
'bi'qi'zhan'mu'si'hei'fen'jun 荸荠詹姆斯黑粉菌
'bi'shi'bing'gan'yi 毕氏饼干衣
'bi'shi'niu'gan'jun 彼氏牛肝菌
'bi'shi'si'mo'jun 比氏丝膜菌
'bi'shi'xiao'ao'de'mo 毕氏小奥德蘑
'bi'xiao'nang'jun'shu 闭小囊菌属
'bi'xing'hong'gu 篦形红菇
'bi'zhuang'tan'jiao'jun 笔状炭角菌
'bian'bang'ke'ke 扁棒壳科
'bian'bang'ke'mu 扁棒壳目
'bian'bang'ke'shu 扁棒壳属
'bian'bao'hua'er 变孢花耳
'bian'bao'hui'chui 变孢灰锤
'bian'bao'li'kou'bao 变孢丽口包
'bian'bing'bei'san 扁柄杯伞
'bian'bing'gu 扁柄菇
'bian'ci'chi'er 扁刺齿耳
'bian'dai'yi 变袋衣
'bian'dan'gan'ceng'xiu'jun 扁担杆层锈菌
'bian'dan'gan'san'xiu'jun 扁担杆伞锈菌
'bian'dou'cai'bing'xiu'jun 变豆菜柄锈菌
'bian'dou'dan'bao'xiu'jun 扁豆单胞锈菌
'bian'dou'ji'hu'jun 扁豆集壶菌
'bian'gai'e'gao 扁盖鹅膏
'bian'he'mo'gu 变褐蘑菇
'bian'he'ru'niu'gan'jun 变褐乳牛肝菌
'bian'hei'fen'jun 鞭黑粉菌
'bian'hei'hong'gu 变黑红菇
'bian'hei'la'san 变黑腊伞
'bian'hei'la'san 变黑蜡伞
'bian'hei'ma'bo 变黑马勃
'bian'hei'shi'san 变黑湿伞
'bian'hei'tan'jiao'jun 变黑炭角菌
'bian'hei'wu'gong'yi 变黑蜈蚣衣
'bian'hei'ya'wang'yi 变黑亚网衣
'bian'hong'he'niu'gan'jun 变红褐牛肝菌
'bian'hong'kong'jun 扁红孔菌
'bian'hong'la'san 变红蜡伞
'bian'hong'ru'gu 变红乳菇
'bian'hong'si'gai'san 变红丝盖伞
'bian'hong'you'bing'niu'gan'jun 变红疣柄牛肝菌
'bian'hong'zhe'kong'jun 变红褶孔菌
'bian'huang'la'ba'jun 变黄喇叭菌
'bian'huang'lin'san 变黄鳞伞
'bian'huang'ru'niu'gan'jun 变黄乳牛肝菌
'bian'hui'he'fen'zhe'rong 变灰褐粉褶茸
'bian'hui'xiao'dian'ge'jun 变灰小垫革菌
'bian'kong'jun'shu 变孔菌属
'bian'kong'qiang'jun'ke 扁孔腔菌科
'bian'kong'qiang'jun'shu 扁孔腔菌属
'bian'lan'bai'huan'mo 变蓝白环蘑
'bian'lan'hong'gu 变蓝红菇
'bian'lan'lv'luo'san 变蓝绿裸伞
'bian'lan'mao'er'yi 变兰猫耳衣
'bian'lan'ru'niu'gan'jun 变蓝乳牛肝菌
'bian'lv'bai'huan'mo 变绿白环蘑
'bian'lv'cu'pi'kuai'jun 变绿粗皮块菌
'bian'lv'duan'bao'chi'jun 变绿短胞齿菌
'bian'lv'fen'zhe'jun 变绿粉褶菌
'bian'lv'fen'zhe'xun 变绿粉褶蕈
'bian'lv'he'kong'xiao'niu'gan'jun 变绿褐孔小牛肝菌
'bian'lv'hong'gu 变绿红菇
'bian'mao'hou'tou'jun 鞭毛猴头菌
'bian'pan'jun'shu 扁盘菌属
'bian'ping'ban'yi 扁平斑衣
'bian'ping'ceng'kong'jun 扁平层孔菌
'bian'ping'hei'nang'ji'yi 扁平黑囊基衣
'bian'ping'jiao'yi 扁平胶衣
'bian'ping'shu'hua 扁平树花
'bian'ren'ge'jun 扁韧革菌
'bian'se'bing'xiu'jun 变色柄锈菌
'bian'se'da'bao'yi 变色大孢衣
'bian'se'fen'san 变色粪伞
'bian'se'hong'gu 变色红菇
'bian'se'ji'bao'fen'pan'jun 变色集孢粪盘菌
'bian'se'shu'fa 变色树发
'bian'se'shuan'jun 变色栓菌
'bian'se'you'bing'niu'gan'jun 变色疣柄牛肝菌
'bian'shan'hu'jun 扁珊瑚菌
'bian'shuan'jun 变栓菌
'bian'si'ji'nang'jun 变丝棘囊菌
'bian'si'pan'ge'jun 变丝盘革菌
'bian'tao'pan'yi'shu 扁桃盘衣属
'bian'tiao'mei'yi 扁条梅衣
'bian'tu'huang'lin'san'an'se'bian'zhong 变土黄鳞伞暗色变种
'bian'xing'bing'xiu'jun 变形柄锈菌
'bian'xing'er'pan'jun 变形耳盘菌
'bian'xing'gang'mao'zhen'kong'jun 变型刚毛针孔菌
'bian'xing'ge'bao'fu'ge'jun 变形隔孢伏革菌
'bian'xing'jin'xiu'jun 变形金锈菌
'bian'xing'lv'san'bao'pan'jun 变形绿散胞盘菌
'bian'xing'xu'qiu'hei'fen'jun 变形虚球黑粉菌
'bian'xing'xue'er 变形靴耳
'bian'xing'you'bing'niu'gan'jun 变形疣柄牛肝菌
'bian'xu'dan'bao'xiu'jun 扁蓄单胞锈菌
'bian'yi'bing'gan'yi 变异饼干衣
'bian'yi'hong'gu 变异红菇
'bian'yi'jin'zhu'pan'jun 变异近蛛盘菌
'bian'yi'mao'she'jun 变异毛舌菌
'bian'yi'nang'bei'kuai'jun 变异囊被块菌
'bian'yi'pan'jun 变异盘菌
'bian'zhi'hu'jun 扁枝瑚菌
'bian'zhi'hu'jun'shu 扁枝瑚菌属
'bian'zhi'yi 扁枝衣
'bian'zhi'yi'shu 扁枝衣属
'bian'zhi'yin'er 扁枝银耳
'bian'zhun'bai'jiao'yi 扁准白角衣
'bian'zi'ma'bo 变紫马勃
'bian'zi'yang'du'jun 变紫羊肚菌
'bian'zong'li'mao'pan'jun 变棕粒毛盘菌
'biao'cao'he'hei'fen'jun 藨草核黑粉菌
'biao'ji'pao'lin'yi 表记泡鳞衣
'biao'mian'shen'mai'er'xiu'jun 表面蔘迈尔锈菌
'biao'pi'xuan'jun'shu 表皮癣菌属
'biao'sheng'hu'jun'ke 表生壶菌科
'biao'sheng'hu'jun'shu 表生壶菌属
'biao'sheng'nei'xiu'jun 表生内锈菌
'biao'wen'dai'yi 表纹袋衣
'biao'yi'shu 表衣属
'bin'chuan'hong'gu 宾川红菇
'bin'hai'bing'xiu'jun 滨海柄锈菌
'bin'hai'ji'bing'xiu'jun 滨海蓟柄锈菌
'bin'ka'he'gao 宾卡鹤膏
'bin'ka'mo'gu 宾卡蘑菇
'bin'zhou'dun'pan'jun 宾州盾盘菌
'bing'bao'ke'shu 柄孢壳属
'bing'bei'jun'ke 柄杯菌科
'bing'bei'jun'shu 柄杯菌属
'bing'cao'da'bao'tiao'hei'fen'jun 冰草大孢条黑粉菌
'bing'cao'sheng'bing'xiu'jun 冰草生柄锈菌
'bing'cao'tiao'hei'fen'jun 冰草条黑粉菌
'bing'chuan'rou'you'yi 冰川肉疣衣
'bing'dao'liao'hei'fen'jun 冰岛蓼黑粉菌
'bing'fen'ke'shu 柄粪壳属
'bing'gan'yi 饼干衣
'bing'gan'yi'shu 饼干衣属
'bing'hui'bao'shu 柄灰包属
'bing'mao'pi'san 柄毛皮伞
'bing'nang'tai'tan'hei'fen'jun 柄囊苔炭黑粉菌
'bing'pan'yi'shu 柄盘衣属
'bing'shan'niu'pi'ye 柄扇牛皮叶
'bing'sheng'fen'zhe'xun 柄生粉褶蕈
'bing'wei'shi'yi 柄维氏衣
'bing'xiu'jun'gang 柄锈菌纲
'bing'xiu'jun'ke 柄锈菌科
'bing'xiu'jun'mu 柄锈菌目
'bing'xiu'jun'shu 柄锈菌属
'bing'ya'wang'yi 柄亚网衣
'bing'zuo'ke'shu 柄座壳属
'bo'bi'dan'bao'xiu'jun 波壁单胞锈菌
'bo'bian'bei'ge'jun 波边杯革菌
'bo'bian'bei'san 波边杯伞
'bo'bian'ge'jun'shu 波边革菌属
'bo'bing'shan'hu'jun 薄柄珊瑚菌
'bo'di'kong'jun 薄地孔菌
'bo'di'zhong'jun 波地钟菌
'bo'dian'fen'kong'jun 薄淀粉孔菌
'bo'ding'qiao'xiu'jun 薄顶鞘锈菌
'bo'duo'nian'wo'kong'jun 薄多年卧孔菌
'bo'er'ben'bo'shi'gu 波尔本博氏菇
'bo'er'ben'ge'bao'fu'ge'jun 波尔本隔孢伏革菌
'bo'gai'ce'er 薄盖侧耳
'bo'gai'hong'gu 薄盖红菇
'bo'gai'ji'you'jun 薄盖鸡油菌
'bo'gai'xiao'gu 薄盖小菇
'bo'gan'pi'kong'jun 薄干皮孔菌
'bo'ge'ni'ji'xiang'jun 伯格尼棘襄菌
'bo'ge'ni'pan'ge'jun 伯格尼盘革菌
'bo'he'bing'xiu'jun 薄荷柄锈菌
'bo'he'mo'pan'jun 薄荷膜盘菌
'bo'hei'kong'jun 薄黑孔菌
'bo'hua'bian'san 薄花边伞
'bo'huang'he'kong'jun 薄黄褐孔菌
'bo'huang'ji'you'jun 薄黄鸡油菌
'bo'ji'shi'mao'er'yi 伯吉氏猫耳衣
'bo'jia'la'ba'jun 波假喇叭菌
'bo'jiao'yi 薄胶衣
'bo'jun'rou'zhen'ceng'kong'jun 薄菌肉针层孔菌
'bo'jun'shu 钵菌属
'bo'ke'li'ci'bao'duo'kong'jun 伯克利刺孢多孔菌
'bo'ke'li'di'xing 伯克利地星
'bo'ke'li'li'kou'bao 伯克利丽口包
'bo'kong'jun'shu 薄孔菌属
'bo'la'yi'shu 薄蜡衣属
'bo'lan'wu'geng'nang'mei 波兰无梗囊霉
'bo'leng'yang'du'jun 薄棱羊肚菌
'bo'li'bing'xiu'jun 博利柄锈菌
'bo'li'yuan'pan'jun 玻璃圆盘菌
'bo'lie'shi'mo'gu 伯列氏蘑菇
'bo'luo'di'hai'nei'yang'nang'mei 波罗的海内养囊霉
'bo'luo'hui'jia'wei'bao 博落迴假尾孢
'bo'luo'mi'ai'shi'mei 波罗蜜爱氏霉
'bo'mao'er'yi 薄猫耳衣
'bo'mao'pan'jun'shu 薄毛盘菌属
'bo'mi'yuan'pan'jun 波密圆盘菌
'bo'na'yin'er 波纳银耳
'bo'nan'bu'ge'wei'pi'san 伯南布哥微皮伞
'bo'nang'ti'ru'gu 薄囊体乳菇
'bo'nei'shi'mao'er'yi 伯内氏猫耳衣
'bo'pan'jun'ke 薄盘菌科
'bo'pan'jun'shu 薄盘菌属
'bo'pi'ce'er 薄皮侧耳
'bo'pi'gan'lao'jun 薄皮干酪菌
'bo'pi'kong'jun'shu 薄皮孔菌属
'bo'pi'mu'dan'bao'xiu'jun 薄皮木单胞锈菌
'bo'pi'mu'qiao'xiu'jun 薄皮木鞘锈菌
'bo'pi'xian'kong'jun 薄皮纤孔菌
'bo'qi'ao'chong'cao 博奇奥虫草
'bo'qi'kuai'jun 波奇块菌
'bo'rou'mu'er 薄肉木耳
'bo'rou'xian'kong'jun 薄肉纤孔菌
'bo'shan'huang'ceng'jia'jun 薄扇黄层架菌
'bo'shi'dun'yi 波氏盾衣
'bo'shi'er 薄石耳
'bo'shi'gu'shu 博氏菇属
'bo'shi'hei'er'yi 波氏黑尔衣
'bo'shi'jian'chi'jun 泊氏尖齿菌
'bo'shi'kong'jun'shu 泊氏孔菌属
'bo'shi'niu'gan'jun'shu 博氏牛肝菌属
'bo'shi'si'gai'san 波氏丝盖伞
'bo'shi'xiao'bao'fa 波氏小孢发
'bo'si'ni'ya'hei'fen'jun 波斯尼亚黑粉菌
'bo'song'shi'chi'xing'yi 博松氏赤星衣
'bo'te'you'bing'niu'gan'jun 波特疣柄牛肝菌
'bo'te'yuan'mao'ping'ge'jun 伯特原毛平革菌
'bo'tuo'lv'bei'jun 波托绿杯菌
'bo'wen'wei'gan'xiu'jun 波纹伪干朽菌
'bo'wen'zhuang'gu 波纹桩菇
'bo'xian'kong'jun 薄纤孔菌
'bo'ye'fei'yi 薄叶肺衣
'bo'ye'pi'guo'yi 薄叶皮果衣
'bo'yi'dan'bao'xiu'jun 博伊单孢锈菌
'bo'ying'pi'ma'bo 薄硬皮马勃
'bo'yuan'di'hua'jun 波缘地花菌
'bo'yuan'duo'kong'jun 波缘多孔菌
'bo'yuan'jiao'yi 波缘胶衣
'bo'yuan'mao'ping'ge'jun 薄原毛平革菌
'bo'yuan'mei'yi 波缘梅衣
'bo'yuan'pan'jun 波缘盘菌
'bo'yuan'ru'gu 波缘乳菇
'bo'yuan'yuan'pan'jun 波缘圆盘菌
'bo'zha'li'guang'bing'gu 波扎里光柄菇
'bo'zhuang'bei'ge'jun 波状杯革菌
'bo'zhuang'fen'zhe'xun 波状粉褶蕈
'bo'zhuang'gen'pan'jun 波状根盘菌
'bo'zhuang'mo'pan'jun 波状膜盘菌
'bo'zhuang'wu'geng'nang'mei 波状无梗囊霉
'bo'zhuang'xi'pi'lie'pan'jun 波状细皮裂盘菌
'bo'zhuang'xue'yi 波状雪衣
'bo'zhuang'ying'kong'jun 波状硬孔菌
'bu'chong'mei'ke 捕虫霉科
'bu'chong'mei'men 捕虫霉门
'bu'chong'mei'mu 捕虫霉目
'bu'dang'fen'zhe'xun 不当粉褶蕈
'bu'deng'lin'he'yi 不等鳞核衣
'bu'deng'ya'yi'xing'jun 不等芽异形菌
'bu'ding'xing'bao'shu 不定型孢属
'bu'ding'xing'chuan'dan'ge'jun 不定形串担革菌
'bu'ding'xing'xiao'ce'dan'jun 不定形小侧担菌
'bu'er'ka'mei'shu 布尔喀霉属
'bu'gui'ze'bao'san'shu 不规则孢伞属
'bu'gui'ze'tan'hei'fen'jun 不规则炭黑粉菌
'bu'la'ke'xu'mei 布拉克须霉
'bu'le'mu'er'shu 布勒木耳属
'bu'le'zhi'bao'jiao'mu'ke 布勒掷孢酵母科
'bu'le'zhi'bao'jiao'mu'shu 布勒掷孢酵母属
'bu'lei'si'zhi'mei 布雷丝枝霉
'bu'li'ban'ke'chong'cao 布里班克虫草
'bu'lu'mu'hei'fu'jun 布鲁姆黑腹菌
'bu'lu'shi'cha'zi 布鲁氏茶渍
'bu'lun'ke'chong'bing'mei 布伦克虫病霉
'bu'mian'dan'bao'xiu'jun'shu 不眠单胞锈菌属
'bu'mian'duo'bao'xiu'jun'shu 不眠多胞锈菌属
'bu'quan'bing'xiu'jun 不全柄锈菌
'bu'quan'ceng'xiu'jun 不全层锈菌
'bu'shi'bai'fen'jun'shu 布氏白粉菌属
'bu'shi'chong'cao 布氏虫草
'bu'shi'kou'mo 布氏口蘑
'bu'shi'lan'bo'pan'jun 布氏兰伯盘菌
'bu'shi'rou'pan'yi 布氏肉盘衣
'bu'shi'ru'gu 布氏乳菇
'bu'shi'rui'kong'jun 布氏锐孔菌
'bu'te'shi'shu'jia'yi 布特氏树痂衣
'bu'xi'kou'mo 布细口蘑
'bu'xian'bing'xiu'jun 不显柄锈菌
'bu'xiu'bai'shuang'bao'xiu'jun'shu 不休白双胞锈菌属
'bu'xue'cao'dan'bao'xiu'jun 补血草单胞锈菌
'bu'ya'bing'xiu'jun 不雅柄锈菌
'bu'zheng'qiu'ke'shu 不整球壳属
'cai'ban'ping'cha'zi 彩斑平茶渍
'cai'dou'dan'bao'xiu'jun 菜豆单胞锈菌
'cai'kong'jun 彩孔菌
'cai'kong'jun'shu 彩孔菌属
'cai'li'xiao'gu 彩丽小菇
'cai'se'dou'ma'bo 彩色豆马勃
'cai'shi'dun'pan'jun 蔡氏盾盘菌
'cai'te'wan'mao'pan'jun 蔡特弯毛盘菌
'cai'wang'fen'bao'niu'gan'jun 采网粉孢牛肝菌
'cai'ye'feng'chong'li'mei 菜叶蜂虫疠霉
'cai'ye'feng'chong'yi'mei 菜叶蜂虫疫霉
'can'bo'tian'chi'jun 残波甜齿菌
'can'dou'dan'bao'xiu'jun 蚕豆单胞锈菌
'can'dou'pu'tao'bao 蚕豆葡萄孢
'can'dou'pu'tao'bao'pan'jun 蚕豆葡萄孢盘菌
'can'si'xiao'bao'fa 蚕丝小孢发
'can'tuo'ban'du'san 残托斑毒伞
'can'tuo'ban'e'gao 残托斑鹅膏
'cang'bai'bai'chi'jun 苍白白齿菌
'cang'bai'bei'san 苍白杯伞
'cang'bai'cha'si'ge'jun 苍白叉丝革菌
'cang'bai'gai'ru'niu'gan'jun 苍白盖乳牛肝菌
'cang'bai'gan'lan'se'you'bing'niu'gan'jun 苍白橄榄色疣柄牛肝菌
'cang'bai'gao'fu'jun 苍白高腹菌
'cang'bai'ji'you'jun 苍白鸡油菌
'cang'bai'ma'an'jun 苍白马鞍菌
'cang'bai'mo'pan'jun 苍白膜盘菌
'cang'bai'niu'gan'jun 苍白牛肝菌
'cang'bai'rou'mo'jun 苍白柔膜菌
'cang'bai'rou'you'yi 苍白肉疣衣
