'a'da'ri'ge 阿达日格
'wan'qi'gang'jin 弯起钢筋
'wan'qiu 弯坵
'wan'qu'gui'dao 弯曲轨道
'wan'rong'zhi'xian 万蓉支线
'wan'shui'quan 万水泉
'wan'xian 完县
'wang'an'zhen 王安镇
'wang'bu 望布
'wang'dian 汪甸
'wang'guan'ren'tun 王官人屯
'wang'jia'jing 王家井
'wang'tuan'zhuang 王团庄
'wang'ya 网压
'wang'zhao'tun 王兆屯
'wei'che 尾车
'wei'di 纬地
'wei'di'dao'lu'she'ji 纬地道路设计
'wei'di'dao'lu'she'ji'ruan'jian 纬地道路设计软件
'wei'fang'zhan 潍坊站
'wei'gui 危规
'wei'gui 维规
'wei'he 苇河
'wei'hong'xian 威红线
'wei'hu'ling 威虎岭
'wei'ji'fu'wei 微机复位
'wei'ji'jian'ce 微机监测
'wei'ji'lian'suo 微机联锁
'wei'jin 渭津
'wei'jing 威箐
'wei'lai'fen'gong'si 潍莱分公司
'wei'lai'gao'su'gong'lu 潍莱高速公路
'wei'ling 威岭
'wei'nan'nan 渭南南
'wei'nan'zhen 渭南镇
'wei'ning'xian 威宁线
'wei'she 威舍
'wei'shi 危石
'wei'shui'yu 渭水峪
'wei'ta'xian 魏塔线
'wei'wu'gao'su'gong'lu 威乌高速公路
'wei'xiu'tian'chuang 维修天窗
'wei'xiu'zhou'qi 维修周期
'wei'ya 尾亚
'wei'ya'xian 苇亚线
'wei'yan 围堰
'wei'zhang'zi 魏杖子
'wei'zi'gou 苇子沟
'wei'zi'zhen 微子镇
'wen'bo 纹波
'wen'di 文地
'wen'dou'he'shuo 温都和硕
'wen'du'li 温度力
'wen'du'li'feng 温度力峰
'wen'guan'tun 文官屯
'wen'jia'zhen 温家圳
'wen'luan'ru'ma 紊乱如麻
'wen'quan'si 温泉寺
'wen'suo'xi'shu 温缩系数
'weng'tong 翁通
'wo'hu'tun 卧虎屯
'wo'ken 倭肯
'wo'long'si 卧龙寺
'wo'niu'he 卧牛河
'wo'pi 沃皮
'wu'bao 武豹
'wu'ben 务本
'wu'ce'xiang'kang'ya 无侧向抗压
'wu'cha'gou 五叉沟
'wu'cha'gui'dao 无碴轨道
'wu'cha'qu'duan 无岔区段
'wu'chang 吴场
'wu'dao'gou 五道沟
'wu'dao'he 五道河
'wu'dao'mu 五道木
'wu'diao'zhong'zhuan 无调中转
'wu'er'qi'han 乌尔旗汗
'wu'fen'xuan'zhi 无分轩轾
'wu'feng'gui 无缝轨
'wu'feng'xi 五凤溪
'wu'feng'xian'lu 无缝线路
'wu'gai'bian 无改编
'wu'gong'liang'lie'sun 圬工梁裂损
'wu'gu'nuo'er 乌固诺尔
'wu'guan'tian 吴官田
'wu'hai'bei 乌海北
'wu'jia'chuan 吴家川
'wu'jia'hu 五家户
'wu'jin'xian 武津线
'wu'jiu'xian 武九线
'wu'ju 乌局
'wu'jue'yuan 无绝缘
'wu'ke'shu 五棵树
'wu'lan'ha'da 乌兰哈达
'wu'lan'hu'tong 乌兰胡同
'wu'lan'ji 乌兰基
'wu'lan'qiu 乌兰丘
'wu'lan'wu'su 乌兰乌苏
'wu'lan'zhao 乌兰昭
'wu'lan'zhong 乌兰中
'wu'lian'zhan 五莲站
'wu'lin 五林
'wu'long'bei 五龙背
'wu'lu'bu'tie 乌鲁布铁
'wu'lu'ji'bing'hai 无路基病害
'wu'lu'mian 无路面
'wu'nu'er 乌奴耳
'wu'ri'gen'ta'la 乌日根塔拉
'wu'ri'tu 乌日图
'wu'shi'jia'zi 五十家子
'wu'si'tai 乌斯台
'wu'si'tu 乌斯土
'wu'tai'wa 五台洼
'wu'wei'nan 武威南
'wu'xi 乌西
'wu'xian'diao'du 无线调度
'wu'xian'diao'du'dian'hua 无线调度电话
'wu'xin'dao'cha 无心道岔
'wu'xu 吴墟
'wu'xuan 芜宣
'wu'yuan'ying'da'qi 无源应答器
'xi'ba'li 西八里
'xi'bao 铣刨
'xi'chang'bei 西昌北
'xi'chang'nan 西昌南
'xi'da'tan 西大滩
'xi'dong 溪洞
'xi'dou'pu 西斗铺
'xi'du'mo'shu 细度模数
'xi'feng'juan'lian 西风卷帘
'xi'gang'zi 西岗子
'xi'gu'cheng 西固城
'xi'gu'cheng'xian 西固城线
'xi'hu'er'qing 西胡尔清
'xi'ji'liao 细集料
'xi'jiang 稀浆
'xi'jie'kou 西街口
'xi'ju'xi'duan 西局西段
'xi'kang'xian 西康线
'xi'li'shi 细粒式
'xi'li'tu 细粒土
'xi'liang'xian 西良线
'xi'liao'he 西辽河
'xi'lin'hu'dou'ga 锡林呼都嘎
'xi'ling'kou 西岭口
'xi'liu'fang 西六方
'xi'luo'xuan 细螺旋
'xi'ma'shan 西麻山
'xi'nan'zhang'zi 西南杖子
'xi'ning'dong 西宁东
'xi'ning'xi 西宁西
'xi'que'le 喜鹊乐
'xi'tian'xian 溪田线
'xi'tie'shan 锡铁山
'xi'tong'gu 西桐古
'xi'wa 西洼
'xi'wan'bao 西湾堡
'xi'xiao'gou 西小沟
'xi'xiao'zhao 西小召
'xi'yang'cha 西阳岔
'xi'zhai 西斋
'xi'zhang 西张
'xi'zhe'li'mu 西哲里木
'xi'zi 汐子
'xia'ba 夏坝
'xia'bu'jie'gou'gang'jin 下部结构钢筋
'xia'cheng 夏成
'xia'cheng'ceng 下承层
'xia'cheng'zi 下城子
'xia'chu 下初
'xia'dong 霞洞
'xia'guan'ying 夏官营
'xia'ji 夏集
'xia'jia'he 夏家河
'xia'la'ha'ma 夏拉哈马
'xia'ma'tang 下马塘
'xia'mian'ceng 下面层
'xia'pu'xiong 下普雄
'xia'shi 夏石
'xia'tai'he 下太和
'xia'tai'zi 下台子
'xia'teng'qiao 下藤桥
'xia'xiao'bao 夏小堡
'xia'xin'guang 下新光
'xia'xing'che 下行车
'xian'chang'ta'kan 现场踏勘
'xian'dao 县道
'xian'jian'ju 线间距
'xian'jian'ju'li 线间距离
'xian'jiao'xiang'liang 现浇箱梁
'xian'jie'gai'shan 限界改善
'xian'jie'jian'ce'che 限界检测车
'xian'lu 线路
'xian'lu'biao'zhi 线路标志
'xian'lu'ce'liang 线路测量
'xian'lu'da'xiu 线路大修
'xian'lu'da'xiu'zhou'qi 线路大修周期
'xian'lu'deng'ji 线路等级
'xian'lu'geng'xin 线路更新
'xian'lu'gong'cheng 线路工程
'xian'lu'guan'li'xi'tong 线路管理系统
'xian'lu'ji'ju 线路机具
'xian'lu'ji'xie 线路机械
'xian'lu'pa'xing 线路爬行
'xian'lu'ping'pou'mian'tu 线路平剖面图
'xian'lu'qing'li'ji'xie 线路清理机械
'xian'lu'shang'bu'jian'zhu 线路上部建筑
'xian'lu'she'bei 线路设备
'xian'lu'she'ji 线路设计
'xian'lu'shi'gong 线路施工
'xian'lu'shi'gong'ji'xie 线路施工机械
'xian'lu'shi'yan 线路试验
'xian'lu'shi'yan 线路实验
'xian'lu'wei'xiu'gui'ze 线路维修规则
'xian'lu'yang'hu 线路养护
'xian'lu'zhong'duan 线路中断
'xian'lu'zhong'xin'xian 线路中心线
'xian'lu'zhong'xiu 线路中修
'xian'tan 鲜滩
'xian'tong'xian 咸铜线
'xian'xiang'dao 县乡道
'xian'zhang'fa 先张法
'xian'zhi'po'du 限制坡度
'xiang'cun'gong'lu 乡村公路
'xiang'cuo'shi'jie'tou 相错式接头
'xiang'dao 乡道
'xiang'dui'shi'jie'tou 相对式接头
'xiang'fan 襄樊
'xiang'fan'bei 襄樊北
'xiang'gui'xian 湘桂线
'xiang'he 襄河
'xiang'huang 向隍
'xiang'jiao'dian'ban 橡胶垫板
'xiang'jiao'zhi'zuo 橡胶支座
'xiang'le'xian 向乐线
'xiang'liang'xian 向梁线
'xiang'mian 镶面
'xiang'mu'guan'li 项目管理
'xiang'mu'jing'li'bu 项目经理部
'xiang'shao 向韶
'xiang'tan'xian 向潭线
'xiang'yang'dian 向阳店
'xiang'yu'xian 襄渝线
'xiao'chi'kou 小池口
'xiao'de'jiang 小得江
'xiao'gu'jia 小姑家
'xiao'he'long 小合隆
'xiao'hua'guo 小花果
'xiao'jing 小箐
'xiao'kang'zhuang 小康庄
'xiao'li'xian 小厉线
'xiao'li'xian 小梨线
'xiao'liang'shan 小梁山
'xiao'lin 小临
'xiao'ling 小岭
'xiao'lu'xi 小路溪
'xiao'nan'ya 小南垭
'xiao'quan 孝泉
'xiao'quan'dong 小泉东
'xiao'shao 小哨
'xiao'shi'zi'hun'ning'tu 小石子混凝土
'xiao'si'gou 小寺沟
'xiao'tu'gu'li 小土古里
'xiao'tun'jie 小屯街
'xiao'xi 孝西
'xiao'xi'ba 小溪坝
'xiao'xi'cun 小喜村
'xiao'xie 消卸
'xiao'xin'jie 小新街
'xiao'xin'xian 小新线
'xiao'xing'xian'lu'ji'xie 小型线路机械
'xiao'xiu'bao'yang 小修保养
'xiao'yang'qi 小扬气
'xiao'ye 猇夜
'xiao'yu'gu 小雨谷
'xiao'yu'shu 小榆树
'xiao'yue'jiu 小月旧
'xiao'yun'zhuan'dan'ji 小运转单机
'xiao'yun'zhuan'lie'che 小运转列车
'xiao'zhai'ba 小寨坝
'xiao'zhan 小站
'xie'he'jian 斜河涧
'xie'jia'po 谢家坡
'xie'shui'cao 泄水槽
'xie'shui'cao 泻水槽
'xie'shui'kong 泄水孔
'xie'xing'nei'jie 楔形内接
'xin'ai'li 新艾里
'xin'bao'an 新保安
'xin'cheng'chuan 新城川
'xin'chuo'yuan 新绰源
'xin'dong'xiao 新东孝
'xin'gao'feng 新高峰
'xin'gu'zhen 新固镇
'xin'gui 心轨
'xin'han'ling 新寒岭
'xin'hao'biao'shi'qi 信号表示器
'xin'hao'deng 信号灯
'xin'hao'dian'lan 信号电缆
'xin'hao'gong'qu 信号工区
'xin'hao'ji 信号机
'xin'hao'ji'fang 信号机房
'xin'hao'kong'zhi'tai 信号控制台
'xin'hao'lou 信号楼
'xin'hao'shi'gong 信号施工
'xin'hao'yuan 信号员
'xin'he'xian 忻河线
'xin'hua'tun 新华屯
'xin'ji'chang'gao'su'lu 新机场高速路
'xin'jing'xian'xin'hai'duan 新靖线新海段
'xin'jiu'zhan 新九站
'xin'kong'tiao 新空调
'xin'la'gui'yi 辛辣诡异
'xin'li'tun 新立屯
'xin'liang 新凉
'xin'luo'cun 新萝村
'xin'miao 新庙
'xin'nan'gou 新南沟
'xin'ping'ba 新平坝
'xin'ping'tian 新坪田
'xin'qi'zhou 新祺周
'xin'qiao'pu 新桥铺
'xin'shi'xian 新石线
'xin'shu'guang 新曙光
'xin'song'pu 新松浦
'xin'tai'xian 辛泰线
'xin'tai'zi 新台子
'xin'tang'bian 新塘边
'xin'tie'cun 新铁村
'xin'tun'chuan 新屯川
'xin'wo'pu 新窝铺
'xin'xi'biao'zhi 信息标志
'xin'xian'cheng 新贤城
'xin'xiang'fang 新香坊
'xin'xing'chang 新兴场
'xin'xing'long 新兴隆
'xin'xu 新墟
'xin'yan 新彦
'xin'yang'zhen 新阳镇
'xin'yi'xi 新沂西
'xin'yi'xian 新义线
'xin'yi'zhan 新沂站
'xin'ze'xi'hu'lan 新泽西护栏
'xin'zhang'fang 新帐房
'xin'zhang'zi 新杖子
'xin'zhao 新肇
'xing'bao'kuai'yun'zhuan'lie 行包快运专列
'xing'bao'lie'che 行包列车
'xing'che'bi'se'fa 行车闭塞法
'xing'che'ri'zhi 行车日志
'xing'che'shi'ju 行车视距
'xing'che'su'du 行车速度
'xing'che'zhi'hui 行车指挥
'xing'che'zhu'ren 行车主任
'xing'che'zu'zhi'gui'ze 行车组织规则
'xing'fu'tan 幸福滩
'xing'kai 兴凯
'xing'li'biao'qian 行李标签
'xing'li'piao 行李票
'xing'li'zan'cun'chu 行李暂存处
'xing'lian 兴莲
'xing'long'dian 兴隆店
'xing'long'he 兴隆河
'xing'long'shan 兴隆山
'xing'neng'jian'ce 性能检测
'xing'quan'bao 兴泉堡
'xing'shu'tun 杏树屯
'xing'wu 兴无
'xing'yao 星耀
'xing'you'te'kuai'zhuan'lie 行邮特快专列
'xing'yuan 星源
'xiong'ying 熊营
'xiong'yue'cheng 熊岳城
'xiu'bu'mu'zhen 修补木枕
'xiu'feng 绣峰
'xiu'he 秀河
'xiu'yun 岫云
'xu'gai 蓿荄
'xu'jia'ping 徐家坪
'xu'jia'tai 许家台
'xu'san'wan 许三湾
'xu'tun 徐屯
'xu'zhou'zhan 徐州站
'xuan'ao'hui'se 玄奥晦涩
'xuan'bi'shi'pu'gui'ji 悬臂式铺轨机
'xuan'chang 选厂
'xuan'gang 轩岗
'xuan'guang 宣广
'xuan'jia'gou 宣家沟
'xuan'jie'jie'tou 悬接接头
'xuan'kong'tie'lu 悬空铁路
'xuan'zhong 悬钟
'xue'men'si 雪门寺
'xue'ping'mu'zhen 削平木枕
'xue'xi'si'ji 学习司机
'xue'yong'ru'zhu 血涌如注
'xue'zhuang 学庄
'xun'hui'jian'cha 巡回检查
'xun'kuai'ru'dian 迅快如电
'xun'yang'bei 旬阳北
'ya'bu'li'nan 亚布力南
'ya'da'xian 鸭大线
'ya'dao'chu'xiu 压道除锈
'ya'fu 亚复
'ya'gou 亚沟
'ya'he 亚河
'ya'la'gai'tu 牙拉盖图
'ya'lin'xian 牙林线
'ya'lu'ji 压路机
'ya'men'miao 衙门庙
'ya'men'ying 衙门营
'ya'que'ling 鸦雀岭
'ya'shi'biao'zhun 压实标准
'ya'shi'du 压实度
'ya'sui'zhi'yi 压碎值仪
'ya'tun'bao 牙屯堡
'ya'yi'xian 鸦宜线
'ya'yuan 鸭园
'ya'zi'quan 雅子泉
'yan'biao 验标
'yan'cheng 晏城
'yan'cheng'bei 晏城北
'yan'chi'shi'jian 延迟时间
'yan'chuan 砚川
'yan'dao 盐岛
'yan'deng'tu 烟灯吐
'yan'du 延度
'yan'fang 炎方
'yan'guan'xiang 严关乡
'yan'hui 岩会
'yan'jia 阎家
'yan'jia'ba 晏家坝
'yan'jia'zhuang 燕家庄
'yan'jiao'zhai 岩脚寨
'yan'jin'bei 盐津北
'yan'jing 盐靖
'yan'qi 焉耆
'yan'rong'dong'hui'tian 岩溶洞回填
'yan'tong'shan 烟筒山
'yan'xi 烟溪
'yan'zhai 沿寨
'yan'zi'bian 燕子砭
'yang'bao 羊堡
'yang'cao'di 秧草地
'yang'cha 阳岔
'yang'chang'xian 羊场线
'yang'fang'kou 阳方口
'yang'hu'bu 养护部
'yang'jia 扬嘉
'yang'jia'dian 杨家店
'yang'jiu'he 羊臼河
'yang'juan'zi 羊圈子
'yang'lang 阳朗
'yang'ling'zhen 杨陵镇
'yang'long'si 养龙司
'yang'lu'an'quan 养路安全
'yang'lu'biao'bao 养路表报
'yang'lu'fei'yong 养路费用
'yang'lu'gong'qu 养路工区
'yang'lu'gong'zhang 养路工长
'yang'lu'ji'hua 养路计划
'yang'lu'ji'ju 养路机具
'yang'lu'ji'xie 养路机械
'yang'lu'ji'xie'hua 养路机械化
'yang'lu'ling'gong'yuan 养路领工员
'yang'lu'yuan'gong 养路员工
'yang'lu'zhi'liang 养路质量
'yang'lu'zu'zhi 养路组织
'yang'lu'zuo'ye 养路作业
'yang'ma'he 养马河
'yang'ming'bao 阳明堡
'yang'ping 羊坪
'yang'quan'qu 阳泉曲
'yang'sheng 养生
'yang'sheng'qi 养生期
'yang'shu'wan 杨树湾
'yang'tian'chong 秧田冲
'yang'wei'shao 羊尾哨
'yang'xin'zhuang 杨辛庄
'yang'xuan 杨漩
'yang'zhang'zi 杨杖子
'yang'zhe'wo 羊者窝
'yang'zu'nian 羊足碾
'yao'bao 姚堡
'yao'jia'tuo'zi 姚家坨子
'yao'jia'zhou 姚家洲
'yao'lin 遥林
'yao'qian'hu'tun 姚千户屯
'yao'zhan 腰栈
'ye'chi'xian 叶赤线
'ye'hua'qi'xian 液化气线
'ye'ma'zhai 野马寨
'ye'su'xian 液塑限
'ye'su'xing 液塑性
'ye'xian 液限
'ye'xie 叶榭
'ye'ya'dao'gu'ji 液压捣固机
'ye'ya'ji'ju 液压机具
'ye'ya'zhuan'zhe'ji 液压转辙机
'ye'zhu 业主
'yi'bin'nan 宜宾南
'yi'cha'bu'xin 疑诧不信
'yi'che'ta 移车塔
'yi'er'xie 伊尔灺
'yi'gong'xian 宜珙线
'yi'gui 翼轨
'yi'ha 伊哈
'yi'he'en'ge'la 伊和恩格拉
'yi'hu'ta 伊胡塔
'yi'jia'xian 伊加线
'yi'jing 义井
'yi'la'ha 伊拉哈
'yi'li'sheng 伊里生
'yi'liang'bei 宜良北
'yi'liang'nan 彝良南
'yi'ma'tu 伊吗图
'yi'nai 宜耐
'yi'shui'zhan 沂水站
'yi'tu'li'he 伊图里河
'yi'xing'gui 异形轨
'yi'xing'jie'tou'jia'ban 异型接头夹板
'yi'yang'dong 弋阳东
'yi'yang'dong 益阳东
'yi'yong'xian 益永线
'yi'zi 迤资
'yin'bao'cun 尹堡村
'yin'ce'ce 阴恻恻
'yin'di 尹地
'yin'jia'he 殷家河
'yin'jing'shi'jiao'cha'jing 窨井式交叉井
'yin'ma'xia 饮马峡
'yin'ta 阴塔
'yin'zhen 银镇
'ying'bei 营北
'ying'bi'shan 影壁山
'ying'cheng 营城
'ying'chuan'bao 颖川堡
'ying'dong 营东
'ying'du'ce'ding'yi 硬度测定仪
'ying'e'men 英额门
'ying'hui'jue'lun 颖慧绝伦
'ying'kou'xian 营口线
'ying'li'fang'san 应力放散
'ying'pan'shang 营盘上
'ying'pan'shui 营盘水
'ying'pan'wan 营盘湾
'ying'shi'ling 硬石岭
'ying'shui'qiao 迎水桥
'ying'xia'xian 鹰厦线
'ying'xiang'jie 迎祥街
'ying'zhen 营镇
'ying'zuo'kuai'su 硬座快速
'ying'zuo'kuai'su'wo 硬座快速卧
'ying'zuo'pu'ke 硬座普客
'ying'zuo'pu'kuai 硬座普快
'ying'zuo'pu'kuai'wo 硬座普快卧
'ying'zuo'te'kuai 硬座特快
'ying'zuo'te'kuai'wo 硬座特快卧
'yong'dian 永甸
'yong'feng'ying 永丰营
'yong'jia'bao 永嘉堡
'yong'liu'lian'lian'xian 雍六连连线
'yong'sai 涌塞
'yong'wang'zhuang 永王庄
'yong'xi 涌袭
'yong'xia 涌霞
'yong'zhou'dong 永州东
'you'cao'gang'gui 有槽钢轨
'you'cha'gui'dao 有碴轨道
'you'feng'xian'lu 有缝线路
'you'ji'wu'han'liang 有机物含量
'you'kai'dao'cha 右开道岔
'you'lan'piao 游览票
'you'xi 油溪
'you'you'ban 攸攸坂
'you'yuan'ying'da'qi 有源应答器
'you'zhen 油枕
'you'zi'jing 犹字井
'yu'ba'cun 渔坝村
'yu'chong 俞冲
'yu'er'gou 鱼儿沟
'yu'gu'suan 预估算
'yu'guan'tun 于官屯
'yu'hai'tun 于海屯
'yu'huai'xian 渝怀线
'yu'hui'jin'lu 迂回进路
'yu'ji'shi'gong 雨季施工
'yu'jin'zhuang 渔津庄
'yu'ke'yan 预可研
'yu'liang'bao 余粮堡
'yu'men'gou 玉门沟
'yu'men'gou'xian 玉门沟线
'yu'men'zhen 玉门镇
'yu'miao 盂庙
'yu'she 玉舍
'yu'shen'hui 预审会
'yu'shu'chuan 榆树川
'yu'shu'tai 榆树台
'yu'shu'tun 榆树屯
'yu'shui'jian'cha'jing 雨水检查井
'yu'suan'ding'e 预算定额
'yu'wei'ban 鱼尾板
'yu'wei'ban'lian'jie 鱼尾板连接
'yu'ye 玉靥
'yu'ying'li'cai'liao 预应力材料
'yu'ying'li'guan'zhuang 预应力管桩
'yu'zhan 渝湛
'yu'zhan'gao'su'gong'lu 渝湛高速公路
'yu'zhi'liang 预制梁
'yu'zhi'liang'chang 预制梁场
'yu'zhou'di 宇宙地
'yu'zui 鱼嘴
'yuan'bian'dian'liu 原边电流
'yuan'guan'han 圆管涵
'yuan'jia'bao 袁家堡
'yuan'pan'xin'hao 圆盘信号
'yuan'qian 源迁
'yuan'qu'xian 圆曲线
'yuan'shan'zi 元山子
'yuan'shu'lin 袁树林
'yuan'tai 原太
'yuan'tian'ba 元田坝
'yuan'yang'zhen 鸳鸯镇
'yue'chi'tai 月池台
'yue'hai'lun'du'xian 粤海轮渡线
'yue'jia'cun 岳家村
'yue'jia'jing 岳家井
'yue'liang'tian 月亮田
'yue'tai'che 月台车
'yue'tai'di'dao 月台地道
'yue'tai'tian'qiao 月台天桥
'yue'zhan'diao'che 越站调车
'yun'cai'ling 云彩岭
'yun'gang'xian 云岗线
'yun'gui 运规
'yun'shu'duan 运输段
'yun'shu'zu'zhi 运输组织
'yun'tian'xiang 云田乡
'yun'ying'duan'duan'chang 运营段段长
'yun'zhuan'che'jian 运转车间
'yun'zhuan'che'zhang 运转车长
'yun'zhuan'shi 运转室
'za'dao 匝道
'zai'hai'jian'ce'zhuang'zhi 灾害检测装置
'zai'yong'gui 再用轨
'zao'jiao'pu 皂角铺
'zao'yang 早阳
'zao'zi'lin 枣子林
'ze'run'li 泽润里
'zeng'jia'ping'zi 曾家坪子
'zeng'xi'he 缯溪河
'zha'lai'nuo'er 扎赉诺尔
'zha'lai'nuo'er'xi 扎赉诺尔西
'zha'luo'mu'de 扎罗木得
'zha'ma'long 扎麻隆
'zha'wa'qian 闸瓦钎
'zha'wa'ya'li 闸瓦压力
'zha'yin'he 扎音河
'zhai'gua'lie'che 摘挂列车
'zhai'jie 摘解
'zhai'long 寨隆
'zhai'xi'dian 寨西店
'zhan'ceng 粘层
'zhan'chang'she'ji 站场设计
'zhan'chang'shi'yi'tu 站场示意图
'zhan'hai'xian 湛海线
'zhan'he 沾河
'zhan'jiang'bei 湛江北
'zhan'jiang'xi 湛江西
'zhan'ming'biao 站名标
'zhan'nei'ting'che 站内停车
'zhan'tai'peng 站台棚
'zhan'tiao 站调
'zhan'wai'ting'che 站外停车
'zhan'xi 站细
'zhan'xian 站线
'zhan'xian'chang'du 站线长度
'zhan'yong'qu'jian 占用区间
'zhan'zhang'shi 站长室
'zhang'dang 章党
'zhang'dong'xian 张东线
'zhang'gu'tai 章古台
'zhang'gui'pao'dao 涨轨跑道
'zhang'gui'zhuang 张贵庄
'zhang'jia'chuan 张家船
'zhang'jia'ci 张家祠
'zhang'jia'jie'bei 张家界北
'zhang'jia'kou'nan 张家口南
'zhang'jia'kou'xian 张家口线
'zhang'long 漳龙
'zhang'long'xian 漳龙线
'zhang'quan'xian 漳泉线
'zhang'san'ying 张三营
'zhang'shu'dong 樟树东
'zhang'wei'tun 张维屯
'zhang'xiang 张巷
'zhang'zhao 漳诏
'zhang'zhou'dong 漳州东
'zhao'bai 招柏
'zhao'biao'wen'jian 招标文件
'zhao'dong 照东
'zhao'fu'pu 照福铺
'zhao'hua 昭化
'zhao'ming'she'shi 照明设施
'zhao'tong'bei 昭通北
'zhao'tong'nan 昭通南
'zhao'xiao'keng 找小坑
'zhao'yang'chuan 朝阳川
'zhao'yang'di 朝阳地
'zhao'yang'nan 朝阳南
'zhe'cha 辙叉
'zhe'cha'gen'chang 辙叉跟长
'zhe'cha'gen'duan 辙叉跟端
'zhe'cha'gen'kuan 辙叉跟宽
'zhe'cha'han'bu 辙叉焊补
'zhe'cha'hao'shu 辙叉号数
'zhe'cha'jiao 辙叉角
'zhe'cha'shang'sun 辙叉伤损
'zhe'cha'sun'shang 辙叉损伤
'zhe'cha'xin'gui'jian'duan 辙叉心轨尖端
'zhe'cha'yan'hou 辙叉咽喉
'zhe'cha'you'hai'kong'jian 辙叉有害空间
'zhe'cha'zhi'chang 辙叉趾长
'zhe'cha'zhi'duan 辙叉趾端
'zhe'cha'zhi'kuan 辙叉趾宽
'zhe'jiao'sai'men 折角塞门
'zhe'li'mu 哲里木
'zhen'cheng'di 镇城底
'zhen'de 振德
'zhen'he 枕盒
'zhen'jian'hang'shi'ji 枕间夯实机
'zhen'liang 枕梁
'zhen'luo'bao 镇罗堡
'zhen'mu'fang'fu 枕木防腐
'zhen'mu'fang'fu'chang 枕木防腐厂
'zhen'mu'sai 枕木塞
'zhen'ru'du 针入度
'zhen'xi 轸溪
'zhen'xia'jiao'dian 枕下胶垫
'zhen'zi'jie 镇紫街
'zheng'jia'bao 郑家堡
'zheng'ju'bao'duan 郑局宝段
'zheng'ju'zheng'duan 郑局郑段
'zheng'li'dao'chuang 整理道床
'zheng'qi'ji'che 蒸汽机车
'zheng'qi'ta 蒸汽塔
'zheng'que'du 正确度
'zheng'ti'dao'chuang 整体道床
'zheng'ti'dao'chuang'gui'dao 整体道床轨道
'zheng'tian'chuang 郑天窗
'zheng'tun 郑屯
'zheng'zheng'gui'feng 整正轨缝
'zheng'zheng'qu'xian 整正曲线
'zheng'zheng'shui'ping 整正水平
'zheng'zhi'dong'hai'gui'dao 整治冻害轨道
'zheng'zhou'tie'lu'ju 郑州铁路局
'zheng'zhu'zhe'cha 整铸辙叉
'zhi'ban'yuan 值班员
'zhi'biao 支表
'zhi'bo'liao 直拨料
'zhi'cheng 轵城
'zhi'cheng'zhuang 支承桩
'zhi'cun'liang'chang 制存梁场
'zhi'dong'ji 制动机
'zhi'fa'liao 直发料
'zhi'gui'qi 直轨器
'zhi'jia 支架
'zhi'jian'ti'xi 质检体系
'zhi'jian'zong'zhan 质监总站
'zhi'jiao'jiao'cha 直角交叉
'zhi'liang'bao'zheng'ti'xi 质量保证体系
'zhi'liang'chang 制梁场
'zhi'liang'kong'zhi 质量控制
'zhi'lu'biao'zhi 指路标志
'zhi'sheng'dai'zhi'cao 植生袋植草
'zhi'shi'biao'zhi 指示标志
'zhi'tan 峙滩
'zhi'tong'ren'kong 直通人孔
'zhi'xian'jian'gui 直线尖轨
'zhi'yao'guan 制药罐
'zhi'zi'jing 知字井
'zhi'zuo'dian'shi 支座垫石
'zhong'biao'tong'zhi'shu 中标通知书
'zhong'cha 中岔
'zhong'fen'dai 中分带
'zhong'gong'tun 忠工屯
'zhong'guo'gong'lu 中国公路
'zhong'guo'gong'lu'ren'wang 中国公路人网
'zhong'he'gui'wen 中和轨温
'zhong'hua'zong'gong'hui 中华总工会
'zhong'jian'jiao'gong 中间交工
'zhong'jian'zhen'mu 中间枕木
'zhong'li'shi 中粒式
'zhong'li'tu 中粒土
'zhong'mian'ceng 中面层
'zhong'ning 终凝
'zhong'ning'nan 中宁南
'zhong'shen'bu'yu 终身不渝
'zhong'tai'zi 中台子
'zhong'tie'ba'ju 中铁八局
'zhong'tie'er'ju 中铁二局
'zhong'tie'jiu'ju 中铁九局
'zhong'tie'liu'ju 中铁六局
'zhong'tie'qi'ju 中铁七局
'zhong'tie'san'ju 中铁三局
'zhong'tie'shi'er'ju 中铁十二局
'zhong'tie'shi'ju 中铁十局
'zhong'tie'shi'san'ju 中铁十三局
'zhong'tie'shi'si'ju 中铁十四局
'zhong'tie'shi'wu'ju 中铁十五局
'zhong'tie'shi'yi'ju 中铁十一局
'zhong'tu'xia'che 中途下车
'zhong'xin'shi'yan'shi 中心试验室
'zhong'xing'gang'gui 重型钢轨
'zhong'xing'gui'dao 重型轨道
'zhong'xing'gui'dao'che 重型轨道车
'zhong'xing'ji'shi 重型击实
'zhong'xing'ji'shi'shi'yan 重型击实试验
'zhong'xing'qing'shai'ji 中型清筛机
'zhong'yi'cun 中谊村
'zhong'zhang'zi 钟杖子
'zhong'zui 中嘴
'zhou'shi'zhuang 周士庄
'zhou'tie'gang 周铁岗
'zhou'wen 轴温
'zhou'xian'pian'wei 轴线偏位
'zhou'xiang'pi'lao'shi'yan 轴向疲劳试验
'zhou'zhuan'gui 周转轨
'zhu'bao'gang 珠宝岗
'zhu'cheng'zhan 诸城站
'zhu'dao 筑岛
'zhu'di'jian'li 驻地监理
'zhu'di'jian'li'chu 驻地监理处
'zhu'dian 朱店
'zhu'duan 主断
'zhu'ga 朱嘎
'zhu'ge'zhuang 朱各庄
