'a'bie 阿别
'ye'zi 叶子
'ye'zi'guo 椰子果
'ye'zi'shu'lin 椰子树林
'yi'an 伊安
'yi'chu'shuang'ji 一出双击
'yi'de 易德
'yi'dong'su'du 移动速度
'yi'ji'fa'jue'di 遗迹发掘地
'yi'ji'fa'jue'dui'bu'gao'lan 遗迹发掘队布告栏
'yi'ji'fa'jue'dui'de'gong'gao 遗迹发掘队的公告
'yi'ji'fa'jue'dui'ying'di 遗迹发掘队营地
'yi'ji'yao'hai'jian 一击要害箭
'yi'ji'zhi'mu 遗迹之墓
'yi'ji'zhi'qiao'bi 遗迹之峭壁
'yi'jie 异界
'yi'jie'de'bian'fu'guai 异界的蝙蝠怪
'yi'ka'lu'si'de'hua'xiang'yi 伊卡路斯的滑翔翼
'yi'ka'lu'si'de're'qi'qiu 伊卡路斯的热气球
'yi'ka'lu'si'yu'fei'tian'yao'shui 伊卡路斯与飞天药水
'yi'ka'tu 伊卡图
'yi'shi'de'chao'piao 遗失的钞票
'yi'shi'de'hu'lu'zhong'zi 遗失的葫芦种子
'yi'shi'de'zhong'zi 遗失的种子
'yi'tuo 依托
'yi'tuo'zhi'jia 依托之家
'yi'wang 遗忘
'yi'wang'de'sheng'dian 遗忘的圣殿
'yi'wang'de'sheng'dian'li'bian'fu'guai 遗忘的圣殿里蝙蝠怪
'yi'xi'shi'da'hai'de'jing'qi'sheng'cun'de'ying'huo 以吸食大海的精气生存的萤火
'yi'xue 一血
'yi'zhi'gong'hui 遗址公会
'yi'zhi'gong'hui'dui'kang'zhan 遗址公会对抗战
'yi'zhuan 一转
'yin'de'mu'kuang 银的母矿
'yin'ren 银人
'yin'ren'dun'qi 银人钝器
'yin'ren'xin 银人心
'yin'sen'you'ling'fa'shi 阴森幽灵法师
'yin'shen'shu 隐身术
'yin'shi 隐士
'yin'xing'she'sha 隐形射杀
'yin'xue'ban 银雪板
'yin'ying'zhao'huan 银鹰召唤
'ying'fen'shen 影分身
'ying'hu'tao 硬胡桃
'ying'hua'shan'lin 樱花山林
'ying'tao'pai 樱桃派
'ying'wang'shu 影网术
'ying'xiong 英雄
'ying'xiong'gong'guan 英雄公馆
'ying'xiong'wu'jiao'xing'xun'zhang 英雄五角星勋章
'ying'xiong'xing'xun'zhang 英雄星勋章
'ying'xiong'zhi'hui'sheng 英雄之回声
'ying'yue'hua'bao'hu'yue'miao'zu'dui'ren'wu 迎月花保护月妙组队任务
'yong'de'ji'qi'xin'zang 用的机器心脏
'yong'meng'xun'zhang 勇猛勋章
'yong'qi'er'huan 勇气耳环
'yong'shi 勇士
'yong'shi'bu'luo 勇士部落
'yong'shi'bu'luo'dong'bu 勇士部落东部
'yong'shi'bu'luo'dong'ru'kou 勇士部落东入口
'yong'shi'bu'luo'hui'cheng'juan 勇士部落回城卷
'yong'shi'bu'luo'mi'gong'ru'kou 勇士部落迷宫入口
'yong'shi'bu'luo'xi'bu 勇士部落西部
'yong'shi'bu'luo'xi'ru'kou 勇士部落西入口
'yong'shi'de'yi'zhi 勇士的意志
'you'ce'tou'lu 右侧头颅
'you'chang 悠长
'you'de'su'du 有的速度
'you'hong'du'jiao'shi 幼红独角狮
'you'huang'du'jiao'shi 幼黄独角狮
'you'huo 诱惑
'you'lan'du'jiao'shi 幼蓝独角狮
'you'lie'hen'de'bei'ke 有裂痕的背壳
'you'ling'chuan'zhang 幽灵船长
'you'ling'feng'lao'tou 幽灵疯老头
'you'ling'lie'ren'ba'bai 幽灵猎人巴柏
'you'long'de'nai'hu 幼龙的奶壶
'you'mo'jing'ling 幼魔精灵
'you'mo'jing'ling'de'jiao 幼魔精灵的角
'you'mo'jing'ling'jiao 幼魔精灵角
'you'mo'jing'ling'tong'ji'pai 幼魔精灵通缉牌
'you'na 尤娜
'you'shen'de'xia'gu 幽深的峡谷
'you'shen'ma'yi'dong 幽深蚂蚁洞
'you'ta'de'zhu'zhu'nong'chang 尤塔的猪猪农场
'you'tai 犹泰
'you'tai'de'bao'da 犹泰的报答
'you'tai'de'wei'tuo 犹泰的委托
'you'xia 游侠
'you'yu'gan 鱿鱼干
'you'zi'du'jiao'shi 幼紫独角狮
'yu'fo'zhu 玉佛珠
'yu'mi 玉米
'yu'wang 鱼王
'yu'zhi'ping'yuan 鱼之平原
'yuan'cheng'an'qi 远程暗器
'yuan'cheng'jian 远程箭
'yuan'gong 猿公
'yuan'gu'jing'ling 远古精灵
'yuan'gu'jing'ling'de'chuan'shuo 远古精灵的传说
'yuan'hun'sen'lin 冤魂森林
'yuan'shi'ye'zhu 原始野猪
'yue'guang'jing'ling 月光精灵
'yue'guang'jing'ling'de'yue'kuai 月光精灵的月块
'yue'han 约翰
'yue'han'de'fen'hong'hua'lan 约翰的粉红花蓝
'yue'han'de'fen'hong'hua'lan 约翰的粉红花篮
'yue'han'de'li'wu 约翰的礼物
'yue'han'de'zui'hou'li'wu 约翰的最后礼物
'yue'han'zui'hou'de'li'wu 约翰最后的礼物
'yue'miao 月妙
'yue'miao'de'nian'gao 月妙的年糕
'yue'shi 月石
'yue'ya'niu'mo'wang 月牙牛魔王
'yue'ya'niu'mo'wang'de'jiao 月牙牛魔王的角
'yue'zhi'yao'jing 月之妖精
'yun'bao 云豹
'yun'cai'gong'yuan 云彩公园
'yun'di'ni'de'yi'jiao 匀迪尼的衣角
'yun'hu 云狐
'yun'hu'shan'po 云狐山坡
'yun'hu'wei'ba 云狐尾巴
'yun'qi 运气
'yun'shi'de'sui'pian 陨石的碎片
'yun'shu'ji 运输机
'zan'ting'di'bo 暂停迪波
'zao'dao'pai'chi'de'yan'jiu'he'ka'pa'lai'te 遭到排斥的研究和卡帕莱特
'zao'dao'pai'chi'de'yan'jiu'he'meng'te'jiu 遭到排斥的研究和蒙特鸠
'zao'po'huai'de'long'zhi'chao'xue 遭破坏的龙之巢穴
'zha'dan'hai'ou 炸弹海鸥
'zha'dao 炸刀
'zha'dong 扎洞
'zha'er 扎二
'zha'ji 炸鸡
'zha'ji'chi 炸鸡翅
'zha'kun 扎昆
'zha'kun'de'ji'tan 扎昆的祭坛
'zha'kun'de'yu'shou 扎昆的御守
'zha'kun'ru'kou 扎昆入口
'zha'kun'xiao'guai 扎昆小怪
'zha'kun'zu'dui'ren'wu 扎昆组队任务
'zha'men 扎门
'zha'nuo 扎诺
'zha'san 扎三
'zha'tou 扎头
'zha'xian 炸线
'zha'yi 扎一
'zhai'er'de 寨尔德
'zhan'guo'ce 战国策
'zhan'huo'sen'lin 战火森林
'zhan'jia'chui'pao'pao'yu 战甲吹泡泡鱼
'zhan'jia'chui'pao'pao'yu'de'nei'cun'ka 战甲吹泡泡鱼的内存卡
'zhan'shi 战士
'zhang'lao'gong'guan 长老公馆
'zhang'lao'si'tan 长老斯坦
'zhang'lao'si'tan'de'xin'jian 长老斯坦的信件
'zhang'ya'hai'xiang 长牙海象
'zhang'yu'chuan 章鱼串
'zhang'yu'di'bo 章鱼迪波
'zhang'yu'pao'tai 章鱼炮台
'zhang'yu'wa 章鱼娃
'zhang'yu'yao'shi'zhuang'shi'pin 章鱼钥匙装饰品
'zhang'yu'zhao'huan 章鱼召唤
'zhao'he'cun 昭和村
'zhao'he'nei'bu'jie'dao 昭和内部街道
'zhao'he'shang'dian'jie 昭和商店街
'zhao'huan'sheng'long 召唤圣龙
'zhao'huan'zhang'yu 召唤章鱼
'zhao'hui'mao'xian'dao'gu'shu 找回冒险岛古书
'zhao'hui'shi 召回石
'zhao'yan'jing 找眼镜
'zhao'ze 沼泽
'zhao'ze'di 沼泽地
'zhao'ze'di'de'e'yu 沼泽地的鳄鱼
'zhen'bao 针包
'zhen'hun'bao'zi 镇魂包子
'zhen'tong'ji 镇痛剂
'zheng'jiu'luo'mi'ou'he'zhu'li'ye 拯救罗密欧和朱丽叶
'zhi'fei'ji'biao 纸飞机标
'zhi'hui'mu'kuang 智慧母矿
'zhi'hui'nv'shen'de'ji'lu 智慧女神的记录
'zhi'hui'nv'shen'de'ji'lu 智慧女神的纪录
'zhi'hui'sen'lin 智慧森林
'zhi'hui'shui'jing 智慧水晶
'zhi'hui'ye'ye 智慧爷爷
'zhi'li 智力
'zhi'ming'du'wu 致命毒雾
'zhi'ming'wu'zei'guai 致命乌贼怪
'zhi'quan 直拳
'zhi'sheng'ji 直升机
'zhi'you'la 智由拉
'zhi'yu 治愈
'zhi'zhu'wang 蜘蛛网
'zhong'deng'dan'bai'shi 中等蛋白石
'zhong'deng'hai'lan'bao'shi 中等海蓝宝石
'zhong'deng'hei'an'shui'jing 中等黑暗水晶
'zhong'deng'hei'shui'jing 中等黑水晶
'zhong'deng'huang'jing 中等黄晶
'zhong'deng'lan'bao'shi 中等蓝宝石
'zhong'deng'li'liang'shui'jing 中等力量水晶
'zhong'deng'min'jie'shui'jing 中等敏捷水晶
'zhong'deng'shi'liu'shi 中等石榴石
'zhong'deng'wu'cai'shui'jing 中等五彩水晶
'zhong'deng'xing'yun'shui'jing 中等幸运水晶
'zhong'deng'zhi'hui'shui'jing 中等智慧水晶
'zhong'deng'zi'shui'jing 中等紫水晶
'zhong'deng'zu'mu'lv 中等祖母绿
'zhong'deng'zuan'shi 中等钻石
'zhong'du 中毒
'zhong'ji'dun'qi 终极钝器
'zhong'ji'fu 终极斧
'zhong'ji'gong 终极弓
'zhong'ji'jian 终极剑
'zhong'ji'mao 终极矛
'zhong'ji'nu 终极弩
'zhong'ji'qiang 终极枪
'zhong'ji'xiu'lian'chang 中级修炼场
'zhong'liang'pao'ji 重量炮击
'zhong'wan'ju'you'ling 中玩具幽灵
'zhong'yang'guang'chang 中央广场
'zhong'yang'zou'lang 中央走廊
'zhong'yuan'shan'qiu'di'dai 中原山丘地带
'zhong'zhi'shu'mu 种植树木
'zhu'ba'jie 猪八戒
'zhu'chao'xue'shan'feng 主巢穴山峰
'zhu'de'hai'an 猪的海岸
'zhu'fu 祝福
'zhu'jiao 主教
'zhu'jiao'shang 助教尚
'zhu'kuang'shi 朱矿石
'zhu'kuang'shi'mu'kuang 朱矿石母矿
'zhu'li'ye 朱丽叶
'zhu'li'ye'de'da'li 朱丽叶的答礼
'zhu'li'ye'de'he'fan 朱丽叶的盒饭
'zhu'nuo 朱诺
'zhu'ru'guai 侏儒怪
'zhu'ru'guai'de'fu'zhou 侏儒怪的符咒
'zhu'ru'guai'de'ku'zi 侏儒怪的裤子
'zhu'tou 猪头
'zhu'zhu 猪猪
'zhu'zhu'gong'yuan'xiu'xi'di'fang 猪猪公园休息地方
'zhu'zhu'wu'mu'shi 猪猪五目石
'zhu'zi'ming'pai 竹子铭牌
'zhua'qu'shu 抓取术
'zhuan'hua'shu 转化术
'zhuan'zhi 转职
'zhuang'zai'tan'huang 装载弹簧
'zhui'luo'zhu'yi 坠落主义
'zhui'sui'hou'hui'zhi'lu'de'ren 追随后悔之路的人
'zhui'sui'wang'que'zhi'lu'de'ren 追随忘却之路的人
'zhui'sui'zhui'yi'zhi'lu'de'ren 追随追忆之路的人
'zhui'yi'de'ji'si 追忆的祭司
'zhui'yi'de'ji'si 追忆的祭祀
'zhui'yi'de'shen'guan 追忆的神官
'zhui'yi'de'shou'hu'bing 追忆的守护兵
'zhui'yi'de'shou'hu'dui'zhang 追忆的守护队长
'zhui'yi'zhi'lu 追忆之路
'zhun'qi'shi 准骑士
'zhuo'bu 桌布
'zi'ci'tun 紫刺豚
'zi'ci'tun'de'du'zhen 紫刺豚的毒针
'zi'kuang'shi 紫矿石
'zi'kuang'shi'mu'kuang 紫矿石母矿
'zi'lang 紫浪
'zi'se'huo'yan'xiang 紫色火焰象
'zi'se'kou'xiang'tang 紫色口香糖
'zi'se'ye'ti 紫色液体
'zi'se'ying'yue'hua'zhong'zi 紫色迎月花种子
'zi'shui'jing 紫水晶
'zi'shui'jing'mu'kuang 紫水晶母矿
'zi'you'de'ling'hun 自由的灵魂
'zi'you'ling'hun 自由灵魂
'zi'you'lv'xing'quan 自由旅行券
'zi'you'shi'chang 自由市场
'zi'you'shi'chang'ru'kou 自由市场入口
'zong'xiong 棕熊
'zong'zi 粽子
'zou'lang 走廊
'zu'de'jiao 组的叫
'zu'dui 组队
'zu'dui'chao'ji'yao'shui 组队超级药水
'zu'dui'huo'li'shen'shui 组队活力神水
'zu'dui'te'shu'yao'shui 组队特殊药水
'zu'dui'wan'neng'liao'shang'yao 组队万能疗伤药
'zu'ge 组个
'zu'man 组满
'zu'mu'lu'mu'kuang 祖母綠母矿
'zu'mu'lv 祖母绿
'zu'mu'lv'mu'kuang 祖母绿母矿
'zu'yi'ge 组一个
'zu'zhou 诅咒
'zu'zhou'fen 诅咒粉
'zu'zhou'shu 诅咒术
'zu'zhou'wa'wa 诅咒娃娃
'zuan'shi 钻石
'zuan'shi'mu'kuang 钻石母矿
'zui'hou'de'zhong'gao 最后的忠告
'zuo'ce'tou'lu 左侧头颅
