'an'dian'niu'dian'han 按电钮点焊
'lin'shi'dian'gu'han'feng 临时点固焊缝
'lin'shi'dian'han 临时点焊
'lin'shi'han'feng 临时焊缝
'lin'wen'han'feng 鳞纹焊缝
'lin'zhuang'han'feng 鳞状焊缝
'liu'feng'rong'jie 流缝熔接
'liu'han 流焊
'liu'hua'chuang'ran'shao'guo'lu 流化床燃烧锅炉
'liu'jian'xi'han'feng 留间隙焊缝
'liu'qian'han 六钎焊
'liu'zhu'han'jie 流注焊接
'lou'feng'shi'yan 漏风试验
'lou'feng'xi'shu 漏风系数
'lu'dan 炉胆
'lu'gong 炉拱
'lu'gong'gai'zao 炉拱改造
'lu'guan'han'jie 炉管焊接
'lu'nei'qing'sao 炉内清扫
'lu'pai 炉排
'lu'pai'mian'ji're'fu'he 炉排面积热负荷
'lu'pai'tong'feng'jie'mian'bi 炉排通风截面比
'lu'qiang'hu'ban 炉墙护板
'lu'tang'chu'kou'yan'qi'wen'du 炉膛出口烟气温度
'lu'tang'jie'mian're'qiang'du 炉膛截面热强度
'lu'tang'ran'shao'shi 炉膛燃烧室
'lu'tang'rong'ji're'fu'he 炉膛容积热负荷
'lu'zha'ke'ran'wu'han'liang'lu'zha'han'tan'liang 炉渣可燃物含量炉渣含碳量
'lu'zhong'qian'han 炉中钎焊
'luo'bo'xun'zhi'lie'shi'yan 罗伯逊止裂试验
'luo'chui'shi'yan 落锤试验
'luo'han'gang'guan 螺焊钢管
'luo'han'tiao'dian'hu'han 裸焊条电弧焊
'luo'shuan'dian'hu'han 螺栓电弧焊
'luo'shuan'han 螺栓焊
'luo'shuan'jin'gu 螺栓紧固
'luo'wen'yan'guan 螺纹烟管
'luo'xuan'feng'han'jie 螺旋缝焊接
'luo'xuan'han 螺旋焊
'luo'xuan'han'guan 螺旋焊管
'luo'xuan'han'guan'ji 螺旋焊管机
'luo'xuan'han'jie 螺旋焊接
'luo'xuan'han'jie'gang'guan 螺旋焊接钢管
'luo'xuan'han'jie'guan 螺旋焊接管
'luo'xuan'han'jie'qiao'ti 螺旋焊接壳体
'luo'xuan'pa'ti 螺旋爬梯
'luo'xuan'tui'cheng'qi 螺旋推撑器
'luo'xuan'xing'han'feng 螺旋形焊缝
'luo'zhu'dian'hu'han 螺柱电弧焊
'luo'zhu'han 螺柱焊
'luo'zhu'han'jie 螺柱焊接
'luo'zhu'han'qiang 螺柱焊枪
'luo'zhu'zuo 螺柱座
'lv'guang'jing'pian 滤光镜片
'lv'he'jin'han'tiao 铝合金焊条
'lv'nie'han 铝镍焊
'lv're'han 铝热焊
'lv're'han'jie 铝热焊接
'lv're'ji 铝热剂
'lv're'ji'han 铝热剂焊
'lv're'ji'han'jie 铝热剂焊接
'lv'se'bo'li 滤色玻璃
'mai'chong'deng'li'zi'han'ji 脉冲等离子焊机
'mai'chong'deng'li'zi'hu'han 脉冲等离子弧焊
'mai'chong'dian'han 脉冲点焊
'mai'chong'dian'hu 脉冲电弧
'mai'chong'dian'hu'han 脉冲电弧焊
'mai'chong'dian'hu'han'jie 脉冲电弧焊接
'mai'chong'dian'liu 脉冲电流
'mai'chong'dian'liu'ban'zi'dong'dui'han'ji 脉冲电流半自动对焊机
'mai'chong'dian'liu'feng'han'ji 脉冲电流缝焊机
'mai'chong'dian'liu'fu'zhi 脉冲电流幅值
'mai'chong'dian'liu'zi'dong'dui'han'ji 脉冲电流自动对焊机
'mai'chong'dian'zi'shu'han 脉冲电子束焊
'mai'chong'han 脉冲焊
'mai'chong'han'jie 脉冲焊接
'mai'chong'han'jie'dian'liu'zhan'kong'bi 脉冲焊接电流占空比
'mai'chong'han'jie'duan'xu'qi 脉冲焊接断续器
'mai'chong'han'jie'ji'shi'qi 脉冲焊接计时器
'mai'chong'hu'han'dian'yuan 脉冲弧焊电源
'mai'chong'hu'han'ji 脉冲弧焊机
'mai'chong'hu'han'zheng'liu'qi 脉冲弧焊整流器
'mai'chong'ji'guang'han 脉冲激光焊
'mai'chong'ji'guang'han'jie 脉冲激光焊接
'mai'chong'ji'hu'qi 脉冲激弧器
'mai'chong'jie'chu'han 脉冲接触焊
'mai'chong'pen'she'dian'hu 脉冲喷射电弧
'mai'chong'pen'she'guo'du 脉冲喷射过渡
'mai'chong'pin'lv 脉冲频率
'mai'chong'qing'hu'han 脉冲氢弧焊
'mai'chong'she'liu'dian'hu'han 脉冲射流电弧焊
'mai'chong'shi'an'quan'fa 脉冲式安全阀
'mai'chong'wen'hu'han'ji 脉冲稳弧焊机
'mai'chong'wen'hu'han'jie'zhuang'zhi 脉冲稳弧焊接装置
'mai'chong'wen'hu'qi 脉冲稳弧器
'mai'chong'wu'ji'duo'xing'qi'ti'bao'hu'dian'hu'han 脉冲钨极惰性气体保护电弧焊
'mai'chong'wu'ji'qi'ti'bao'hu'han 脉冲钨极气体保护焊
'mai'chong'ya'hu'han 脉冲氩弧焊
'mai'chong'yin'hu'qi 脉冲引弧器
'mai'dong'han'jie 脉动焊接
'mai'hu'ban'zi'dong'han 埋弧半自动焊
'mai'hu'dian'zha'han'jie 埋弧电渣焊接
'mai'hu'dou'zi'dong'han 埋弧斗自动焊
'mai'hu'han 埋弧焊
'mai'hu'han'ji 埋弧焊机
'mai'hu'ya'li'han 埋弧压力焊
'mai'hu'zi'dong'han 埋弧自动焊
'mai'hu'zi'dong'han'ji 埋弧自动焊机
'mai'zha'han 埋渣焊
'man'dui'jie'han 满对接焊
'man'han 满焊
'man'jiao'han 满角焊
'man'jiao'han'feng 满角焊缝
'man'kou 满扣
'mao'han'gong'duan 铆焊工段
'mei'fen'ran'shao'guo'lu 煤粉燃烧锅炉
'mei'fen'ran'shao'qi 煤粉燃烧器
'mei'guo'xi'bu'yang'mao 美国西部羊毛
'men'shi'qie'ge'ji 门式切割机
'meng'nai'er'han'tiao 蒙乃尔焊条
'mi'ba'he'gao'xiao'shan'guang'dui'han'ji 米巴赫高效闪光对焊机
'mi'feng'han 密封焊
'mi'feng'han'dao 密封焊道
'mi'feng'han'feng 密封焊缝
'mi'feng'han'jie 密封焊接
'mi'feng'jie'tou 密封接头
'mi'feng'pei'jian 密封配件
'mi'feng'xing'jian'yan 密封性检验
'mi'ji'qi'kong 密集气孔
'mi'jie'dui'jie'han'feng 密接对接焊缝
'mi'ke'han'jie 米克焊接
'mi'shi'han'feng 密实焊缝
'mi'shi'qiang'gu'han'feng 密实强固焊缝
'mian're'yuan 面热源
'mian'wan'shi'yan 面弯试验
'mian'zhi 棉质
'mian'zhi'xian'wei 棉质纤维
'min'hua'qu'fu'shi 敏化区腐蚀
'ming'hu'han 明弧焊
'ming'hu'han'jie 明弧焊接
'miu'lei'ke'qi're'lie'wen'shi'yan 缪雷克期热裂纹试验
'miu'lei'ke'si're'lie'wen'shi'yan 缪雷克斯热裂纹试验
'mo'ca'bian'xing'liang 摩擦变形量
'mo'ca'bian'xing'su'du 摩擦变形速度
'mo'ca'biao'mian 摩擦表面
'mo'ca'han 摩擦焊
'mo'ca'han 磨擦焊
'mo'ca'han'jie 摩擦焊接
'mo'ca'han'jie'ji 摩擦焊接机
'mo'ca'shi'jian 摩擦时间
'mo'ca'ya'li 摩擦压力
'mo'ca'zhuan'ju 摩擦转矩
'mo'diao 磨掉
'mo'han 模焊
'mo'han'tou'han'feng 末焊透焊缝
'mo'shi'shui'leng'bi 膜式水冷壁
'mu'cai 母材
'mu'cai'rong'hua'qu 母材熔化区
'nai'hai'shui'fu'shi'han'tiao 耐海水腐蚀焊条
'nai'mo'dui'han 耐磨堆焊
'nai'mo'dui'han'han'tiao 耐磨堆焊焊条
'nai'ya'jian'yan 耐压检验
'nan'han'jie'de'ke'han'xing'cha'de 难焊接的可焊性差的
'nao'qu'bian 挠曲变
'nao'qu'bian'xing 挠曲变形
'nei'bao'fa 内爆法
'nei'bu'jian'cha 内部检查
'nei'ce'jiao'han'feng'jie'tou 内侧角焊缝接头
'nei'han'feng 内焊缝
'nei'jiao'han'jie 内角焊接
'nei'luo'wen'guan 内螺纹管
'nei'ran'ji'qu'dong'shi'hu'han'ji 内燃机驱动式弧焊机
'nei'yan 内焰
'ni'bian'shi'dian'zu'han'ji 逆变式电阻焊机
'ni'bian'shi'han'jie'dian'yuan 逆变式焊接电源
'ni'huo 逆火
'ni'xiang'fen'duan'han'jie 逆向分段焊接
'ni'xiang'han 逆向焊
'nian'feng 捻缝
'nian'jie'han 粘结焊
'nian'jie'han'ji 粘结焊剂
'nian'jie'ji 粘结剂
'nian'xing'rong'zha 粘性熔渣
'nie'dang'liang 镍当量
'nie'gang'qi'han'tiao 镍钢气焊条
'nie'han'si 镍焊丝
'nie'he'han'jie'han'feng 啮合焊接焊缝
'nie'ji'he'jin'han'si 镍基合金焊丝
'nie'ji'he'jin'han'tiao 镍基合金焊条
'nie'tong're'ci'bu'chang'he'jin 镍铜热磁补偿合金
'nie'yao'pi'han'tiao 镍药皮焊条
'ning'gu'lie'wen 凝固裂纹
'ning'gu'lie'wen'jie'jing'lie'wen 凝固裂纹结晶裂纹
'nuan'feng'ji 暖风机
'pa'rui'si'gong'shi 帕瑞斯公式
'pai'ban'zhi'jing 排版直径
'pai'qi'fa 排气阀
'pai'shui'jie'chu'shi'yi'que'fa'sheng'qi 排水接触式乙炔发生器
'pai'wu'fa 排污阀
'pai'wu'guan 排污管
'pai'wu'lv 排污率
'pai'yan're'sun'shi 排烟热损失
'pai'yan'wen'du 排烟温度
'pan'guan'shi'guo'lu 盘管式锅炉
'pan'zhuang'dian'ji 盘状电极
'pao'mao'xiao'ying 抛锚效应
'pao'mei'ji 抛煤机
'pao'mei'ji'lian'tiao'lu'pai'guo'lu 抛煤机链条炉排锅炉
'pen'deng 喷灯
'pen'han'qi 喷焊器
'pen'ju 喷炬
'pen'ju'qiang 喷炬枪
'pen'qi'ji'guang'qie'ge 喷气激光切割
'pen'rong 喷熔
'pen'rong'ceng 喷熔层
'pen'sha 喷沙
'pen'she'guo'du 喷射过渡
'pen'she'qi 喷射器
'pen'shui'jian'wen'qi 喷水减温器
'pen'shui'shi'shui'xia'dian'hu'qie'ge 喷水式水下电弧切割
'pen'tu'cai'liao 喷涂材料
'pen'tu'ceng 喷涂层
'pen'tu'lv 喷涂率
'pen'wan 喷丸
'pen'wan'sha'chu'li 喷丸砂处理
'pen'wu'rong'jie 喷雾熔接
'pen'zui 喷咀
'pen'zui'tong'zhen 喷嘴通针
'peng'han 碰焊
'peng'zhuang'dian 碰撞点
'peng'zhuang'dian'su'du 碰撞点速度
'peng'zhuang'jiao 碰撞角
'peng'zhuang'ya'li 碰撞压力
'pi'lao'duan'kou 疲劳断口
'pian'xin'dian'ji 偏心电极
'pian'xin'du 偏心度
'pian'ya'dian'ji 偏压电极
'pin'dao'jin'feng'han 频道进缝焊
'ping'ding'jiao'han'feng 平顶角焊缝
'ping'ding'jiao'han'feng'han'jie 平顶角焊缝焊接
'ping'dui'han 平对焊
'ping'feng'tou 平封头
'ping'han 平焊
'ping'han'fa'lan'ren'kong 平焊法兰人孔
'ping'han'feng 平焊缝
'ping'han'jie 平焊接
'ping'han'wei'zhi 平焊位置
'ping'heng'tong'feng 平衡通风
'ping'jiao'han 平角焊
'ping'jiao'han'feng 平角焊缝
'ping'jie'ya'han'jia'ju 平接压焊夹具
'ping'mian'da'jie'tou 平面搭接头
'ping'mian'jie'he 平面结合
'ping'mian'suo'feng'jie'tou 平面锁缝接头
'ping'qi 平齐
'ping'shi'guo're'qi 屏式过热器
'ping'shi'han'jie 平式焊接
'ping'te'xing'han'jie'dian'yuan 平特性焊接电源
'ping'te'xing'hu'han'dian'yuan 平特性弧焊电源
'ping'tian'jiao'han'feng 平填角焊缝
'ping'tou'dian'ji 平头电极
'ping'tou'dui'jie'han 平头对接焊
'ping'tou'dui'jie'han'feng 平头对接焊缝
'ping'tou'han'jie 平头焊接
'ping'wei'han'feng 平位焊缝
'ping'wo'han 平卧焊
'ping'xing'du 平行度
'ping'xing'fa 平行法
'ping'xing'jian'xi'han'jie 平行间隙焊接
'ping'xing'jian'xi'rong'han 平行间隙熔焊
'ping'xing'jiao'han'feng 平形角焊缝
'po'er'tie'jiao'cha'han'jie 珀耳帖交叉焊接
'po'huai'jian'yan 破坏检验
'po'kou 坡口
'po'kou'gao'du 坡口高度
'po'kou'han 坡口焊
'po'kou'han'feng 坡口焊缝
'po'kou'han'feng'han'hou 坡口焊缝焊喉
'po'kou'jiao'du 坡口角度
'po'kou'jue 坡口角
'po'kou'jue'guan'dao'jie'gou 坡口角管道结构
'po'kou'mian 坡口面
'po'kou'mian 破口面
'po'kou'mian'jiao 坡口面角
'po'kou'mian'jiao'du 坡口面角度
'po'kou'qie'ge 坡口切割
'po'kou'xing'shi 坡口形式
'po'xing'ban'bian 坡形板边
'pu'zhan'xi'shu 铺展系数
'pu'zhan'xing 铺展性
'pu'zhan'xing'shi'yan 铺展性试验
'qi'bao 气刨
'qi'bao'fang'fa 起爆方法
'qi'bao'hu'hu'han'ji 气保护弧焊机
'qi'bao'hu'jin'shu'ji'dian'hu'han 气保护金属极电弧焊
'qi'bao'hu'tan'hu'han 气保护碳弧焊
'qi'bao'hu'wu'ji'dian'hu'han 气保护钨极电弧焊
'qi'bao'hu'yao'xin'han'si'dian'hu'han 气保护药芯焊丝电弧焊
'qi'bao'hu'zhu'ding'han'jie 气保护柱钉焊接
'qi'cao'rong'jie 起槽熔接
'qi'dian'guan'zhuang'han'tiao'han'jie 气电管状焊条焊接
'qi'dian'han 气电焊
'qi'dian'han'han'zui 气电焊焊嘴
'qi'dian'li'han 气电立焊
'qi'dian'li'han'ji 气电立焊机
'qi'dian'lian'he'han'jie 气电联合焊接
'qi'dong'liu'liang 启动流量
'qi'dong'ya'li 启动压力
'qi'han'chui'guan 气焊吹管
'qi'han'de 气焊的
'qi'han'gong 气焊工
'qi'han'gong'yi 气焊工艺
'qi'han'gong'zuo 气焊工作
'qi'han'han'feng 气焊焊缝
'qi'han'han'si 气焊焊丝
'qi'han'huo'yan 气焊火焰
'qi'han'ji 气焊机
'qi'han'jie'tou 气焊接头
'qi'han'jin'qi'ying'guan 气焊进气硬管
'qi'han're 气焊热
'qi'han'she'bei 气焊设备
'qi'han'xiang'jiao'guan 气焊橡胶管
'qi'han'yan'jing 气焊眼镜
'qi'han'zui 气焊嘴
'qi'hu 起弧
'qi'ju'han 气炬焊
'qi'ju'han'jie 气炬焊接
'qi'ju'han'sao 气炬焊扫
'qi'liu'wu'hua'you'ran'shao'qi 气流雾化油燃烧器
'qi'mi'han 气密焊
'qi'mi'xing 气密性
'qi'mi'xing'jian'yan 气密性检验
'qi'pian'guan'shi'sheng'mei'qi 鳍片管式省煤器
'qi'ping'fa 气瓶阀
'qi'ping'han'feng 齐平焊缝
'qi're'jiao'huan'qi 汽热交换器
'qi're'qie'ge 七热切割
'qi'shi'shou're'mian 旗式受热面
'qi'shui'liang'yong'guo'lu 汽水两用锅炉
'qi'ta'han'jie'yu'lian'jie'fang'fa 其他焊接与连接方法
'qi'ta'qian'han 其它钎焊
'qi'ta'ya'han 其他压焊
'qi'ti'bao'hu'dian'hu'han 气体保护电弧焊
'qi'ti'bao'hu'han 气体保护焊
'qi'ti'bao'hu'hu'han 气体保护弧焊
'qi'ti'bao'hu'hu'han'ji 气体保护弧焊机
'qi'ti'bao'hu'jin'shu'hu'han 气体保护金属弧焊
'qi'ti'bao'hu'jin'shu'ji'dian'hu'han 气体保护金属极电弧焊
'qi'ti'bao'hu'tan'ji'dian'hu'han 气体保护碳极电弧焊
'qi'ti'bao'hu'wu'ji'dian'hu'han 气体保护钨极电弧焊
'qi'ti'bao'hu'yao'xin'han'si'dian'hu'han 气体保护药芯焊丝电弧焊
'qi'ti'bao'ran'shi'pen'tu 气体爆燃式喷涂
'qi'ti'bao'zha'shi'pen'tu 气体爆炸式喷涂
'qi'ti'bu'wan'quan'ran'shao're'sun'shi 气体不完全燃烧热损失
'qi'ti'fa'sheng'su'du 气体发生速度
'qi'ti'ji'guang'qi 气体激光器
'qi'ti'ni'liu 气体逆流
'qi'ti'qian'ji 气体钎剂
'qi'ti'ran'liao'guo'lu 气体燃料锅炉
'qi'ti'ran'shao'qi 气体燃烧器
'qi'ti'zhe'bi 气体遮蔽
'qi'wen'tiao'jie 气温调节
'qi'xue 气穴
'qi'ya'han 气压焊
'qi'ya'han'jie'ji 气压焊接机
'qi'ya'jian'yan 气压检验
'qi'ya'shi'yan 气压试验
'qi'zha'lian'he'bao'hu'dian'hu'han 气渣联合保护电弧焊
'qi'zha'lian'he'bao'hu'xing'yao'pi 气渣联合保护型药皮
'qi'zhou'dian'hu 起皱电弧
'qi'zhou'lin'jie'dian'liu 起皱临界电流
'qi'zhou'xian'xiang 起皱现象
'qian'chui'du 铅垂度
'qian'dian'han 钳点焊
'qian'feng 钎缝
'qian'feng'jian'feng 钎缝间缝
'qian'feng'jie'mian'qu 钎缝界面区
'qian'feng'jin'shu 钎缝金属
'qian'gong 前拱
'qian'han 嵌焊
'qian'han 浅焊
'qian'han 钎焊
'qian'han 铅焊
'qian'han'bao'wen'shi'jian 钎焊保温时间
'qian'han'can'shu 钎焊参数
'qian'han'cao'zuo 钎焊操作
'qian'han'guo'cheng 钎焊过程
'qian'han'he 钎焊盒
'qian'han'jian'xi 钎焊间隙
'qian'han'jie 钎焊接
'qian'han'jie'tou 钎焊接头
'qian'han'mian 钎焊面
'qian'han'shi'jian 钎焊时间
'qian'han'wen'du 钎焊温度
'qian'han'xing 钎焊性
'qian'hou'hu'han 前后弧焊
'qian'hu'han 潜弧焊
'qian'hu'zi'dong'han 潜弧自动焊
'qian'ji 钎剂
'qian'ji'gao 钎剂膏
'qian'ji'huo'xing 钎剂活性
'qian'ji'huo'xing'wen'du'fan'wei 钎剂活性温度范围
'qian'ji'jia'za 钎剂夹杂
'qian'ji're'wen'ding'xing 钎剂热稳定性
'qian'ji'tu'fu'qi 钎剂涂敷器
'qian'jiao 钎角
'qian'jie 钎接
'qian'jie'han 嵌接焊
'qian'jie'han 钎接焊
'qian'jin'han 前进焊
'qian'ju 钎炬
'qian'liao 钎料
'qian'liao'gao 钎料膏
'qian'liao'liu'shi 钎料流失
'qian'liao'rong'xi 钎料熔析
'qian'qing'han 前倾焊
'qian'rong'han'han'feng 浅熔焊焊缝
'qian'ru'xing'jie'tou 嵌入形接头
'qian'shi'dian'han'tou 钳式点焊头
'qian'tiao 嵌条
'qian'zhe'lv 钎着率
'qiang'du'mi'feng'han'feng 强度密封焊缝
'qiang'du'shi'yan 强度试验
'qiang'gu'han'feng 强固焊缝
'qiang'gu'han'jie 强固焊接
'qiang'shi'guo're'qi 墙式过热器
'qiang'zhi'cheng'xing'han 强制成形焊
'qiang'zhi'cheng'xing'han'jie 强制成形焊接
'qiang'zhi'xun'huan'guo'lu 强制循环锅炉
'qiao'feng'han'jie 桥缝焊接
'qiao'jie'han 桥接焊
'qiao'jie'han'feng 桥接焊缝
'qiao'li 翘离
'qiao'qu'bian'xing 翘曲变形
'qiao'xian'han 桥线焊
'qiao'zha'chui 敲渣锤
'qiao'zha'chui 敲炸锤
'qie'ge'ji'qi'ren 切割机器人
'qie'ge'mian 切割面
'qie'ge'mian'ping'mian'du 切割面平面度
'qie'ge'mian'zhi'liang 切割面质量
'qie'ge'su'du 切割速度
'qie'ge'xian 切割线
'qie'ge'yang 切割氧
'qie'kou'da'jie'han 切口搭接焊
'qie'kou'han'feng 切口焊缝
'qie'kou'jiao 切口角
'qie'kou'kuan'du 切口宽度
'qie'kou'shang'yuan 切口上缘
'qie'yan'tiao'ji 切沿条机
'qing'cui 氢脆
'qing'gen 清根
'qing'han 氢焊
'qing'han'feng 轻焊缝
'qing'han'jie 氢焊接
'qing'han'jie 轻焊接
'qing'li'han'feng 清理焊烽
'qing'lian'xu'han'jie 轻连续焊接
'qing'xi'zhuang'zhi 清洗装置
'qing'xie'han 倾斜焊
'qing'xie'peng'zhuang 倾斜碰撞
'qing'xie'pian'cha 倾斜偏差
'qing'xie'shi'wang'fu'lu'pai 倾斜式往复炉排
'qing'xing'han 轻型焊
'qing'xing'lu'qiang 轻型炉墙
'qing'xing'tian'jiao'han 轻型填角焊
'qing'yang'han 氢氧焊
'qing'yang'qie'ge 氢氧切割
'qing'yang'yan 氢氧焰
'qing'yang'yan'han'jie 氢氧焰焊接
'qing'yuan'zi'dian'hu'han 氢原子电弧焊
'qing'yuan'zi'han 氢原子焊
'qing'zha 清渣
'qing'zhi'lie'wen 氢致裂纹
'qing'zhi'zhun'jie'li'duan'kou 氢致准解理断口
'qiu'ke 球壳
'qiu'mian'dian'ji 球面电极
'qiu'mo'zhu'tie'han'tiao 球墨铸铁焊条
'qiu'qiao'ban 球壳板
'qiu'xing'chu'guan 球形储罐
'qu'mao'ci 去毛刺
'qu'qing 去氢
'qu'qing're'chu'li 去氢热处理
'qu'zhou'dian'zu'hu'hua'ya'han 曲轴电阻弧花压焊
'quan'bo'zu'han'dian'yuan 全波阻焊电源
'quan'bu'han'jie 全部焊接
'quan'chi'cun'han'feng 全尺寸焊缝
'quan'han'de 全焊的
'quan'han'feng'jin'shu'shi'yang 全焊缝金属试样
'quan'han'jie 全焊接
'quan'han'jie'gou 全焊结构
'quan'han'ti 全焊体
'quan'han'tou 全焊透
'quan'han'tou'han'feng 全焊透焊缝
'quan'han'tou'jie'tou'quan'han'tou'de'fei'biao'zhun'jiao'fa 全焊透接头全焊透的非标准叫法
'quan'han'tou'po'kou'han'feng 全焊透坡口焊缝
'quan'jiao'han 全角焊
'quan'rong'he'han 全熔合焊
'quan'wei'zhi'han 全位置焊
'quan'wei'zhi'han'jie 全位置焊接
'quan'zhou'han'jie 全周焊接
'quan'zi'dong'dian'hu'han 全自动电弧焊
'quan'zi'dong'han 全自动焊
'que'ding'han'feng'chi'cun'yong'yang'ban 确定焊缝尺寸用样板
'que'han 炔焊
'que'kou'han'jie'kuan'ban'shi'yan 缺口焊接宽板试验
'que'kou'wan'qu'shi'yan 缺口弯曲试验
'que'xian'zhi'shi'zhi 缺陷指示值
'ran'liao'xiao'hao'liang 燃料消耗量
'ran'shao'qi 燃烧器
'ran'shao'qiang'du 燃烧强度
'ran'shao'su'du 燃烧速度
'ran'shao'xiao'lv 燃烧效率
'rao'han 绕焊
're'bi'zhen'kong'qian'han'lu 热壁真空钎焊炉
're'deng'jing'ya'kuo'san'han 热等静压扩散焊
're'dian'ying'bian 热点应变
're'dian'ying'bian'guan'zhuang'jie'gou 热点应变管状结构
're'dian'zu'han 热电阻焊
're'fan'ying'qian'han 热反应钎焊
're'feng'han 热风焊
're'feng'han'jie 热风焊接
're'feng'qian'han 热风钎焊
're'feng'wen'du 热风温度
're'gun'ya'han'jie 热辊压焊接
're'han 热焊
're'han'feng'dai 热焊封袋
're'han'jie'xing 热焊接性
're'ji 热剂
're'ji'bu'han 热剂补焊
're'ji'fan'ying 热剂反应
're'ji'gan'guo 热剂坩埚
're'ji'gang'shui 热剂钢水
're'ji'han 热剂焊
're'ji'han'mao'kou 热剂焊冒口
're'ji'rong'han 热剂熔焊
're'ji'rong'zha 热剂溶渣
're'ji'rong'zha 热剂熔渣
're'ji'zhu'han 热剂铸焊
're'ji'zhu'mu 热剂铸模
're'kong'qi'han'jie 热空气焊接
're'lao'tie'han'jie 热烙铁焊接
're'lie'wen 热裂纹
're'neng'ji'zhong'xi'shu 热能集中系数
're'pen'tu 热喷涂
're'qi'han'jie 热气焊接
're'qie'ge 热切割
're'rong'han 热熔焊
're'rong'xing'jiao'zhan'ji 热熔性胶粘剂
're'shu'ru 热输入
're'shui'guo'lu 热水锅炉
're'shuo'xing'shi'yan 热朔性试验
're'si 热丝
're'si'deng'li'zi'hu'dui'han 热丝等离子弧堆焊
're'si'han 热丝焊
're'si'mai'hu'han 热丝埋弧焊
're'su'xing'han'tiao 热塑性焊条
're'su'xing'shi'yan 热塑性试验
're'tai'juan'ban 热态卷板
're'xiao'lv 热效率
're'ya'han 热压焊
're'ya'han'jie 热压焊接
're'ya'han'jie 热压焊结
're'yin'ji 热阴极
're'ying'bian'cui'hua 热应变脆化
're'ying'li 热应力
're'ying'xiang'qu 热影响区
're'ying'xiang'qu'chong'ji'shi'yan 热影响区冲击试验
're'ying'xiang'qu'lie'wen 热影响区裂纹
're'ying'xiang'qu'mo'ni'shi'yan 热影响区模拟试验
're'zha'han 热轧焊
're'zha'kuo'san'han 热轧扩散焊
'ren'gong'han'jie 人工焊接
'ren'kong 人孔
'ren'wo'duan'kou 韧窝断口
'rong'chi 熔池
'rong'chi'dian'hu'han 熔池电弧焊
'rong'chi'han 熔池焊
'rong'di 熔滴
'rong'di'bi'biao'mian'ji 熔滴比表面积
'rong'di'guo'du 熔滴过渡
'rong'feng 熔缝
'rong'fu 熔敷
'rong'fu'han'dao 熔敷焊道
'rong'fu'jin'shu 熔敷金属
'rong'fu'shun'xu 熔敷顺序
'rong'fu'su'du 熔敷速度
'rong'fu'xi'shu 熔敷系数
'rong'fu'xiao'lv 熔敷效率
'rong'han 熔焊
'rong'han'gang'duan'jian 熔焊钢锻件
'rong'han'ji'qie'ge'jiao'guan 熔焊及切割胶管
'rong'han'jie'he 熔焊结合
'rong'han'jin'shu 熔焊金属
'rong'han'xian 熔焊线
'rong'he 熔合
'rong'he 熔核
'rong'he'bi 熔合比
'rong'he'bi 融合比
'rong'he'qu 熔合区
'rong'he'qu 熔和区
'rong'he'sui'shi 熔合燧石
'rong'he'xian 熔合线
'rong'he'xing'bu'mi'shi 熔和型不密实
'rong'he'zhi'jing 熔核直径
'rong'hua'ceng 熔化层
'rong'hua'dai 熔化袋
'rong'hua'dian'hu'han 熔化电弧焊
'rong'hua'dian'ji 熔化电极
'rong'hua'han 熔化焊
'rong'hua'ji'dian'hu'han 熔化极电弧焊
'rong'hua'ji'duo'xing'qi'ti'bao'hu'dian'hu'han 熔化极惰性气体保护电弧焊
'rong'hua'ji'duo'xing'qi'ti'bao'hu'han 熔化极惰性气体保护焊
'rong'hua'ji'duo'xing'qi'ti'bao'hu'hu'han'ji 熔化极惰性气体保护弧焊机
'rong'hua'ji'hu'han'ji 熔化极弧焊机
'rong'hua'ji'mai'chong'qing'hu'han 熔化极脉冲氢弧焊
'rong'hua'ji'mai'chong'ya'hu'han 熔化极脉冲氩弧焊
'rong'hua'ji'qi'ti'bao'hu'dian'hu'han 熔化极气体保护电弧焊
'rong'hua'ji'qi'ti'bao'hu'dian'hu'qie'ge 熔化极气体保护电弧切割
'rong'hua'ji'qi'ti'bao'hu'duan'lu'guo'du'dian'hu'han 熔化极气体保护短路过度电弧焊
'rong'hua'ji'qi'ti'bao'hu'han 熔化极气体保护焊
'rong'hua'ji'qi'ti'bao'hu'mai'chong'dian'hu'han 熔化极气体保护脉冲电弧焊
'rong'hua'ji'zi'dong'bao'hu'dian'hu'han 熔化极自动保护电弧焊
'rong'hua'lv're'han 熔化铝热焊
'rong'hua'qian're'han 熔化铅热焊
'rong'hua'reng'duo'xing'qi'ti'bao'hu'hu'han'ji 熔化仍惰性气体保护弧焊机
'rong'hua'shi'jian 熔化时间
'rong'hua'su'du 熔化速度
'rong'hua'xi'shu 熔化系数
'rong'hua'ya'jie 熔化压接
'rong'ji'han'jie 溶剂焊接
'rong'ji'qie'ge 熔剂切割
'rong'ji'yang'mao'qie'ge 熔剂氧矛切割
'rong'ji'yang'qie'ge 溶剂氧切割
'rong'jie'gu'xing'wu 溶解固形物
'rong'jie'ju 熔接炬
'rong'jie'ning'hui'yan 熔结凝灰岩
'rong'jie'qi'ju 熔接气炬
'rong'jie'tou'ru 熔接透入
'rong'jie'xie'dai 溶解携带
'rong'jie'ying'bian 熔接应变
'rong'jie'zheng'liu'qi 熔接整流器
'rong'lian'han'ji 熔炼焊剂
