'ai'shi'wan'yuan'zhi'gen 爱是万缘之根
'yi'nian'qing'jing 一念清净
'yi'ning'wu'zhen'ti 以宁吾真体
'yi'qi 弈棋
'yi'qi'bian'jue 一起便觉
'yi'qi'he'ping 意气和平
'yi'qi'jin'hou'ye 以其近厚也
'yi'qi'tai'qing'ye 以其太清也
'yi'qi'yu'tian'xia'xiang'qi 意气与天下相期
'yi'qie 一切
'yi'qie'shan'e'xian'yu 一切善恶贤愚
'yi'qie'wu'ru'gou'hui'yao'ru'na'de 一切污辱垢秽要茹纳的
'yi'qin'yi'yi'san 易亲亦易散
'yi'qing'shi'chen 以情识衬
'yi'qiu'gong'ming'zhi'nian'qiu'dao'de 以求功名之念求道德
'yi'ran'zhi'bian'shen'ru'wan'ren 一染指便深入万仞
'yi'shen'yi'si'yun'fu 一身亦似云浮
'yi'sheng'ai 亦生爱
'yi'sheng'qing'fu 一生清福
'yi'sheng'wu'bing'shi'wu'you 一生无病是吾忧
'yi'shi'wu'liang'gong'de'yi 亦是无量功德矣
'yi'shi'ye 逸事也
'yi'shi'zhi'bu'wei'fei'e'chi'hao'niao'zhe 噫世之不为飞蛾鸱号鸟者
'yi'shi'zhi'yan'hua'wu'ai 一世之烟花无碍
'yi'su'yan'guan 以俗眼观
'yi'tai'xian'qing 逸态闲情
'yi'tan'chi'bian'cheng'shang'gu 一贪痴便成商贾
'yi'tiao'zhu'zhang'tiao'feng'yue 一条竹杖挑风月
'yi'tui'bu'bian'yuan'ge'qian'shan 一退步便远隔千山
'yi'wen'sui'lue'er'yi'nian'chang'zhen 仪文虽略而意念常真
'yi'wo'zhuan'wu'zhe'de 以我转物者得
'yi'wu 亦毋
'yi'wu'yi'wo'zhe'ni 以物役我者逆
'yi'wu'yu'zhang'bi'zhi 以物欲障蔽之
'yi'xi'liu'shui'yi'shan'yun 一溪流水一山云
'yi'xian'bu'luan 一线不乱
'yi'xin'sheng'zhe 疑心胜者
'yi'xing'cong'wai'jing'er'de'zhe 意兴从外境而得者
'yi'xing'ji'ran 一性寂然
'yi'yang'wu'yuan'ji 以养吾圆机
'yi'yao'fang'jiang'lai'zhi'fei 亦要防将来之非
'yi'yi'jun'zhu'e 一以浚诸恶
'yi'yi'pi'zhong'shan'zhi'lu 一以辟众善之路
'yi'yi'yi'xin'xiang'can'kan 一疑一信相参勘
'yi'ying'lian'bian'cheng'shi'chao 一营恋便成市朝
'yi'yu'bu'zhong 一语不中
'yi'zhe'zheng'xian 弈者争先
'yi'zhen'jing'yan 以真境言
'yi'zhi 易知
'yi'zhi'bao'ke'zhi'wan'gong 以致暴客之弯弓
'yi'zhu'jiao'ze'dian'wu 一著脚则玷污
'yi'zi'xian'cheng 亦自献诚
'yi'zi'you'tang'tang'zheng'zheng'zuo'ren'chu 亦自有堂堂正正做人处
'yin'huan'yang'er'shou'ji'mi 因豢养而受羁糜
'yin'jiu'mo'jiao'cheng'ming'ding 饮酒莫教成酩酊
'yin'mai'yi'kong'er'hui'ri'lang'ran 阴霾翳空而慧日朗然
'yin'mou'guai'xi'yi'xing'qi'neng 阴谋怪习异行奇能
'yin'qi'yi'zhong'leng'qu'you'si 引起一种冷趣幽思
'yin'xie'gui'ji 引些归己
'yin'yan'zhi'le'duo 饮宴之乐多
'yin'yi'lin'zhong'wu'rong'ru 隐逸林中无荣辱
'yin'zhuo'you'xian 饮啄犹闲
'ying'chou 应酬
'ying'shi'ruo'liu'shui'luo'hua'you'ran'er'shi 应事若流水落花悠然而逝
'ying'shi'yao'sui'shi 应世要随时
'ying'xiong'hu'zhan 英雄虎战
'ying'xiong'qi'shi 英雄欺世
'ying'xu'fang'kou 应须防口
'ying'yi 盈矣
'ying'yong'wei'yuan 应用未圆
'yong'he'yi'de'qin'shu'jia'qu 用何以得琴书佳趣
'yong'qin'shi'hun'meng'yi'shuang 拥衾时魂梦亦爽
'yong'ren'bu'yi'ke 用人不宜刻
'yong'shu'zhe'nai'suo'yi'wei'zhuo 用术者乃所以为拙
'yong'xing 庸行
'yong'zhe'sha'ji 用者杀机
'you'bing'huan'zuo'shui 犹冰涣作水
'you'bo'tian'lang'jing'de'feng'guang 有波恬浪静的风光
'you'bu'zhen'gu'chui 有部真鼓吹
'you'dang'hun'ji'feng'chen 又当混迹风尘
'you'de'hai'you'shi 有得还有失
'you'fu'yun'fu'gui'zhi'feng 有浮云富贵之风
'you'fu'zhong'yi'chong'ming'yi'zhi'nian 又复重一重名义之念
'you'gen'ba'er'cao'bu'sheng 犹根拔而草不生
'you'he'bi'biao'yi'lian'ming 又何必标一廉名
'you'he'bi'li'yi'rang'de 又何必立一让的
'you'huai'wei'ren'zhi'xin 犹怀畏人之心
'you'jin'bai'ren 犹矜白刃
'you'jin'er'qiu 又进而求
'you'lai 又来
'you'ming'ming'fan'zhe 又明明犯着
'you'ming'zhu'er'hun'yi'ni'sha 犹明珠而混以泥沙
'you'ming'zhu'er'shi'yi'yin'huang 犹明珠而饰以银黄
'you'nong'fei'xin'gan'fei'zhen'wei 酉农肥辛甘非真味
'you'qi'yu'ze'hui'lai 有其语则毁来
'you'qin'shi'mei'de 忧勤是美德
'you'ren'fu'fen'tiao'shi'zhu 优人傅粉调石朱
'you'ren'zhe'dong'nian'ji'shi'ge'mao 尤人者动念即是戈矛
'you'shi'bian'si'you'cu'fu'yi'qi'fou 有事便思有粗浮意气否
'you'shi'chang'ru'wu'shi'shi 有事常如无事时
'you'shu'hou'lai'shui 又属后来谁
'you'si'ji'si'zhi'hou'you'he'jing'se 又思既死之后有何景色
'you'wei'geng'shen 忧为更甚
'you'wo 有我
'you'wu'hai'you'mi 有悟还有迷
'you'yao'shan'bai'tuo 又要善摆脱
'you'yao'you'duan'xiao'sa'de'qu'wei 又要有段潇洒的趣味
'you'yi'hao'guang'jing 有一好光景
'you'yi'le'jing'jie 有一乐境界
'you'yu'ci'zhong'dei'da'can'niu 又于此中得大惭忸
'you'yuan'fei'yu'yue'de'jing'xiang 有鸢飞鱼跃的景象
'you'yue'shi'bu'zao'li'bu'yi'zhe 有曰识不早力不易者
'you'yue'shi'de'po'ren'bu'guo'zhe 有曰识得破忍不过者
'you'yun 又云
'you'zhi'zi'hui 犹知自悔
'you'zhi'zi'kui 犹知自愧
'yu'bang'xiang'chi 鹬蚌相持
'yu'bao'li'de'ren 遇暴戾的人
'yu'can'jing'bai'zhi'zhong'shi'de'cai'gen'tan'yi'lu 于残经败纸中拾得菜根谭一录
'yu'chen'chen'bu'yu'zhi'shi 遇沉沉不语之士
'yu'cong'jing'li'mi'cao'chi 预从静里密操持
'yu'da'shi'jin'chi'zhe 遇大事矜持者
'yu'dan'bo'er'xin'zhe 语淡泊而欣者
'yu'guo'gu'cha 余过古刹
'yu'heng'zhe'xian'yu'qi'qi 驭横者先驭其气
'yu'lin'si'er'wu'tan'lian 欲临死而无贪恋
'yu'lu'shang'shi 欲路上事
'yu'mang'chu'hui'tou'xian 遇忙处会偷闲
'yu'nai'san'zhi'zhi'mei 欲乃散志之媒
'yu'peng'you'jiao'you'zhi'shi 遇朋友交游之失
'yu'qi'qiao'chi'yu'hou 与其巧持于后
'yu'qi'yi'shu'yu'zhong 与其易疏于终
'yu'qi'zha'de'ren 遇欺诈的人
'yu'qian 于前
'yu'qing'xie'si'qu'de'ren 遇倾邪私曲的人
'yu'que'chu'zhi'zu 遇缺处知足
'yu'ren'bu'ke'qing'wei'xi'nu 於人不可轻为喜怒
'yu'ren'bu'ke'tai'fen'ming 与人不可太分明
'yu'ren'bu'yao'gan'de 与人不要感德
'yu'ren'chi'mi'chu 遇人痴迷处
'yu'ren'hang 与人行
'yu'ren'ji'nan'chu 遇人急难处
'yu'ren'zhe 与人者
'yu'shi'er'liu'you'yu 御事而留有余
'yu'shi'er'wei'ren'chu'hai 遇事而为人除害
'yu'shi'zhe 御事者
'yu'shi'zhi'yi'wei'zhen'ding'cong'rong 遇事只一味镇定从容
'yu'wang'zhi'she 鱼网之设
'yu'wu 於物
'yu'xiao'ren'ye 于小人也
'yu'yan'fang'jue'you'wei 语言方觉有味
'yu'yi'ping'qi 御以平气
'yu'yu'bian'er'wu'cang'mang 欲遇变而无仓忙
'yu'yun 语云
'yu'yun'zhu'cang 玉韫珠藏
'yu'zhi'gong'chu'ji'wei'li 欲之公处即为理
'yu'zhi'wei'ming'ji'yu'yu'ren 于之威命即寓于人
'yu'zhou'nei'shi'yao'li'dan'dang 宇宙内事要力担当
'yu'zuo'jing'jin'mei'yu'de'ren'pin 欲做精金美玉的人品
'yue'jing'cheng'bei'di 乐境成悲地
'yue'xia'zhi 月下之
'yue'ye'zhi'jin'zhong'gui'xing'fan 跃冶之金终归型范
'yun'shen'song'lao 云深松老
'zai'guan'shan'zhong'xian'mu 再观山中闲木
'zai'shi'chu'shi 在世出世
'zan'ying'zhi'shi 簪缨之士
'zao'chi'ming'yue'ru 凿池明月入
'zao'hua'huan'zuo'xiao'er 造花唤作小儿
'zao'hua'yin'yun 造化氤氲
'zao'kang'bu'wei'zhi'fei 糟糠不为彘肥
'zao'wu'zuo'you 造无作有
'ze'bao'sheng'zhi'dao'bu'bi'guo'lao 则保生之道不必过劳
'ze'cao'zong'zai'wo 则操纵在我
'ze'jing'shen'zi'fen 则精神自奋
'ze'jue'wei'shan'zhi'lu 则绝为善之路
'ze'kai 则开
'ze'ke'yi'di'fang'bu'ce'zhi'shi'bian 则可以提防不测之事变
'ze'ke'yi'wei'xi'wu'yan'zhi'ren'xin 则可以维系无厌之人心
'ze'li'xin'fan'dan 则利心反淡
'ze'li'yu'zhi'xin'zi'dan 则利欲之心自淡
'ze'miao'ran'zi'xiao 则眇然自小
'ze'nan'nv'zhi'jian'jin'jue 则男女之见尽绝
'ze'nong'dan'zhi'jing'dou'xiao 则浓淡之境都消
'ze'nu'qi'zi'ping 则怒气自平
'ze'ping'ri'suo'ji'yi'zhe'jie'man'ran'wang'qu 则平日所记忆者皆漫然忘去
'ze'qian'you'pian'ji 则愆尤骈集
'ze'qian'you'zi'shao 则愆尤自少
'ze'qiu'cheng'zhi'xin'bu'bi'tai'jian 则求成之心不必太坚
'ze'qu'wei 则趣味
'ze'quan'qie'zhi'nian'zi'qing 则权且之念自轻
'ze'ren'bu'qin 则人不亲
'ze'shen'xin'jiao'sun 则身心交损
'ze'shen'xin'jiao'yi 则身心交益
'ze'su'xi'suo'yi'wang'zhe'you'huang'er 则夙昔所遗忘者又恍尔
'ze'tan'lian'zi'qing 则贪恋自轻
'ze'tian'xia'zi'wu'ke'wu'zhi'ren 则天下自无可恶之人
'ze'tian'xia'zi'wu'ke'yan'zhi'shi 则天下自无可厌之事
'ze'wan'li'jie'bei'er'qi'xin'chang'shi 则万理皆备而其心常实
'ze'wan'nian'hui'leng 则万念灰冷
'ze'wan'you'jie'kong'er'qi'xin'chang'xu 则万有皆空而其心常虚
'ze'wei'hu'mo'ji 则巍乎莫及
'ze'wu 则无
'ze'wu'bu'qi 则物不契
'ze'wu'jing'shi'zhi'shi'ye 则无经世之事业
'ze'xin'fu'gan'dan'jie'wei'ren'suo'kui 则心腹肝胆皆为人所窥
'ze'xing'ding'er'dong'wu'bu'zheng 则性定而动无不正
'ze'yi'qi'jing'shen'xi'wei'wu'suo'zhi 则意气精神悉为物所制
'ze'yi'qie'hao'wu'dou'yao'po'yi 则一切好物都咬破矣
'ze'yuan'you'zi'xi 则怨尤自息
'ze'yuan'you'zi'xiao 则怨尤自消
'ze'zi'yi'cong'xing 则訾议丛兴
'zei'bian 贼便
'zen'si'han'wei'zhi'song'de 怎似寒微之颂德
'zen'si'ying'hua'neng'bi'su 怎似莺花能避俗
'zha'shan'zhi'men 诈善之门
'zhan'jue'meng'ya 斩绝萌芽
'zhao'he'ping 招和平
'zhe'bu'de'yi'hao'gan'ji'de'nian'tou 着不得一毫感激的念头
'zhe'shi'xu'fang'mian'li'zhi'zhen 哲士须防绵里之针
'zhe'yi'ren'tian'ji 者一任天机
'zhen'ding'fang'ke'yi'xiao 镇定方可以消
'zhen'ding'zhi'cao 镇定之操
'zhen'fu'bai'tou'shi'shou 贞妇白头失守
'zhen'kong'bu'kong 真空不空
'zhen'lian'wu'lian'ming 真廉无廉名
'zhen'ming'yan'ye 真名言也
'zhen'po'de'zhi'yan'ye 真破的之言也
'zhen'que'shi'zhi'lun'ye 真确实之论也
'zhen'shi'wu'xin'yao'fu 真士无心邀福
'zhen'tian'di 真天地
'zhen'wei'zhi'shi'dan 真味只是淡
'zhen'zai'yi 真宰已
'zheng'chang'jing'duan 争长兢短
'zheng'xian'de'jing'lu'zhai 争先的径路窄
'zheng'zhan'zhi'chang 争战之场
'zhi'bu'guo'jiao 直不过矫
'zhi'cai'zhi 之才智
'zhi'cao'wu'gen'li'wu'yuan 芝草无根醴无源
'zhi'chen'fen'wei'sao 之尘氛未扫
'zhi'cheng'zhi'bi'bai 知成之必败
'zhi'ci'zhe'ru'he'bu'bei 知此者如何不悲
'zhi'cong'mie'chu'guan'jiu'jing 直从灭处观究竟
'zhi'cong'qi'chu'jiu'you'lai 直从起处究由来
'zhi'de'shi'shui 知得是谁
'zhi'fen'ren 至焚人
'zhi'hui 之悔
'zhi'jian 之见
'zhi'jie'er'yu'biao'yi 植节而欲标异
'zhi'jie'zhi'wei'zhen 直节之为真
'zhi'jiu'xiao'zhi'feng 之九霄之凤
'zhi'li'hai'de'shi'zhi'hui 值利害得失之会
'zhi'men 之门
'zhi'qiao 智巧
'zhi'ren'chang'xun'mei'er'gong'shan 至人常逊美而公善
'zhi'ren'zhi'shi'chang 至人只是常
'zhi'shen 之身
'zhi'shen'bu'shi'wo 知身不是我
'zhi'sheng'zhi'bi'si 知生之必死
'zhi'shi 只是
'zhi'shi'ben'ran 只是本然
'zhi'shi'dang'yong'fen'yi 志士当勇奋翼
'zhi'shi'qia'hao 只是恰好
'zhi'shi'xun'chang'jia'fan'su'wei'feng'guang 只是寻常家饭素位风光
'zhi'shi'yu'bi'qing'feng 只是欲闭情封
'zhi'shi'yuan 只是元
'zhi'shi'zhu'ren'gong'xing'xing'bu'mei 只是主人公惺惺不昧
'zhi'si 之思
'zhi'tan'you'xian'qin 知弹有弦琴
'zhi'xiang'fei'zhen 执相非真
'zhi'xiao'zhe'bu'ke'yi'mou'da 智小者不可以谋大
'zhi'yan 之厌
'zhi'yao'ba'bing'zai'shou 只要把柄在手
'zhi'yi'dong'qi 志壹动气
'zhi'yi'ge'yong'de'yong'xing 只一个庸德庸行
'zhi'yi'you'you'bu'zhen 只一优游不振
'zhi'you'sheng'zhi'le 知有生之乐
'zhi'you'xi'wu'you'shang'mei 知忧喜无由上眉
'zhi'yuan 之源
'zhi'zai'wan'ming'lu'yan 只在碗茗炉烟
'zhi'zai'yan'hu 旨哉言乎
'zhi'zai'yi'nian'ci'xiang 只在一念慈祥
'zhi'zai'yi'zhuan'nian'jian'er 只在一转念间耳
'zhi'zhi'ze'zha'zi'wei'hua 执之则渣滓未化
'zhi'zi 只字
'zhi'zu'zhe'li'geng'zhi'yu'gao'liang 知足者藜羹旨于膏梁
'zhi'zu'zhe'shen'pin'er'xin'fu 知足者身贫而心富
'zhi'zu'zhe'xian'jing 知足者仙境
'zhong'ao 终傲
'zhong'dang'jiu'xu 终当就绪
'zhong'diao'shui 终钓水
'zhong'gu'ti'xu 钟鼓体虚
'zhong'jia'jiao'chou 重加校雠
'zhong'neng'qu'jing 中能取静
'zhong'ren'yi'fu'yi'wei'you 众人以拂意为忧
'zhong'ren'yi'shun'jing'wei'le 众人以顺境为乐
'zhong'shen 终身
'zhong'shen'jian'chi 终身检饬
'zhong'wei'xue'qi'zhi'si'ji 终为血气之私技
'zhong'wu'yuan'da'zhi'shi 终无远大之识
'zhong'xiang'qian'zai'zhi'ling'ming 终享千载之令名
'zhong'yi'shi'li'zi'bi 终以势利自毙
'zhong'zhong'shi'chang 种种是常
'zhou'shen'jie'zhen'bian'yao'shi 周身皆针砭药石
'zhou'xian'ren'ji 昼闲人寂
'zhu'ge'qiong'tong 著个穷通
'zhu'jian'ya'cao 竹坚雅操
'zhu'shi'shu'zhe'wei'hong'ying'ming 著是书者为洪应明
'zhu'shou'er'bu'jian'tai'shan'zai'qian 逐兽而不见泰山在前
'zhu'ye'bei'zhong'yin'feng'nong'yue 竹叶杯中吟风弄月
'zhuan'chi'he'lei'gao'wei 转嗤鹤垒高危
'zhuan'huo'wei'fu'qi'si'hui'sheng'de'guan'tou 转祸为福起死回生的关头
'zhuang'shi'zhi'gan'chang'zi'leng 壮士之肝肠自冷
'zhuo'er'ji'ren'zhi'neng 拙而忌人之能
'zhuo'shou 着手
'zi'an'shi'wu'lou'zhong'pei'lai 自暗室屋漏中培来
'zi'hua 自化
'zi'jing'lun'wan'bian'er'bu'dong'yi 自经纶万变而不动一
'zi'ke'chao'wu'chu'er'you'xiang'xian 自可超物处而游象先
'zi'pei'zhi'xu'duo'sheng'yi 自培植许多生意
'zi'ran'lin'xiao'shi'ru'lin'da'di 自然临小事如临大敌
'zi'shi'shu'xu 自是舒徐
'zi'wei'nong'de'jian'san'fen 滋味浓的减三分
'zi'xi 自息
'zong'bu'ru'zi'de'zhi'xiu'xiu 总不如自得之休休
'zong'bu'ru'zi'wu'zhi'liao'liao 总不如自悟之了了
'zong'bu'ruo'xun'chang'li'lv'yi'jian 总不若寻常历履易简
'zong'chu'shi'shang'yin 总出世上因
'zong'fei'dang'ji'zuo'yong 总非当机作用
'zong'fen'ruo'luan'si 纵纷若乱丝
'zong'ji'sui'yin'hai'xian 踪迹虽隐还显
'zong'jia'tu'si'bi 纵家徒四壁
'zong'shi'bo'nong 总是播弄
'zong'shi'chuan'xin'zhi'jue 总是传心之诀
'zong'shi'dan 总是耽
'zong'shi'wu'xing'zhen'ru 总是吾性真如
'zong'shou'yi'wei'yao 纵寿亦为夭
'zong'si'hui'huo 纵似挥霍
'zong'yan'ji'dan'chan 纵演偈淡禅
'zong'zhi'huo 纵之或
'zong'zuo'dao'ji'chu 纵做到极处
'zu'sang'sheng'ping'zhi'shan 足丧生平之善
'zui'dan'yi'zui'chang 最淡亦最长
'zui'nan'ba'chu'zhe'ye 最难拔除者也
'zui'yao'yan'chu'ru 最要严出入
'zui'yi'jia'dai 最易夹带
'zui'zu'yi'yue'ren'xin'mu'er'huo'ren'xing'ling 最足以悦人心目而豁人性灵
'zun'lei'bian'mu'tian'xi'di 樽垒边幕天席地
'zuo'lao'qing'xi'bi'zhang 坐老清溪碧嶂
'zuo'lin'zhong'jin'xiu'tuan'yi'yin 坐林中锦绣团衤因
'zuo'mi'shi'ruo'zuo'tong'qu 坐密室若坐通衢
'zuo'ren'wu'shen'gao'yuan'de'shi'ye 作人无甚高远的事业
'zuo'ren'wu'yi'dian'zhen'ken'de'nian'tou 作人无一点真恳的念头
'zuo'ren'yao'tuo'su 作人要脱俗
'zuo'ren'zhi'shi'yi'wei'shuai'zhen 作人只是一味率真
'zuo'ri'zhi'fei'bu'ke'liu 昨日之非不可留
'zuo'xi'zi'ru 作息自如
'zuo'zhong'wu'wu'jian'tian'xin 坐中物物见天心
