'ai'feng'ren'zhi'zi'ye 艾封人之子也
'bu'zhi'jiu'xian 不知就先
'bu'zhi'li'zhi'suo'jiang 不知礼之所将
'bu'zhi'lun'zhi'bu'ji'yu 不知论之不及与
'bu'zhi'qi'ben'ye 不知其本也
'bu'zhi'qi'bu'sheng'ren'ye 不知其不胜任也
'bu'zhi'qi'fu 不知其父
'bu'zhi'qi'ji'qian'li'ye 不知其几千里也
'bu'zhi'qi'jin'ye 不知其尽也
'bu'zhi'qi'meng'ye 不知其梦也
'bu'zhi'qi'shi'ye 不知其始也
'bu'zhi'qi'shui'he 不知其谁何
'bu'zhi'qi'shui'shi'zhi'zi 不知其谁氏之子
'bu'zhi'qi'suo 不知其所
'bu'zhi'qi'yu'shi'lei'hu 不知其与是类乎
'bu'zhi'shen'yi 不知深矣
'bu'zhi'sheng 不知生
'bu'zhi'shuo'sheng 不知说生
'bu'zhi'suo'ru'wang 不知所如往
'bu'zhi'suo'yi'si 不知所以死
'bu'zhi'tian'xia 不治天下
'bu'zhi'tu'zhe'zhi'yi'dan'gu'bi'bu'cao'cao'yan'huo 不知屠者之一旦鼓臂布草操烟火
'bu'zhi'wen'shi'ye 不知问是也
'bu'zhi'wu'suo'yi'ran'er'ran 不知吾所以然而然
'bu'zhi'xian'sheng'zhi'xi'wo'yi'shan'xie 不知先生之洗我以善邪
'bu'zhi'yi'yue'shu 不至以月数
'bu'zhi'yi'zhi'suo'shi 不知义之所适
'bu'zhi'ying'wo'ye 不知应我也
'bu'zhi'yu'wan 不止于万
'bu'zhi'zhi'ren'zhi'yi'shi'wei'ji'zhi'gu'xie 不知至人之以是为己桎梏邪
'bu'zhi'zhou'ye 不知周也
'bu'zhi'zhou'zhi'meng'wei'hu'die'yu 不知周之梦为胡蝶与
'bu'zhong'ri'er'bu'zhi'bing'zhi'qu'ye 不终日而不知病之去也
'bu'zhu'chang'sheng 不主常声
'bu'zhu'gu'chang 不主故常
'bu'zhuang'qi'guo'yi'bu'dang'cun'zhe'gua 不状其过以不当存者寡
'bu'zi'de'er'de'bi'zhe 不自得而得彼者
'bu'zi'lv'ye 不自虑也
'bu'zi'shuo'ye 不自说也
'bu'zi'wei'ye 不自为也
'bu'zi'xu 不自许
'bu'zu'duo'ye 不足多也
'bu'zu'gu'qiu'zhi 不足故求之
'bu'zu'huo'shen 不足活身
'bu'zu'yi'hou'min 不足以厚民
'bu'zu'yi'hua'cheng 不足以滑成
'bu'zu'yi'ji'qi'shen 不足以极其深
'bu'zu'yi'ju'qi'da 不足以举其大
'bu'zu'yi'sang'wu'cun 不足以丧吾存
'bu'zu'yi'wei'bian 不足以为辩
'bu'zu'yi'wei'guang 不足以为广
'bu'zu'yi'yong'tian'xia 不足以用天下
'bu'zu'yi'zi'fan'xie 不足以自反邪
'cai'bu'zu'ze'dao 财不足则盗
'cai'ji'er'wu'yong 财积而无用
'cai'se'bu'ding 采色不定
'cai'yong'you'yu'er'bu'zhi'qi'suo'zi'lai 财用有余而不知其所自来
'cai'yu'bu'cai'zhi'jian 材与不材之间
'can'da'zhi'ji 惨怛之疾
'can'liao'wen'zhi'yi'shi 参寥闻之疑始
'can'ri'er'hou'neng'wai'tian'xia 参日而后能外天下
'can'wan'sui'er'yi'cheng'chun 参万岁而一成纯
'cang'bu'yu'yi'sheng'xin 藏不虞以生心
'cang'jin'yu'shan 藏金于山
'cang'qi'shen'ye 藏其身也
'cang'qi'xue 藏其血
'cang'shan'yu'ze 藏山于泽
'cang'wu'yi'bei 苍梧已北
'cang'xiao'da'you'yi 藏小大有宜
'cang'zhu'yu'yuan 藏珠于渊
'cao'mu'bu'dai'huang'er'luo 草木不待黄而落
'cao'mu'nu'sheng 草木怒生
'cao'mu'sui'chang 草木遂长
'cao'mu'zhi'dao'zhi'zhe'guo'ban'er'bu'zhi'qi'ran 草木之倒植者过半而不知其然
'cao'piao'er'qi'zhe 操瓢而乞者
'cao'shi'zhi'shou 草食之兽
'cao'yin'shui 草饮水
'cao'you'shi'zhi'ju 操有时之具
'cao'zhi'ze'li 操之则栗
'cao'zhou'ke'xue'xie 操舟可学邪
'ceng'bu'ru'zao'suo'wo'yu'ku'yu'zhi'si 曾不如早索我于枯鱼之肆
'cha'er'shen 察而审
'cha'hao'mo 察毫末
'cha'hu'ying'xu 察乎盈虚
'cha'qi'shi 差其时
'cha'shi'wu'ling'sui'zhi'shi'ze'bu'le 察士无凌谇之事则不乐
'cha'zi'ze'ren'ye 察子则人也
'chai'li'qi'zhong'yang 柴立其中央
'chai'sheng'hu'shou 柴生乎守
'chan'man'wei'le 澶漫为乐
'chang'diao'ye 常钓也
'chang'duan 长短
'chang'duan'he'ru 长短何如
'chang'er'bu'zai 长而不宰
'chang'er'ming'ren'yi'zhi'xing 长而明仁义之行
'chang'hao'wu 长好恶
'chang'he'ren'er'yi'yi 常和人而已矣
'chang'hong 苌弘
'chang'hong'si'yu'shu 苌弘死于蜀
'chang'hu'xing 长乎性
'chang'ji'wen'yu'zhong'ni'yue 常季问于仲尼曰
'chang'ji'yue 常季曰
'chang'kuang'bu'zhi'suo'wang 猖狂不知所往
'chang'kuang'wang'xing 猖狂妄行
'chang'ran'zhe 常然者
'chang'ren'zhi'suo'bu'wei 常人之所不违
'chang'shi'lun'zhi 尝试论之
'chang'shi'wei'gua'ren'wei'zhi 尝试为寡人为之
'chang'shi'yan'zhi 尝试言之
'chang'shi'yu'lai 尝试与来
'chang'shi'zao'zhi 尝试凿之
'chang'wei'ru'yi'hu'qi'jiang 尝为汝议乎其将
'chang'wu'feng'ren'wen'zi'lao'yue 长梧封人问子牢曰
'chang'wu'zi'yue 长梧子曰
'chang'xian'er'shao'cong 长先而少从
'chang'xiang'yu'wu'wei'hu 尝相与无为乎
'chang'xiang'yu'you'hu'wu'you'zhi'gong 尝相与游乎无有之宫
'chang'yan 尝言
'chang'yi'yu'wo'lai 尝以语我来
'chang'yin'zi'ran'er'bu'yi'sheng'ye 常因自然而不益生也
'chang'you'yu'lai 尝又与来
'chang'yu'can'cheng 昌寓骖乘
'chang'yu'jun'wu'xiang'gou'ye 尝语君吾相狗也
'chang'yu'ru'deng'gao'shan 尝与汝登高山
'chang'yu'shang'gu'er'bu'wei'lao 长于上古而不为老
'chang'yu'shang'gu'er'bu'wei'shou 长于上古而不为寿
'chang'yu'shui'er'an'yu'shui 长于水而安于水
'chang'zu'hu'bi 常卒乎鄙
'chang'zu'hu'luan 常卒乎乱
'chang'zu'hu'yin 常卒乎阴
'chao'che'er'hou'neng'jian'du 朝彻而后能见独
'chao'hu'ruo'ying'er'zhi'shi'qi'mu'ye 怊乎若婴儿之失其母也
'chao'ling'er'ye'xun 朝令而夜循
'chao'san 朝三
'chao'san'er'mu'si 朝三而暮四
'chao'ting'shang'zun 朝廷尚尊
'chao'yi'jue'chen 超轶绝尘
'che'gui'jie'hu'qian'li'zhi'wai 车轨结乎千里之外
'che'ma'you'xing'se 车马有行色
'che'zhi'zhi'bo 彻志之勃
'chen'ai'ye 尘埃也
'chen'bu'neng'yi'yu'chen'zhi'zi 臣不能以喻臣之子
'chen'cai'zhi'ai 陈蔡之隘
'chen'gou'ye 尘垢也
'chen'jiang'wei 臣将为
'chen'qie'wei'da'wang'bao'zhi 臣窃为大王薄之
'chen'qing'nan'shi'wu'yue 臣请南使吴越
'chen'qing'wei'jun'shi'zhi 臣请为君实之
'chen'wen'da'wang'xi'jian 臣闻大王喜剑
'chen'wu'suo'jian 臣无所见
'chen'ye'yi'chen'zhi'shi'guan'zhi 臣也以臣之事观之
'chen'yi'shen'yu'er'bu'yi'mu'shi 臣以神遇而不以目视
'chen'you'sha'jun 臣有杀君
'chen'you'shou'ye 臣有守也
'chen'ze'chang'neng'zhi 臣则尝能之
'chen'zhe 臣者
'chen'zhi'jian'shi'bu'yi'ren 臣之剑十步一人
'chen'zhi'jue'lu'yi'fu'yi 臣之爵禄已复矣
'chen'zhi'nian'er'shi'er'hao'chui'gou 臣之年二十而好捶钩
'chen'zhi'shi'jun 臣之事君
'chen'zhi'suo'feng'jie'ke 臣之所奉皆可
'chen'zhi'suo'hao'zhe'dao'ye 臣之所好者道也
'chen'zhi'zhi'si'jiu'yi 臣之质死久矣
'chen'zhi'zi'yi'bu'neng'shou'zhi'yu'chen 臣之子亦不能受之于臣
'chen'zhu'qian 陈诸前
'cheng'bi'bai'yun 乘彼白云
'cheng'bo'ma'er'pian'zhu'ti 乘驳马而偏朱蹄
'cheng'bu'shan'xie 诚不善邪
'cheng'bu'zu'zhe 称不足者
'cheng'dao'shu'dang'gu'wu'ze'cheng'zhi 称道数当故无择称之
'cheng'dong'wei 乘东维
'cheng'er'shang'bi 成而上比
'cheng'er'shang'bi'zhe 成而上比者
'cheng'gu'you'fa 成固有伐
'cheng'he'zhi'xiu'ye 成和之修也
'cheng'hu'ming 成乎命
'cheng'hu'yun'qi'er'yang'hu'yin'yang 乘乎云气而养乎阴阳
'cheng'ran'mei 成然寐
'cheng'sheng'ma 程生马
'cheng'tian'shi'er'tui 称天师而退
'cheng'ye 成也
'cheng'yi'bu'bi 承意不彼
'cheng'yi'bu'zhi'ye 乘亦不知也
'cheng'yi'wang'yu 乘以王舆
'cheng'you'shan'wu'you'zai 诚有善无有哉
'cheng'yu'de'er'bu'lei 成于德而不累
'cheng'yun'qi 乘云气
'cheng'ze'hui 成则毁
'cheng'zhe'ji'shi'ren'yi 城者既十仞矣
'cheng'zhe'wei'shou 成者为首
'cheng'zhi'da'zhe 城之大者
'chi'he'ye 驰河也
'chi'mu'you'suo'shi 鸱目有所适
'chi'qi'xing'xing 驰其形性
'chi'ru'qi'bei 齿如齐贝
'chi'wan'wu 驰万物
'chi'xiu'ye'cuo'zao 鸱鸺夜撮蚤
'chi'ya'qi'shu 鸱鸦耆鼠
'chi'yi'chun'xia 持以春夏
'chi'zhang'man'ji'yue 赤张满稽曰
'chi'zhe 叱者
'chi'zhi'zhou'zhi 驰之骤之
'chi'zi'zhi'bu'gua'yi 赤子之布寡矣
'chi'zi'zhi'lei'duo'yi 赤子之累多矣
'chong'man'tian'di 充满天地
'chong'sheng 重生
'chong'sheng'ze'li'qing 重生则利轻
'chong'wei'ren'er'fa'bu'sheng 重为任而罚不胜
'chong'yan'shi'qi 重言十七
'chou'fu'fu'hua'wei'shen'qi 臭腐复化为神奇
'chou'qi'wu'cang'yi'wei'ren'yi 愁其五藏以为仁义
'chu'bei'xi'er'bu'bei 处卑细而不惫
'chu'bing'shou'si'sang'you'huan 除病瘦死丧忧患
'chu'bu'zhi'suo'chi 处不知所持
'chu'cong'ming 黜聪明
'chu'er'de 出而得
'chu'er'jian'ke 出而见客
'chu'er'wei'lie'zi'yue 出而谓列子曰
'chu'guo'zhi'fa 楚国之法
'chu'hou 出后
'chu'hu'wu'xiang 处乎无响
'chu'jun'zhi'you 除君之忧
'chu'kuang'jie'yu'you'qi'men'yue 楚狂接舆游其门曰
'chu'men'shang'che 出门上车
'chu'nu'bu'nu 出怒不怒
'chu'ran'wei'jie 怵然为戒
'chu'ri'wu'sui 除日无岁
'chu'ru'liu 出入六
'chu'ru'wu'pang 出入无旁
'chu'shi'bu'bian 处势不便
'chu'ti'zhi'kong 怵惕之恐
'chu'tiao'liang'hu'jing'gan'zhi'shang 出跳梁乎井干之上
'chu'wang'shang'zhi 楚王觞之
'chu'wang'shi'dai'fu'er'ren'wang'xian'yan 楚王使大夫二人往先焉
'chu'wang'yu'fan'jun'zuo 楚王与凡君坐
'chu'wang'zuo'you'yue 楚王左右曰
'chu'wei'wu'wei 出为无为
'chu'wu'ben 出无本
'chu'xian'kuang 处闲旷
'chu'yi 处矣
'chu'yu'dao'er'bu'mou 出于道而不谋
'chu'yu'lin'zhong 出于林中
'chu'yu'tian'di'zhi'jian 处于天地之间
'chu'zhao'wang'shi'guo 楚昭王失国
'chu'zhi'nan'you'ming'ling'zhe 楚之南有冥灵者
'chuan'chi'er'yang'gei 穿池而养给
'chuan'chuan'ran'jiang'si 喘喘然将死
'chuan'niu'bi 穿牛鼻
'chuan'qi'chang'qing 传其常情
'chui'guan 垂冠
'chui'jian'shou'zhe 吹剑首者
'chui'yi'shang 垂衣裳
'chun'bai'bu'bei'ze'shen'sheng'bu'ding 纯白不备则神生不定
'chun'chun'chang'chang 纯纯常常
'chun'cui'er'bu'za 纯粹而不杂
'chun'dong'er'xiang'shi'bu'yi'wei'ci 蠢动而相使不以为赐
'chun'geng'zhong 春耕种
'chun'jie'ze'chi'han 唇竭则齿寒
'chun'ju'er'gou'shi 鹑居而彀食
'chun'qiu'bu'bian 春秋不变
'chun'qiu'jing'shi'xian'wang'zhi'zhi 春秋经世先王之志
'chun'qiu'liu'jing 春秋六经
'chun'ru'ji'dan 唇如激丹
'chun'su'zhi'dao 纯素之道
'chun'xia'xian 春夏先
'chun'ye'zhe 纯也者
'chun'yu'ri'shi 春雨日时
'chuo'er'bu'xing 踔而不行
'chuo'hu'qi'sha'ye 绰乎其杀也
'ci'bi'gan'zhi'jian'pou'xin 此比干之见剖心
'ci'bi'you'yi'cai'fu 此必有异材夫
'ci'bu'huo'ming 辞不获命
'ci'bu'sheng'tian'xia'ye 此不胜天下也
'ci'bu'yi'zhi'dao'ye 此不易之道也
'ci'cai'zhi'huan'ye 此材之患也
'ci'chao'ting'zhi'shi 此朝廷之士
'ci'cheng'tian'di 此乘天地
'ci'chu'san'yan 此处三焉
'ci'cun'shen'zhi'dao'ye 此存身之道也
'ci'dao'yin'zhi'shi 此道引之士
'ci'er'shi'zhi'jie'ye 此二士之节也
'ci'er'zi'zhe 此二子者
'ci'fei'chen'zhi'suo'yi'wen'yu'tian'xia'ye 此非臣之所以闻于天下也
'ci'fei'guo'xiao'zhi'yan'ye 此非过孝之言也
'ci'fei'wu'suo'wei'dao'ye 此非吾所谓道也
'ci'fu'lu'guo'zhi'qiao'wei'ren'kong'qiu'fei'xie 此夫鲁国之巧伪人孔丘非邪
'ci'gu'yue'ren'zhi'suo'yu'de'wei'jun'ye 此固越人之所欲得为君也
'ci'gu'zhi'suo'wei'xian'jie'ye 此古之所谓县解也
'ci'gua'ren'zhi'suo'jian'zhe'ye 此寡人之所见者也
'ci'gui'zhe 此龟者
'ci'guo'bu'cai'zhi'mu'ye 此果不材之木也
'ci'he'mu'ye'zai 此何木也哉
'ci'he'niao'zai 此何鸟哉
'ci'he'zhi'jia'ye 此阖之家也
'ci'huan 此患
'ci'jian'yi'yong 此剑一用
'ci'jian'zhi'zhi'wu'qian 此剑直之无前
'ci'jian'zhi'zhi'yi'wu'qian 此剑直之亦无前
'ci'jiang'hai'zhi'shi 此江海之士
'ci'jie'jiu'qi'li 此皆就其利
'ci'jie'shun'bi'yu'sui 此皆顺比于岁
'ci'jie'wu'zhu'yi'zhi'zhi'yi 此皆巫祝以知之矣
'ci'jie'zi'mian'yi'yi'qi'de'zhe'ye 此皆自勉以役其德者也
'ci'jin'gu'fei'you'jia'ji'er'bu'rou'ye 此筋骨非有加急而不柔也
'ci'jin'yi 辞尽矣
'ci'kong'shi'zhi'suo'zhi'ye 此孔氏之所治也
'ci'lan'hu'san'wang'zhi'li'er'bu'jian'qi'huan'zhe'ye 此揽乎三王之利而不见其患者也
'ci'liu'zhe 此六者
'ci'liu'zi'zhe 此六子者
'ci'ma'zhi'zhen'xing'ye 此马之真性也
'ci'ming'shi'zhi'ke'ji 此名实之可纪
'ci'mu'yi'bu'cai'de'zhong'qi'tian'nian 此木以不材得终其天年
'ci'nai'shen'ren'zhi'suo'yi'wei'da'xiang'ye 此乃神人之所以为大祥也
'ci'neng'wei'da'yi 此能为大矣
'ci'ping'shi'zhi'shi 此平世之士
'ci'qi'bi'wan'wu'ye 此其比万物也
'ci'qi'dao'yu 此其道与
'ci'qi'guo'jiang'he'zhi'liu 此其过江河之流
'ci'qi'hai 辞其害
'ci'qi'jiao'you 辞其交游
'ci'qi'nan'zhe 此其难者
'ci'qi'si'zhi'ye 此其似之也
'ci'qi'suo'wei'ru'xu'zhe'ye 此其所谓濡需者也
'ci'qi'suo'yi'lun'chang'sheng'an'ti'le'yi'zhi'dao 此其所以论长生安体乐意之道
'ci'qi'zi'duo'ye 此其自多也
'ci'ren'yi'zhi'qing'ye 此仁义之情也
'ci'ren'zhi'xing'ye 此人之性也
'ci'san'yan'zhe 此三言者
'ci'shan'gu'zhi'shi 此山谷之士
'ci'shang'de'ye 此上德也
'ci'shang'shi'zhi'suo'chuan 此上世之所传
'ci'shen'gui'ye 此神龟也
'ci'shen'nong 此神农
'ci'sheng'ren'cai'shi'zhi'xing 此圣人才士之行
'ci'shi'qi'chang'ran'ye 此失其常然也
'ci'shi'su'zhi'suo'wei'zhi'ye 此世俗之所谓知也
'ci'shi'zhi'you'ye 此势之有也
'ci'shu'ren'zhi'jian 此庶人之剑
'ci'si'liu'zhe'bu'dang'xiong'zhong'ze'zheng 此四六者不荡胸中则正
'ci'sui'mian'hu'xing 此虽免乎行
'ci'suo'wei'fei'zao'shi'ye 此所谓非遭时也
'ci'suo'wei'ran'yu'ran'hu 此所谓然与然乎
'ci'suo'you'yi 此所游已
'ci'tian'di'zhi'dao 此天地之道
'ci'tian'di'zhi'ping'er'dao'de'zhi'zhi'ye 此天地之平而道德之质也
'ci'tian'zi'zhi'jian'ye 此天子之剑也
'ci'wang'zhi'ji'ye 此王之基也
'ci'wei'cheng'wang 此谓诚忘
'ci'wei'de'ren'zhi'rong 此谓德人之容
'ci'wei'shang'huang 此谓上皇
'ci'wei'wang'de'zhi'ren 此谓王德之人
'ci'wei'zhen'ren 此谓真人
'ci'wei'zuo'wang 此谓坐忘
'ci'wu'fu'mu'zhi'yi'de'ye 此吾父母之遗德也
'ci'wu'mo'zhe 此五末者
'ci'wu'suo'yi'bu'shou'ye 此吾所以不受也
'ci'wu'suo'yi'dao'zhi'ye 此吾所以蹈之也
'ci'wu'suo'yi'yong'xin'yi 此吾所以用心已
'ci'wu'suo'yi'zhi'dao'zhi'shu'ye 此吾所以知道之数也
'ci'wu'zhe 此五者
'ci'wu'zhi'suo'you 此物之所有
'ci'xia'de'ye 此下德也
'ci'xia'zhi'suo'yi'shi'shang 此下之所以事上
'ci'xiao'da'zhi'bian'ye 此小大之辩也
'ci'xiao'nian'ye 此小年也
'ci'xiong'pian'he 雌雄片合
'ci'xu'mi'zhi'suo'ku'ye 此胥靡之所苦也
'ci'yan'he'zhi'jia'yu 此颜阖之家与
'ci'yang'shen'zhi'dao'ye 此养神之道也
'ci'yi'dong'hai'zhi'da'le'ye 此亦东海之大乐也
'ci'yi'fei'zhi'zhi'ye 此亦飞之至也
'ci'yi'ji'yang'yang'niao'ye 此以己养养鸟也
'ci'yi'ke'de'er'guan'hu 赐亦可得而观乎
'ci'yi'qi'neng'ku'qi'sheng'zhe'ye 此以其能苦其生者也
'ci'yi'ren'zhi'guo'jiao'xing'ye 此以人之国侥幸也
'ci'yi'sheng'cao 茨以生草
'ci'yi'sheng'ren'zhi'guo'ye 此亦圣人之过也
'ci'yi'tian'shu'ye 此以天属也
'ci'yi'yi'shi'fei 此亦一是非
'ci'yi'yu'jin 此以域进
'ci'yi'yu'tui 此以域退
'ci'yi'zhi'suo'zhi 此议之所止
'ci'yi'zhi'tian'xia'zhe'zhi'guo'ye 此亦治天下者之过也
'ci'yi'zhi'yi 此亦至矣
'ci'ying'yu'xia'feng'er'feng'hua 雌应于下风而风化
'ci'you'dao'zhe'zhi'suo'yi'yi'hu'su'zhe'ye 此有道者之所以异乎俗者也
'ci'you'fei'qi'suo'yi'ye 此又非其所以也
'ci'you'zhi'zhi'zhi'ju 此有知治之具
'ci'yu'zhai'ye 此予宅也
'ci'yue 辞曰
'ci'zhi'de'zhi'long'ye 此至德之隆也
'ci'zhi'qian'jin 赐之千金
'ci'zhi'wei 此之谓
'ci'zhi'wei'ba'de 此之谓八德
'ci'zhi'wei'bao'guang 此之谓葆光
'ci'zhi'wei'ben'gen 此之谓本根
'ci'zhi'wei'bian'shi 此之谓辩士
'ci'zhi'wei'bu'yan'zhi'bian 此之谓不言之辩
'ci'zhi'wei'da'ben'da'zong 此之谓大本大宗
'ci'zhi'wei'da'de 此之谓大得
'ci'zhi'wei'da'ping 此之谓大平
'ci'zhi'wei'da'ren 此之谓大人
'ci'zhi'wei'hun'ming 此之谓混溟
'ci'zhi'wei'qiu'li'zhi'yan 此之谓丘里之言
'ci'zhi'wei'sheng'zhi 此之谓圣治
'ci'zhi'wei'tian'fu 此之谓天府
'ci'zhi'wei'tian'le 此之谓天乐
'ci'zhi'wei'wu'hua 此之谓物化
'ci'zhi'wei'yi'ji'yang'yang'niao'ye 此之谓以己养养鸟也
'ci'zhi'wei'zhi'yi 此之谓至一
'ci'zhi'wei'zhong'shang 此之谓重伤
'ci'zhong'de'ye 此中德也
'ci'zhong'li'dao'zhi'er'shi'bu'ke'jin'zhe 此重利盗跖而使不可禁者
'ci'zhong'ren'zhi'suo'tong'lun'ye 此众人之所同论也
'ci'zhou'qian'jin 赐周千金
'ci'zhu'hou'zhi'jian'ye 此诸侯之剑也
'cong'jian'bai'sui'du'lou 从见百岁髑髅
'cong'ming'rui'zhi 聪明睿知
'cong'ming'shuai'yi 聪明衰矣
'cong'qi'ling 从其令
'cong'qi'qiang'liang 从其强梁
'cong'ran'yi'tian'di'wei'chun'qiu 从然以天地为春秋
'cong'rong'wu'wei'er'wan'wu'chui'lei'yan 从容无为而万物炊累焉
'cong'rong'yi'ruo'long 从容一若龙
'cong'shi'er'bu'you 从师而不囿
'cong'shui'zhi'dao'er'bu'wei'si'yan 从水之道而不为私焉
'cong'shuo'ze'yi'jin'ban 从说则以金板
'cong'tian'zhi'li 从天之理
'cong'zhi'dan'xue 从之丹穴
'cong'zhi'you'zhe'yu'fu'zi'zhong'fen'lu 从之游者与夫子中分鲁
'cong'zhi'you'zhe'yu'zhong'ni'xiang'ruo 从之游者与仲尼相若
'cu'er'bu'ke'bu'chen'zhe 粗而不可不陈者
'cu'ran'gai'rong'er'wen'yue 蹙然改容而问曰
'cu'ran'zheng'zuo'yue 蹴然正坐曰
'cuan'wu'yu'qing'zhi'ren 爨无欲清之人
'cui'cui'hu'qi'bu'de'yi'ye 崔崔乎其不得已也
'cui'hu'mang'hu 萃乎芒乎
'cui'qu'wen'yu'lao'dan'yue 崔瞿问于老聃曰
'cui'zhi'zhi'ye 粹之至也
'cun'ke'ye 存可也
'cun'wang 存亡
'cun'xing'qiong'sheng 存形穷生
'cuo'bei'shui'qi'zhou'shang 措杯水其肘上
'cuo'zhen'zhi 挫针治
'da'bai'ruo'ru 大白若辱
'da'bai'yue'ren 大败越人
'da'bian'bu'yan 大辩不言
'da'dao'bu'zhi 大盗不止
'da'dao'nai'zhi 大盗乃止
'da'dao'zhe'wei'zhu'hou 大盗者为诸侯
'da'dao'zhi'sai 达道之塞
'da'dao'zhi'xu'ye 大道之序也
'da'de'bu'tong 大德不同
'da'ding'chi'zhi 大定持之
'da'duo'zheng'fa'er'bu'die 大多政法而不谍
'da'er'bu'duo 大而不多
'da'er'wu'dang 大而无当
'da'er'wu'yong 大而无用
'da'fang'ti'zhi 大方体之
'da'gong'ren'wang'diao'zhi 大公任往吊之
'da'gong'tiao'yue 大公调曰
'da'guo'bu'gan'zhu 大国不敢诛
'da'guo'shou'cheng 大国守城
'da'han'jin'shi'liu 大旱金石流
'da'huo'yi'xing 大惑易性
'da'huo'zhe 大惑者
'da'jiang'qu'fa'yan 大匠取法焉
'da'jin'ji'tian'er'bu'ni 大浸稽天而不溺
'da'jun'yuan'zhi 大均缘之
'da'kong'man'man 大恐缦缦
'da'lian'bu'qian 大廉不谦
'da'lin'qiu'shan'zhi'shan'yu'ren'ye 大林丘山之善于人也
'da'luan'zhi'ben 大乱之本
'da'ma'yue 大马曰
'da'ma'zhi'chui'gou'zhe 大马之捶钩者
'da'man 大谩
'da'ming'zhi'qing'zhe 达命之情者
'da'mu'bai'wei'zhi'qiao'xue 大木百围之窍穴
'da'mu'shi'zhi 大目视之
'da'nu'xie 大怒邪
'da'qi'nu'xin 达其怒心
'da'qiao'ruo'zhuo 大巧若拙
'da'qin'ze'yi'yi 大亲则已矣
'da'ren'bu'ci 大人不赐
'da'ren'bu'ren 大仁不仁
'da'ren'he'bing'er'wei'gong 大人合并而为公
'da'ren'wu'ji 大人无己
'da'ren'ye 大人也
'da'ren'zhi'cheng 大人之诚
'da'ren'zhi'jiao 大人之教
'da'ru'lu'chuan'yue 大儒胪传曰
'da'sheng'bu'ru'yu'li'er 大声不入于里耳
'da'sheng'bu'zuo 大圣不作
'da'sheng'zhi'qing'zhe 达生之情者
'da'sheng'zhi'zhi'tian'xia'ye 大圣之治天下也
'da'ting'shi 大庭氏
'da'tong'er'wu'ji 大同而无己
'da'tong'hu 大同乎
'da'wang 大王
'da'wang'an'zuo'ding'qi 大王安坐定气
'da'wang'fan'guo 大王反国
'da'wang'fu'yue 大王父曰
'da'wang'shi'guo 大王失国
'da'wei'nan'er'zui'bu'gan 大为难而罪不敢
'da'xiao 大小
'da'xin'ji'zhi 大信稽之
'da'yan'yan'yan 大言炎炎
'da'yan'yi'ran 大言亦然
'da'ye'bi'yi'wei'bu'xiang'zhi'jin 大冶必以为不祥之金
'da'yi'tong'zhi 大一通之
'da'yin'jie'zhi 大阴解之
'da'ying'shuo'qi'huan'gong 大瘿说齐桓公
'da'yong'bu'zhi 大勇不忮
'da'you'jing'ting 大有径庭
'da'yu'li'zhe'bi'ming'yu'quan 达于理者必明于权
'da'yu'qing'er'sui'yu'ming'ye 达于情而遂于命也
'da'yu'zhe 大愚者
'da'yue 大曰
'da'zai'yue 大宰曰
'da'ze'fen'er'bu'neng're 大泽焚而不能热
'da'zhi 达之
'da'zhi'ru'yan'er'bu'zhi'qi'suo'qiong 大知入焉而不知其所穷
'da'zhi'xian'xian 大知闲闲
'da'zhi'yin'ye 大之殷也
'da'zhi'yu'bu'ke'wei 大至于不可围
'da'zhi'zhe 大枝折
'da'zhi'zhi'ye 大之至也
'dai'de'xia'shuai 逮德下衰
'dai'er'yi'yi 殆而已矣
'dai'fu'ze'yi'shen'xun'jia 大夫则以身殉家
'dai'gu'dun 怠故遁
'dai'hu 殆乎
'dai'jin'ren'yue 戴晋人曰
'dai'sheng'yue'jiao'qi'er'gu'zhe 待绳约胶漆而固者
'dai'shi'er'hou'cheng'gong 待是而后成功
'dai'si'niu'zhi'xie 带死牛之胁
'dai'yi 殆已
'dai'yi'chang'shan 带以常山
'dai'zai 殆哉
'dai'zhi'cheng'ti 待之成体
'dai'zhi'cheng'ye'bu'gei'gai 殆之成也不给改
'dai'zhi'shi'ye 带之适也
'dan'can'tian'xia'zhi'sheng'fa 殚残天下之圣法
'dan'dan'er'diao 旦旦而钓
'dan'dan'er'jing'hu 澹澹而静乎
'dan'er'ku'qi 旦而哭泣
'dan'er'tian'lie 旦而田猎
'dan'er'wu'wei 淡而无为
'dan'he'qian'li 惮赫千里
'dan'mu'de'ci 旦暮得此
'dan'ran'wu'ji'er'zhong'mei'cong'zhi 淡然无极而众美从之
'dan'xin'xiang'ji 诞信相讥
'dan'zhi'zhi'ye 淡之至也
'dang'dang'hu 荡荡乎
'dang'dang'mo'mo 荡荡默默
'dang'er'bu'zhi'yi'wei'xin 当而不知以为信
'dang'er'bu'zi'de'ye 当而不自得也
'dang'er'shi'shui 荡而失水
'dang'jie 当桀
'dang'qi'shi 当其时
'dang'shi'ming'er'da'xing'hu'tian'xia 当时命而大行乎天下
'dang'shi'shi 当是时
'dang'shi'shi'ye 当是时也
'dang'wen'zhi 荡闻之
'dang'wo'min'hu 当我缗乎
'dang'yao 当尧
'dao'bu'dang'ming 道不当名
'dao'bu'ke'jian 道不可见
'dao'bu'ke'wen 道不可闻
