'a'ba'duo'na'duo 阿巴多纳多
'ai'pa'lai 埃帕莱
'ai'pi'na'le 埃皮纳勒
'ai'qiao'wa'fu'ni 埃乔瓦夫尼
'ai'qie'bei'li'ya 埃切贝里亚
'ai'qie'ji'lai 埃切吉莱
'ai'rui'men'ke 埃瑞门科
'ai'sa'bu'er 埃萨布尔
'ai'sa'ha'si 埃萨哈斯
'ai'se'er'ya'ge'mu'er 埃瑟尔雅格穆尔
'ai'se'mu'yi'er'ma'zi 埃瑟姆伊尔马兹
'ai'sha'yun 艾沙云
'ai'shi'bo'en 埃施波恩
'ai'shu'li'gao'er 艾殊利高尔
'ai'si'bi'yue 埃斯比约
'ai'si'bo'xi'tuo 埃斯波西托
'ai'si'cha 艾斯查
'ai'si'ka'er'de'si'guo'ji 埃斯卡尔德斯国际
'ai'si'ke'luo 埃斯克罗
'ai'si'ke'sen 埃斯科森
'ai'si'ku'de 埃斯库德
'ai'si'mo'ci 艾思莫茨
'ai'si'pi'niu 埃斯皮纽
'ai'si'pi'nuo'sa 埃斯皮诺萨
'ai'si'te'ban 埃斯特班
'ai'si'te'ha'de 埃斯特哈德
'ai'si'te'lei'ma'du'la 埃斯特雷马杜拉
'ai'si'te'li'la 埃斯特里拉
'ai'si'te'li'ya'xin'xing 埃斯特里亚新星
'ai'si'te'wan 埃斯特万
'ai'si'te'wei'si 埃斯特维斯
'ai'si'tuo'li'er 埃斯托里尔
'ai'si'tuo'ya'nuo'fu 埃斯托亚诺夫
'ai'suo'la'li'li 艾索拉利里
'ai'ta'da'mu'en 艾塔达姆恩
'ai'ta'ke'a'ke 艾塔克阿克
'ai'te'lin'dun 埃特林顿
'ai'te'ma'di 埃特马迪
'ai'tuo 艾托
'ai'tuo'ao 埃托奥
'ai'tuo'ao'xi'ao 埃托奥西奥
'ai'tuo'er 艾托尔
'ai'tuo'er'ao'xi'ao 艾托尔奥西奥
'ai'tuo'la'mo'si 埃托拉莫斯
'ai'wa'de'li'ning 埃瓦德利宁
'ai'wa'er'duo 埃瓦尔多
'ai'wan'de'luo'bao'li'si'ta 埃万德罗保利斯塔
'ai'wan'de'luo'long'ka'duo 埃万德罗隆卡多
'ai'wei'dun 埃韦顿
'ai'wei'dun'lai'ang'de'luo 埃韦顿莱昂德罗
'ai'wei'er'si 埃维尔斯
'ai'wei'la 埃韦拉
'ai'wei'sen 埃维森
'ai'xi'ao'gu 埃希奥古
'ai'xi'na 艾希纳
'ai'xin 艾辛
'ai'xin 埃辛
'ai'ya'li 艾亚里
'ai'yi'deng'mai'ke'jie'di 埃伊登麦克杰迪
'ai'yin'huo'en 埃因霍恩
'ai'yin'huo'wen 埃因霍温
'ai'ze'kui'ya'si 埃泽奎亚斯
'ai'zhi'na'si 艾治拿斯
'an'bu'luo'sai 安布罗塞
'an'bu'luo'xi'ni 安布罗西尼
'an'cha'luo'di 安察洛堤
'an'de'er'sen 安德尔森
'an'de'la'de 安德拉德
'an'de'la'si'xi'meng 安德拉斯西蒙
'an'de'lai'he'te 安德莱赫特
'an'de'lai'he'te'dui 安德莱赫特队
'an'de'lei'ao'li 安德雷奥利
'an'de'lei'ao'ye'er 安德雷奥耶尔
'an'de'lei'ba'xi'ya 安德雷巴希亚
'an'de'lei'han'sen 安德雷汉森
'an'de'lei'ji'ni'ao 安德雷济尼奥
'an'de'lei'ji'ya'long'ba'duo 安德雷基亚隆巴多
'an'de'lei'ka'si'te'luo 安德雷卡斯特罗
'an'de'lei'ke'da 安德雷科达
'an'de'lei'ke'lu'er 安德雷克鲁尔
'an'de'lei'la 安德雷拉
'an'de'lei'la'pa'luo'la 安德雷拉帕罗拉
'an'de'lei'li'ma 安德雷利马
'an'de'lei'lu'yi'zi 安德雷路易兹
'an'de'lei'ma'kui'si 安德雷马奎斯
'an'de'lei'mi'ya'tuo'wei'qi 安德雷米亚托维奇
'an'de'lei'mo'li'zi 安德雷莫里兹
'an'de'lei'ou'li 安德雷欧利
'an'de'lei'pan'sai'la 安德雷潘塞拉
'an'de'lei'ping'tuo 安德雷平托
'an'de'lei'si'ao'te'er 安德雷斯奥特尔
'an'de'lei'su'xi 安德雷苏西
'an'de'li'sen 安德里森
'an'de'li'ya 安德里亚
'an'de'lie'duo'sai'na 安德烈多塞纳
'an'de'lie'ka'bo'ni 安德烈卡波尼
'an'de'lie'kan'pa'ni'ao'luo 安德烈坎帕尼奥洛
'an'de'lie'ke'su 安德烈科苏
'an'de'lie'la'ji 安德烈拉吉
'an'de'lie'li'ma 安德烈利马
'an'de'lie'luo'xi 安德列罗西
'an'de'lie'si 安德列斯
'an'de'lie'tuo'mu'si 安德列托姆斯
'an'de'lie'wo'si 安德烈沃斯
'an'de'lie'ya'sen 安德烈亚森
'an'de'lie'ya'si 安德列亚斯
'an'de'lie'ya'si'bu'lei'mo 安德列亚斯布雷默
'an'de'lu'tai'le 安德鲁泰勒
'an'de'lu'ya'ge'bu'sen 安德鲁雅各布森
'an'de'sen'bo'er'jia 安德森波尔加
'an'de'sen'li'ma 安德森利马
'an'de'si'ge'bo 安德斯戈博
'an'de'si'he'er'man'sen 安德斯赫尔曼森
'an'de'si'mo'sai'jia'de 安德斯莫塞加德
'an'de'si'nuo'li'si'te'lan'de 安德斯诺里斯特兰德
'an'de'si'xi'er 安德斯希尔
'an'di'ao'bu'lai'en 安迪奥布赖恩
'an'di'ao'bu'lei'en 安迪奥布雷恩
'an'di'ke'er 安迪科尔
'an'di'lei'de 安迪雷德
'an'di'mu'le 安迪穆勒
'an'di'tai'le 安迪泰勒
'an'di'tuo'de 安迪托德
'an'di'yue'han'sen 安迪约翰森
'an'dong'nei'li 安东内利
'an'dong'ni'ao'ba'la'gen 安东尼奥巴拉根
'an'dong'ni'ao'bu'xie 安东尼奥布谢
'an'dong'ni'ao'da'ge'si'di'nuo 安东尼奥达戈斯蒂诺
'an'dong'ni'ao'da'xi'er'wa 安东尼奥达席尔瓦
'an'dong'ni'ao'di'na'ta'lai 安东尼奥迪纳塔莱
'an'dong'ni'ao'fei'li'pi'ni 安东尼奥菲利皮尼
'an'dong'ni'ao'lan'jie'la 安东尼奥兰杰拉
'an'dong'ni'ao'li 安东尼奥利
'an'dong'ni'ao'li'zuo 安东尼奥里佐
'an'dong'ni'ao'luo'pei'si 安东尼奥洛佩斯
'an'dong'ni'ao'mi'lan'te 安东尼奥米兰特
'an'dong'ni'ao'tuo'ma'si 安东尼奥托马斯
'an'dong'ni'da 安东尼达
'an'dong'ni'da'xi'er'wa 安东尼达席尔瓦
'an'dong'ni'le'ta'le'ke 安东尼勒塔勒克
'an'dong'ni'lei'wei'ye 安东尼雷维耶
'an'dong'ni'ni 安东尼尼
'an'dun'fei'di'nan'de 安顿费迪南德
'an'ge'luo'fu 安格洛夫
'an'gu'luo 安古洛
'an'he'er 安赫尔
'an'he'er'di'ya'zi 安赫尔迪亚兹
'an'ji'luo 安吉洛
'an'ji'luo'pa'long'bo 安吉洛帕隆博
'an'jie'luo'fu 安杰洛夫
'an'jie'yi'si'te'lei'lao 安杰依斯特雷劳
'an'ka'la'gu'ku 安卡拉古库
'an'ka'la'jing'ji 安卡拉竞技
'an'ka'la'ti'yu 安卡拉体育
'an'ka'shen'ti'yu 安卡什体育
'an'ka'tan'bei'er'sen'ji'ta 安卡坦贝尔森吉塔
'an'ke'yan'sen 安科延森
'an'qi'ao'la'wa'nuo 安齐奥拉瓦诺
'an'qie'luo'di 安切洛蒂
'an'sai'er'mo 安塞尔莫
'an'suo'te'ji 安索特吉
'an'tu'nei'si 安图内斯
'an'tuo'yi'nei'ku'li'er 安托伊内库里尔
'an'zhen'huan 安贞焕
'ao'ba'mei'yang 奥巴梅扬
'ao'ba'mei'yang 奥巴梅杨
'ao'bei'tang 奥贝唐
'ao'bi'mi'ke'er 奥比米科尔
'ao'bi'na 奥比纳
'ao'bin'na 奥宾纳
'ao'bo'di'shen'a'ta 奥博迪什阿塔
'ao'bo'duo 奥波多
'ao'bo'er'niu'lan'de 奥伯尔纽兰德
'ao'bu'la'ni'ya'ke 奥布拉尼亚克
'ao'bu'lai'en 奥布莱恩
'ao'bu'lei'en 奥布雷恩
'ao'da'ba'si 奥达巴斯
'ao'da'li'ya'lian'sai 澳大利亚联赛
'ao'da'li'ya'ti'yu'xue'hui 澳大利亚体育学会
'ao'dai'mu'wen'ji 奥代姆温吉
'ao'de'ge'lin'lan 奥德格林兰
'ao'de'la'wu'zi'si'la'wo 奥德拉乌兹斯拉沃
'ao'de'na'er'de 奥德纳尔德
'ao'di'li'ken'dun 奥地利肯顿
'ao'di'li'lian'sai 奥地利联赛
'ao'di'li'lu'si'te'nao 奥地利鲁斯特瑙
'ao'di'li'wei'ye'na 奥地利维也纳
'ao'di'wei'la'shen 奥迪韦拉什
'ao'di'ya'mu'bo 奥迪亚姆博
'ao'dong'ke 奥东科
'ao'dong'ke'er 奥东克尔
'ao'duo 奥多
'ao'duo'nuo'wan 奥多诺万
'ao'er 奥尔
'ao'er'ba'sa'nuo'an'quan 奥尔巴萨诺安全
'ao'er'bei'dan 奥尔贝丹
'ao'er'bi'ya 奥尔比亚
'ao'er'de'han'mu 奥尔德汉姆
'ao'er'ding 奥尔丁
'ao'er'duo'nei'si 奥尔多内斯
'ao'er'gai'ke'si'kun 奥尔盖科斯昆
'ao'er'ge'na'te 奥尔格纳特
'ao'er'han'a'ke 奥尔罕阿克
'ao'er'han'a'yi'duo'du 奥尔罕阿伊多杜
'ao'er'han'sa'mu 奥尔罕萨姆
'ao'er'kun'ba'er 奥尔昆巴尔
'ao'er'mo'si 奥尔默斯
'ao'er'sen 奥尔森
'ao'er'te'man 奥尔特曼
'ao'fen'ba'he'ti'qiu'zhe 奥芬巴赫踢球者
'ao'fu'la'ni 奥夫拉尼
'ao'fu'lei'di 奥弗雷迪
'ao'fu'ta'ti'yu 奥弗塔体育
'ao'ge'bei'qie 奥格贝切
'ao'ge'lai'te 奥格莱特
'ao'ge'si'bao 奥格斯堡
'ao'gen'ta'le 奥根塔勒
'ao'gu'si'di'en 奥古斯蒂恩
'ao'gu'zan'ba'ha'di'er 奥古赞巴哈迪尔
'ao'gu'zi'sa'ban'kai 奥古兹萨班凯
'ao'he'si 奥赫斯
'ao'hu'si'ti'yu 奥胡斯体育
'ao'ji'jia'ao'fo'ai 奥吉贾奥佛埃
'ao'ji'jia'ao'fu 奥吉贾奥福
'ao'jia'la'lu 奥加拉鲁
'ao'jie'mu'chu'ke 奥杰姆楚克
'ao'ka'ka 奥卡卡
'ao'kan 奥坎
'ao'kan'ao'zi'tu'er'ke 奥坎奥兹图尔克
'ao'kan'ke'ke 奥坎科克
'ao'ke'di'ka'na'fu'tuo'wei'ke 奥科蒂卡纳福托维科
'ao'ke'du'wa 奥科杜瓦
'ao'ke'long'ke'wo 奥科隆克沃
'ao'ke'long'ke'wo 奥科隆科沃
'ao'ke'tu'bei'ren 奥克图贝人
'ao'la'fu'lin'deng'bo'ge 奥拉夫林登博格
'ao'la'huo'wa'ci 奥拉霍瓦茨
'ao'lai'ge 奥莱格
'ao'lai'han'sen 奥莱汉森
'ao'lai'ke'sa'de'li'ya 奥莱科萨德里亚
'ao'lai'ni'ke 奥莱尼克
'ao'lai'tang'mu'sen 奥莱汤姆森
'ao'lan'duo 奥兰多
'ao'lan'duo'a'jia'ke'si 奥兰多阿贾克斯
'ao'lan'duo'hai'dao 奥兰多海盗
'ao'lan'duo'luo'xi 奥兰多罗西
'ao'lan'duo'ni 奥兰多尼
'ao'le'gu'er 奥勒古尔
'ao'le'mu'bu 奥勒姆布
'ao'le'sa'bai'yi'ni'er'sen 奥勒萨拜伊尼尔森
'ao'lei'li'ao 奥雷里奥
'ao'lei'ni'ke 奥雷尼克
'ao'lei'si'te 奥雷斯特
'ao'lei'si'te'si 奥雷斯特斯
'ao'li'ao'er 奥里奥尔
'ao'li'fu'ce'xi 奥利弗策希
'ao'li'gu'ya 奥利古亚
'ao'li'qi 奥利奇
'ao'li'sa'de'bei 奥利萨德贝
'ao'li'sai'he 奥利塞赫
'ao'li'wei'er'de'si'cha'te 奥利维尔德斯查特
'ao'li'wei'er'suo'lin 奥利维尔索林
'ao'li'wei'la 奥里韦拉
'ao'li'wei'la 奥利维拉
'ao'li'wei'la'bai'luo 奥利维拉拜罗
'ao'li'wei'la'mo'si'ka'wei'de 奥利维拉莫斯卡维德
'ao'lie'ge'ya'ci'qiao'ke 奥列格亚茨乔克
'ao'lin'pi'ke'sha'le'luo'wa 奥林匹克沙勒罗瓦
'ao'lu'fa'de 奥卢法德
'ao'lu'fei'mi 奥卢费米
'ao'lu'ma 奥鲁马
'ao'lun'sai 奥伦塞
'ao'lun'sai'peng'te 奥伦塞彭特
'ao'luo'lun'lai'ke 奥洛伦莱科
'ao'luo'ta'wa 奥罗塔瓦
'ao'ma'er'en'di'ya'ye 奥马尔恩迪亚耶
'ao'ma'er'mi'la'nei'tuo 奥马尔米拉内托
'ao'mi'ni'wo'er'de 奥米尼沃尔德
'ao'mo'er'ai'sang 奥默尔艾桑
'ao'mo'er'e'er'duo'gan 奥默尔厄尔多甘
'ao'mo'er'gu'en'duo'si'tu 奥默尔古恩多斯图
'ao'mo'er'ha'xi'sa'li'huo'ge'lu 奥默尔哈西萨里霍格鲁
'ao'mo'er'ka'pu'lan 奥默尔卡普兰
'ao'mo'er'li'zha 奥默尔里扎
'ao'mo'zu'xi 奥莫祖西
'ao'na'ke 奥纳克
'ao'na'li'ao 奥拿里奥
'ao'ni'an'ge 奥尼安格
'ao'nu'er'a'ka'er 奥努尔阿卡尔
'ao'nu'er'ai'di'nei'er 奥努尔艾迪内尔
'ao'nu'er'ji'fu'la'ke 奥努尔基弗拉克
'ao'nu'er'tong'sai'er 奥努尔通塞尔
'ao'nuo'ha 奥诺哈
'ao'pei'er 奥佩尔
'ao'pu'da'mu 奥普达姆
'ao'pu'luo'li'ao 奥普罗里奥
'ao'sa'la 奥萨拉
'ao'sa'su'na 奥萨苏纳
'ao'sha'xin'na 奥沙辛拿
'ao'si'bo'er'ni 奥斯伯尔尼
'ao'si'di'ya 奥斯蒂亚
'ao'si'ji'te'si 奥斯基特斯
'ao'si'ka'a'er'wa'lei'si 奥斯卡阿尔瓦雷斯
'ao'si'ka'ba'lei'luo 奥斯卡巴雷罗
'ao'si'ka'di'ya'zi 奥斯卡迪亚兹
'ao'si'ka'ke'er'duo'ba 奥斯卡科尔多巴
'ao'si'ka'lei'ye'si 奥斯卡雷耶斯
'ao'si'ka'luo'pei'si 奥斯卡洛佩斯
'ao'si'ka'mei'di'na 奥斯卡梅蒂纳
'ao'si'ka'sai'la'nuo 奥斯卡塞拉诺
'ao'si'ka'sang'qie'si 奥斯卡桑切斯
'ao'si'ka'xi'ai'er'wa 奥斯卡希埃尔瓦
'ao'si'na'bu'lv'ke 奥斯纳布吕克
'ao'si'te'huo'zi 奥斯特霍兹
'ao'si'te'li'qi 奥斯特里奇
'ao'si'te'lun'de 奥斯特伦德
'ao'si'tuo'jie'qi 奥斯托杰奇
'ao'si'tuo'pu 奥斯托普
'ao'si'wa'er'duo 奥斯瓦尔多
'ao'suo'li'ao 奥索里奥
'ao'te'lu'er 奥特鲁尔
'ao'ting'tuo'pu 奥汀托普
'ao'tuo'a'duo 奥托阿多
'ao'wa'lun'bo 奥瓦伦波
'ao'wei'er'jia'de 奥维尔加德
'ao'wei'er'mei'lei 奥维尔梅雷
'ao'wei'gu'er 奥维古尔
'ao'wei'ni'ya 奥维尼亚
'ao'wei'ta'na 奥威塔纳
'ao'wei'ye'duo'lian 奥维耶多联
'ao'wo'mo'ye'la 奥沃莫耶拉
'ao'wu'su 奥乌苏
'ao'wu'su'a'bei'ye 奥乌苏阿贝耶
'ao'xi'jin'si 奥希金斯
'ao'xi'la'ku'zha 奥锡拉库扎
'ao'xi'ye'ke 奥西耶克
'ao'xie 奥谢
'ao'ye'er 奥耶尔
'ao'ze'er'fa'di'he 奥泽尔法蒂赫
'ao'ze'er'hu'er'ma'xi 奥泽尔胡尔马西
'ao'zi'bei'ke'ba'li'si 奥兹贝克巴里斯
'ao'zi'deng'ang'gu'en 奥兹登昂古恩
'ao'zi'gu'er'ao'ka'er 奥兹古尔奥卡尔
'ao'zi'gu'er'bai'er 奥兹古尔拜尔
'ao'zi'gu'er'kan 奥兹古尔坎
'ao'zi'gu'er'te'jin 奥兹古尔特金
'ao'zi'gu'er'yi'er'di'li'mu 奥兹古尔伊尔迪里姆
'ao'zi'men'a'ti'la 奥兹门阿提拉
'ao'zi'tu'er'ke 奥兹图尔克
'ao'zi'tu'er'ke'sai'er'da'er 奥兹图尔克塞尔达尔
'ao'zuo'ke'wo 奥佐克沃
'ba'ba'di'ya'wa'la 巴巴迪亚瓦拉
'ba'ba'ka'gu'ye 巴巴卡古耶
'ba'ba'kan'wo'er'kan 巴巴坎沃尔坎
'ba'ba'lei'ci 巴巴雷茨
'ba'bei'er 巴贝尔
'ba'bei'er'si'bao 巴贝尔斯堡
'ba'bei'er'si'bo'ge 巴贝尔斯伯格
'ba'bi'qi 巴比奇
'ba'bo'luo 巴勃罗
'ba'bo'luo'a'er'wa'lei'si 巴勃罗阿尔瓦雷斯
'ba'bo'luo'a'er'wa'lei'zi 巴勃罗阿尔瓦雷兹
'ba'bo'luo'a'mo 巴勃罗阿莫
'ba'bo'luo'jia'xi'ya 巴勃罗加西亚
'ba'bo'luo'ka'sai'lei'si 巴勃罗卡塞雷斯
'ba'bo'luo'ka'si'te'luo 巴勃罗卡斯特罗
'ba'bo'luo'lei'dong'duo 巴勃罗雷东多
'ba'bo'si 巴博斯
'ba'bu 巴布
'ba'da'huo'si 巴达霍斯
'ba'da'luo'na 巴达洛纳
'ba'de 巴德
'ba'di'si'da 巴迪斯达
'ba'di'si'ta 巴蒂斯塔
'ba'di'si'tu'ta 巴蒂斯图塔
'ba'di'ya'ni 巴迪亚尼
'ba'dong'sai'men 巴东赛门
'ba'du'ke'lei 巴杜科雷
'ba'en'si 巴恩斯
'ba'en'si'li 巴恩斯利
'ba'er'ba'si'te'luo 巴尔巴斯特罗
'ba'er'bi 巴尔比
'ba'er'bo 巴尔伯
'ba'er'bo'sa 巴尔博萨
'ba'er'bo'ya 巴尔博亚
'ba'er'bu'ai'na 巴尔布埃纳
'ba'er'ce'si 巴尔策斯
'ba'er'da'qi'nuo 巴尔达奇诺
'ba'er'de 巴尔德
'ba'er'de'si 巴尔德斯
'ba'er'di'ao'lin'pi'ke 巴尔蒂奥林匹克
'ba'er'di'ni 巴尔迪尼
'ba'er'di'wei'ya 巴尔迪维亚
'ba'er'duo 巴尔多
'ba'er'ke'shi'tai'yin 巴尔科施泰因
'ba'er'meng'te 巴尔蒙特
'ba'er'nei'si 巴尔内斯
'ba'er'nei'ta 巴尔内塔
'ba'er'te'er'si 巴尔特尔斯
'ba'er'wei'er 巴尔韦尔
'ba'er'zha'lei'di 巴尔扎雷蒂
'ba'er'zi'li 巴尔兹利
'ba'fen'zhi'yi'jue'sai 八分之一决赛
'ba'fu'luo'de 巴夫洛德
'ba'ge'la'bu'lu'ri 巴格拉布鲁日
'ba'ge'te 巴格特
'ba'he'lin'gen 巴赫林根
'ba'ji'er'xi'ao'ge'lu 巴基尔西奥格鲁
'ba'ka'er 巴卡尔
'ba'ka'yue'ke 巴卡约科
'ba'ke'li 巴克利
'ba'ku'ao'lin'pi'ke 巴库奥林匹克
'ba'ku'di'na'mo 巴库迪纳摩
'ba'ku'ni'fu'ji 巴库尼福基
'ba'la'ban 巴拉班
'ba'la'cha 巴拉查
'ba'la'duo'li'de 巴拉多利德
'ba'la'er'di'ni 巴拉尔迪尼
'ba'la'gui'yu'zhou 巴拉圭宇宙
'ba'la'ha 巴拉哈
'ba'la'ji'te 巴拉济特
'ba'la'ka'er'duo 巴拉卡尔多
'ba'la'ke 巴拉克
'ba'la'mo'wen'si 巴拉莫文斯
'ba'la'na'jing'ji 巴拉纳竞技
'ba'la'yue'sa 巴拉约萨
'ba'la'zha'te 巴拉扎特
'ba'lai'li 巴莱里
'ba'lai'si'te'li 巴莱斯特里
'ba'le'li 巴勒里
'ba'le'mo 巴勒莫
'ba'lei'la 巴雷拉
'ba'lei'lun'si 巴雷伦斯
'ba'lei'si'te'luo'si 巴雷斯特罗斯
'ba'lei'tuo 巴雷托
'ba'lei'tuo'de'suo'sa 巴雷托德索萨
'ba'li 巴里
'ba'li 巴利
'ba'li'ci'shi 巴利茨施
'ba'li'fu'ge'sen 巴里弗格森
'ba'li'mi'na'lian 巴利米纳联
'ba'li'qi 巴利奇
'ba'li'sheng'ri'er'man 巴黎圣日尔曼
'ba'li'si'de'ni'zi 巴里斯德尼兹
'ba'li'si'du'er'ma'zi 巴里斯杜尔马兹
'ba'li'si'mei'mi'si 巴里斯梅米斯
'ba'li'si'ta 巴力斯塔
'ba'li'wei'er'xun 巴里威尔逊
'ba'lie'si'te'luo'si 巴列斯特罗斯
'ba'lin'ju'le'bu 巴林俱乐部
'ba'lu'suo 巴鲁索
'ba'lu'te'ba'ba'luo'si 巴鲁特巴巴罗斯
'ba'lun'xi'ya 巴伦西亚
'ba'luo'mu'pi 巴洛姆皮
'ba'luo'ni 巴罗尼
'ba'luo'ni'ao 巴罗尼奥
'ba'luo'shi 巴罗什
'ba'luo'ta 巴罗塔
'ba'luo'te'li 巴洛特里
'ba'mu'bo'ge 巴姆伯格
'ba'na'ta'er 巴纳塔尔
'ba'nan'te'si 巴南特斯
'ba'nei'jia 巴内加
'ba'nei'ta 巴内塔
'ba'nu'ya'si 巴努亚斯
'ba'nuo'wei'qi 巴诺维奇
'ba'pu'di'si'ta 巴普蒂斯塔
'ba'qiao 巴乔
'ba'qie'luo'na 巴切洛纳
'ba'qiu'diu'le 把球丢了
'ba'qiu'kao'ka 巴裘考卡
'ba'sa 巴萨
'ba'sa'ao'lai 巴萨奥莱
'ba'sa'ni'zi 巴萨尼兹
'ba'sa'nuo'wei'te'si 巴萨诺维特斯
'ba'sai'er'ken'kao'di'ya 巴塞尔肯考迪亚
'ba'sai'ji'ao 巴塞吉奥
'ba'sai'luo'na 巴塞罗那
'ba'si'ke'mi 巴斯克米
'ba'si'ke'si 巴斯克斯
'ba'si'lin'si 巴斯林斯
'ba'si'te'li'ni 巴斯特里尼
'ba'si'teng 巴斯滕
'ba'si'tu'er'ke 巴斯图尔克
'ba'si'tuo 巴斯托
'ba'suo'tuo'lao'hu 巴索托老虎
'ba'te 巴特
'ba'te'er'si 巴特尔斯
'ba'te'fei'er'bo'er 巴特菲尔伯尔
'ba'te'fen'bi'ge'mi'si 巴特芬比戈米斯
'ba'te'gu'er 巴特古尔
'ba'te'ke'luo'yi'ci'na'he 巴特克罗伊茨纳赫
'ba'te'le'si 巴特勒斯
'ba'te'lei'si 巴特雷斯
'ba'te'si 巴特斯
'ba'te'zi 巴特兹
'ba'tong'di'na'mo 巴统迪纳摩
'ba'tu'han 巴图汉
'ba'wei'si'ta 巴维斯塔
'ba'xi'la 巴西拉
'ba'xi'lian'sai 巴西联赛
'ba'xi'na'si 巴西纳斯
'ba'xi'xi 巴希西
'ba'ya'nuo 巴亚诺
'ba'ye'du'pa'er 巴耶杜帕尔
'ba'yi'la'mo'wei'qi 巴伊拉莫维奇
'ba'yue 巴约
'ba'yue'ke 巴约科
'ba'zha'er'xun'you'zhe 巴扎尔巡游者
'ba'zha'li 巴扎利
'ba'zha'ni 巴扎尼
'bai'e'luo'si'bu'lei'si'te'di'na'mo 白俄罗斯布雷斯特迪纳摩
'bai'e'luo'si'lian'sai 白俄罗斯联赛
'bai'en'a'er'ce'nao 拜恩阿尔策瑙
'bai'er 拜尔
'bai'la'ke'ta'er 拜拉克塔尔
'bai'lei'su'er 柏雷素尔
'bai'luo'yi'te 拜罗伊特
'bai'na'dian'nu 柏拿甸奴
'bai'ni 拜尼
'bai'nian'lu'neng 百年鲁能
'bai'ren'huo'fu 拜仁霍夫
'bai'ren'mu'ni'hei 拜仁慕尼黑
'bai'tian'ni 柏天尼
'bai'tuo'fang'shou 摆脱防守
'bai'xing'wu'liu'wei'jing'ji 白星乌留蔚竞技
'bai'yin'li'xi 拜因里希
'bai'yin'li'xi 拜因利希
'bai'zhu'peng 白祝鹏
'ban'bo'li'lian 班伯里联
'ban'de'luo'fu'si'ji 班德罗夫斯基
'ban'deng'shen'du 板凳深度
'ban'fei'er'de 班菲尔德
'ban'gao'qiu 半高球
'ban'jia'er 班贾尔
'ban'jue'sai 半决赛
'ban'kai 班凯
'ban'ke'er'te 班克尔特
'ban'ke'te 班克特
'ban'si'ka'bi'si'te'li'cha 班斯卡比斯特里察
'bang'ba'di'ni 邦巴迪尼
'bang'fei'lei'di'na 邦费雷迪纳
'bao'bi'cha'er'dun 鲍比查尔顿
'bao'di'si'ta 包蒂斯塔
'bao'dun 保顿
'bao'er 保尔
'bao'er'a'ge'si'di'nuo 保尔阿戈斯蒂诺
'bao'er'heng'li'ke'la'si'mu'sen 保尔亨里克拉斯姆森
'bao'er'heng'li'ke'sen 保尔亨里克森
'bao'er'la'mi'lei'si 保尔拉米雷斯
'bao'er'lan'bo'te 保尔兰伯特
'bao'er'mei'si 鲍尔梅斯
'bao'er'sen 鲍尔森
'bao'er'si'jia'de 保尔斯加德
'bao'er'you'de'sen 保尔尤德森
'bao'ji'da'zhan 保级大战
'bao'ji'zhan 保级战
'bao'jia'li'ya'ke'nei'li'ya'nuo 保加利亚科内利亚诺
'bao'jia'li'ya'lian'sai 保加利亚联赛
'bao'lai'ta 保莱塔
'bao'lao'si'ka'si 保劳斯卡斯
'bao'li'ni'ao 保利尼奥
'bao'li'ni'ao'bei'ta'ni'en 保利尼奥贝塔尼恩
'bao'li'si 鲍利斯
'bao'li'si'ta 保利斯塔
'bao'lu'si'ji 保路斯基
'bao'lu'xi 保卢西
'bao'luo'a'song'sang 保罗阿松桑
'bao'luo'an'de'lei 保罗安德雷
'bao'luo'de'la'fei'ao'lei 保罗德拉菲奥雷
'bao'luo'en'li'ke 保罗恩里克
'bao'luo'fei'lei'la 保罗费雷拉
'bao'luo'ka'na'wa'luo 保罗卡纳瓦罗
'bao'luo'ke'si'ta 保罗科斯塔
'bao'luo'kui'yin 保罗奎因
'bao'luo'lei'na'tuo 保罗雷纳托
'bao'luo'luo'bin'xun 保罗罗宾逊
'bao'luo'luo'xi 保罗罗西
'bao'luo'mai'ke'ge'wan 保罗麦克戈万
'bao'luo'mu'lai 保罗穆莱
'bao'luo'ruo're 保罗若热
'bao'luo'sa'ma'er'ke 保罗萨马尔科
'bao'luo'sa'nei'di 保罗萨内蒂
'bao'luo'sai'sa'er 保罗塞萨尔
'bao'luo'sang'tuo'si 保罗桑托斯
'bao'luo'suo'sa 保罗索萨
'bao'luo'yin'si 保罗因斯
'bao'ma 鲍马
'bao'man 鲍曼
'bao'mu'jia'te 鲍姆加特
'bao'mu'yue'han 鲍姆约翰
'bao'nuo'wei'qi 保诺维奇
'bao'ping'zheng'sheng 保平争胜
'bao'ye 鲍耶
'bei'ai'er'lan'lian'sai 北爱尔兰联赛
'bei'an'pu'dun 北安普顿
'bei'bi'tuo'fu 贝碧托夫
'bei'di'ao'er 贝蒂奥尔
'bei'er'ba'tuo'fu 贝尔巴托夫
'bei'er'ge'lai'de'bei'zha'ni'ya 贝尔格莱德贝扎尼亚
'bei'er'ge'lai'de'hong'xing'jing'ji 贝尔格莱德红星竞技
'bei'er'ge'lai'de'jing'ji 贝尔格莱德竞技
'bei'er'ge'lai'de'wo'ze'duo'wa'ci 贝尔格莱德沃泽多瓦茨
'bei'er'ge'lai'de'you'ji 贝尔格莱德游击
'bei'er'ge'lei'nuo 贝尔格雷诺
'bei'er'gu'ge'nuo'ke'si 贝尔古戈诺克斯
