'a'ben'da'zuo'jiao'nang 阿苯达唑胶囊
'bi'la'xi'tan'pian'nao'huo'shu 吡啦西坦片瑙活舒
'bi'la'xi'tan'zhu'she'ye 吡拉西坦注射液
'bi'li'tong 必理通
'bi'luo'xi'kang'ning'jiao 吡罗昔康凝胶
'bi'luo'xi'kang'pian 吡罗昔康片
'bi'luo'xi'kang'pian'yan'tong'xi'kang 吡罗昔康片炎痛喜康
'bi'luo'xi'kang'pian'yan'tong'xi'kang'pian 吡罗昔康片炎痛喜康片
'bi'luo'xi'kang'pian'yan'tong'xi'kang'pian 吡罗昔康片炎痛昔康片
'bi'luo'xi'kang'zhu'she'ye 吡罗昔康注射液
'bi'ma'you 蓖麻油
'bi'mei'dou'kou'pian 铋镁豆蔻片
'bi'mei'tan'suan'qing'na'pian 铋镁碳酸氢钠片
'bi'ning'pen'wu'ji 鼻宁喷雾剂
'bi'nuo'ke'xin'di'yan'ye 吡诺克辛滴眼液
'bi'nuo'ke'xin'na'di'yan'ye 吡诺克辛钠滴眼液
'bi'pai'suan'pian 吡哌酸片
'bi'qi 必奇
'bi'qi'meng'tuo'shi'san 必奇蒙脱石散
'bi'qiang'qing'xi'qi 鼻腔清洗器
'bi'qin'xian'an'pian 吡嗪酰胺片
'bi'sheng'yuan'chang'run'cha 碧生源常润茶
'bi'sheng'yuan'chang'run'cha 碧生源肠润茶
'bi'sheng'yuan'jian'fei'cha 碧生源减肥茶
'bi'shu'kang'pen'wu'ji 鼻舒康喷雾剂
'bi'shu'shi'pian 鼻舒适片
'bi'shu'shi'pian'lin'da'tong 鼻舒适片林大通
'bi'sou'ping'pian 必嗽平片
'bi'sou'ping'pian'yan'suan'xiu'ji'xin 必嗽平片盐酸溴己新
'bi'tong'ning'di'ji 鼻通宁滴剂
'bi'tong'ning'jiao'nang 痹痛宁胶囊
'bi'xie 荜谢
'bi'yan'di'ji 鼻炎滴剂
'bi'yan'kang'pian 鼻炎康片
'bi'yan'ling'pian 鼻炎灵片
'bi'yan'ling'wan 鼻炎灵丸
'bi'yan'ning'chong'ji 鼻炎宁冲剂
'bi'yan'ning'ke'li 鼻炎宁颗粒
'bi'yan'tong'pen'wu'ji 鼻炎通喷雾剂
'bi'you 荜苃
'bi'yuan'jiao'nang 鼻渊胶囊
'bi'yuan'pian 鼻渊片
'bi'yuan'ruan'jiao'nang 鼻渊软胶囊
'bi'yuan'tang'jiang 鼻渊糖浆
'bi'yuan'wan 鼻渊丸
'bian'da'lai'an'suan'di'yan'ye 苄达赖氨酸滴眼液
'bian'da'lai'an'suan'di'yan'ye'bai'nei'ting 苄达赖氨酸滴眼液白内停
'bian'mi'tong'ruan'gao 便秘通软膏
'bian'tong'pian 便通片
'bian'xu 扁蓄
'bian'xu 萹蓄
'bie'jia 鳖甲
'bie'jia'xiao'zhi'jiao'nang 鳖甲消痔胶囊
'bie'piao'chun'huan'shi'jiao'nang 别嘌醇缓释胶囊
'bie'piao'chun'pian 别嘌醇片
'bin'lang'yu'pian 槟郎玉片
'bing'an'xian'gu'an'xian'an'zhu'she'ye 丙氨酰谷氨酰胺注射夜
'bing'an'xian'gu'an'xian'an'zhu'she'ye 丙氨酰谷氨酰胺注射液
'bing'bo'fen'zhu'she'ye 丙泊酚注射液
'bing'bo'fen'zhu'she'ye'di'shi'ning 丙泊酚注射液迪施宁
'bing'du'zuo'li'ba'wei'lin 病毒唑利巴韦林
'bing'du'zuo'li'ba'wei'lin'han'pian 病毒唑利巴韦林含片
'bing'du'zuo'zhu'she'ye'li'ba'wei'lin'zhu'she'ye 病毒唑注射液利巴韦林注射液
'bing'gu'an'pian 丙谷胺片
'bing'huang'fu'le'kang'jun'ji'ru'gao 冰皇夫乐抗菌剂乳膏
'bing'jie'lu'xiao'du'ye'bei'jie 冰洁露消毒液蓓洁
'bing'lang 槟榔
'bing'lang'shi'san'wei'wan 槟榔十三味丸
'bing'lang'si'xiao'wan 槟榔四消丸
'bing'liu'yang'mi'ding'pian 丙硫氧嘧啶片
'bing'peng'han'pian 冰硼含片
'bing'peng'san 冰硼散
'bing'pian 冰片
'bing're'gan'an'quan'tao 冰热感安全套
'bing'shen'bing'peng'han'pian 冰神冰硼含片
'bing'suan'bei'lv'mi'song'bi'qi'wu'ji 丙酸倍氯米松鼻气雾剂
'bing'suan'fu'ti'ka'song'bi'pen'wu'ji 丙酸氟替卡松鼻喷雾剂
'bing'suan'gao'tong'zhu'she'ye 丙酸睾酮注射液
'bing'suan'lv'bei'ta'suo'ru'gao 丙酸氯倍他索乳膏
'bing'suan'lv'bei'ta'suo'ru'gao'ta'suo'ru'gao 丙酸氯倍他索乳膏他索乳膏
'bing'suan'lv'bei'ta'suo'ruan'gao 丙酸氯倍他索软膏
'bing'suan'lv'bei'ta'suo'ruan'gao'en'fu'shuang 丙酸氯倍他索软膏恩肤霜
'bing'wu'suan'mei'pian 丙戊酸镁片
'bing'wu'suan'na'huan'shi'pian 丙戊酸钠缓释片
'bing'wu'suan'na'pian 丙戊酸钠片
'bo'er'xin'a'si'pi'lin'chang'rong'pian 博尔心阿司匹林肠溶片
'bo'he 薄荷
'bo'he'an'you'han'pian 薄荷桉油含片
'bo'he'hou'pian 薄荷喉片
'bo'he'hui'an'ben'jia'suan'na'han'pian 薄荷茴桉苯甲酸钠含片
'bo'kang'sha'yan'suan'huan'bing'sha'xing'jiao'nang 博康沙盐酸环丙沙星胶囊
'bo'ke'di'tong'bi'yan'shui 博科滴通鼻炎水
'bo'ke'na'bing'suan'bei'lv'mi'song'qi'wu'ji 伯克纳丙酸倍氯米松气雾剂
'bo'li'suan'na'di'yan'ye 玻璃酸钠滴眼液
'bo'li'suan'na'zhu'she'ye 玻璃酸钠注射液
'bo'li'ti'wen'ji 玻璃体温计
'bo'mei'tang'zhi'fang'ran'shao'dan'di'si'dai'sheng'ji'ban 博美堂脂肪燃烧弹第四代升级版
'bo'shi'bao'pai'sen'hai'ruan'jiao'nang 博仕宝牌森海软胶囊
'bo'su'fu'ma'suan'bi'suo'luo'er'pian 博苏富马酸比索洛尔片
'bo'tan'gan'you'guo'tang'zhu'she'ye 博坦甘油果糖注射液
'bo'yi'ding'fei'luo'di'ping'huan'shi'pian 波依定非洛地平缓释片
'bo'yi'ding'fei'luo'di'ping'pian 波依定非洛地平片
'bo'yun'ding 拨云锭
'bo'yun'san'yan'yao 拨云散眼药
'bo'zhi'tang'tai'zhu'she'ye 薄芝糖肽注射液
'bu'chang'nao'xin'tong'jiao'nang 步长脑心通胶囊
'bu'chang'wen'xin'ke'li 步长稳心颗粒
'bu'chang'xiang'ju'jiao'nang 步长香菊胶囊
'bu'da'xiu'lv'hua'jia'huan'shi'pian 补达秀氯化钾缓释片
'bu'di'nai'de'qi'wu'ji 布地奈德气雾剂
'bu'fei'huo'xue'jiao'nang 补肺活血胶囊
'bu'gu'da'dang'yi'ke 补骨搭档亿客
'bu'gu'zhi 补骨脂
'bu'gu'zhi'zhu'she'ye 补骨脂注射液
'bu'jin'pian 补金片
'bu'luo'fen'fen'san'pian 布洛芬分散片
'bu'luo'fen'huan'shi'jiao'nang 布洛芬缓释胶囊
'bu'luo'fen'huan'shi'pian'da'ya'fen'ke 布洛芬缓释片大亚芬克
'bu'luo'fen'huan'shi'pian'fen'ni'kang 布洛芬缓释片芬尼康
'bu'luo'fen'hun'xuan'ye 布洛芬混悬液
'bu'luo'fen'hun'xuan'ye'di'ji 布洛芬混悬液滴剂
'bu'luo'fen'hun'xuan'ye'ji'hao 布洛芬混悬液吉浩
'bu'luo'fen'hun'xuan'ye'tuo'en 布洛芬混悬液托恩
'bu'luo'fen'hun'xuan'ye'yi'qian 布洛芬混悬液怡倩
'bu'luo'fen'jiao'nang 布洛芬胶囊
'bu'luo'fen'ke'li 布洛芬颗粒
'bu'luo'fen'ke'li'qi'xiao 布洛芬颗粒琦效
'bu'luo'fen'kou'fu'ye 布洛芬口服液
'bu'luo'fen'pian 布洛芬片
'bu'luo'fen'ru'gao 布洛芬乳膏
'bu'luo'fen'wei'ma'fen'san'pian 布洛芬伪麻分散片
'bu'luo'wei'ma'fen'san'pian 布洛伪麻分散片
'bu'luo'wei'ma'fen'san'pian'tuo'an 布洛伪麻分散片托安
'bu'luo'wei'ma'huan'shi'pian 布洛伪麻缓释片
'bu'luo'wei'ma'jiao'nang 布洛伪麻胶囊
'bu'luo'wei'ma'pian 布洛伪麻片
'bu'luo'wei'ma'ruan'jiao'nang 布洛伪麻软胶囊
'bu'mei'ta'ni'pian 布美他尼片
'bu'mei'ta'ni'pian'li'le'pian 布美他尼片利了片
'bu'mei'ta'ni'zhu'she'ye 布美他尼注射液
'bu'nao'an'shen'pian 补脑安神片
'bu'nao'wan 补脑丸
'bu'nao'zhi 补脑汁
'bu'pi'yi'chang'wan 补脾益肠丸
'bu'shen'ban'long'pian 补肾斑龙片
'bu'shen'gu'chi'wan 补肾固齿丸
'bu'shen'ning'pian 补肾宁片
'bu'shen'qiang'shen'jiao'nang 补肾强身胶囊
'bu'shen'qiang'shen'pian 补肾强身片
'bu'shen'tian'jing'wan 补肾填精丸
'bu'shen'tong'lin'ke'li 补肾通淋颗粒
'bu'shen'wan 补肾丸
'bu'shen'yi'nao'jiao'nang 补肾益脑胶囊
'bu'shen'yi'shou'jiao'nang 补肾益寿胶囊
'bu'xue'dang'gui'jing 补血当归精
'bu'xue'tiao'jing'pian 补血调经片
'bu'zhong'yi'qi'he'ji 补中益气合剂
'bu'zhong'yi'qi'ke'li 补中益气颗粒
'bu'zhong'yi'qi'wan 补中益气丸
'bu'zhong'yi'qi'wan'nong'suo 补中益气丸浓缩
'bu'zhong'yi'qi'wan'nong'suo'wan 补中益气丸浓缩丸
'ca'xuan'yao'shui 擦癣药水
'cai'le 采乐
'can'bei'zhi'ke'ke'li 参贝止咳颗粒
'can'cen'bai'zhu'san 参岑白术散
'can'fu'jiao'nang 参茯胶囊
'can'fu'zhu'she'ye'sao'ma 参附注射液扫码
'can'gui'lu'rong'wan 参桂鹿茸丸
'can'gui'yang'xue'pian 参归养血片
'can'gui'zai'zao'wan 参桂再造丸
'can'huang'ru'gao 参皇乳膏
'can'huang'ruan'gao 参皇软膏
'can'kun'yang'xue'ke'li 参坤养血颗粒
'can'kun'yang'xue'kou'fu'ye 参坤养血口服液
'can'long'ning'xin'jiao'nang 参龙宁心胶囊
'can'lu'bu'pian 参鹿补片
'can'lu'cha 参鹿茶
'can'mei'yang'wei'chong'ji 参梅养胃冲剂
'can'mei'yang'wei'ke'li 参梅养胃颗粒
'can'qi'xin'shu'jiao'nang 参七心疏胶囊
'can'qin'jian'pi'wei'ke'li 参芩健脾胃颗粒
'can'san'qi'shang'yao'jiao'nang 参三七伤药胶囊
'can'sha 蚕沙
'can'shao'pian 参芍片
'can'shu'er'kang'tang'jiang 参术儿康糖浆
'can'shu'zhi'dai'tang'jiang 参术止带糖浆
'can'song'yang'xin'jiao'nang 参松养心胶囊
'can'su'gan'mao'pian 参苏感冒片
'can'su'li'fei'wan 参苏理肺丸
'can'su'pian 参苏片
'can'su'xuan'fei'wan 参苏宣肺丸
'can'suo'ba'ji'kou'fu'ye 参锁巴戟口服液
'can'wei'bu'shen'he'ji 参味补肾合剂
'can'wu'jian'nao'jiao'nang 参乌健脑胶囊
'can'xiong'pu'tao'tang'zhu'she'ye 参芎葡萄糖注射液
'can'xiong'wen'yang'jiao'nang 参雄温阳胶囊
'can'yong'bu'shen'jiao'nang 蚕蛹补肾胶囊
'can'zhi'an'shen'kou'fu'ye 参芝安神口服液
'cang'e'bi'yan'pian 苍鹅鼻炎片
'cang'er'zi 苍耳子
'cang'er'zi'bi'yan'jiao'nang 苍耳子鼻炎胶囊
'cang'lian'gan'mao'pian 苍莲感冒片
'cang'zhu 苍术
'cao'ben'xuan'yang'jing 草本癣痒净
'cao'dou'kou 草豆蔻
'cao'guo 草果
'cao'he'che 草河车
'cao'shan'hu'bo'he'han'pian 草珊瑚薄荷含片
'cao'shan'hu'qu'dou'bo'shi 草珊瑚祛痘博士
'cao'shan'hu'qu'dou'bo'shi'bi'qing 草珊瑚祛痘博士必清
'ce'bai'tan 侧柏炭
'cha'ben'hai'ming'pian 茶苯海明片
'cha'jian'huan'shi'pian 茶碱缓释片
'cha'jian'huan'shi'pian'da'ya'cha'ding 茶碱缓释片大亚茶定
'cha'jian'huan'shi'pian'lang'ning 茶碱缓释片浪宁
'cha'xin'na'min'pian 茶新那敏片
'chai'hu 柴胡
'chai'hu'di'wan 柴胡滴丸
'chai'hu'shu'gan'wan 柴胡舒肝丸
'chai'hu'zhen'ke'pian 柴胡镇咳片
'chai'hu'zhu'she'ye 柴胡注射液
'chai'hu'zhu'she'ye'sao'ma 柴胡注射液扫码
'chai'huang'jiao'nang 柴黄胶囊
'chai'huang'ke'li 柴黄颗粒
'chai'huang'kou'fu'ye 柴黄口服液
'chai'huang'pian 柴黄片
'chai'huang'ruan'jiao'nang 柴黄软胶囊
'chai'lian'kou'fu'ye 柴连口服液
'chai'zhu 柴珠
'chan'fu'an'jiao'nang 产妇安胶囊
'chan'fu'an'ke'li 产妇安颗粒
'chan'fu'kang'ke'li 产复康颗粒
'chan'hou'zhu'yu'jiao'nang 产后逐瘀胶囊
'chan'tui 蝉蜕
'chan'yi 蝉衣
'chang'chong'qing'pian 肠虫清片
'chang'chong'qing'pian'a'ben'da'zuo'pian 肠虫清片阿苯达唑片
'chang'chun'an'huan'shi'jiao'nang'ao'bo'lan 长春胺缓释胶囊奥勃兰
'chang'chun'xi'ting'pian 长春西汀片
'chang'chun'xi'ting'pu'tao'tang'zhu'she'ye 长春西汀葡萄糖注射液
'chang'chun'xi'ting'zhu'she'ye 长春西汀注射液
'chang'duo'tang'pian 肠多糖片
'chang'kang'jiao'nang 肠康胶囊
'chang'kang'pian 肠康片
'chang'ru'yi'yong'jiao'tie 肠蠕医用胶贴
'chang'shu'zhi'xie'jiao'nang 肠舒止泻胶囊
'chang'wei'kang'feng'liao'chang'wei'kang'ke'li 常为康枫蓼肠胃康颗粒
'chang'wei'ning'jiao'nang 肠胃宁胶囊
'chang'wei'ning'pian 肠胃宁片
'chang'wei'shu'feng'liao'chang'wei'kang'pian 长卫舒枫蓼肠胃康片
'chang'yan'ling'jiao'nang 肠炎灵胶囊
'chang'yan'ning'jiao'nang 肠炎宁胶囊
'chang'yan'ning'pian 肠炎宁片
'chang'yan'ning'tang'jiang 肠炎宁糖浆
'chao'bai'bian'dou 炒白扁豆
'chao'bai'shao 炒白芍
'chao'bai'zhu 炒白术
'chao'bai'zi'ren 炒柏子仁
'chao'bing'lang 炒槟榔
'chao'cang'er'zi 炒苍耳子
'chao'cang'zhu 炒苍术
'chao'chuan'lian'zi 炒川楝子
'chao'gu'ya 炒谷芽
'chao'hei'zhi'ma 炒黑芝麻
'chao'huai'hua 炒槐花
'chao'huang'bai 炒黄柏
'chao'huang'qin 炒黄芩
'chao'hui'xiang 炒茴香
'chao'huo'ma'ren 炒火麻仁
'chao'ji'nei'jin 炒鸡内金
'chao'jie'zi'bai 炒芥子白
'chao'jiu'xiang'chong 炒九香虫
'chao'jue'ming'zi 炒决明子
'chao'ku'xing'ren 炒苦杏仁
'chao'mai'ya 炒麦芽
'chao'man'jing'zi 炒蔓荆子
'chao'niu'bang'zi 炒牛蒡子
'chao'shan'yao 炒山药
'chao'shan'zha 炒山揸
'chao'shan'zha 炒山楂
'chao'shen'qu 炒神曲
'chao'suan'zao'ren 炒酸枣仁
'chao'tao'ren 炒桃仁
'chao'tu'bie'chong 炒土鳖虫
'chao'wang'bu'liu'xing 抄王不留行
'chao'wang'bu'liu'xing 炒王不留行
'chao'xiao'hui'xiang 炒小茴香
'chao'yi'mi 炒薏米
'chao'yi'yi'ren 炒薏苡仁
'chao'zhi'an'jiao'nang'tian'xian'xiao 巢之安胶囊天纤笑
'chao'zhi'ke 炒枳壳
'chao'zhi'shi 炒枳实
'chao'zhi'zi 炒栀子
'che'qian'cao 车前草
'che'qian'zi 车前子
'chen'gong'hua'fen 臣功华芬
'chen'pi 陈皮
'chen'xiang 沉香
'chen'xiang'hua'qi'wan 沉香化气丸
'chen'xiang'hua'zhi'wan 沉香化滞丸
'chen'xiang'lu'bai'lu'pian 陈香露白露片
'cheng'mo'jian'fei'jiao'nang 橙魔减肥胶囊
'cheng'ren'gao'gai'pian 成人高钙片
'cheng'ren'xie'li'ting'pian 成人泻痢停片
'cheng'yun'ning'pian 乘晕宁片
'cheng'zhang'kuai'le 成长快乐
'cheng'zhang'kuai'le'guo'wei'xing 成长快乐果味型
'cheng'zhang'kuai'le'han'gai'xing 成长快乐含钙型
'chi'fu'ling 赤茯苓
'chi'shao 赤芍
'chi'shi'zhi 赤石脂
'chi'tong'xiao'yan'ling'ke'li 齿痛消炎灵颗粒
'chi'xiao'dou 赤小豆
'chong'cao'an'ji'suan 虫草氨基酸
'chong'wei'zi 茺蔚子
'chong'zu'ren'bai'jie'su'zhu'she'ye 重组人白介素注射液
'chong'zu'ren'bai'xi'bao'jie'su'zhu'she'ye 重组人白细胞介素注射液
'chong'zu'ren'biao'pi'sheng'zhang'yin'zi'di'yan'ye 重组人表皮生长因子滴眼液
'chong'zu'ren'cu'hong'su'zhu'she'ye 重组人促红素注射液
'chong'zu'ren'li'xi'bao'ci'ji'yin'zi 重组人粒细胞刺激因子
'chong'zu'ren'li'xi'bao'ci'ji'yin'zi'zhu'she'ye 重组人粒细胞刺激因子注射液
'chou'yang'zhi'liao'yi 臭氧治疗仪
'chu'shi'bai'dai'wan 除湿白带丸
'chu'zhang'ze'hai'fu'pian 除障则海甫片
'chuan'bei'luo'han'zhi'ke'ke'li 川贝罗汉止咳颗粒
'chuan'bei'mu 川贝母
'chuan'bei'mu'song 川贝母松
'chuan'bei'pi'pa'han'pian'sheng'zhi'bao 川贝枇杷含片声之宝
'chuan'bei'pi'pa'ke'li 川贝枇杷颗粒
'chuan'bei'pi'pa'lu 川贝枇杷露
'chuan'bei'pi'pa'pian 川贝枇杷片
'chuan'bei'pi'pa'tang'jiang 川贝枇杷糖浆
'chuan'bei'pi'pa'tang'jiang'tao'he 川贝枇杷糖浆套盒
'chuan'bei'qing'fei'lu 川贝清肺露
'chuan'bei'qing'fei'tang'jiang 川贝清肺糖浆
'chuan'bei'xue'li'gao 川贝雪梨膏
'chuan'bei'yin'er'tang'jiang 川贝银耳糖浆
'chuan'bei'zhi'ke'lu 川贝止咳露
'chuan'bei'zhi'ke'tang'jiang 川贝止咳糖浆
'chuan'bei'zhi'sou'he'ji 川贝止嗽合剂
'chuan'ding'zhu'she'ye 喘定注射液
'chuan'ding'zhu'she'ye'er'qiang'bing'cha'jian'zhu'she'ye 喘定注射液二羟丙茶碱注射液
'chuan'duan 川断
'chuan'hu'ning'lv'hua'na'zhu'she'ye 穿琥宁氯化钠注射液
'chuan'hu'ning'zhu'she'ye 穿琥宁注射液
'chuan'huang'kou'fu'ye 川黄口服液
'chuan'huang'qing're'jiao'nang 穿黄清热胶囊
'chuan'ke'ning'pian 喘咳宁片
'chuan'ke'zhi'zhu'she'ye 喘可治注射液
'chuan'lian'zi 川楝子
'chuan'long'gu'ci'jiao'nang 穿龙骨刺胶囊
'chuan'long'gu'ci'pian 穿龙骨刺片
'chuan'mu'tong 川木通
'chuan'niu'xi 川牛膝
'chuan'qi'pai'wu'tang'gao'gai'pian 川奇牌无糖高钙片
'chuan'qi'pai'xiao'shi'pian 川奇牌消食片
'chuan'qi'pai'zhuang'gu'gao'gai'pian 川奇牌壮骨高钙片
'chuan'shan'jia 穿山甲
'chuan'shu'pian 喘舒片
'chuan'sou'ning'pian 喘嗽宁片
'chuan'wang'xiao'yan'jiao'nang 穿王消炎胶囊
'chuan'xi'ling'jiao'nang 喘息灵胶囊
'chuan'xin'lian 穿心莲
'chuan'xin'lian'jiao'nang 穿心莲胶囊
'chuan'xin'lian'nei'zhi'di'wan 穿心莲内酯滴丸
'chuan'xin'lian'nei'zhi'ruan'jiao'nang 穿心莲内酯软胶囊
'chuan'xin'lian'pian 穿心莲片
'chuan'xin'lian'pian'bo'mo'yi'pian 穿心莲片薄膜衣片
'chuan'xin'lian'ruan'jiao'nang 穿心莲软胶囊
'chuan'xin'lian'zhu'she'ye 穿心莲注射液
'chuan'xin'lian'zhu'she'ye'sao'ma 穿心莲注射液扫码
'chuan'xiong 川芎
'chuan'xiong'cha'tiao'ke'li 川芎茶调颗粒
'chuan'xiong'cha'tiao'pian 川芎茶调片
'chuan'xiong'cha'tiao'wan 川芎茶调丸
'chuan'xiong'su'a'wei'suan'na'pian 川芎素阿魏酸钠片
'chuang'ke'tie 创可贴
'chuang'ke'tie'chao'da'zhuang 创可贴超大装
'chuang'ke'tie'fang'shui 创可贴防水
'chuang'ke'tie'wu'fang'bu 创可贴无纺布
'chuang'shang'ying'ji'bao 创伤应急包
'chuang'zhuo'gao 创灼膏
'chui'pen'cao 垂盆草
'chui'pen'cao'pian 垂盆草片
'chui'ti'hou'ye'zhu'she'ye 垂体后叶注射液
'chun'chi'qing'wei'wan 唇齿清胃丸
'chun'chi'qing'wei'wan'lao'jun'lu 唇齿清胃丸老君炉
'chun'gen'pi 椿根皮
'chun'meng'nv'bao'jiao'nang 春梦女宝胶囊
'chun'pi 椿皮
'chun'zheng'chao'xi'hai'shui'zhen'zhu'fen 纯正超细海水珍珠粉
'chun'zheng'hai'zhen'zhu'fen 纯正海珍珠粉
'ci'hang'pian 慈航片
'ci'ji'li 刺蒺藜
'ci'shi 磁石
'ci'wei'pi 刺猬皮
'ci'wu'jia'jiao'nang 刺五加胶囊
'ci'wu'jia'ke'li 刺五加颗粒
'ci'wu'jia'nao'ling'ye 刺五加脑灵液
'ci'wu'jia'pian 刺五加片
'ci'wu'jia'zhu'she'ye 刺五加注射液
'ci'wu'jia'zhu'she'ye'sao'ma 刺五加注射液扫码
'ci'zhu'wan 磁朱丸
'cong'huang'bu'shen'jiao'nang 苁黄补肾胶囊
'cong'ming'bao'bei'a'mo'xi'lin'ke'li 聪明宝贝阿莫西林颗粒
'cong'ming'bao'bei'meng'tuo'shi'san 聪明宝贝蒙脱石散
'cong'ming'bao'bei'xiao'er'an'fen'huang'na'min'ke'li 聪明宝贝小儿氨酚黄那敏颗粒
'cong'rong'tong'bian'kou'fu'ye 苁蓉通便口服液
'cong'rong'yi'shen'ke'li 苁蓉益肾颗粒
'cu'e'zhu 醋莪术
'cu'gan'xi'bao'sheng'zhang'su'chang'rong'jiao'nang 促肝细胞生长素肠溶胶囊
'cu'gan'xi'bao'sheng'zhang'su'ke'li 促肝细胞生长素颗粒
'cu'gan'xi'bao'sheng'zhang'su'zhu'she'ye 促肝细胞生长素注射液
'cu'gui'ban 醋龟板
'cu'jia'zuo'an'pian 醋甲唑胺片
'cu'liu'huang'tong'pian 醋柳黄酮片
'cu'lv'fen'suan'chang'rong'jiao'nang 醋氯芬酸肠溶胶囊
'cu'lv'fen'suan'fen'san'pian 醋氯芬酸分散片
'cu'lv'fen'suan'jiao'nang'xi'li'te 醋氯芬酸胶囊喜力特
'cu'lv'fen'suan'pian'mei'nuo'fen 醋氯芬酸片美诺芬
'cu'mei'shu'tong'kang'zuo'pen'ji 促美舒酮康唑喷剂
'cu'mei'yao 醋没药
'cu'qiang'an'suan'jiao'nang 醋羟胺酸胶囊
'cu'qing'pi 醋青皮
'cu'ru'xiang 醋乳香
'cu'suan'ao'qu'tai'zhu'she'ye 醋酸奥曲肽注射液
'cu'suan'di'sai'mi'song'pian 醋酸地塞米松片
'cu'suan'di'sai'mi'song'zhan'tie'pian 醋酸地塞米松粘贴片
'cu'suan'di'sai'mu'song'pian 醋酸地塞木松片
'cu'suan'fu'qing'song'bing'pian'ru'gao 醋酸氟轻松冰片乳膏
'cu'suan'fu'qing'song'ru'gao 醋酸氟轻松乳膏
'cu'suan'fu'qing'song'ruan'gao 醋酸氟轻松软膏
'cu'suan'gai'pian 醋酸钙片
'cu'suan'jia'di'yun'tong'fen'san'pian 醋酸甲地孕酮分散片
'cu'suan'jia'nai'qing'kun'pian 醋酸甲奈氢醌片
'cu'suan'jia'nai'qing'kun'pian 醋酸甲萘氢醌片
'cu'suan'jia'qiang'yun'tong'fu'he'jiao'nang 醋酸甲羟孕酮复合胶囊
'cu'suan'jia'qiang'yun'tong'pian 醋酸甲羟孕酮片
'cu'suan'ke'di'song'di'yan'ye 醋酸可的松滴眼液
'cu'suan'lv'ji'ding'zhi'chuang'shuan 醋酸氯己定痔疮栓
'cu'suan'lv'yi'ding'rong'ye 醋酸氯已定溶液
'cu'suan'lv'yi'ding'shuan 醋酸氯已定栓
'cu'suan'lv'yi'ding'zhi'chuang'shuan 醋酸氯已定痔疮栓
'cu'suan'po'ni'song 醋酸泼尼松
'cu'suan'po'ni'song'pian 醋酸泼尼松片
'cu'suan'po'ni'song'pian'qiang'di'song 醋酸泼尼松片强的松
'cu'suan'po'ni'song'pian'qiang'di'song'pian 醋酸泼尼松片强的松片
'cu'suan'qing'hua'ke'di'song'di'yan'ye 醋酸氢化可的松滴眼液
'cu'suan'qu'an'jia'ya'su'zhu'she'ye 醋酸去氨加压素注射液
'cu'suan'qu'an'nai'de'niao'su'ru'gao 醋酸曲安奈德尿素乳膏
'cu'suan'qu'an'nai'de'niao'su'ruan'gao 醋酸曲安奈德尿素软膏
'cu'suan'qu'an'nai'de'zhu'she'ye 醋酸曲安奈德注射液
'cu'suan'qu'an'suo'song'niao'su'ru'gao 醋酸曲安缩松尿素乳膏
'cu'wu'ling'zhi 醋五灵脂
'cu'xiang'fu 醋香附
'cu'yan'hu'suo 醋延胡索
'cui'chan'su'zhu'she'ye 催产素注射液
'cuo'chuang'ping'guo'yang'ben'jia'xian'ning 痤疮平过氧苯甲酰凝
'cuo'chuang'ruan'gao 痤疮软膏
'da'bai'du'jiao'nang 大败毒胶囊
'da'dou'yi'huang'tong 大豆异黄酮
'da'dou'yi'huang'tong'ruan'jiao'nang'you'lai'mei 大豆异黄酮软胶囊优莱美
'da'er'li'xin'jia'feng'mei'su'jiao'nang 达尔立欣甲砜霉素胶囊
'da'feng'wan 大风丸
'da'fu'pi 大腹皮
'da'huang 大黄
'da'huang'su'da'pian'da'huang'tan'suan'qing'na'pian 大黄苏打片大黄碳酸氢钠片
'da'huang'tan'suan'qing'na'pian 大黄碳酸氢钠片
'da'huang'tong'bian'pian 大黄通便片
'da'huang'zhe'chong'jiao'nang 大黄蛰虫胶囊
'da'huang'zhe'chong'wan 大黄蛰虫丸
'da'huang'zhe'chong'wan 大黄蜇虫丸
'da'huang'zhe'chong'wan 大黄蟅虫丸
'da'hui'xiang 大茴香
'da'huo'luo'jiao'nang 大活络胶囊
'da'huo'luo'wan 大活络丸
'da'ji'tan 大蓟炭
'da'ji'tan 大蓟碳
'da'ke'ning'xiao'suan'mi'kang'zuo'ru'gao 达克宁硝酸咪康唑乳膏
'da'li'fen'tou'bao'ke'wo'gan'ke'li 达力芬头孢克肟干颗粒
'da'li'fen'tou'bao'ke'wo'jiao'nang 达力芬头孢克肟胶囊
'da'li'fen'tou'bao'ke'wo'ke'li 达力芬头孢克肟颗粒
'da'li'shu'zhu'she'yong'tou'bao'ta'ding 达力舒注射用头孢他啶
'da'li'xin'tou'bao'fu'xin'zhi'jiao'nang 达力新头孢呋辛酯胶囊
'da'li'xin'tou'bao'fu'xin'zhi'pian 达力新头孢呋辛酯片
'da'li'xin'zhu'she'yong'tou'bao'fu'xin'na 达立欣注射用头孢呋辛钠
'da'liang'jia 大亮甲
'da'liu'shen'hua'lu'shui 大六神花露水
'da'mei'kang 达美康
'da'na'zuo'jiao'nang 达那唑胶囊
'da'na'zuo'shuan 达那唑栓
'da'ning'shu'jun'bi'ling'pen'ji 达宁抒菌必灵喷剂
