'a'weng'san'ri'bu'gong'mi 阿翁三日不供糜
'zhong'gu'bu'yong'cheng'yu'huang 终古不用城与隍
'zhong'gu'lou'tai'bu'lie'xian 钟鼓楼台步列仙
'zhong'gu'yi'bian'kong'zi'yan 终古移变空自妍
'zhong'jun'zhang'hai'da'zhe'gan'han'jia'qi 中军帐还打着杆汉家旗
'zhong'ri'mo'mo'jin'fu'chu 终日默默进复出
'zhong'ye'ren'xi'wu'yi'xi 中夜人息乌亦息
'zhong'you'gu'wu'han'su'ku 中有孤乌寒宿苦
'zhong'you'ke'xi'su'chui'gong'er'zuo 中有客兮肃垂拱而坐
'zhong'you'yu'nv'shen'qian'cang 中有玉女深潜藏
'zhong'you'zhu'ren'dang'si'ru 中有主人当饲汝
'zhong'you'zhu'rong'ru'ji'huan 中有祝融如髻鬟
'zhou'bu'jian'ri'xi 昼不见日兮
'zhou'er'fan'pi 骤而翻圮
'zhou'wu'wang 周武王
'zhou'xun'lan'xi'fa'wu'zhong 周巡览兮发吾衷
'zhu'han'lin'li'ru'shui'xi 珠汗淋漓如水洗
'zhu'jun'chu'dian'da'fan'mu 祝君出典大藩牧
'zhu'jun'xiao'wo'pi'xie'e 诸君笑我皮鞋饿
'zhu'long'xi'xi'you'ku'bi 烛龙翕息幽窟闭
'zhu'qi'suo'de'bu'man'ju 劚萁所得不满掬
'zhu'ren'zhi'le'ju'you'ya 主人之乐讵有涯
'zhu'rong'bu'zi'zhi 祝融不自知
'zhu'sha'ni'chen'tu'le'hao'jing 诛杀逆臣屠了镐京
'zhu'zhang'ma'xie'jian'tian'zi 拄杖麻鞋见天子
'zhuan'jue'wu'duan'shui'si'nong 转觉无端睡思浓
'zhuang'ru'long 状如龙
'zhuang'sheng'jie'niu'zhi'guo'xi 庄生解牛知过隙
'zhuang'yuan'bai'guan'dou'ru'gou 状元百官都如狗
'zhuang'zhong'ji'gu'wen'hai'yang 撞钟击鼓闻海阳
'zhuo'ran'tan'bo'zhi'lv'yu 濯染潭波之绿馀
'zhuo'zhuo'yuan'zhong'tao'xing'luan 灼灼园中桃杏乱
'zi'cong'ta'fa'jie'wei'jun'nong'kai'shou 自从他伐桀为君弄开手
'zi'gu'dao'pin'ji'si'chen'jia'ye'bai 自古道牝鸡司晨家业败
'zi'ji'jue 自己觉
'zi'jie'fu'ming'ru'zhi'bo 自嗟赋命如纸薄
'zi'lai'nv'er'duo'ku'yan 自来女儿多苦颜
'zi'shen'bai'bei'su'dou'zhong 资身百备粟豆中
'zi'yang'zhi'ye'ying'nan'qu 紫阳之业应难去
'zi'yi'yi'xin'hui'yi'xin 子以医心会易心
'zi'zuo'yuan'ju'bu'jin'chen 自作渊居不近尘
'zong'heng'hao'qi'jiu'bian'sheng 纵横豪气酒边生
'zong'ran'you'shi'da'gong'lao'zhe'xiu'lian 纵然有十大功劳遮羞脸
'zong'shi'dao'xia'hu'su'cai 总是刀下觳觫材
'zong'wu'te'xiao 纵无特效
'zou'huang'he'xi'yin'pan 走黄河兮蚓盘
'zui'bei'ren'zhi'shi 最悲人之事
'zui'cheng'tian'shang'zi'yu'lin 醉乘天上紫玉麟
'zui'shi'jia'zhong'xin'qi'xie 最是家中新起榭
'zui'ting'jiang'chao'ming'wan'gu 醉听江潮鸣万鼓
'zui'wo'kuang'ge'hao'jiu'xian 醉卧狂歌号酒仙
'zuo'huan'you'pei'sheng'qing'yang 左环右佩声清扬
'zuo'jian'bai'ri'fu'yun'duo 坐见白日浮云多
'zuo'jian'chen'yang'cang'hai'dong 坐见尘扬沧海东
'zuo'ri'dong'shan'zang'qie'fu 昨日东山葬妾夫
'zuo'ri'huan'zhi'bu'qi'zhen 昨日唤之不起枕
'zuo'wo'cang'hai'zhi'fang'hu 坐我沧海之方壶
'zuo'xin'you'ri'he'er'cheng 左心右日合而成
'zuo'ye'feng'ji'duo'chao'fan 昨夜风急堕巢翻
'zuo'ye'lian'jiang'yu 昨夜连江雨
'zuo'ye'zhen'ge'feng 昨夜振阁风
'zuo'you'gong'chen'jie'che'zhou 左右功臣皆掣肘
