'a'na'zha'wang 阿那吒王
'wo'cheng'fo'ru'lai'wei'shen'li'gu 我承佛如来威神力故
'wo'cong'jiu'yuan'jie'lai 我从久远劫来
'wo'cong'xi'lai 我从昔来
'wo'cu'shuo'zhi 我粗说之
'wo'deng'gui'wang 我等鬼王
'wo'deng'jin'zhe'yu'zhu'gui'wang 我等今者与诸鬼王
'wo'deng'qian'wan'yi'pu'sa'mo'he'sa 我等千万亿菩萨摩诃萨
'wo'deng'zhu'gui'wang 我等诸鬼王
'wo'fang'zheng'nie'pan 我方证涅槃
'wo'fu'wo'mu 我父我母
'wo'guan'di'zang'pu'sa 我观地藏菩萨
'wo'guan'ru'shi'bei'ren 我观如是辈人
'wo'guan'shi'yan'fu'zhong'sheng 我观是阎浮众生
'wo'guan'wei'lai'ji'xian'zai'zhong'sheng 我观未来及现在众生
'wo'guan'yan'fu'zhong'sheng 我观阎浮众生
'wo'guan'ye'dao'zhong'sheng 我观业道众生
'wo'jian'du'tuo 我渐度脱
'wo'jie'zhu'zhi 我皆主之
'wo'jin'cheng'fo'wei'li 我今承佛威力
'wo'jin'cheng'fo'wei'shen 我今承佛威神
'wo'jin'cheng'fo'wei'shen'ji'ren'zhe'wen 我今承佛威神及仁者问
'wo'jin'jian'wen'de'shou'chi'yuan'jie'ru'lai'zhen'shi'yi 我今见闻得受持愿解如来真实义
'wo'jin'jin'wei'lai'ji 我今尽未来际
'wo'jin'shen'xin 我今身心
'wo'jin'shi'ru'mu'zhi'qu'chu 我今示汝母之去处
'wo'jin'su'zhi'shan'yin'yuan'cheng'yang'di'zang'zhen'gong'de 我今宿植善因缘称扬地藏真功德
'wo'jin'ti'ci'song 我今题此颂
'wo'jin'wei'wei'lai'xian'zai'yi'qie'zhong'sheng 我今为未来现在一切众生
'wo'jin'wei'wei'lai'zhong'sheng 我今为未来众生
'wo'jin'you'meng'fo'fu'zhu 我今又蒙佛付嘱
'wo'jin'you'xiao'yi'shi 我今有小疑事
'wo'jin'yun'he'de'dao'yu'suo 我今云何得到狱所
'wo'jiu'zhi'shi'da'shi 我久知是大士
'wo'mou'jia'deng 我某甲等
'wo'mu'si'hou 我母死后
'wo'mu'si'lai'wei'jiu 我母死来未久
'wo'mu'suo'xi 我母所习
'wo'mu'xie'jian 我母邪见
'wo'ran'hou'fang'cheng'zheng'jue 我然后方成正觉
'wo'shi'ru'suo'zhan'li'zhe 我是汝所瞻礼者
'wo'suo'fen'shen 我所分身
'wo'wen'shi'zun'yu'shi'fang'wu'liang'zhu'fo 我闻世尊与十方无量诸佛
'wo'wen'tie'wei'zhi'nei 我闻铁围之内
'wo'yi'bai'qian'fang'bian 我亦百千方便
'wo'yi'guo'qu'jiu'xiu'shan'gen 我已过去久修善根
'wo'yi'mu'wang'zhi'ri 我以母亡之日
'wo'yi'shi'shi 我疑是事
'wo'yu'ling'shi'ming'zhong'zhi'ren 我欲令是命终之人
'wo'zhong'wei'yuan'cheng'fo 我终未愿成佛
'wo'zi'shi'mu'yi'lai 我自失母以来
'wo'zi'zhi'dao'li 我自至忉利
'wu'bu'jie'tuo 无不解脱
'wu'bu'shi'ye 无不是业
'wu'bu'shi'zui 无不是罪
'wu'chang'da'gui 无常大鬼
'wu'chu'ke'wen 无处可问
'wu'chu'xi'wang'fu'li'jiu'ba 无处希望福力救拔
'wu'ci'shi'yi 悟此事已
'wu'dang'wei'ru'fen'bie'jie'shuo 吾当为汝分别解说
'wu'dang'wei'ru'fen'bie'shuo'zhi 吾当为汝分别说之
'wu'dang'you'nian 吾当忧念
'wu'dao'zei'e 无盗贼厄
'wu'dei'xian'shi 勿得先食
'wu'du'da'yue 无毒答曰
'wu'du'he'zhang 无毒合掌
'wu'du'song'xing 无读诵性
'wu'du'wen'yue 无毒问曰
'wu'fa'er'bu'zao 无法而不造
'wu'fan'tian 无烦天
'wu'fei'shi'tong'shi'tie 无非是铜是铁
'wu'fei'shi'zui 无非是罪
'wu'fen'shi'xing 吾分是形
'wu'fu'he'lv 吾复何虑
'wu'guan'di'zang'wei'shen'li 吾观地藏威神力
'wu'guan'ru'mu 吾观汝母
'wu'ji'nie'pan 吾即涅槃
'wu'jian'di'yu 无间地狱
'wu'jian'yu'zhe 无间狱者
'wu'jian'zui'bao 无间罪报
'wu'jie'tuo'ri 无解脱日
'wu'jie'tuo'shi 无解脱时
'wu'jin'shuo'zhi 吾今说之
'wu'jin'wei'ru'ji'wei'lai'xian'zai'tian'ren'zhong'deng 吾今为汝及未来现在天人众等
'wu'jin'yin'qin 吾今殷勤
'wu'jin'yin'qin'fu'zhu'ru 吾今殷勤付嘱汝
'wu'jin'yu'dao'li'tian'gong 吾今于忉利天宫
'wu'ken'dai'shou 无肯代受
'wu'liang'guang'tian 无量光天
'wu'liang'he'yi'shen 无量合一身
'wu'liang'huan'xi 无量欢喜
'wu'liang'jing'tian 无量净天
'wu'liang'nan'si'yi 无量难思议
'wu'liang'pu'sa'lai'ji 无量菩萨来集
'wu'liang'wu'bian 无量无边
'wu'ling'duo'zai'zhu'e'qu 勿令堕在诸恶趣
'wu'ling'shi'zhong 无令是众
'wu'ling'shi'zhu'zhong'sheng 无令是诸众生
'wu'ling'shi'zhu'zhong'ye 无令是诸众业
'wu'ling'tui'shi 勿令退失
'wu'ling'yi'qie'zai'hai 勿令一切灾害
'wu'lou'yin 无漏音
'wu'lv'shi'dao 勿履是道
'wu'mie'du'hou 吾灭度后
'wu'mu'gui'wang 五目鬼王
'wu're'tian 无热天
'wu'ren'ji'si 无人继嗣
'wu'ri'yue'guang 无日月光
'wu'ru'xian'dao 误入险道
'wu'shang'fo 无上佛
'wu'shang'shen'shen'wei'miao'fa'bai'qian'wan'jie'nan'zao'yu 无上甚深微妙法百千万劫难遭遇
'wu'shang'shi 无上士
'wu'shi'jian'jue 无时间绝
'wu'shi'ru'mu 吾是汝母
'wu'shui'huo'zai 无水火灾
'wu'wei'ru'shuo 吾为汝说
'wu'xian'fen'niao 无限粪尿
'wu'xian'hao'zhi'li 无纤毫之力
'wu'xiang'tian 无想天
'wu'yi'fen'shen'qian'bai'yi 吾亦分身千百亿
'wu'yi'fo'yan'guan'gu 吾以佛眼观故
'wu'yi'gao'fan'wang'di'shi 吾亦告梵王帝释
'wu'yi'jiu'zhi'san'e'dao'bao 吾已久知三恶道报
'wu'yi'wu'you'xian'zai'wei'lai'yi'qie'zhong'sheng 吾亦无忧现在未来一切众生
'wu'you'chu'qi 无有出期
'wu'yu'wu'zhuo'e'shi 吾于五浊恶世
'wu'yun'xi'cong'sheng 五蕴悉从生
'wu'zai'dao'li'tian'gong 吾在忉利天宫
'wu'zai'jing'li 无再经历
'wu'zhe 五者
'wu'zhi'bei'ai 勿至悲哀
'wu'zhi'you'yi'bei'lian 无至忧忆悲恋
'wu'zhu'heng'bing 无诸横病
'wu'zhu'ji'ku 无诸疾苦
'wu'zhu'ru'xi 吾助汝喜
'wu'zhu'zai'nan 无诸灾难
'xi'de'jie'tuo 悉得解脱
'xi'de'xiao'mie 悉得消灭
'xi'e'zhe'duo 习恶者多
'xi'e'zhong'sheng 习恶众生
'xi'fa'wu'liang'pu'ti'zhi'xin 悉发无量菩提之心
'xi'jie'an'le 悉皆安乐
'xi'jie'cheng'jiu 悉皆成就
'xi'jie'du'tuo 悉皆度脱
'xi'jie'tui'san 悉皆退散
'xi'jie'xiao'mie 悉皆消灭
'xi'jie'zi'de 悉皆自得
'xi'lai'ji'hui 悉来集会
'xi'meng'ru'hu 悉蒙汝护
'xi'she'yin 喜舍音
'xi'shi'jie'tuo 悉使解脱
'xi'shi'tie'wei 悉是铁为
'xi'tong'shou'zhi 悉同受之
'xi'wei'guang'mu'nv 昔为光目女
'xi'xia'chang'ding 悉下长钉
'xia'huo'che'shang 下火彻上
'xia'sheng'ren'jian 下生人间
'xia'xin'han'xiao 下心含笑
'xian'bu'ke'si'yi'da'zhi'hui'shen'tong'zhi'li 现不可思议大智慧神通之力
'xian'cun'yi'shou 现存益寿
'xian'da'bu'ke'si'yi'wei'shen'ci'bei'zhi'li 现大不可思议威神慈悲之力
'xian'da'gui'shen 现大鬼身
'xian'dang'zhan'li'da'shi'xiang 先当瞻礼大士像
'xian'hao'shou'zhi 纤毫受之
'xian'jie'qian'fo'mie'du 贤劫千佛灭度
'xian'shi'ling'ci'ju'jia 现世令此居家
'xian'shi'yi'shi'feng'yi 现世衣食丰溢
'xian'shou'ru'shi'deng'bao 先受如是等报
'xian'wang'li'ku 先亡离苦
'xian'wang'sheng'tian 先亡生天
'xian'wu'bian'shen 现无边身
'xian'zai'juan'shu 现在眷属
'xian'zai'shi'zhong'ji'wei'lai'shi 现在世中及未来世
'xian'zai'shu'miao'an'le 现在殊妙安乐
'xian'zai'wei'lai 现在未来
'xian'zai'wei'lai'tian'ren'zhong 现在未来天人众
'xian'zhang'zhe'shen 现长者身
'xiang'fa'zhi'zhong 像法之中
'xiang'hao'zhu'yuan'man 相好诸圆满
'xiang'hua'gong'yang 香华供养
'xiang'hua'yi'fu 香华衣服
'xiang'hua'yi'fu'yin'shi'feng 香华衣服饮食奉
'xiang'hua'yin'shi 香华饮食
'xiang'mao'yuan'man 相貌圆满
'xiang'zan 香赞
'xiang'zhe'you'meng'shi'zun 向者又蒙世尊
'xiao'chu'zhu'ye'zhang 消除诸业障
'xiao'da'juan'shu 小大眷属
'xiao'guo'sheng'wen 小果声闻
'xiao'liang'bu'shi 校量布施
'xiao'liang'bu'shi'gong'de'yuan'pin'di'shi 校量布施功德缘品第十
'xiao'liang'jing'yin 校量经因
'xiao'xiao'e'ye 小小恶业
'xie'yin 邪淫
'xie'yin'wang'yu 邪淫妄语
'xie'yin'wang'yu'zhe 邪淫妄语者
'xin'bu'zhu'yu'shen 心不住于身
'xin'fei'sha'men 心非沙门
'xin'huai'yong'yue 心怀踊跃
'xin'ru'gong'hua'shi 心如工画师
'xin'shou'wo'yu 信受我语
'xin'si'zhi'zhe 新死之者
'xin'zhe 新者
'xin'zhong'wu'cai'hua 心中无彩画
'xing'bing'gui'wang 行病鬼王
'xing'e'zhe 行恶者
'xing'shi'he'deng 姓氏何等
'xing'shi'wu'ding 性识无定
'xing'zhu'zuo'wo 行住坐卧
'xiong'di'zi'mei 兄弟姊妹
'xiong'di'zi'mei'ji'zhu'qin 兄弟姊妹及诸亲
'xiu'bu'ying'li 修补营理
'xiu'mao'fa'shan'shi 修毛发善事
'xu'hao'pi'chu 虚耗辟除
'xu'sheng'e'lu 须省恶路
'xu'wang'qu'yi'xiang 虚妄取异相
'xu'yan'mo'tian 须焰摩天
'xu'yu'ji'tui 须臾即退
'xu'yu'zhi'jian 须臾之间
'xuan'chu'xuan'ru 旋出旋入
'xuan'de'xuan'wang 旋得旋忘
'xuan'du'xuan'wang'duo'fei'shi 旋读旋忘多废失
'xuan'shuo'di'zang'pu'sa 宣说地藏菩萨
'xuan'you'bu'jing 旋又不敬
'xuan'you'zai'ru 旋又再入
'xue'hu'gui'wang 血虎鬼王
'xun'hua'fo'xiang'er'gong'yang'zhi 寻画佛像而供养之
'xun'ji'chu'yu 寻即除愈
'xun'ji'jie'tuo 寻即解脱
'xun'li'fo'yi 寻礼佛已
'xun'ru'meng'gui 寻如梦归
'xun'su'de'an'kang 迅速得安康
'yan'bu'si'yi'shi 演不思议事
'yan'er'jian'wen 眼耳见闻
'yan'fu'ti'dong'fang'you'shan 阎浮提东方有山
'yan'fu'ti'nei 阎浮提内
'yan'fu'ti'zhong 阎浮提中
'yan'fu'tu'di 阎浮土地
'yan'fu'zhong'sheng 阎浮众生
'yan'fu'zhong'sheng'ye'gan'pin'di'si 阎浮众生业感品第四
'yan'li'yi'shi 演利益事
'yan'luo'tian'zi'hu'gui'he'zhang 阎罗天子胡跪合掌
'yan'luo'tian'zi'zhan'li'shi'zun 阎罗天子瞻礼世尊
'yan'luo'wang'zhong'zan'tan'pin'di'ba 阎罗王众赞叹品第八
'yan'nv'ren'shen 厌女人身
'yan'ru'dian'guang 眼如电光
'yan'shi'chou'lou 厌是丑陋
'yan'yu'ci'lu 言于此路
'yang'lei'dui'bian 殃累对辩
'yang'tong'guan'kou 烊铜灌口
'yao'chan'hui'zhe 要忏悔者
'yao'shou'nv'shen 要受女身
'ye'cha'shi'zhi 夜叉食之
'ye'dao'yong'chu 业道永除
'ye'gan'cha'bie 业感差别
'ye'gan'ru'shi 业感如是
'ye'li'shen'da 业力甚大
'ye'meng'an'le 夜梦安乐
'ye'mo'tian'gong 夜摩天宫
'ye'shen 夜神
'yi'bai'jie'zhong 一百劫中
'yi'ben'shen'li 以本神力
'yi'bu'ke'xian'liang 亦不可限量
'yi'bu'li'da'zhong 亦不离大种
'yi'ceng'jing'bai'qian'sheng 已曾经百千生
'yi'chen'yi'jie 一尘一劫
'yi'cheng'jiu 已成就
'yi'ci'guo'bao 以此果报
'yi'ci'lian'mian 以此连绵
'yi'da'shen'tong'fang'bian'du 以大神通方便度
'yi'dang'duo'yu'wu'jian'di'yu 亦当堕于无间地狱
'yi'di'zang'pu'sa 以地藏菩萨
'yi'du 已度
'yi'fu'ru'shi 亦复如是
'yi'fu'yin'shi 衣服饮食
'yi'fu'yin'shi'zhu'wan'ju 衣服饮食诸玩具
'yi'fu'zhen'bao 衣服珍宝
'yi'ge'you'qian'wan'yi'na'you'ta'shu 亦各有千万亿那由他数
'yi'ge'zi'jian'shen'man'chuang'shang 亦各自见身满床上
'yi'heng'he'sha 一恒河沙
'yi'hua'bai'qian'shen'xing 亦化百千身形
'yi'ji'dao'dao'li'tian'gong 亦集到忉利天宫
'yi'jian'xiao'mie 亦渐消灭
'yi'jie'zhi'nei 一劫之内
'yi'jie'zhi'nei 一界之内
'yi'jie'zhi'zhong 一劫之中
'yi'jing'shui'an'da'shi'qian 以净水安大士前
'yi'jing'shui'yi'zhan 以净水一盏
'yi'ju'yi'ji 一句一偈
'yi'kou'tong'yin 异口同音
'yi'li'er'gen 一历耳根
'yi'ling'shi'ming'zhong'ren 亦令是命终人
'yi'mao'yi'chen 一毛一尘
'yi'mao'yi'ti 一毛一渧
'yi'ming'di'zang'ben'hang 亦名地藏本行
'yi'ming'di'zang'ben'shi'li'jing 亦名地藏本誓力经
'yi'ming'di'zang'ben'yuan 一名地藏本愿
'yi'ming'yi'hao 一名一号
'yi'nian'fo'li'gu 以念佛力故
'yi'nian'gong'jing 一念恭敬
'yi'nian'gui'yi 一念归依
'yi'pi'zhi'fo'ming 一辟支佛名
'yi'pu'sa'ming 一菩萨名
'yi'qi'ri'huo'san'qi'ri 一七日或三七日
'yi'qie'du'hai 一切毒害
'yi'qie'e'shi 一切恶事
'yi'qie'e'shi'jie'xiao'mie 一切恶事皆消灭
'yi'qie'ren'deng 一切人等
'yi'qie'sheng'shi 一切圣事
'yi'qie'tian'zhong 一切天众
'yi'qie'wan'ju 一切玩具
'yi'qie'wei'xin'zao 一切唯心造
'yi'qie'zhong'hui 一切众会
'yi'qie'zhong'sheng 一切众生
'yi'qie'zhong'sheng'wei'jie'tuo'zhe 一切众生未解脱者
'yi'qie'zhu'nan'zhu'ku'nao 一切诸难诸苦恼
'yi'qie'zhu'pu'sa'mo'he'sa 一切诸菩萨摩诃萨
'yi'qie'zhu'yuan'su'cheng'jiu 一切诸愿速成就
'yi'qie'zui'zhang 一切罪障
'yi'ren'shou'zui 一人受罪
'yi'ren'yi'man 一人亦满
'yi'ri'yi'ye 一日一夜
'yi'ri'yi'ye'qiu'fu'zhi 一日一夜求服之
'yi'ri'zhi'qi'ri 一日至七日
'yi'ru'lai'shen'li'gu 以如来神力故
'yi'sha'hai'hui'ma'er'ye'shou'bao 以杀害毁骂二业受报
'yi'sha'yi'chen 一沙一尘
'yi'sha'yi'jie 一沙一界
'yi'sha'yi'ti 一沙一渧
'yi'shen'hua'wu'liang 一身化无量
'yi'sheng'gan'zhong 亦生感重
'yi'sheng'li'er'gen'zhe 一声历耳根者
'yi'sheng'ren'tian'shou'sheng'miao'le'zhe 已生人天受胜妙乐者
'yi'shi'bu'zu 衣食不足
'yi'shi'da'shi'bu'si'yi 以是大士不思议
'yi'shi'deng'bei 以是等辈
'yi'shi'feng'rao'shen'gui'hu 衣食丰饶神鬼护
'yi'shi'feng'yi 衣食丰溢
'yi'shi'feng'zu 衣食丰足
'yi'shi'fo'zai'dao'li'tian 一时佛在忉利天
'yi'shi'wo'deng'huo'shan'li'gu 亦是我等获善利故
'yi'shi'ye'gu 以是业故
'yi'shi'yu'bi'fo'qian 以是于彼佛前
'yi'shi'zhi'gu 以是之故
'yi'tan'zhi'qing 一弹指顷
'yi'tian'ren'zhong 以天人众
'yi'tu'shi'zhu'mu 以土石竹木
'yi'wang'fa'yuan 一王发愿
'yi'wang'fa'yuan'yong'du'zui'ku'zhong'sheng 一王发愿永度罪苦众生
'yi'wang'fa'yuan'zao'cheng'fo'zhe 一王发愿早成佛者
'yi'wei'she'fu 宜为设福
'yi'wei'wu'zui 以为无罪
'yi'wu'liang'ku 亦无量苦
'yi'wu'yi'shu 一物一数
'yi'xiang'han'bing 一向寒冰
'yi'xin'zhan'li'di'zang'xing'xiang 一心瞻礼地藏形像
'yi'yi'mu'gu 以忆母故
'yi'yi'yu'zhong 一一狱中
'yi'you'bai'qian'e'dao'gui'shen 亦有百千恶道鬼神
'yi'you'shi'fan'juan'shu 亦有释梵眷属
'yi'yuan'liu'bu 依愿流布
'yi'zhan'yi'li 一瞻一礼
'yi'zhan'yi'li'zhe 一瞻一礼者
'yi'zhe 一者
'yi'zhi'jie'shu 以至劫数
'yi'zhu'xiang'hua 以诸香华
'yi'zi'qian'lu 以资前路
'yin'chu'xian'dao 引出险道
'yin'ci'jiao'hua 因次教化
'yin'di'zuo'he'xing 因地作何行
'yin'guo'jiang'shu 因果将熟
'yin'jie'wang'ren 引接亡人
'yin'jiu'shi'rou 饮酒食肉
'yin'man'bu'duan 因蔓不断
'yin'qin'fu'zhu 殷勤付嘱
'yin'shi'shen 饮食神
'yin'shi'yi'fu 饮食衣服
'yin'wen'bi'fo 因问彼佛
'yin'xue'di'yu 饮血地狱
'ying'gong 应供
'ying'guan'fa'jie'xing 应观法界性
'ying'she'lang'quan 鹰蛇狼犬
'ying'shi'jing'dian 应是经典
'ying'shi'jing'jiao'li'er'wen 应是经教历耳闻
'ying'shi'wu'jian'zui'ren 应是无间罪人
'ying'shi'zhu'e'jie'xiao'mie 应是诸恶皆消灭
'ying'you'shi'jie 应有世界
'ying'you'yi'qie'zui'zhang'ye'zhang 应有一切罪障业障
'ying'you'zui'ku'zhong'sheng 应有罪苦众生
'ying'zhi'fo'yu'xin 应知佛与心
'yong'bao'an'le 永保安乐
'yong'bu'duo'e'dao 永不堕恶道
'yong'bu'duo'san'e'dao'bao 永不堕三恶道报
'yong'bu'duo'yu'e'dao 永不堕于恶道
'yong'bu'fu'jian 永不复见
'yong'bu'fu'ru 永不复入
'yong'bu'li'san'e'dao'ku 永不历三恶道苦
'yong'bu'tui'zhuan 永不退转
'yong'bu'tui'zhuan'yu'a'nou'duo'luo'san'miao'san'pu'ti 永不退转于阿耨多罗三藐三菩提
'yong'bu'zai'li 永不再历
'yong'chu'di'yu 永处地狱
'yong'de'an'le 永得安乐
'yong'de'jie'tuo 永得解脱
'yong'hu'shi'ren 拥护是人
'yong'hu'zhong'sheng 拥护众生
'yong'hu'zi'mu 拥护子母
'yong'li'e'qu 永离恶趣
'yong'li'sheng'si 永离生死
'yong'li'zhu'ku 永离诸苦
'yong'qu'jie'tuo 永取解脱
'yong'shou'an'le 永受安乐
'yong'shou'zhong'ku 永受众苦
'yong'tuo'di'yu 永脱地狱
'yong'wu'ye'zhang'neng'zhe'zhi 永无业障能遮止
'yong'wu'zhang'ai 永无障碍
'yong'yong'hu'wo 永拥护我
'you'bai'qian'jie 犹百千劫
'you'bai'qian'zhong'ye'dao'zhi'qi 有百千种业道之器
'you'bai'sheng'qian'sheng'shou'da'fu'li'zhe 有百生千生受大福利者
'you'bu'jin'shu 犹不尽数
'you'bu'neng'jin 犹不能尽
'you'cai'hua'ke'de 有彩画可得
'you'chu'zhong'zhong'wei'miao'zhi'yin 又出种种微妙之音
'you'ci'jing'dian'ji'pu'sa'xiang 有此经典及菩萨像
'you'da'di'yu 有大地狱
'you'da'yin'yuan 有大因缘
'you'dang'cheng'yang'di'zang'pu'sa'li'yi'zhi'shi 又当称扬地藏菩萨利益之事
'you'duo'e'dao 又堕恶道
'you'fa'chong'yuan 又发重愿
'you'fo'chu'shi 有佛出世
'you'fu'duan'ming 又复短命
'you'fu'zao'wang 又复遭网
'you'he'yi'shu 有何异术
'you'jian'ye'cha 又见夜叉
'you'jing'qian'jie 又经千劫
'you'jing'yue'fo 有净月佛
'you'mo'di'zang'pu'sa'mo'he'sa'ding 又摩地藏菩萨摩诃萨顶
'you'nan'zi'nv'ren 有男子女人
'you'po'sai 优婆塞
'you'po'yi'shen 优婆夷身
'you'qian'wan'yi'na'you'ta'yan'fu'gui'shen 有千万亿那由他阎浮鬼神
'you'qing'you'zhong 有轻有重
'you'qiu'jie'cong 有求皆从
'you'ren'fa'xin'nian'jing'dian 有人发心念经典
'you'ru'ci'bao 有如此报
'you'ru'ci'bu'ke'si'yi'da'wei'shen'li 有如此不可思议大威神力
'you'ru'ci'bu'ke'si'yi'shen'li'ji'da'shi'yuan'li 有如此不可思议神力及大誓愿力
'you'ru'ci'xi 有如此习
'you'ru'shi'bu'ke'si'yi'da'wei'shen'de 有如是不可思议大威神德
'you'ru'shi'bu'ke'si'yi'shen'tong'zhi'shi 有如是不可思议神通之事
'you'ru'shi'deng'bu'ke'shuo'bai'qian'wan'yi 有如是等不可说百千万亿
'you'ru'shi'deng'bu'ke'shuo'fo 有如是等不可说佛
'you'ru'shi'deng'di'yu 有如是等地狱
'you'shan'nan'zi'shan'nv'ren 有善男子善女人
'you'shang'mi'wu 犹尚迷误
'you'shi'sheng'shou'fu 有十生受福
'you'su'ye'zhang 有宿业障
'you'tian'ren'shou'tian'fu'jin 有天人受天福尽
'you'wei'bi'yuan 犹未毕愿
'you'wei'guo'wang 犹为国王
'you'wu'liang'gui'wang 有无量鬼王
'you'wu'liang'yi'tian'long'gui'shen 有无量亿天龙鬼神
'you'wu'shi'ye'gan 又五事业感
'you'wu'shu'e'gui 有无数恶鬼
'you'wu'shuai'xiang'xian 有五衰相现
'you'xin'chan'zhe 有新产者
'you'xing'shi'jie 游行世界
'you'yan'fu'ti'lin'ming'zhong'ren 又阎浮提临命终人
'you'yi'gui'wang 有一鬼王
'you'yi'luo'han 有一罗汉
'you'yi'po'luo'men'nv 有一婆罗门女
'you'yi'sheng'shou'fu 有一生受福
'you'yi'shi'ba'suo 有一十八所
'you'yi'zhi'shi 有一知识
'you'you'di'yu 又有地狱
'you'you'yi'hai 又有一海
'you'yu'guo'qu 又于过去
'you'yu'guo'qu'bu'ke'shuo'bu'ke'shuo'a'seng'qi'jie 又于过去不可说不可说阿僧祇劫
'you'yu'guo'qu'bu'ke'si'yi'a'seng'qi'jie 又于过去不可思议阿僧祇劫
'you'yu'guo'qu'heng'he'sha'jie 又于过去恒河沙劫
'you'yu'guo'qu'wu'liang'a'seng'qi'jie 又于过去无量阿僧祇劫
'you'yu'guo'qu'wu'liang'wu'shu'heng'he'sha'jie 又于过去无量无数恒河沙劫
'you'zhi'xin'gu 由志心故
'you'zhu'guo'wang 有诸国王
'you'zhu'ren'deng 有诸人等
'you'zhu'xia'jian'deng'ren 有诸下贱等人
'you'zhu'zui'ren 又诸罪人
'yu'bai'qian'jie 于百千劫
'yu'bu'shi'shi 欲布施时
'yu'cheng'yang'di'zang'li'yi'deng'shi 欲称扬地藏利益等事
'yu'chu'li'san'jie'zhe 欲出离三界者
'yu'ci'da'shi 于此大士
'yu'da'cheng'jing'bu'neng'ji 于大乘经不能记
'yu'da'cheng'jing'dian 于大乘经典
'yu'da'cheng'jing'dian 遇大乘经典
'yu'ding'men'shang'fang'ru'shi'deng'hao'xiang'guang'yi 于顶门上放如是等毫相光已
'yu'du'qun'mi'chao'bi'an 欲度群迷超彼岸
'yu'du'yu'song 欲读欲诵
'yu'fa'guang'da'ci'xin 欲发广大慈心
'yu'fo'fa'zhong 于佛法中
'yu'fo'shou'ji 遇佛授记
'yu'fo'ta'si 遇佛塔寺
'yu'fo'xing'xiang 遇佛形像
'yu'guo'qu'jiu'yuan'bu'ke'shuo'bu'ke'shuo'jie'qian 于过去久远不可说不可说劫前
'yu'hao'xiang'guang 玉毫相光
'yu'jin'bai'qian'wan'yi'na'you'ta'bu'ke'shuo'jie 于今百千万亿那由他不可说劫
'yu'nan'fang'qing'jie'zhi'di 于南方清洁之地
'yu'qian'wan'yi'shi'jie 于千万亿世界
'yu'qiang'gao'yi'qian'li 狱墙高一千里
'yu'qiu'xian'zai'wei'lai 欲求现在未来
'yu'ren'tian'zhong 于人天中
'yu'ru'shan'lin'ji'du'hai 欲入山林及渡海
'yu'shan'zhi'shi'yin'jie'ling'chu 遇善知识引接令出
'yu'sheng'si'shi 于生死时
'yu'sheng'si'zhong 于生死中
'yu'shi'fang'shi'jie 于十方世界
'yu'shi'jie'zhong 于十劫中
'yu'shi'ren'chu 于是人处
'yu'shi'ren'suo 于是人所
'yu'shi'xing'xue 欲食腥血
'yu'shi'zui'pin'jian'bei'ji'bu'wan'ju'zhe 于是最贫贱辈及不完具者
'yu'shi'zui'zhong 于是罪中
'yu'shui'meng'zhong 于睡梦中
'yu'suo'po'shi'jie 于娑婆世界
'yu'suo'zhu'chu 于所住处
'yu'wu'shang'dao 于无上道
'yu'xian'fo'ta'miao 遇先佛塔庙
'yu'xian'fo'ta'si 于先佛塔寺
'yu'xiu'wu'shang'pu'ti'zhe 欲修无上菩提者
'yu'yan'fu'ti 于阎浮提
'yu'yan'fu'ti'you'da'yin'yuan 于阎浮提有大因缘
'yu'yan'luo'tian'zi 与阎罗天子
'yu'ye'bao'deng 余业报等
'yu'yi'lin'guo'wang'wei'you 与一邻国王为友
'yu'yi'nv'ren 遇一女人
'yu'yuan'he'deng 欲愿何等
'yu'yue'yi'ri 于月一日
'yu'zao'fu'li'jiu'ba 与造福力救拔
'yu'zheng'ci'shen 欲证此身
'yu'zhong'you'chuang 狱中有床
'yu'zhu'de'jie'tuo 与诸得解脱
'yu'zhu'pu'sa 于诸菩萨
'yu'zhu'shi'jie 于诸世界
'yuan'bu'you'lv 愿不有虑
'yuan'ci'pu'sa 缘此菩萨
'yuan'fo'ci'min 愿佛慈愍
'yuan'le'yu'wen 愿乐欲闻
'yuan'li'e'dao 愿离恶道
'yuan'li'guang'wu'jiang 愿力广无疆
'yuan'she'fu'xie 蚖蛇蝮蝎
'yuan'sheng'zhe'que'fan'ben'chu 愿圣者却返本处
'yuan'sheng'zhe'shuo 愿圣者说
'yuan'shi'guo'wang'deng 缘是国王等
'yuan'shi'juan'shu 缘是眷属
'yuan'shi'lin'zhong 缘是临终
'yuan'wei'tian'long'si'zhong 愿为天龙四众
'yuan'wo'jin'wei'lai 愿我尽未来
'yuan'wo'jin'wei'lai'jie 愿我尽未来劫
'yuan'wo'zhi'mu 愿我之母
'yuan'wo'zi'jin'ri'hou 愿我自今日后
'yue'di'li'zui'nv 悦帝利罪女
'yue'lun'hao'guang 月轮毫光
'yue'mian'fo 月面佛
'yun'cheng'xiao'shun'zhi'zi 云承孝顺之子
'yun'he'ming'wei'wu'jian'di'yu 云何名为无间地狱
'yun'he'zhi'jin'you'du'wei'jue 云何至今犹度未绝
'yun'he'zhong'sheng'er'bu'yi'zhi'shan'dao 云何众生而不依止善道
'yun'lei'yin 云雷音
'zai'bao'nv'yue 再报女曰
'zai'da'tie'wei'shan'zhi'nei 在大铁围山之内
'zai'fu'da'chen 宰辅大臣
