'a'duo'nuo 阿多诺
'zheng'zhi'jia'pian 政治家篇
'zheng'zhi'shang'ceng'jian'zhu 政治上层建筑
'zheng'zhi'xue'jia 政治学家
'zheng'zhi'zhe'xue 政治哲学
'zheng'zhong 郑众
'zheng'zi'zheng'fen 证自证分
'zhi'bi'zhi'ji 知彼知己
'zhi'cai 知材
'zhi'ce 质测
'zhi'chang 知常
'zhi'chen 支谶
'zhi'cheng'neng'hua 至诚能化
'zhi'cheng'ru'shen 至诚如神
'zhi'dao 执道
'zhi'dao'lin 支道林
'zhi'dao'shou'du 执道守度
'zhi'dao'yuan'li 指导原理
'zhi'de'yong'you 值得拥有
'zhi'de'zhi'shi 至德之世
'zhi'dun 支遁
'zhi'gong 志功
'zhi'guan 止观
'zhi'hui 智慧
'zhi'jie 知接
'zhi'jue 直觉
'zhi'jue 知觉
'zhi'jue'yun'dong 知觉运动
'zhi'le 至乐
'zhi'li 至理
'zhi'li 质力
'zhi'li 知力
'zhi'li 知礼
'zhi'li'shi'ye 支离事业
'zhi'li'xiang'tui 质力相推
'zhi'liang'yong'zhong 执两用中
'zhi'liang'zhi 致良知
'zhi'liao 质料
'zhi'lou'jia'chen 支娄迦谶
'zhi'min'zhi'chan 制民之产
'zhi'ming'zhi'shi 制名指实
'zhi'ming'zhi'shu'yao 制名之枢要
'zhi'nan'xing'yi 知难行易
'zhi'neng 知能
'zhi'nian 止念
'zhi'nuo 芝诺
'zhi'qi 知气
'zhi'qian 支谦
'zhi'ren 至人
'zhi'ren'yong 智仁勇
'zhi'ri'dai'er'xing'ru'yi 质日代而行如一
'zhi'shi 知实
'zhi'shi'pian 智士篇
'zhi'shi'she'hui'xue 知识社会学
'zhi'shi'xing'zhi'shi 知是行之始
'zhi'tian'ming'er'yong'zhi 制天命而用之
'zhi'wen'dai'bian 质文代变
'zhi'wu 至无
'zhi'wu 指物
'zhi'wu'you'xue 知物由学
'zhi'xian'gui'er'hou'wei'zhi 知先规而后为之
'zhi'xian'xing'hou 知先行后
'zhi'xin 治心
'zhi'xing 志行
'zhi'xing 知行
'zhi'xing'fen'gong 知行分工
'zhi'xing'fen'ren 知行分任
'zhi'xing'he'yi 知行合一
'zhi'xing'jian'ju 知行兼举
'zhi'xing'xiang'xu'hu'fa 知行相须互发
'zhi'xing'xiang'zi'yi'wei'yong 知行相资以为用
'zhi'xu 智旭
'zhi'xun 直寻
'zhi'yan 智俨
'zhi'yan 知言
'zhi'yao 执要
'zhi'yi'bu'er 执一不二
'zhi'yi'dong'qi 志壹动气
'zhi'yi'tong'zhong 执一统众
'zhi'yi'xing'nan 知易行难
'zhi'yin 知音
'zhi'yong 质用
'zhi'you'suo'he'wei'zhi'zhi 知有所合谓之智
'zhi'yu'zhi'shan 止于至善
'zhi'yue 指月
'zhi'zhe'pian 智者篇
'zhi'zhi 致知
'zhi'zhi'bu'ruo'xing'zhi 知之不若行之
'zhi'zhong 执中
'zhi'zu'bu'ru 知足不辱
'zhi'zu'chang'zu 知足常足
'zhong'chang'ao 仲长敖
'zhong'chang'tong 仲长统
'zhong'cheng'ke'kao 忠诚可靠
'zhong'dao 中道
'zhong'dao'guan 中道观
'zhong'dian'lun 重点论
'zhong'fang 种放
'zhong'fu 众甫
'zhong'gong 仲弓
'zhong'guo'zhe'xue'ming'ci 中国哲学名词
'zhong'hang 中行
'zhong'he 中和
'zhong'he'zhi'mei 中和之美
'zhong'hui 钟会
'zhong'lei'xiang'chan 种类相产
'zhong'liang 仲良
'zhong'ni 仲尼
'zhong'rong 钟嵘
'zhong'sheng 众生
'zhong'shi'ji 中世纪
'zhong'shu'zhi'dao 忠恕之道
'zhong'ti'xi'yong 中体西用
'zhong'tong 重同
'zhong'wu'shuo 中五说
'zhong'xi 踵息
'zhong'xiao'ren'ai'xin'yi'he'ping 忠孝仁爱信义和平
'zhong'xue'qi'ben 中学其本
'zhong'yi'can'tong 众议参同
'zhong'yong 中庸
'zhong'you 仲由
'zhong'zi 种子
'zhou'dun'yi 周惇颐
'zhou'dun'yi 周敦颐
'zhou'gong 周公
'zhou'lian'xi 周濂溪
'zhou'ru'deng 周汝登
'zhou'shu'ren 周树人
'zhou'yong 周颙
'zhou'yu'tong 周予同
'zhu'bian 著变
'zhu'bo'kun 朱伯崑
'zhu'ci'qi 朱次琦
'zhu'dao'sheng 竺道生
'zhu'ding'xiang'wu 铸鼎象物
'zhu'fa'hu 竺法护
'zhu'guang'qian 朱光潜
'zhu'hong 袾宏
'zhu'hui'an 朱晦庵
'zhu'huo'zhi'yu 烛火之喻
'zhu'jing 主静
'zhu'jing 主敬
'zhu'lu'yi'tong 朱陆异同
'zhu'ming'xue'pai 著名学派
'zhu'qian'zhi 朱谦之
'zhu'shi'qing 朱世卿
'zhu'shi'xing 朱士行
'zhu'shun'shui 朱舜水
'zhu'tan 麈谈
'zhu'xi 朱熹
'zhu'yao'jiao'tiao 主要教条
'zhu'yao'mao'dun 主要矛盾
'zhu'yao'mao'dun'fang'mian 主要矛盾方面
'zhu'yi 主一
'zhu'yi 主意
'zhu'yi'xin 朱一新
'zhu'zai 住在
'zhu'ze'yun 朱泽云
'zhu'zhen 朱震
'zhu'zhi'xin 朱执信
'zhu'zhi'yu 朱之瑜
'zhu'zi'he'guan 诸子合观
'zhuan'shi'cheng'zhi 转识成智
'zhuan'sun'shi 颛孙师
'zhuan'yi 转依
'zhuang'cun'yu 庄存与
'zhuang'zhou 庄周
'zhuang'zhou'meng'die 庄周梦蝶
'zhuang'zi 庄子
'zi'bi'liang 自比量
'zi'chan 子产
'zi'de 自得
'zi'er 自尔
'zi'fan 自反
'zi'gong 子贡
'zi'han 子罕
'zi'hua 自化
'zi'hua'zi 子华子
'zi'lu 子路
'zi'mo 子莫
'zi'ran 自然
'zi'ran'ben'shen 自然本身
'zi'ran'fa'sheng'lun 自然发生论
'zi'ran'guan 自然观
'zi'ran'guo'cheng 自然过程
'zi'ran'ke'xue 自然科学
'zi'ran'ming'ding'lun 自然命定论
'zi'ran'xian'xiang 自然现象
'zi'ran'yu'bi'ran'fei'er'shi 自然与必然非二事
'zi'ran'zhe'xue 自然哲学
'zi'ran'zhe'xue'jia 自然哲学家
'zi'ran'zhe'xue'shi'qi 自然哲学时期
'zi'ran'zhi'ming 自然之命
'zi'ran'zhi'shuo 自然之说
'zi'ran'zhu'yi'de'ren'sheng'guan 自然主义的人生观
'zi'shen 梓慎
'zi'sheng 自生
'zi'sheng'er'bi'ti'you 自生而必体有
'zi'shi 自适
'zi'si 子思
'zi'wei 自为
'zi'wei'shuo 滋味说
'zi'wo'man'zu 自我满足
'zi'wo'yi'shi 自我意识
'zi'xia 子夏
'zi'xiang 自相
'zi'xiang'mao'dun 自相矛盾
'zi'xing 自性
'zi'you 自有
'zi'you 子游
'zi'you'si'xiang'zhe 自由思想者
'zi'you'wang'guo 自由王国
'zi'you'yi'zhi 自由意志
'zi'yu 子羽
'zi'zhang 子张
'zi'zheng 自正
'zi'zheng'fen 自证分
'zi'zhi'liang'hang 恣之两行
'zi'zu 自足
'zi'zun'qi'xin 自尊其心
'zong'bai'hua 宗白华
'zong'bing 宗柄
'zong'gao 宗杲
'zong'jiao'jiao'tiao 宗教教条
'zong'jiao'lun'li 宗教伦理
'zong'jiao'zhe'xue 宗教哲学
'zong'jiu'guo 宗九过
'zong'mi 宗密
'zong'yan 宗眼
'zong'yu 纵欲
'zou'rong 邹容
'zou'shi 驺奭
'zou'shou'yi 邹守益
'zou'yan 邹衍
'zou'yan 驺衍
'zu'shi'zhi'ji'er'you'bu'xing'bu'zhi'zhi'shi 镞矢之疾而有不行不止之时
'zu'shu'yao'shun 祖述尧舜
'zu'tong 祖统
'zu'yu 卒于
'zun'dao'gui'de 尊道贵德
'zun'de'xing'er'dao'wen'xue 尊德性而道问学
'zun'ling'hun'qing'ti'po 尊灵魂轻体魄
'zun'qing 尊情
'zun'tian'shi'gui 尊天事鬼
'zun'wang'jian'ba 尊王贱霸
'zun'xin 尊心
'zun'yi'zhi'xue 尊疑之学
'zuo'ci 左慈
'zuo'qiu'ming 左丘明
'zuo'shun'sheng 左舜生
'zuo'wang 坐忘
'zuo'wen'hai'dao 作文害道
'zuo'xiong 左雄
