'a'gui'yang'xue'jiao'nang 阿归养血胶囊
'bu'zhong'yi'qi'wan 补中益气丸
'ca'xuan'yao'shui 擦癣药水
'cai'li'he'ji 采力合剂
'cai'yun'qu 采云曲
'can'bai'hua'zhi'jiao'nang 参白化痔胶囊
'can'bai'ning'shen'kou'fu'ye 参百宁神口服液
'can'bai'shu'xin'jiao'nang 参柏舒心胶囊
'can'bai'shu'xin'ke'li 参柏舒心颗粒
'can'bai'shu'yin'xi'ye 参柏舒阴洗液
'can'bai'xi'ye 参柏洗液
'can'bei'bei'gua'gao 参贝北瓜膏
'can'bei'bei'gua'ke'li 参贝北瓜颗粒
'can'bei'gu'chang'jiao'nang 参倍固肠胶囊
'can'bei'ke'chuan'wan 参贝咳喘丸
'can'bei'zhi'ke'ke'li 参贝止咳颗粒
'can'bian'bu'shen'he'ji 参鞭补肾合剂
'can'can'jian'pi'ke'li 蚕参健脾颗粒
'can'chai'gan'kang'pian 参柴肝康片
'can'chai'gan'kang'ruan'jiao'nang 参柴肝康软胶囊
'can'chai'jiao'nang 参柴胶囊
'can'chai'ke'li 参柴颗粒
'can'chan'xiao'jie'jiao'nang 参蟾消解胶囊
'can'dan'huo'xue'jiao'nang 参丹活血胶囊
'can'dan'san'jie'jiao'nang 参丹散结胶囊
'can'di'yi'shen'kou'fu'ye 参地益肾口服液
'can'di'yi'yin'jiao'nang 参地益阴胶囊
'can'e'gong'bu'he'ji 蚕蛾公补合剂
'can'e'gong'bu'jiao'nang 蚕蛾公补胶囊
'can'e'gong'bu'jiu 蚕蛾公补酒
'can'e'gong'bu'pian 蚕蛾公补片
'can'e'wen'shen'kou'fu'ye 参蛾温肾口服液
'can'e'zhu'yang'he'ji 参蛾助阳合剂
'can'fu'jiao'nang 参茯胶囊
'can'fu'qiang'xin'wan 参附强心丸
'can'fu'tuo'du'jiao'nang 参附脱毒胶囊
'can'fu'yi'qi'an'shen'he'ji 参茯益气安神合剂
'can'fu'zhu'she'ye 参附注射液
'can'ge'jiao'nang 参蛤胶囊
'can'ge'ping'chuan'jiao'nang 参蛤平喘胶囊
'can'gui'bu'qi'yang'xue'kou'fu'ye 参桂补气养血口服液
'can'gui'bu'shen'kou'fu'ye 参龟补肾口服液
'can'gui'gu'ben'jiu 参龟固本酒
'can'gui'jiao'nang 参桂胶囊
'can'gui'li'zhong'wan 参桂理中丸
'can'gui'lu'rong'wan 参桂鹿茸丸
'can'gui'run'zao'cha'ji 参归润燥搽剂
'can'gui'sheng'fa'ding 参归生发酊
'can'gui'tiao'jing'wan 参桂调经丸
'can'gui'yang'rong'wan 参桂养荣丸
'can'gui'yang'xue'kou'fu'ye 参归养血口服液
'can'gui'yang'xue'pian 参归养血片
'can'gui'zai'zao'wan 参桂再造丸
'can'hong'qu'yu'san'jie'jiao'nang 参红祛瘀散结胶囊
'can'hu'jie'du'wan 参虎解毒丸
'can'hua'xiao'ke'cha 参花消渴茶
'can'huang'ruan'gao 参皇软膏
'can'huang'xiao'ke'jiao'nang 参黄消渴胶囊
'can'huang'yang'yin'jiao'nang 参黄养阴胶囊
'can'huo'wen'shen'jiao'nang 参藿温肾胶囊
'can'ji'ruan'gao 参棘软膏
'can'jian'yan'yao 蚕茧眼药
'can'jiao'jiao'nang 参胶胶囊
'can'jing'bu'shen'jiao'nang 参精补肾胶囊
'can'jing'gu'ben'wan 参精固本丸
'can'jing'yang'yin'jiao'nang 参景养阴胶囊
'can'jing'zhi'ke'wan 参精止渴丸
'can'kun'yang'xue'jiao'nang 参坤养血胶囊
'can'kun'yang'xue'ke'li 参坤养血颗粒
'can'kun'yang'xue'kou'fu'ye 参坤养血口服液
'can'lan'kou'fu'ye 参蓝口服液
'can'lian'jiao'nang 参莲胶囊
'can'lian'ke'li 参莲颗粒
'can'ling'gan'kang'jiao'nang 参灵肝康胶囊
'can'ling'lan'jiao'nang 参灵蓝胶囊
'can'ling'tong'luo'jiao'nang 参灵通络胶囊
'can'long'bu'shen'jiao'nang 参龙补肾胶囊
'can'long'chong'cao'yi'shen'jiao'nang 参龙虫草益肾胶囊
'can'long'ning'xin'jiao'nang 参龙宁心胶囊
'can'lu'bu'gao 参鹿补膏
'can'lu'bu'pian 参鹿补片
'can'lu'bu'xu'jiao'nang 参鹿补虚胶囊
'can'lu'cha 参鹿茶
'can'lu'fu'zheng'jiao'nang 参鹿扶正胶囊
'can'lu'fu'zheng'pian 参鹿扶正片
'can'lu'gao 参鹿膏
'can'lu'jian'fei'jiao'nang 参鹿健肺胶囊
'can'lu'kou'fu'ye 蚕鹿口服液
'can'lu'qiang'shen'wan 参鹿强身丸
'can'mei'jian'wei'jiao'nang 参梅健胃胶囊
'can'mei'yang'wei'ke'li 参梅养胃颗粒
'can'nan'xing'kou'fu'ye 参南星口服液
'can'niu'jiao'nang 参牛胶囊
'can'qi'du'zhong'wan 参杞杜仲丸
'can'qi'jiu 参杞酒
'can'qi'ke'li 参杞颗粒
'can'qi'nao'kang'jiao'nang 参七脑康胶囊
'can'qi'pian 参杞片
'can'qi'quan'lu'wan 参杞全鹿丸
'can'qi'ru'tai'pian 参七乳泰片
'can'qi'san'jie'wan 参七散结丸
'can'qi'tang'jiang 参杞糖浆
'can'qi'xin'shu'jiao'nang 参七心疏胶囊
'can'qi'xin'shu'pian 参七心疏片
'can'qi'yi'nao'jiao'nang 参杞益脑胶囊
'can'qian'gu'jing'ke'li 参茜固经颗粒
'can'rong'jian'yao'jiu 参蓉健腰酒
'can'rong'zhu'tian'jiao'nang 蚕茸柱天胶囊
'can'san'qi'shang'yao 参三七伤药
'can'san'qi'shang'yao'jiao'nang 参三七伤药胶囊
'can'san'qi'shang'yao'pian 参三七伤药片
'can'shao'jiao'nang 参芍胶囊
'can'shao'pian 参芍片
'can'she'hua'zhi'chuang'gao 参蛇花痔疮膏
'can'she'huo'luo'wan 参麝活络丸
'can'she'pian'tan'jiao'nang 参蛇偏瘫胶囊
'can'shu'er'kang'tang'jiang 参术儿康糖浆
'can'shu'jian'pi'wan 参术健脾丸
'can'shu'jian'zhong'kou'fu'ye 参术健中口服液
'can'shu'jiao'nang 参术胶囊
'can'shu'zhi'dai'tang'jiang 参术止带糖浆
'can'song'yang'xin'jiao'nang 参松养心胶囊
'can'su'bu'shen'jiao'nang 参苏补肾胶囊
'can'su'gan'mao'pian 参苏感冒片
'can'su'jiao'nang 参苏胶囊
'can'su'kou'fu'ye 参苏口服液
'can'su'pian 参苏片
'can'su'xuan'fei'wan 参苏宣肺丸
'can'suo'ba'ji'kou'fu'ye 参锁巴戟口服液
'can'tian'jiao'nang 参田胶囊
'can'wei'bu'shen'he'ji 参味补肾合剂
'can'wei'dong'gan'feng'wang'jiang'pian 参维冻干蜂王浆片
'can'wei'kou'fu'ye 参威口服液
'can'wu'an'shen'kou'fu'ye 参乌安神口服液
'can'wu'yi'shen'pian 参乌益肾片
'can'xian'pian 参仙片
'can'xian'sheng'mai'kou'fu'ye 参仙升脉口服液
'can'xian'zhuang'shen'jiao'nang 参仙壮肾胶囊
'can'xiong'jiao'nang 参芎胶囊
'can'xiong'wen'yang'jiao'nang 参雄温阳胶囊
'can'yang'jiao'nang 参阳胶囊
'can'yang'pian 参阳片
'can'yong'bu'shen'jiao'nang 蚕蛹补肾胶囊
'can'yu'bu'qi'jiu 参玉补气酒
'can'yuan'yi'qi'bu'shen'jiao'nang 参苑益气补肾胶囊
'can'zao'jian'nao'kou'fu'ye 参枣健脑口服液
'can'ze'shu'gan'jiao'nang 参泽舒肝胶囊
'can'zhi'an'shen'kou'fu'ye 参芝安神口服液
'can'zhi'huo'xue'jiao'nang 参蛭活血胶囊
'can'zhi'jiao'nang 参志胶囊
'can'zhi'ling'kou'fu'ye 参枝苓口服液
'can'zhu'jing'jiao'nang 参竹精胶囊
'can'zhu'jing'ke'li 参竹精颗粒
'can'zhu'jing'pian 参竹精片
'can'zi'he'ji 参子合剂
'cang'e'bi'yan'pian 苍鹅鼻炎片
'cang'er'zi'bi'yan'di'wan 苍耳子鼻炎滴丸
'cang'er'zi'bi'yan'jiao'nang 苍耳子鼻炎胶囊
'cang'jiang'zhi'jiao'nang 藏降脂胶囊
'cang'lian'gan'mao'pian 苍莲感冒片
'cang'ling'zhi'xie'kou'fu'ye 苍苓止泻口服液
'cang'qie'liu'jin'gao 藏茄流浸膏
'cang'xin'qi'wu'ji 苍辛气雾剂
'cang'yi'di'bi'ji 苍夷滴鼻剂
'cang'yi'di'bi'you 苍夷滴鼻油
'cang'yin'chen'jiao'nang 藏茵陈胶囊
'cang'yin'chen'ke'li 藏茵陈颗粒
'cang'yin'chen'pian 藏茵陈片
'cao'dou'kou'ding 草豆蔻酊
'cao'guo'si'wei'tang'san 草果四味汤散
'cao'xian'yi'gan'jiao'nang 草仙乙肝胶囊
'cao'xiang'wei'kang'jiao'nang 草香胃康胶囊
'cha'se'su'jiao'nang 茶色素胶囊
'chai'guan'jie're'ke'li 柴贯解热颗粒
'chai'hu'di'wan 柴胡滴丸
'chai'hu'kou'fu'ye 柴胡口服液
'chai'hu'shu'gan'wan 柴胡舒肝丸
'chai'hu'zhen'ke'pian 柴胡镇咳片
'chai'hu'zhu'she'ye 柴胡注射液
'chai'huang'jiao'nang 柴黄胶囊
'chai'huang'ju'jue'pian 柴黄咀嚼片
'chai'huang'ke'li 柴黄颗粒
'chai'huang'kou'fu'ye 柴黄口服液
'chai'huang'pao'teng'pian 柴黄泡腾片
'chai'huang'pian 柴黄片
'chai'huang'qing're'ke'li 柴黄清热颗粒
'chai'huang'ruan'jiao'nang 柴黄软胶囊
'chai'lian'kou'fu'ye 柴连口服液
'chai'qin'qing'ning'jiao'nang 柴芩清宁胶囊
'chai'qin'qing'ning'pian 柴芩清宁片
'chai'qin'ruan'jiao'nang 柴芩软胶囊
'chai'shi'tui're'ke'li 柴石退热颗粒
'chai'tong'pian 柴酮片
'chai'xin'gan'mao'zhu'she'ye 柴辛感冒注射液
'chai'yin'gan'mao'ke'li 柴银感冒颗粒
'chai'yin'ke'li 柴银颗粒
'chai'yin'kou'fu'ye 柴银口服液
'chan'fu'an'he'ji 产妇安合剂
'chan'fu'an'jiao'nang 产妇安胶囊
'chan'fu'an'ke'li 产妇安颗粒
'chan'fu'an'kou'fu'ye 产妇安口服液
'chan'fu'an'wan 产妇安丸
'chan'fu'kang'ke'li 产复康颗粒
'chan'fu'kang'xi'ye 产妇康洗液
'chan'fu'xin'ke'li 产复欣颗粒
'chan'fu'xin'wan 产复欣丸
'chan'hou'bu'wan 产后补丸
'chan'hou'kang'gao 产后康膏
'chan'hou'yi'mu'wan 产后益母丸
'chan'hou'zhu'yu'jiao'nang 产后逐瘀胶囊
'chan'hou'zhu'yu'ke'li 产后逐瘀颗粒
'chan'hou'zhu'yu'pian 产后逐瘀片
'chan'ling'wan 产灵丸
'chan'long'ding'chuan'he'ji 蟾龙定喘合剂
'chan'ma'zheng'tong'ding 蟾马正痛酊
'chan'she'jiu'xin'wan 蟾麝救心丸
'chan'su'ding 蟾酥锭
'chan'su'zhen'tong'gao 蟾酥镇痛膏
'chan'su'zhen'tong'ning'jiao'gao 蟾酥镇痛凝胶膏
'chan'su'zhu'she'ye 蟾酥注射液
'chan'wu'ning'jiao'gao 蟾乌凝胶膏
'chang'bai'fu'er'chun'jiao'nang 长白复尔春胶囊
'chang'bi'tong'ke'li 畅鼻通颗粒
'chang'cheng'gan'mao'pian 长城感冒片
'chang'cheng'zhi'ke'chuan'tang'jiang 长城止咳喘糖浆
'chang'chun'bao'kou'fu'ye 长春宝口服液
'chang'chun'bao'wan 长春宝丸
'chang'chun'hong'yao'jiao'nang 长春红药胶囊
'chang'chun'hong'yao'pian 长春红药片
'chang'chun'tang'shang'gao 长春烫伤膏
'chang'chun'yao'jiu 长春药酒
'chang'chun'yi'shou'gao 长春益寿膏
'chang'e'jia'li'wan 嫦娥加丽丸
'chang'kang'jiao'nang 肠康胶囊
'chang'kang'pian 肠康片
'chang'li'ning'pian 肠痢宁片
'chang'ma'xi'feng'pian 菖麻熄风片
'chang'pu'si'wei'jiao'nang 菖蒲四味胶囊
'chang'pu'si'wei'wan 菖蒲四味丸
'chang'shu'jiao'nang 肠舒胶囊
'chang'shu'pian 肠舒片
'chang'shu'tong'shuan 肠舒通栓
'chang'shu'zhi'xie'jiao'nang 肠舒止泻胶囊
'chang'shu'zhi'xie'pian 肠舒止泻片
'chang'song'ba'wei'chen'xiang'jiao'nang 常松八味沉香胶囊
'chang'song'ba'wei'chen'xiang'san 常松八味沉香散
'chang'tai'he'ji 肠泰合剂
'chang'tong'shu'ke'li 常通舒颗粒
'chang'wei'ning'jiao'nang 肠胃宁胶囊
'chang'wei'ning'pian 肠胃宁片
'chang'wei'san 肠胃散
'chang'wei'shi'jiao'nang 肠胃适胶囊
'chang'wei'shu'jiao'nang 肠胃舒胶囊
'chang'yan'ning'jiao'nang 肠炎宁胶囊
'chang'yan'ning'ju'jue'pian 肠炎宁咀嚼片
'chang'yan'ning'ke'li 肠炎宁颗粒
'chang'yan'ning'kou'fu'ye 肠炎宁口服液
'chang'yan'ning'pian 肠炎宁片
'chang'yan'ning'tang'jiang 肠炎宁糖浆
'chang'yan'ning'wan 肠炎宁丸
'chao'an'jiao'nang 潮安胶囊
'chao'an'pian 潮安片
'chao'yang'wan 朝阳丸
'chen'xia'liu'jun'zi'wan 陈夏六君子丸
'chen'xiang'an'shen'jiao'nang 沉香安神胶囊
'chen'xiang'an'shen'san 沉香安神散
'chen'xiang'hua'qi'jiao'nang 沉香化气胶囊
'chen'xiang'hua'qi'pian 沉香化气片
'chen'xiang'hua'qi'wan 沉香化气丸
'chen'xiang'hua'zhi'wan 沉香化滞丸
'chen'xiang'jiang'qi'wan 沉香降气丸
'chen'xiang'li'qi'wan 沉香利气丸
'chen'xiang'li'qi'wan 沉香理气丸
'chen'xiang'lu'bai'lu'jiao'nang 陈香露白露胶囊
'chen'xiang'lu'bai'lu'pian 陈香露白露片
'chen'xiang'qu 沉香曲
'chen'xiang'san 沉香散
'chen'xiang'shi'qi'wei'wan 沉香十七味丸
'chen'xiang'shu'qi'wan 沉香舒气丸
'chen'xiang'shu'yu'pian 沉香舒郁片
'chen'xiang'shu'yu'wan 沉香舒郁丸
'cheng'pi'ding 橙皮酊
'chi'dan'tui'huang'ke'li 赤丹退黄颗粒
'chi'tong'bing'peng'san 齿痛冰硼散
'chi'tong'ning 齿痛宁
'chi'tong'xiao'yan'ling'ke'li 齿痛消炎灵颗粒
'chong'cao'chuan'bei'gao 虫草川贝膏
'chong'cao'chuan'bei'zhi'ke'cha 虫草川贝止咳茶
'chong'cao'jin'qian'gui'kou'fu'ye 虫草金钱龟口服液
'chong'cao'jun'fen'can'shao'jiu 虫草菌粉参芍酒
'chong'cao'qi'can'jiao'nang 虫草芪参胶囊
'chong'cao'qi'zhi'ke'li 虫草杞芝颗粒
'chong'cao'qing'fei'jiao'nang 虫草清肺胶囊
'chong'cao'shen'qi'gao 虫草参芪膏
'chong'cao'shen'qi'kou'fu'ye 虫草参芪口服液
'chong'cao'shuang'can'jiu 虫草双参酒
'chong'cao'wu'wei'ke'li 虫草五味颗粒
'chong'cao'yang'shen'jiao'nang 虫草洋参胶囊
'chong'lou'jie'du'ding 重楼解毒酊
'chu'ba'gao 除疤膏
'chu'feng'jing 雏凤精
'chu'shi'bai'dai'wan 除湿白带丸
'chu'shi'zhi'yang'ruan'gao 除湿止痒软膏
'chu'shi'zhi'yang'xi'ye 除湿止痒洗液
'chu'tan'zhi'sou'wan 除痰止嗽丸
'chu'xue're'yu'fang'pian 出血热预防片
'chu'yi'ming'mu'pian 除翳明目片
'chu'zhang'ze'hai'fu'jiao'nang 除障则海甫胶囊
'chu'zhang'ze'hai'fu'pian 除障则海甫片
'chu'zhi'sheng'fa'jiao'nang 除脂生发胶囊
'chu'zhi'sheng'fa'pian 除脂生发片
'chuan'bai'zhi'yang'xi'ji 川百止痒洗剂
'chuan'bei'ban'xia'ye 川贝半夏液
'chuan'bei'li'tang'jiang 川贝梨糖浆
'chuan'bei'luo'han'zhi'ke'ke'li 川贝罗汉止咳颗粒
'chuan'bei'mo'jiao'nang 川贝末胶囊
'chuan'bei'mo'pian 川贝末片
'chuan'bei'pi'pa'gao 川贝枇杷膏
'chuan'bei'pi'pa'jiao'nang 川贝枇杷胶囊
'chuan'bei'pi'pa'ke'li 川贝枇杷颗粒
'chuan'bei'pi'pa'lu 川贝枇杷露
'chuan'bei'pi'pa'pian 川贝枇杷片
'chuan'bei'pi'pa'tang'jiang 川贝枇杷糖浆
'chuan'bei'qing'fei'gao 川贝清肺膏
'chuan'bei'qing'fei'tang'jiang 川贝清肺糖浆
'chuan'bei'san 川贝散
'chuan'bei'xue'li'gao 川贝雪梨膏
'chuan'bei'xue'li'jiao'nang 川贝雪梨胶囊
'chuan'bei'xue'li'ke'li 川贝雪梨颗粒
'chuan'bei'xue'li'tang'jiang 川贝雪梨糖浆
'chuan'bei'yin'er'tang'jiang 川贝银耳糖浆
'chuan'bei'zhi'ke'lu 川贝止咳露
'chuan'bei'zhi'ke'tang'jiang 川贝止咳糖浆
'chuan'bei'zhi'sou'he'ji 川贝止嗽合剂
'chuan'can'tong'zhu'she'ye 川参通注射液
'chuan'gui'san 川桂散
'chuan'hua'zhi'tong'mo 川花止痛膜
'chuan'huang'ke'li 川黄颗粒
'chuan'huang'kou'fu'ye 川黄口服液
'chuan'huang'qing're'jiao'nang 穿黄清热胶囊
'chuan'huang'qing're'pian 穿黄清热片
'chuan'jin'yi'gan'pian 穿金益肝片
'chuan'ke'ning'pian 喘咳宁片
'chuan'ke'zhi'zhu'she'ye 喘可治注射液
'chuan'long'gu'ci'jiao'nang 穿龙骨刺胶囊
'chuan'long'gu'ci'pian 穿龙骨刺片
'chuan'long'he'ji 川龙合剂
'chuan'luo'tong'jiao'nang 喘络通胶囊
'chuan'she'gan'huang'tong'jiao'nang 川射干黄酮胶囊
'chuan'shu'pian 喘舒片
'chuan'sou'ning'jiao'nang 喘嗽宁胶囊
'chuan'sou'ning'pian 喘嗽宁片
'chuan'su'jiu'xin'pen'wu'ji 川苏救心喷雾剂
'chuan'tai'ke'li 喘泰颗粒
'chuan'wang'xiao'yan'jiao'nang 穿王消炎胶囊
'chuan'wang'xiao'yan'pian 穿王消炎片
'chuan'xi'ling'jiao'nang 喘息灵胶囊
'chuan'xin'lian'di'wan 穿心莲滴丸
'chuan'xin'lian'fen'san'pian 穿心莲分散片
'chuan'xin'lian'jiao'nang 穿心莲胶囊
'chuan'xin'lian'nei'zhi'di'wan 穿心莲内酯滴丸
'chuan'xin'lian'nei'zhi'fen'san'pian 穿心莲内酯分散片
'chuan'xin'lian'nei'zhi'jiao'nang 穿心莲内酯胶囊
'chuan'xin'lian'nei'zhi'pian 穿心莲内酯片
'chuan'xin'lian'nei'zhi'ruan'jiao'nang 穿心莲内酯软胶囊
'chuan'xin'lian'pian 穿心莲片
'chuan'xin'lian'ruan'jiao'nang 穿心莲软胶囊
'chuan'xin'lian'wan 穿心莲丸
'chuan'xin'lian'zhu'she'ye 穿心莲注射液
'chuan'xiong'cha'tiao'dai'pao'ji 川芎茶调袋泡剂
'chuan'xiong'cha'tiao'di'wan 川芎茶调滴丸
'chuan'xiong'cha'tiao'ke'li 川芎茶调颗粒
'chuan'xiong'cha'tiao'kou'fu'ye 川芎茶调口服液
'chuan'xiong'cha'tiao'pian 川芎茶调片
'chuan'xiong'cha'tiao'san 川芎茶调散
'chuan'xiong'cha'tiao'wan 川芎茶调丸
'chuan'xiong'qing'nao'ke'li 川芎清脑颗粒
'chuan'yu'feng'han'yun'ji 川郁风寒熨剂
'chuan'zhi'tong'luo'jiao'nang 川蛭通络胶囊
'chuang'shang'zhi'tong'ru'gao 创伤止痛乳膏
'chuang'yan'ling'ruan'gao 疮炎灵软膏
'chuang'yang'gao 疮疡膏
'chuang'zhuo'gao 创灼膏
'chui'pen'cao'fen'san'pian 垂盆草分散片
'chui'pen'cao'ke'li 垂盆草颗粒
'chui'pen'cao'pian 垂盆草片
'chui'yin'cha'ke'li 垂阴茶颗粒
'chui'yin'cha'tang'jiang 垂阴茶糖浆
'chun'chi'qing'wei'wan 唇齿清胃丸
'chun'mei'ke'li 春梅颗粒
'chun'ru'ning'jiao 椿乳凝胶
'chun'xue'an'jiao'nang 春血安胶囊
'chun'yang'zheng'qi'jiao'nang 纯阳正气胶囊
'chun'yang'zheng'qi'wan 纯阳正气丸
'ci'dan'jiao'nang 慈丹胶囊
'ci'dan'ke'li 刺丹颗粒
'ci'hang'jiao'nang 慈航胶囊
'ci'hang'pian 慈航片
'ci'hang'wan 慈航丸
'ci'wu'jia'cha 刺五加茶
'ci'wu'jia'jiao'nang 刺五加胶囊
'ci'wu'jia'jin'gao 刺五加浸膏
'ci'wu'jia'ke'li 刺五加颗粒
'ci'wu'jia'nao'ling'jiao'nang 刺五加脑灵胶囊
'ci'wu'jia'nao'ling'ye 刺五加脑灵液
'ci'wu'jia'pian 刺五加片
'ci'wu'jia'tang'jiang 刺五加糖浆
'ci'wu'jia'zhu'she'ye 刺五加注射液
'ci'wu'yang'xin'kou'fu'ye 刺乌养心口服液
'ci'zhu'wan 磁朱丸
'cong'huang'bu'shen'jiao'nang 苁黄补肾胶囊
'cong'huang'bu'shen'wan 苁黄补肾丸
'cong'rong'bu'shen'wan 苁蓉补肾丸
'cong'rong'tong'bian'kou'fu'ye 苁蓉通便口服液
'cong'rong'yi'shen'ke'li 苁蓉益肾颗粒
'cong'rong'zong'gan'jiao'nang 苁蓉总苷胶囊
'cu'zhi'xiang'fu'wan 醋制香附丸
'cui'lian'jie'du'pian 翠莲解毒片
'cui'ru'ke'li 催乳颗粒
'cui'ru'wan 催乳丸
'cui'tang'wan 催汤丸
'cui'xian'wan 萃仙丸
'cuo'chuang'ruan'gao 痤疮软膏
'cuo'chuang'tu'mo'ji 痤疮涂膜剂
'da'bai'du'jiao'nang 大败毒胶囊
'da'bu'yao'jiu 大补药酒
'da'bu'yin'wan 大补阴丸
'da'chai'hu'ke'li 大柴胡颗粒
'da'chuan'xiong'ke'li 大川芎颗粒
'da'chuan'xiong'kou'fu'ye 大川芎口服液
'da'chuan'xiong'pian 大川芎片
'da'fei'cao 达肺草
'da'feng'wan 大风丸
'da'feng'zi'you 大枫子油
'da'hu'zhuang'yuan'wan 打虎壮元丸
'da'hua'hong'jing'tian'kou'fu'ye 大花红景天口服液
'da'huang'chong'jiao'nang 大黄虫胶囊
'da'huang'chong'pian 大黄虫片
'da'huang'chong'wan 大黄虫丸
'da'huang'ding 大黄酊
'da'huang'li'dan'jiao'nang 大黄利胆胶囊
'da'huang'li'dan'pian 大黄利胆片
'da'huang'liu'jin'gao 大黄流浸膏
'da'huang'qing'wei'wan 大黄清胃丸
'da'huang'san'wei'pian 大黄三味片
'da'huang'tong'bian'jiao'nang 大黄通便胶囊
'da'huang'tong'bian'ke'li 大黄通便颗粒
'da'huang'tong'bian'pian 大黄通便片
'da'huang'zong'en'kun'jiao'nang 大黄总蒽醌胶囊
'da'huo'luo'jiao'nang 大活络胶囊
'da'huo'luo'wan 大活络丸
'da'ji'zhi'xue'pian 大蓟止血片
'da'li'tong'ke'li 达立通颗粒
'da'li'yao'jiu 大力药酒
'da'ming'jiao'nang 大明胶囊
'da'qi'li'jiao'nang 大七厘胶囊
'da'qi'li'pian 大七厘片
'da'qi'li'san 大七厘散
'da'qi'li'wan 大七厘丸
'da'shan'zha'ju'jue'pian 大山楂咀嚼片
'da'shan'zha'ke'li 大山楂颗粒
'da'shan'zha'pian 大山楂片
'da'shan'zha'wan 大山楂丸
'da'si'ma'bao'wan 达斯玛保丸
'da'suan'you'ruan'jiao'nang 大蒜油软胶囊
'da'wei'ke'li 大卫颗粒
'da'wen'zhong'wan 大温中丸
'da'yue'jing'wan 大月晶丸
'da'zhu'hong'jing'tian'jiao'nang 大株红景天胶囊
'da'zhu'hong'jing'tian'pian 大株红景天片
'da'zhu'hong'jing'tian'zhu'she'ye 大株红景天注射液
'dai'ge'san 黛蛤散
'dai'wen'jiu'gao 代温灸膏
'dai'zheng'wan 带症丸
'dan'bai'ke'li 丹白颗粒
'dan'bie'jiao'nang 丹鳖胶囊
'dan'can'bao'xin'cha 丹参保心茶
'dan'deng'tong'nao'di'wan 丹灯通脑滴丸
'dan'deng'tong'nao'jiao'nang 丹灯通脑胶囊
'dan'deng'tong'nao'pian 丹灯通脑片
'dan'deng'tong'nao'ruan'jiao'nang 丹灯通脑软胶囊
'dan'e'fu'kang'jian'gao 丹莪妇康煎膏
'dan'e'fu'kang'ke'li 丹莪妇康颗粒
'dan'fo'wei'er'kang'ke'li 丹佛胃尔康颗粒
'dan'ge'jing'shu'jiao'nang 丹葛颈舒胶囊
'dan'gui'jiao'nang 丹归胶囊
'dan'gui'xiang'jiao'nang 丹桂香胶囊
'dan'gui'xiang'ke'li 丹桂香颗粒
'dan'hong'di'zhu'ye 丹红滴注液
'dan'hong'hua'yu'kou'fu'ye 丹红化瘀口服液
'dan'hong'zhu'she'ye 丹红注射液
'dan'hua'kou'fu'ye 丹花口服液
'dan'huang'ke'li 丹黄颗粒
'dan'huang'pian 胆黄片
'dan'huang'qu'yu'jiao'nang 丹黄祛瘀胶囊
'dan'huang'qu'yu'pian 丹黄祛瘀片
'dan'kang'jiao'nang 胆康胶囊
'dan'kang'pian 胆康片
'dan'lan'tong'luo'kou'fu'ye 丹蓝通络口服液
'dan'le'jiao'nang 胆乐胶囊
'dan'ling'bu'gu'jiao'nang 丹苓补骨胶囊
'dan'ling'xin'shu'jiao'nang 丹羚心舒胶囊
'dan'long'zhi'chuan'pian 胆龙止喘片
'dan'lou'pian 丹蒌片
'dan'lu'jiao'nang 丹鹿胶囊
'dan'lu'tong'du'pian 丹鹿通督片
'dan'lv'bu'shen'jiao'nang 丹绿补肾胶囊
'dan'mu'jin'gao'jiao'nang 胆木浸膏胶囊
'dan'mu'jin'gao'pian 胆木浸膏片
'dan'mu'jin'gao'tang'jiang 胆木浸膏糖浆
'dan'mu'zhu'she'ye 胆木注射液
'dan'ning'pian 胆宁片
'dan'pi'fen'ruan'gao 丹皮酚软膏
'dan'pi'fen'xiang'jiao'gao 丹皮酚橡胶膏
'dan'pi'fen'zhu'she'ye 丹皮酚注射液
'dan'qi'he'xue'pian 丹芪和血片
'dan'qi'jiao'nang 丹七胶囊
'dan'qi'jiao'nang 丹芪胶囊
'dan'qi'ke'li 丹杞颗粒
'dan'qi'pian 丹七片
'dan'qi'pian'tan'jiao'nang 丹芪偏瘫胶囊
'dan'qi'ruan'jiao'nang 丹七软胶囊
'dan'qi'shu'xin'jiao'nang 丹芪舒心胶囊
'dan'qi'yang'xue'ke'li 丹芪养血颗粒
'dan'qing'jiao'nang 丹青胶囊
'dan'qing'jiao'nang 胆清胶囊
'dan'qing'pian 胆清片
'dan'shen'di'wan 丹参滴丸
'dan'shen'di'zhu'ye 丹参滴注液
'dan'shen'gao 丹参膏
'dan'shen'he'ji 丹参合剂
'dan'shen'jiao'nang 丹参胶囊
'dan'shen'ke'li 丹参颗粒
'dan'shen'kou'fu'ye 丹参口服液
'dan'shen'pian 丹参片
'dan'shen'ruan'jiao'nang 丹参软胶囊
'dan'shen'shu'xin'jiao'nang 丹参舒心胶囊
'dan'shen'tong'jiao'nang 丹参酮胶囊
'dan'shen'tong'luo'gao 丹参通络膏
'dan'shen'yi'xin'jiao'nang 丹参益心胶囊
'dan'shen'zhu'she'ye 丹参注射液
'dan'shi'li'tong'jiao'nang 胆石利通胶囊
'dan'shi'li'tong'pian 胆石利通片
'dan'shi'pian 胆石片
'dan'shi'qing'pian 胆石清片
'dan'shi'tong'jiao'nang 胆石通胶囊
