'an'ding'qing'jing 安定清静
'shan'jing'wang'yan 善惊妄言
'shan'ni'xin'fan 善溺心烦
'shan'tai'xi 善太息
'shan'yin'shan'ou 善隐善呕
'shan'zhong 膻中
'shang'e'jiao'dian'ren'luo'nao 上额交巅人络脑
'shang'fan'yu'fei 上犯于肺
'shang'fu'bu'ju'tong 上腹部剧痛
'shang'gong'zhi'wei'bing 上工治未病
'shang'gu'tian'zhen'lun 上古天真论
'shang'han 伤寒
'shang'han'xin'fa'yao'jue 伤寒心法要诀
'shang'han'za'bing'lun 伤寒杂病论
'shang'ji'ying'xue 伤及营血
'shang'jiao 上焦
'shang'jiao'ru'wu 上焦如雾
'shang'jin'he'tuo'ye 伤津和脱液
'shang'ke'jian'tou'mu'xuan'yun 上可见头目眩晕
'shang'kou'yu'he 伤口愈合
'shang'ni'wei'ou 上逆为呕
'shang'qi'chuan 上气喘
'shang'rao'qing'kong 上扰清空
'shang'shen'sun'pi 伤神损脾
'shang'sheng 上盛
'shang'sheng'de 上升的
'shang'sheng'huo'fa'san 上升或发散
'shang'sun'pi'wei'yang'qi 伤损脾胃阳气
'shang'tu'xia'xie 上吐下泻
'shang'wei'tu'nv 上为吐衄
'shang'wei'yang 上为阳
'shang'wu'wei'yang'zhong'zhi'yang 上午为阳中之阳
'shang'wu'yu'xia'wu'xiang'dui'er'yan 上午与下午相对而言
'shang'xia'bu'tong'er'zhong'yi 上下不通而终矣
'shang'xia'sheng'jiang 上下升降
'shang'xia'zi'yu'ji'fu'er'wei'shui'zhong 上下滋于肌肤而为水肿
'shang'yan'rao'luan'shen'ming 上炎扰乱神明
'shang'yin 伤阴
'shang'yin'hao'ye 伤阴耗液
'shang'yin'hao'ye'er'zhi'wei'yin'xu 伤阴耗液而致胃阴虚
'shang'yin'tuo'ye 伤阴脱液
'shang'yu'ji'fu 伤于肌肤
'shang'yu'sheng'leng'han'liang 伤于生冷寒凉
'shang'yu'xia 上与下
'shang'zhong'xia'san'jiao 上中下三焦
'shao'chong 烧虫
'shao'fu'teng'tong 少腹疼痛
'shao'fu'tong 少腹痛
'shao'han'duo'niao 少汗多尿
'shao'huo 少火
'shao'jian'gan'de'qi'xu'he'yang'xu 少见肝的气虚和阳虚
'shao'nian'shen'bu 少年慎补
'shao'qi'bu'zu'yi'xi 少气不足以息
'shao'qi'lan'yan 少气懒言
'shao'shang 烧伤
'shao'shang'yin'qi'jin'ye'sun'hao 烧伤引起津液损耗
'shao'she'ji'yu'xue 少涉及于血
'shao'shi'cao'lao'ze'gan'kun'nan 稍事操劳则感困难
'shao'tang'shang 烧烫伤
'shao'yang 少阳
'shao'yang'zhong'zhe 少阳终者
'shao'yin 少阴
'shao'yin'bing'xia'li'qing'gu 少阴病下利清谷
'shao'yin'jing'mai 少阴经脉
'shao'yin'zhong'zhe 少阴终者
'shao'yong'bu'yi 少用补益
'she'guang'hong'wu'tai 舌光红无苔
'she'guang'hong'wu'tai'huo'shao'tai 舌光红无苔或少苔
'she'hong'shao'tai 舌红少苔
'she'jian'sui'tong 舌尖碎痛
'she'qu 摄取
'she'qu'ying'yang 摄取营养
'she'se'bu'rong 舌色不荣
'she'shang'wu'jin 舌上无津
'she'shi'bu'zu 摄食不足
'she'tai'hou'ni 舌苔厚腻
'she'tai'hua'ni 舌苔滑腻
'she'tou'cheng'qi 设投承气
'she'xia'jing'mai'qu'zhang 舌下经脉曲张
'she'xue 摄血
'she'yong'can'shu 设用参术
'she'zao'tai'jiao'huang 舌燥苔焦黄
'she'zhi'an'zi 舌质暗紫
'she'zhi'dan 舌质淡
'she'zhi'guang'hong'er'gan 舌质光红而干
'she'zhi'hong 舌质红
'she'zhi'zi'jiang 舌质紫绛
'shen'bing'lin'chuang 肾病临床
'shen'bu'an'cang 神不安藏
'shen'bu'na'qi 肾不纳气
'shen'bu'shou'she 神不守舍
'shen'cang'jing 肾藏精
'shen'dan'san'er'bu'cang 神惮散而不藏
'shen'de'jing'qi'bu'zu 肾的精气不足
'shen'de'na'qi'gong'neng 肾的纳气功能
'shen'de'yang'qi'bu'zu 肾的阳气不足
'shen'de'yin'yang'qi'xue'shi'tiao 肾的阴阳气血失调
'shen'de'yin'yang'shi'tiao 肾的阴阳失调
'shen'de'zheng'teng'qi'hua'gong'neng 肾的蒸腾气化功能
'shen'de'zhu'shui'gong'neng 肾的主水功能
'shen'fan'bu'e'han 身反不恶寒
'shen'fu'yu'li 深伏于里
'shen'he'pang'guang'de'zheng'teng'qi'hua 肾和膀胱的蒸腾气化
'shen'he'pang'guang'de'zheng'teng'qi'hua'he'xie'zhuo 肾和膀胱的蒸腾气化和泄浊
'shen'hun 神昏
'shen'hun'chi'dai 神昏痴呆
'shen'hun'dan'yu 神昏澹语
'shen'jing'bu'chong 肾精不充
'shen'jing'bu'chong'ze'bu'neng 肾精不充则不能
'shen'jing'bu'yi'guo'du'hao'xie 肾精不宜过度耗泄
'shen'jing'bu'zu 肾精不足
'shen'jing'hao'shang 肾精耗伤
'shen'jing'he'shen'qi 肾精和肾气
'shen'jing'kui'sun 肾精亏损
'shen'jing'kui'xu 肾精亏虚
'shen'kai'qiao'yu'er 肾开窍于耳
'shen'kai'qiao'yu'er'yin 肾开窍于二阴
'shen'ming 神明
'shen'ming'bei'rao'er'zao'dong'bu'an 神明被扰而躁动不安
'shen'ming'chu'yan 神明出焉
'shen'ming'nei'jing'fa'lv 申明内经法律
'shen'ming'zhi'fu'ye 神明之府也
'shen'nai'xing'zhi'zhu 神乃形之主
'shen'pi 神疲
'shen'pi'fa'li 神疲乏力
'shen'pi'xiao'shou 神疲消瘦
'shen'qi'bu'gu 肾气不固
'shen'qi'bu'heng 肾气不衡
'shen'qi'she'xin 神气舍心
'shen'qi'xu 肾气虚
'shen'qi'xu'shuai 肾气虚衰
'shen'qi'ye 神气也
'shen'qi'yin'yang 审其阴阳
'shen'qu'ze'qi'hua'ting'zhi 神去则气化停止
'shen're 身热
'shen'sheng'sui'chong'nao 肾生髓充脑
'shen'shi'bu'qing 神识不清
'shen'shi'feng'cang 肾失封藏
'shen'shi'hun'luan 神识昏乱
'shen'shi'she'na'zhi'quan 肾失摄纳之权
'shen'shi'shuai'ruo 神识衰弱
'shen'shou'bu'fen 神守不分
'shen'shui'shang'sheng 肾水上升
'shen'si'huang'hu 神思恍惚
'shen'si'nan'yi'ji'zhong'zhuan'yi 神思难以集中专一
'shen'si'shuai'ruo 神思衰弱
'shen'wu'suo'gui 神无所归
'shen'xia'chui 肾下垂
'shen'xu'bu'gu 肾虚不固
'shen'xu'bu'neng'na'qi 肾虚不能纳气
'shen'yang 肾阳
'shen'yang'bu'zu 肾阳不足
'shen'yang'de'wen'xu'he'qi'hua 肾阳的温煦和气化
'shen'yang'shen'qi'xu'ruo 肾阳肾气虚弱
'shen'yang'shi'xin'yang'zhi'ben 肾阳是心阳之本
'shen'yang'shi'zhi 肾阳失制
'shen'yang'sun'hao 肾阳损耗
'shen'yang'wei'ren'shen'yang'qi'zhi'gen 肾阳为人身阳气之根
'shen'yang'wei'zhu'yang'zhi'ben 肾阳为诸阳之本
'shen'yang'xu'shuai 肾阳虚衰
'shen'yang'xu'shui'fan'ling'xin 肾阳虚水泛凌心
'shen'yang'xu'sun 肾阳虚损
'shen'yang'zhu'shui'ye'zheng'hua 肾阳主水液蒸化
'shen'ye'wei'tuo 肾液为唾
'shen'yin 肾阴
'shen'yin'bu'zu 肾阴不足
'shen'yin'he'shen'yang 肾阴和肾阳
'shen'yin'kui 肾阴亏
'shen'yin'kui'xu 肾阴亏虚
'shen'yin'shen'yang'shi'quan'shen'yin'yang'zhi'gen 肾阴肾阳是全身阴阳之根
'shen'yin'xu 肾阴虚
'shen'yin'xu'bu'neng'zi'fei 肾阴虚不能滋肺
'shen'yin'yang 审阴阳
'shen'yin'yu'shen'yang 肾阴与肾阳
'shen'yong 慎用
'shen'yong'han'liang'shang'yang'zhi'yao 慎用寒凉伤阳之药
'shen'yong'wen're'zhi'ji 慎用温热之剂
'shen'you'suo'gui 神有所归
'shen'yu'bang'long 肾与膀胧
'shen'zai'zhi'wei'kong 肾在志为恐
'shen'ze'bu'tong 甚则不通
'shen'ze'bu'yong 甚则不用
'shen'ze'ji'fu'jia'cuo 甚则肌肤甲错
'shen'ze'jiao'lie 甚则教裂
'shen'ze'jing'bi 甚则经闭
'shen'ze'ka'xie 甚则咯血
'shen'ze'ou'xue'ji'xiang'xie 甚则呕血及飨泄
'shen'ze'rou'xiang 甚则肉响
'shen'ze'she'juan'luan'shang'suo'er'zhong'yi 甚则舌卷卵上缩而终矣
'shen'ze'she'ru'jing'mian 甚则舌如镜面
'shen'ze'shui'bi'zhou'zhong 甚则水闭肘肿
'shen'ze'teng'tong 甚则疼痛
'shen'ze'wan'tong 甚则脘痛
'shen'ze'xie'xie'er'wan'gu'bu'hua 甚则泄泻而完谷不化
'shen'ze'zhuan'jin 甚则转筋
'shen'zhe 神者
'shen'zhe 肾者
'shen'zhi'ben'ye 身之本也
'shen'zhi'bu'an 神志不安
'shen'zhi'bu'ning 神志不宁
'shen'zhi'yi'chang 神志异常
'shen'zhong'jing'qi'kui'xu 肾中精气亏虚
'shen'zhong'jing'qi'liu'shi 肾中精气流失
'shen'zhong'jing'qi'shi'hu'sheng'hu'hua 肾中精气是互生互化
'shen'zhong'jing'qi'shi'shen'yin'shen'yang'zhi'ben 肾中精气是肾阴肾阳之本
'shen'zhu'gu 肾主骨
'shen'zhu'na'qi 肾主纳气
'shen'zhu'shui'ye 肾主水液
'sheng'cheng'bu'zu 生成不足
'sheng'cheng'yu'gan'zhi'yu'qi 生成于肝之余气
'sheng'dao'bu'li 声道不利
'sheng'dao'shi'qi'zi'run 声道失其滋润
'sheng'hua'qi'xue'wu'yuan 生化气血无源
'sheng'huo 生活
'sheng'huo'qi'ju'ying'you'gui'lv 生活起居应有规律
'sheng'huo'quan'hong 升火颧红
'sheng'huo'xi 生活习
'sheng'huo'xi'guan 生活习惯
'sheng'huo'xi'guan'ge'yi 生活习惯各异
'sheng'ji'bu'xi 生机不息
'sheng'ji'jian'tui 生机减退
'sheng'jiang'chu'ru 升降出入
'sheng'jiang'fu'chen 升降浮沉
'sheng'jiang'xi'ze'qi'li'gu'wei 升降息则气立孤危
'sheng'ju'li'liang'jian'ruo 升举力量减弱
'sheng'ju'wu'li 升举无力
'sheng'ke'cheng'wu'gui'lv 生克乘侮规律
'sheng'li'de'shi'ying'xing 生理的适应性
'sheng'li'gong'neng'de'zhang'ai'huo'shi'tiao 生理功能的障碍或失调
'sheng'li'huo'dong 生理活动
'sheng'li'xing 生理性
'sheng'ming'chui'wei 生命垂危
'sheng'ming'lin'zhong'xian'xiang 生命临终现象
'sheng'qi'tong'tian'lun 生气通天论
'sheng'qing 升清
'sheng'qing'jiang'zhuo 升清降浊
'sheng'qing'jiang'zhuo'shi'si 升清降浊失司
'sheng'qing'xie'zhuo 升清泄浊
'sheng'ren'bu'zhi'yi'bing'zhi'wei'bing 圣人不治已病治未病
'sheng'sha'zhi'ben'shi 生杀之本始
'sheng'sheng'bu'xi'zhi'ji 生生不息之机
'sheng'shi'niang'tan 生湿酿痰
'sheng'shuai 盛衰
'sheng'tan'cheng'yin 生痰成饮
'sheng'teng'shang'yan 升腾上炎
'sheng'ti'zhong'qi 升提中气
'sheng'xue'bu'zu 生血不足
'sheng'ya'shi'yin 声哑失音
'sheng'yu'jiang 升与降
'sheng'zhang'fa'yu 生长发育
'sheng'zhang'fa'yu'chi'huan 生长发育迟缓
'sheng'zhang'hua'shou'cang 生长化收藏
'sheng'zhang'shou'cang 生长收藏
'sheng'zhang'zhuang'lao'yi 生长壮老已
'sheng'zhi'ji'neng'de'jian'tui 生殖机能的减退
'sheng'zhi'ji'neng'yi'chang 生殖机能异常
'shi'bi 湿痹
'shi'bing'ji'jian'shi'xiang 实病即见实象
'shi'bu'di'yi 十不抵一
'shi'dang'de'jie'zhi'he'an'pai 适当的节制和安排
'shi'dang'yao'wu'yu 适当药物预
'shi'dong 是动
'shi'du 湿度
'shi'er'jing'bie 十二经别
'shi'er'jing'jin 十二经筋
'shi'er'jing'mai 十二经脉
'shi'er'jing'mai'biao'li'guan'xi 十二经脉表里关系
'shi'er'jing'mai'de'zou'xiang'he'jiao'huan 十二经脉的走向和交换
'shi'er'jing'mai'zhi'hai 十二经脉之海
'shi'er'jing'mai'zhi'jing'qi 十二经脉之经气
'shi'er'jing'zhi'qi'sui'zhi'er'jue 十二经之气随之而绝
'shi'er'pi'bu 十二皮部
'shi'er'zheng'jing 十二正经
'shi'fa'shi'zhi 时发时止
'shi'fan'shang'jiao 湿犯上焦
'shi'gu'dong'zhi'si'shi'wu'ri 是故冬至四十五日
'shi'hao 嗜好
'shi'huo 实火
'shi'huo'ke'hao'shang'yin'xue 实火可耗伤阴血
'shi'ji'bing'e'hua 使疾病恶化
'shi'ji'fu'tong 食积腹痛
'shi'ji'liu'zhi 食积留滞
'shi'ji'zhang'man 食积胀满
'shi'jiao'zhong 时脚肿
'shi'jing'mai'chou'suo'ju'ji 使经脉踌缩拘急
'shi'jiu 嗜酒
'shi'jun'li'di 势均力敌
'shi'ling'qi'hou 时令气候
'shi'ling'xing'de'liu'xing'bing 时令性的流行病
'shi'liu'shi'ji 十六世纪
'shi'mian 失眠
'shi'mian'duo'meng 失眠多梦
'shi'qi'feng'cang'gu'she'zhi'quan 失其封藏固摄之权
'shi'qi'ru'run 失其濡润
'shi'qi'ru'run'zi'yang'zuo'yong 失其濡润滋养作用
'shi'qu'wen'xu'he'tui'dong'xue'hang'zuo'yong 失去温煦和推动血行作用
'shi'qu'yang'qi'de'gu'dong'he'zhen'fen 失去阳气的鼓动和振奋
'shi're'nei'jie 实热内结
'shi're'shang'jin 实热伤津
'shi're'shi'huo 实热实火
'shi're'xia'zhu 湿热下注
'shi're'xia'zhu'bao'gong 湿热下注胞宫
'shi're'zheng 实热证
'shi're'zu'zhi 湿热阻滞
'shi'ren'bo'jue 使人薄厥
'shi'ren'ti'qi'ji'ni'luan 使人体气机逆乱
'shi'ru'bu'hua 食入不化
'shi'ru'fu'zhang 食入腹胀
'shi'run'hua'zao 失润化燥
'shi'shang'pi'wei'bing'zheng 食伤脾胃病证
'shi'shao'bian'dan 食少便澹
'shi'shao'bian'tang 食少便塘
'shi'shao'bian'tang 食少便溏
'shi'shao'fa'li 食少乏力
'shi'shen'kuang'luan 失神狂乱
'shi'sheng'er'yang'wei 湿盛而阳微
'shi'sheng'sun'shang'yang'qi 湿胜损伤阳气
'shi'sheng'ze'ru'xie 湿胜则濡泄
'shi'shi'xin'la 嗜食辛辣
'shi'shi'yi'wu 嗜食异物
'shi'ting'he'yan'yu'ying'da'chi'dun 视听和言语应答迟钝
'shi'ting'xiu'wei 视听嗅味
'shi'tong'jue'xiao'shi 使痛觉消失
'shi'wei'yin'xie 湿为阴邪
'shi'wei'zhi'fang'fu'yao'de'ju'ti'fang'fa 实为制方服药的具体方法
'shi'wu'bie'luo 十五别络
'shi'wu'de'wu'xian'ke'fen'xing 事物的无限可分性
'shi'wu'de'yun'dong'shi'jue'dui'de 事物的运动是绝对的
'shi'wu'hun'hua 视物昏花
'shi'wu'hun'hua'huo'yi'shi'xing'shi'wu'hei'meng 视物昏花或一时性视物黑蒙
'shi'wu'mo'hu'bu'qing 视物模糊不清
'shi'wu'shou'dao'wu'ran 食物受到污染
'shi'wu'zhang'qi 湿雾瘴气
'shi'wu'zhong'du 食物中毒
'shi'xia'fu'tong 食下腹痛
'shi'xie'hua'zao 湿邪化燥
'shi'xie'liu'zhi'jing'mai 湿邪留滞经脉
'shi'xie'qu'zheng'an 使邪去正安
'shi'xie'wai'xi'mei'yi'shang'pi 湿邪外袭每易伤脾
'shi'xie'zu'zhi'bu'wei 湿邪阻滞部位
'shi'xing'bing'zheng 实性病证
'shi'xing'nian'zhi 湿性粘滞
'shi'xing'zhong'zhi 湿性重滞
'shi'xing'zhong'zhuo 湿性重浊
'shi'xing'zhong'zhuo'nian'zhi 湿性重浊粘滞
'shi'xuan 时眩
'shi'xuan'pu 时眩仆
'shi'xue 失血
'shi'xue'guo'duo 失血过多
'shi'xue'hao'ye 失血耗液
'shi'xue'tuo'ye 失血脱液
'shi'yi'tong'fa 食宜同法
'shi'ying'xing'tiao'jie'fan'ying 适应性调节反映
'shi'ying'zi'ran 适应自然
'shi'ying'zi'ran'huan'jing'de'neng'li 适应自然环境的能力
'shi'you'xian'du 是有限度
'shi'yu'bi'cang 失于闭藏
'shi'yu'bu'zhen 食欲不振
'shi'yu'gu'she 失于固摄
'shi'yu'hua'huo 湿郁化火
'shi'yu'sheng'qing 失于升清
'shi'yu'shou'sheng 失于受盛
'shi'yu'yun'hua 失于运化
'shi'ze'kuang'dian 实则狂巅
'shi'ze'xiao'bu'xiu 实则笑不休
'shi'ze'xie'qi'zi 实则泻其子
'shi'ze'xie'zhi 实则泻之
'shi'zhang'shi'jian 时胀时减
'shi'zhe'xie'zhi 实者泻之
'shi'zhen'qi'he'shun 使真气和顺
'shi'zheng 湿证
'shi'zhi 施治
'shi'zhi'bu'hua 食滞不化
'shi'zhi'huo'shi'ji'bu'hua 湿滞或食积不化
'shi'zhi'jie'shang'ren 食之皆伤人
'shi'zhi'ri'jiu 食滞日久
'shi'zhi'xia'jiao 湿滞下焦
'shi'zhuo'nei'kun 湿浊内困
'shi'zhuo'nei'sheng 湿浊内生
'shi'zhuo'zhong'zu 湿浊中阻
'shi'zu'zhong'jiao 湿阻中焦
'shi'zu'zhong'jiao'pi'wei 湿阻中焦脾胃
'shou'er'wen'zhi 收而温之
'shou'gan'de'shu'xie'gong'neng'kong'zhi'tiao'jie 受肝的疏泄功能控制调节
'shou'jue'yin'jing'jin 手厥阴经筋
'shou'jue'yin'xin'bao'jing 手厥阴心包经
'shou'jue'yin'zhi'bie'luo 手厥阴之别络
'shou'lian'qi'wai'xie'de'yang'qi 收敛其外泄的阳气
'shou'liu 瘦瘤
'shou'na'yin'shi'wu'he'fu'shu'shui'gu 受纳饮食物和腐熟水谷
'shou'na'zhang'ai'he'fu'shu'shui'gu'gong'neng 受纳障碍和腐熟水谷功能
'shou'qin'yang'lao'xin'shu 寿亲养老新书
'shou'ru 授乳
'shou'shang'bu'wei 受伤部位
'shou'shao'yang'jing'jin 手少阳经筋
'shou'shao'yang'san'jiao'jing 手少阳三焦经
'shou'shao'yang'yu'shou'jue'yin'jing'bie 手少阳与手厥阴经别
'shou'shao'yang'zhi'bie'luo 手少阳之别络
'shou'shao'yin'jing'jin 手少阴经筋
'shou'shao'yin'xin'jing 手少阴心经
'shou'shao'yin'zhi'bie'luo 手少阴之别络
'shou'shen'de'zhu'zai 受神的主宰
'shou'sheng'he'hua'wu 受盛和化物
'shou'sheng'zhi'guan 受盛之官
'shou'tai'yang'jing'jin 手太阳经筋
'shou'tai'yang'xiao'chang'jing 手太阳小肠经
'shou'tai'yang'yu'shou'shao'yin'jing'bie 手太阳与手少阴经别
'shou'tai'yang'zhi'bie'luo 手太阳之别络
'shou'tai'yin'fei'jing 手太阴肺经
'shou'tai'yin'jing'jin 手太阴经筋
'shou'tai'yin'zhi'bie'luo 手太阴之别络
'shou'yang'ming'da'chang'jing 手阳明大肠经
'shou'yang'ming'jing'jin 手阳明经筋
'shou'yang'ming'yu'shou'tai'yin'jing'bie 手阳明与手太阴经别
'shou'yang'ming'zhi'bie'luo 手阳明之别络
'shou'yin 收引
'shou'yin'mai'luo'er'zhi'mai'luo'xi'ji 收引脉络而致脉络细急
'shou'zu'ju'luan'bu'shen 手足拘挛不伸
'shou'zu'jue'ni 手足厥逆
'shou'zu'ma'mu 手足麻木
'shou'zu'ru'dong 手足蠕动
'shou'zu'sui'wen 手足虽温
'shou'zu'xin're 手足心热
'shou'zu'zhen'chan 手足震颤
'shou'zu'zhen'chan'ru'dong 手足震颤蠕动
'shu'bu'jing'wei 输布精微
'shu'duo'jian'shi 暑多兼湿
'shu'duo'xie'shi 暑多挟湿
'shu'gan'wei'zhu 疏肝为主
'shu'ji'gan'mao 暑季感冒
'shu'lun 漱仑
'shu'xie'duo'han 疏泄多汗
'shu'xie'tai'guo 疏泄太过
'shu'xie'zhi'bing 暑邪致病
'shu'xing'sheng'san 暑性升散
'shu'yi 鼠疫
'shu'yu'feng'han'de 属于风寒的
'shu'yu'feng're'de 属于风热的
'shu'zhi'ke'qian 数之可千
'shu'zhi'ke'shi 数之可十
'shuai'shao 衰少
'shuang'fang 双方
'shui'bu'han'mu 水不涵木
'shui'dao 水道
'shui'fan'ji'tian'wei'zhong 水泛肌腆为肿
'shui'gu'bu'hua 水谷不化
'shui'gu'bu'hua'jing'wei 水谷不化精微
'shui'gu'jing'wei 水谷精微
'shui'gu'qi'xue'zhi'hai 水谷气血之海
'shui'gu'zhi'hai 水谷之海
'shui'gu'zhi'jing'qi 水谷之精气
'shui'gu'zhi'jing'qi'ye 水谷之精气也
'shui'huo'ji'ji 水火既济
'shui'huo'zhe 水火者
'shui'jin'ting'zhi'er'cheng 水津停滞而成
'shui'meng'bing'ren 水朦病人
'shui'qi'ling'xin 水气凌心
'shui're'xue'lun 水热穴论
'shui'shi'fan'lan'er'wei'shui'zhong 水湿泛滥而为水肿
'shui'shi'fan'yi'yu'ji'teng 水湿泛溢于肌滕
'shui'shi'fan'yi'yu'pi'fu'ji'tian 水湿泛溢于皮肤肌腆
'shui'shi'nei'ju 水湿内聚
'shui'shi'nei'sheng 水湿内生
'shui'shi'tan'yin 水湿痰饮
'shui'shi'tan'yin'chu'liu 水湿痰饮储留
'shui'shi'tan'zhuo'xu'ji'ting'zhi 水湿痰浊蓄积停滞
'shui'shi'ting'zhi'yu'nei 水湿停滞于内
'shui'shi'zhong'zu 水湿中阻
'shui'tu'ruo 水土弱
'shui'wei'yin 水为阴
'shui'xia'liu'yu'bang'long 水下留于膀胧
'shui'xia'liu'yu'pang'guang 水下留于膀胱
'shui'xing'han'er'run'xia'gu'shu'yin 水性寒而润下故属阴
'shui'ye'bu'hua 水液不化
'shui'ye'chu'liu 水液储留
'shui'ye'dai'xie'ji'neng'de'jian'tui 水液代谢机能的减退
'shui'ye'dai'xie'zhang'ai 水液代谢障碍
'shui'ye'pai'chu'bu'chang 水液排出不畅
'shui'ye'ting'liu'yu'ren'ti'ju'bu'zhe 水液停留于人体局部者
'shui'ye'zhi'liu 水液滞留
'shui'yin'ling'xin 水饮凌心
'shui'yin'ting'yu'si'zhi 水饮停于四肢
'shui'yin'ting'zhi'zhong'jiao 水饮停滞中焦
'shui'yin'zu'fei 水饮阻肺
'shui'yu'huo 水与火
'shui'yuan 水源
'shui'yuan'he'shi'wu'de'wu'ran 水源和食物的污染
'shui'yue'run'xia 水曰润下
'shun'qi'yi'ri'fen'wei'si'shi 顺气一日分为四时
'shun'si'shi'er'shi'han'shu 顺四时而适寒暑
'si'chu'yu'xin'er'pi'ying'zhi 思出于心而脾应之
'si'fa'yu'pi 思发于脾
'si'han'zheng 似寒证
'si'hu'xi'gong'neng'jian'tui'huo'shi'tiao 司呼吸功能减退或失调
'si'lv'guo'du 思虑过度
'si'lv'lao'shen'guo'du 思虑劳神过度
'si'lv'shang'pi 思虑伤脾
'si'lv'shang'xin 思虑伤心
'si'lv'tai'guo 思虑太过
'si'mo 四末
'si'shang'pi 思伤脾
'si'shi'de'mai'xiang 四时的脉象
'si'shi'qi'hou'bian'hua 四时气候变化
'si'shi'qi'hou'bian'hua'er'yan 四时气候变化而言
'si'shi'qi'hou'de'bian'hua 四时气候的变化
'si'shi'qi'hou'de'bian'qian 四时气候的变迁
'si'shi'wen'bing 四时温病
'si'shi'zhi'fa'cheng 四时之法成
'si'wang 死亡
'si'wei 思维
'si'ze'qi'jie 思则气结
'si'ze'xin'you'suo'cun 思则心有所存
'si'zhen 四诊
'si'zhi 四肢
'si'zhi'bai'hai 四肢百骸
'si'zhi'chou'chu 四肢抽搐
'si'zhi'jiu'qiao 四肢九窍
'si'zhi'jue'leng 四肢厥冷
'si'zhi'ma'mu 四肢麻木
'si'zhi'wu'li 四肢无力
'song'cui'yi'zhe 松脆易折
'su'shi'ting'zhi 宿食停滞
'su'ti'fei'pang 素体肥胖
'su'ti'qi'xu 素体气虚
'su'ti'zhong'han 素体中寒
'su'wen'xuan'ming'wu'qi'pian 素问宣明五气篇
'suan'xian'ren'gan 酸先人肝
'sui'hai 髓海
'sui'hai'bu'chong 髓海不充
'sui'he'gu'de'gong'neng'shi'tiao 髓和骨的功能失调
'sui'jin'ye'zhi'wai'xie'bao'tuo'wang'shi 随津液之外泄暴脱亡失
'sui'ju'gu'zhong 髓居骨中
'sui'lu 岁露
'sui'xue'tuo'yi 随血脱逸
'sui'you'jing'sheng 髓由精生
'sun'hao'fei'qi'he'fei'yin 损耗肺气和肺阴
'sun'hao'ge'zang'zhi'yin 损耗各脏之阴
'sun'hao'shen'yang 损耗肾阳
'sun'ji'shen'yang 损及肾阳
'sun'ji'yu'shen 损及于肾
'sun'luo 孙络
'sun'qi'pian'sheng 损其偏盛
'sun'qi'you'yu 损其有余
'sun'shang'ji'rou'jin'gu 损伤肌肉筋骨
'sun'shang'pi'qi 损伤脾气
'sun'shang'ren'ti'de'zheng'qi 损伤人体的正气
'sun'shang'wei'qi 损伤胃气
'sun'shang'wei'zhi'yang'qi 损伤胃之阳气
'sun'shang'xin'pi 损伤心脾
'sun'shang'yang'qi 损伤阳气
'suo'sheng'bing 所生病
'suo'sheng'bing'zhe 所生病者
'suo'shu'zang'fu'de'gong'neng'ge'yi 所属脏腑的功能各异
'suo'wei'tong'bing'yi'zhi'ye 所谓同病异治也
'suo'wei'zhi'wei'bing'zhe 所谓治未病者
'suo'xing'cheng'de'bing'li'chan'wu 所形成的病理产物
'suo'yi'lao'nian'shen'xie 所以老年慎泻
'suo'yi'ren'wu'zhe'wei'zhi'xin 所以任物者谓之心
'tai'cang 太仓
'tai'ji'quan 太极拳
'tai'yang 太阳
'tai'yang'zhi'mai 太阳之脉
'tai'yang'zhong'zhe 太阳终者
'tai'yin 太阴
'tai'yun 胎孕
'tan'duo'chuan'man 痰多喘满
'tan'he 痰核
'tan'hua 炭化
'tan'huo 痰火
'tan'huo'nei'yu'shang'fei 痰火内郁伤肺
'tan'huo'rao'xin 痰火扰心
'tan'huo'shang'rao 痰火上扰
'tan'kui'yu'fei 痰奎于肺
'tan'mi'xin'qiao 痰迷心窍
'tan'qi 痰气
'tan'qi'huo'qi'xue'hu'jie 痰气或气血互结
'tan'qi'jiao'zu 痰气交阻
'tan'qi'ning'jie'yan'hou 痰气凝结咽喉
'tan're'hua'huo 痰热化火
'tan're'shang'rao 痰热上扰
'tan'shao'er'zhan 痰少而粘
'tan'shi 痰湿
'tan'shi'guo'sheng 痰湿过盛
'tan'shi'kui'fei 痰湿奎肺
'tan'shi'shi'ji 痰湿食积
'tan'ting'yu'wei 痰停于胃
'tan'xian'sai'sai 痰涎塞塞
'tan'ye 痰液
'tan'yin 痰饮
'tan'yin'bing'zheng 痰饮病证
'tan'yin'pian 痰饮篇
'tan'yu'zu'zhi'xin'mai 痰瘀阻滞心脉
'tan'zai'jing'luo'jin'gu 痰在经络筋骨
'tan'ze'sui'qi'sheng'jiang'liu'xing 痰则随气升降流行
'tan'zhi'zai'fei 痰滞在肺
'tan'zhong'dai'xue 痰中带血
'tan'zhuo'meng'bi'xin'bao 痰浊蒙蔽心包
'tan'zhuo'nei'ju'shang'fan 痰浊内聚上泛
'tan'zhuo'nei'sheng 痰浊内生
'tan'zhuo'nei'zu 痰浊内阻
'tan'zhuo'nei'zu'fei'luo 痰浊内阻肺络
'tan'zhuo'ning'ju 痰浊凝聚
'tan'zhuo'sai'zu 痰浊塞阻
