'a'bo'ding'an'na'bo'li'si'yi'chang 阿伯丁安纳波利斯异常
'bi'chu'xing'mai'luo'mo'chu'xie 逼出性脉络膜出血
'bi'chu'xue'bi'nv 鼻出血鼻衄
'bi'chuang'zuo'xing'qie'duan 臂创作性切断
'bi'chun'gou'e'xing'zhong'liu 鼻唇沟恶性肿瘤
'bi'chun'gou'liang'xing'zhong'liu 鼻唇沟良性肿瘤
'bi'chun'nang'zhong 鼻唇囊肿
'bi'cong'e'xing'shen'jing'zhong'liu 臂丛恶性神经肿瘤
'bi'cong'shen'jing'gen'yan 臂丛神经根炎
'bi'cong'shen'jing'liang'xing'zhong'liu 臂丛神经良性肿瘤
'bi'cong'shen'jing'sun'hai 臂丛神经损害
'bi'cong'shen'jing'sun'shang 臂丛神经损伤
'bi'cong'shen'jing'tong'bi'cong'shen'jing'bing 臂丛神经痛臂丛神经病
'bi'cong'shen'jing'yan 臂丛神经炎
'bi'cong'shen'jing'yi'wei 臂丛神经移位
'bi'cuo'shang 鼻挫伤
'bi'da'nao'mao'mei'jun'bing 鼻大脑毛霉菌病
'bi'ding'qu'shen'jing'zong'he'zheng 鼻定区神经综合征
'bi'ding'si'de'ming'zhong'du 吡啶斯的明中毒
'bi'ding'si'de'ming'zi'sha 吡啶斯的明自杀
'bi'dong'shang'ban'you'zu'zhi'huai'si 臂冻伤伴有组织坏死
'bi'dou'dao'ren'he'bi'dou'jie'he'bing'wei'ti'ji'xi'jun'xue'huo'zu'zhi'xue'de'zheng'shi 鼻窦道任何鼻窦结核病未提及细菌学或组织学的证实
'bi'dou'e'xing'lin'ba'liu 鼻窦恶性淋巴瘤
'bi'dou'e'xing'zhong'liu 鼻窦恶性肿瘤
'bi'dou'jie'he'wei'ti'ji'xi'jun'xue'huo'zu'zhi'xue'de'zheng'shi 鼻窦结核未提及细菌学或组织学的证实
'bi'dou'jie'shi 鼻窦结石
'bi'dou'kai'fang'xing'gu'zhe 鼻窦开放性骨折
'bi'dou'liang'xing'zhong'liu 鼻窦良性肿瘤
'bi'dou'lou 鼻窦瘘
'bi'dou'nang'zhong 鼻窦囊肿
'bi'dou'nong'zhong 鼻窦脓肿
'bi'dou'rou'ya'zhong 鼻窦肉芽肿
'bi'dou'xi'rou 鼻窦息肉
'bi'dou'xue'guan'liu 鼻窦血管瘤
'bi'dou'yan 鼻窦炎
'bi'dou'yi'wu'jing'qiang'kou'jin'ru 鼻窦异物经腔口进入
'bi'duo'chun'que'fa'yan'sheng'wu 吡哆醇缺乏衍生物
'bi'duo'chun'you'xiao'xing'tie'li'you'hong'xi'bao'xing'pin'xue 吡哆醇有效性铁粒幼红细胞性贫血
'bi'e'bu'nao'peng'chu 鼻额部脑膨出
'bi'e'xing'hei'se'su'liu 鼻恶性黑色素瘤
'bi'e'xing'zhong'liu 鼻恶性肿瘤
'bi'er'de'shi'bing 比尔德氏病
'bi'er'ge'ge'er'ci'xing 比尔格格尔茨型
'bi'er'mo'shi'bing 比尔默氏病
'bi'er'shuo'fu'si'ji'yang'si'ji'bing 比尔朔夫斯基扬斯基病
'bi'fei'da 鼻肥大
'bi'feng'wo'zhi'yan 臂蜂窝织炎
'bi'feng'wo'zhi'yan 鼻蜂窝织炎
'bi'gou'yuan'wei'ai 鼻沟原位癌
'bi'gu'fei'da 鼻骨肥大
'bi'gu'gu'zhe 鼻骨骨折
'bi'gu'jie'he 鼻骨结核
'bi'gu'kai'fang'xing'gu'zhe 鼻骨开放性骨折
'bi'gu'liang'xing'zhong'liu 鼻骨良性肿瘤
'bi'gu'zhe 臂骨折
'bi'hou'kong'hou'yuan'e'xing'zhong'liu 鼻后孔后缘恶性肿瘤
'bi'hou'kong'liang'xing'zhong'liu 鼻后孔良性肿瘤
'bi'hou'tian'xing'que'shi 臂后天性缺失
'bi'hou'tian'xing'que'shi 鼻后天性缺失
'bi'huai'si 鼻坏死
'bi'huo'tui'jia'xing'tan'huan 臂或腿假性瘫痪
'bi'ji'xing'lin'ba'guan'yan 臂急性淋巴管炎
'bi'jia'e'xing'zhong'liu 鼻甲恶性肿瘤
'bi'jia'fei'da 鼻甲肥大
'bi'jia'nang'zhong 鼻甲囊肿
'bi'jia'xi'rou 鼻甲息肉
'bi'jia'zhan'lian 鼻甲粘连
'bi'jiao'jie'e'xing'zhong'liu 臂交界恶性肿瘤
'bi'jiao'xing'qing'guang'yan 闭角型青光眼
'bi'jie'di'zu'zhi'liang'xing'zhong'liu 臂结缔组织良性肿瘤
'bi'jie'he'bing'jing'xi'jun'xue'he'zu'zhi'xue'suo'zheng'shi 鼻结核病经细菌学和组织学所证实
'bi'jie'he'wei'ti'ji'xi'jun'xue'huo'zu'zhi'xue'de'zheng'shi 鼻结核未提及细菌学或组织学的证实
'bi'jie'shi 鼻结石
'bi'jing 闭经
'bi'ju 鼻疽
'bi'ju'jia'dan'bao'jun'gan'ran 鼻疽假单胞菌感染
'bi'kai'fang'xing'sun'shang'ban'gan'ran 鼻开放性损伤伴感染
'bi'kong'bi'suo 鼻孔闭锁
'bi'kong'shan 闭孔疝
'bi'kong'shan'fu'de 闭孔疝腹的
'bi'kong'shen'jing'sun'shang 闭孔神经损伤
'bi'kui'yang 鼻溃疡
'bi'lei'guan'bi'suo 鼻泪管闭锁
'bi'lei'guan'e'xing'zhong'liu 鼻泪管恶性肿瘤
'bi'lei'guan'zu'se 鼻泪管阻塞
'bi'liang'xing'zhong'liu 鼻良性肿瘤
'bi'lie 鼻裂
'bi'lin'ba'rou'liu 鼻淋巴肉瘤
'bi'lin'dan'bao'jun'chang'yan 吡邻单胞菌肠炎
'bi'lou 鼻瘘
'bi'ma'zi'zhong'du 蓖麻子中毒
'bi'mei'du 鼻梅毒
'bi'nao'mo'peng'chu 鼻脑膜膨出
'bi'nei'e'xing'zhong'liu 鼻内恶性肿瘤
'bi'nei'yi'wu 鼻内异物
'bi'nong'zhong 臂脓肿
'bi'nong'zhong 鼻脓肿
'bi'pi'fu'jiao'jie'e'xing'zhong'liu 臂皮肤交界恶性肿瘤
'bi'pi'nei'zhi 鼻皮内痣
'bi'pi'xia'zu'zhi'fei'xi'chong'gan'ran 臂皮下组织肺吸虫感染
'bi'qian'biao'dong'shang 臂浅表冻伤
'bi'qian'biao'sun'shang 鼻浅表损伤
'bi'qian'hou'kong'xia'zhai 鼻前后孔狭窄
'bi'qian'ting'bi'zhong'ge'kui'yang 鼻前庭鼻中隔溃疡
'bi'qian'ting'e'xing'zhong'liu 鼻前庭恶性肿瘤
'bi'qian'ting'liang'xing'zhong'liu 鼻前庭良性肿瘤
'bi'qian'ting'nang'zhong 鼻前庭囊肿
'bi'qian'ting'yan 鼻前庭炎
'bi'qiang'bi'dou'e'xing'zhong'liu 鼻腔鼻窦恶性肿瘤
'bi'qiang'dong'tai'wei'ding'de'zhong'liu 鼻腔动态未定的肿瘤
'bi'qiang'e'xing'lin'ba'liu 鼻腔恶性淋巴瘤
'bi'qiang'e'xing'zhong'liu 鼻腔恶性肿瘤
'bi'qiang'jiao'jie'e'xing'zhong'liu 鼻腔交界恶性肿瘤
'bi'qiang'liang'xing'zhong'liu 鼻腔良性肿瘤
'bi'qiang'nao'ji'mo'liu 鼻腔脑脊膜瘤
'bi'qiang'xi'rou 鼻腔息肉
'bi'qiang'xia'zhai 鼻腔狭窄
'bi'qiang'xue'guan'liu 鼻腔血管瘤
'bi'qiang'ya 鼻腔牙
'bi'qiang'yi'wu 鼻腔异物
'bi'qiang'yuan'wei'ai 鼻腔原位癌
'bi'qiang'zhan'lian 鼻腔粘连
'bi'qiang'zhong'wu 鼻腔肿物
'bi'qie'ji 鼻切迹
'bi'ruan'gu'e'xing'zhong'liu 鼻软骨恶性肿瘤
'bi'se 鼻塞
'bi'se'xing'dong'mai'yan 闭塞性动脉炎
'bi'se'xing'dong'mai'ying'hua 闭塞性动脉硬化
'bi'se'xing'gan'jing'mai'nei'mo'yan 闭塞性肝静脉内膜炎
'bi'se'xing'nao'xue'guan'bing 闭塞性脑血管病
'bi'se'xing'qia'dong'mai'ying'hua 闭塞性髂动脉硬化
'bi'se'xing'shi'wang'mo'dong'mai'yan 闭塞性视网膜动脉炎
'bi'se'xing'xi'zhi'qi'guan'yan 闭塞性细支气管炎
'bi'se'xing'xue'shuan'xing'mai'guan'yan'xue'shuan'bi'se'xing'mai'guan'yan 闭塞性血栓性脉管炎血栓闭塞性脉管炎
'bi'se'xing'zhi'ti'dong'mai'ying'hua 闭塞性肢体动脉硬化
'bi'shao'shang 鼻烧伤
'bi'shen'jing'ma'bi 臂神经麻痹
'bi'sun'shang 臂损伤
'bi'sun'shang 鼻损伤
'bi'sun'shang'de'wan'qi'xiao'ying 鼻损伤的晚期效应
'bi'suo'xing'lan'wei 闭锁性阑尾
'bi'suo'zong'he'zheng 闭锁综合征
'bi'xi'rou 鼻息肉
'bi'xian'liu'xing'xi'rou 鼻腺瘤性息肉
'bi'xu'zhi'zhi'fang'suan 必需脂脂肪酸
'bi'xue'guan'liu 鼻血管瘤
'bi'xue'zhong 鼻血肿
'bi'yan 鼻炎
'bi'yan'bai'hou 鼻咽白喉
'bi'yan'bi'e'xing'zhong'liu 鼻咽壁恶性肿瘤
'bi'yan'bi'suo 鼻咽闭锁
'bi'yan'bu'chu'xie 鼻咽部出血
'bi'yan'bu'nang'zhong 鼻咽部囊肿
'bi'yan'bu'xue'guan'liu 鼻咽部血管瘤
'bi'yan'ce'bi'e'xing'zhong'liu 鼻咽侧壁恶性肿瘤
'bi'yan'ce'bi'yan'gu'guan'kai'kou'e'xing'zhong'liu 鼻咽侧壁咽鼓管开口恶性肿瘤
'bi'yan'ce'bi'yan'yin'wo'e'xing'zhong'liu 鼻咽侧壁咽隐窝恶性肿瘤
'bi'yan'di'e'xing'zhong'liu 鼻咽底恶性肿瘤
'bi'yan'dian'fen'yang'bian'xing 鼻咽淀粉样变性
'bi'yan'ding'e'xing'zhong'liu 鼻咽顶恶性肿瘤
'bi'yan'e'xing'zhong'liu 鼻咽恶性肿瘤
'bi'yan'hou'bi'e'xing'zhong'liu 鼻咽后壁恶性肿瘤
'bi'yan'hou'bi'xian'yang'ti'e'xing'zhong'liu 鼻咽后壁腺样体恶性肿瘤
'bi'yan'hou'bi'yan'bian'tao'ti'e'xing'zhong'liu 鼻咽后壁咽扁桃体恶性肿瘤
'bi'yan'jiao'da'kua'yue'de'e'xing'zhong'liu 鼻咽交搭跨越的恶性肿瘤
'bi'yan'jie'he'bing'jing'xi'jun'xue'he'zu'zhi'xue'suo'zheng'shi 鼻咽结核病经细菌学和组织学所证实
'bi'yan'jie'he'bing'wei'ti'ji'xi'jun'xue'huo'zu'zhi'xue'de'zheng'shi 鼻咽结核病未提及细菌学或组织学的证实
'bi'yan'liang'xing'zhong'liu 鼻咽良性肿瘤
'bi'yan'qian'bi'e'xing'zhong'liu 鼻咽前壁恶性肿瘤
'bi'yan'shang'bi'e'xing'zhong'liu 鼻咽上壁恶性肿瘤
'bi'yan'xi'rou 鼻咽息肉
'bi'yan'yan 鼻咽炎
'bi'yan'yi'wu 鼻咽异物
'bi'yan'ying'qu'bing 鼻咽蝇蛆病
'bi'yan'zhan'lian 鼻咽粘连
'bi'yan'zhan'lian'yu'bi'jia'zhong'ge 鼻咽粘连与鼻甲中隔
'bi'yan'zhong'wu 鼻咽肿物
'bi'ye'lu'mu'an'dian 比耶鲁姆暗点
'bi'ye'te'shi'bing 比耶特氏病
'bi'yi'ji'xing 鼻翼畸形
'bi'yi'ta'xian'zheng 鼻翼塌陷症
'bi'yi'wei'yue'jing 鼻异位月经
'bi'yi'xian'chong'bing 比翼线虫病
'bi'yin'guo'zhong'he'bi'yin'guo'qing 鼻音过重和鼻音过轻
'bi'ying'jie'bing 鼻硬结病
'bi'yun'ge'ren'shi 避孕个人史
'bi'yun'huan'can'liu 避孕环残留
'bi'yun'huan'qian'dun 避孕环嵌顿
'bi'yun'huan'yi'wei 避孕环移位
'bi'yun'wen'ti 避孕问题
'bi'yun'yao'de'jian'du 避孕药的监督
'bi'yun'yao'yao'wu'fan'ying 避孕药药物反应
'bi'yun'yao'zhong'du 避孕药中毒
'bi'yun'zhuang'zhi'de'chong'xin'fang'zhi 避孕装置的重新放置
'bi'zhong'ge'chuan'kong 鼻中隔穿孔
'bi'zhong'ge'e'xing'zhong'liu 鼻中隔恶性肿瘤
'bi'zhong'ge'gu'ji'ci 鼻中隔骨嵴刺
'bi'zhong'ge'hou'yuan'e'xing'zhong'liu 鼻中隔后缘恶性肿瘤
'bi'zhong'ge'hou'yuan'liang'xing'zhong'liu 鼻中隔后缘良性肿瘤
'bi'zhong'ge'huai'si 鼻中隔坏死
'bi'zhong'ge'jing'mai'qu'zhang'kui'yang 鼻中隔静脉曲张溃疡
'bi'zhong'ge'kui'yang 鼻中隔溃疡
'bi'zhong'ge'liang'xing'zhong'liu 鼻中隔良性肿瘤
'bi'zhong'ge'nong'zhong 鼻中隔脓肿
'bi'zhong'ge'pian'qu 鼻中隔偏曲
'bi'zhong'ge'rou'ya'zhong 鼻中隔肉芽肿
'bi'zhong'ge'ruan'gu'tuo'wei 鼻中隔软骨脱位
'bi'zhong'ge'xi'rou 鼻中隔息肉
'bi'zhong'ge'xue'zhong 鼻中膈血肿
'bi'zhui 鼻赘
'bian'chong'bing 鞭虫病
'bian'dou'zhong'du 扁豆中毒
'bian'hua'yi'chang'xing'ren'ge'zhang'ai 变化异常型人格障碍
'bian'lian 扁脸
'bian'lu'di'lu'di'ao'xian'zheng'huan'zhui'zhen'gu'bing'lian 扁颅底颅底凹陷症寰椎枕骨并联
'bian'mao'chong'xing'fu'xie 鞭毛虫性腹泻
'bian'mi'dan'chun'xing'jing'luan'xing 便秘单纯性痉挛性
'bian'ping'huang'liu 扁平黄瘤
'bian'ping'jiao'mo 扁平角膜
'bian'ping'kuan 扁平髋
'bian'ping'tai'xuan 扁平苔癣
'bian'ping'you 扁平疣
'bian'ping'zhi'zhi'jia 扁平指趾甲
'bian'ping'zu 扁平足
'bian'se'xing'pi'xuan 变色性皮癣
'bian'suo'yang'sun'shang 鞭索样损伤
'bian'tai'fan'ying'xing'hong'mo'jie'zhuang'ti'yan 变态反应性虹膜睫状体炎
'bian'tai'fan'ying'xing'nao'yan 变态反应性脑炎
'bian'tai'fan'ying'xing'zhi'qi'guan'fei'qu'jun'bing 变态反应性支气管肺曲菌病
'bian'tai'fan'ying'xing'zhi'qi'guan'xiao'chuan 变态反应性支气管哮喘
'bian'tai'guo'min'fan'ying 变态过敏反应
'bian'tao'can'ti'yan 扁桃残体炎
'bian'tao'ti'bai'hou 扁桃体白喉
'bian'tao'ti'can'ti 扁桃体残体
'bian'tao'ti'e'de'yan'men'liang'xing'zhong'liu 扁桃体腭的咽门良性肿瘤
'bian'tao'ti'e'xing'lin'ba'liu 扁桃体恶性淋巴瘤
'bian'tao'ti'e'xing'zhong'liu 扁桃体恶性肿瘤
'bian'tao'ti'fei'da 扁桃体肥大
'bian'tao'ti'fei'da'ban'zeng'zhi'xian'fei'da 扁桃体肥大伴增殖腺肥大
'bian'tao'ti'ji'fa'xing'e'xing'zhong'liu 扁桃体继发性恶性肿瘤
'bian'tao'ti'jiao'da'kua'yue'de'e'xing'zhong'liu 扁桃体交搭跨越的恶性肿瘤
'bian'tao'ti'jiao'hua'zheng 扁桃体角化症
'bian'tao'ti'jie'he'wei'ti'ji'xi'jun'xue'huo'zu'zhi'xue'de'zheng'shi 扁桃体结核未提及细菌学或组织学的证实
'bian'tao'ti'jie'shi 扁桃体结石
'bian'tao'ti'kui'yang 扁桃体溃疡
'bian'tao'ti'nang'zhong 扁桃体囊肿
'bian'tao'ti'nong'zhong 扁桃体脓肿
'bian'tao'ti'qu'mei'bing 扁桃体曲霉病
'bian'tao'ti'shu'hou'ge'ren'shi 扁桃体术后个人史
'bian'tao'ti'wo'e'xing'zhong'liu 扁桃体窝恶性肿瘤
'bian'tao'ti'wo'liang'xing'zhong'liu 扁桃体窝良性肿瘤
'bian'tao'ti'xi'rou 扁桃体息肉
'bian'tao'ti'yan'ban'liu'gan 扁桃体炎伴流感
'bian'tao'ti'yan'yan 扁桃体咽炎
'bian'tao'ti'zeng'sheng 扁桃体增生
'bian'tao'ti'zhong'liu 扁桃体肿瘤
'bian'tao'ti'zhong'wu 扁桃体肿物
'bian'tao'ti'zhou'wei'feng'wo'zu'zhi'yan 扁桃体周围蜂窝组织炎
'bian'tao'ti'zhou'wei'nong'zhong 扁桃体周围脓肿
'bian'tao'ti'zhou'wei'yan 扁桃体周围炎
'bian'tao'ti'zhu'e'xing'zhong'liu 扁桃体柱恶性肿瘤
'bian'tao'xian'yan 扁桃腺炎
'bian'tao'xin'zang'zong'he'zheng 扁桃心脏综合征
'bian'xie 便血
'bian'xing'bing'fa'xing'bai'nei'zhang 变性并发性白内障
'bian'xing'gan'jun'gan'ran 变形杆菌感染
'bian'xing'gan'jun'xing'bai'xue'zheng 变形杆菌性败血症
'bian'xing'gan'jun'xing'chang'yan 变形杆菌性肠炎
'bian'xing'gan'jun'xing'fei'yan 变形杆菌性肺炎
'bian'xing'gan'jun'xing'nao'mo'yan 变形杆菌性脑膜炎
'bian'xing'xing'bei'bu'bing 变形性背部病
'bian'xing'xing'gu'yan 变形性骨炎
'bian'xing'xing'ji'zhang'li'zhang'ai 变形性肌张力障碍
'bian'xing'xing'ji'zhu'yan 变形性脊柱炎
'bian'xing'xing'jiao'mo'hun'zhuo 变性性角膜混浊
'bian'xing'xing'jin'shi 变性性近视
'bian'xing'xing'mian'ji'chou'chu 变性性面肌抽搐
'bian'xing'xing'quan'shen'xing'ju'bu'xing'chou'chu 变性性全身性局部性抽搐
'bian'xing'xing'yuan'fa'xing'chi'dai 变性性原发性痴呆
'bian'yi'xing'ge'lin'ba'li'zong'he'zheng 变异型格林巴利综合征
'bian'yi'xing'xin'jiao'tong 变异型心绞痛
'bian'ying'xing'guan'jie'yan 变应性关节炎
'bian'ying'xing'jie'mo'yan 变应性结膜炎
'bian'ying'xing'rou'ya'zhong'xing'xue'guan'yan 变应性肉芽肿性血管炎
'bian'ying'xing'shi'suan'li'xi'bao'zeng'duo 变应性嗜酸粒细胞增多
'bian'ying'xing'tou'tong 变应性头痛
'bian'ying'xing'wai'yin'xing'fei'pao'yan 变应性外因性肺泡炎
'bian'ying'xing'wei'yan 变应性胃炎
'bian'ying'xing'xue'guan'yan 变应性血管炎
'bian'ying'xing'xun'ma'zhen 变应性荨麻疹
'bian'ying'xing'ya'bai'xue'zheng 变应性亚败血症
'bian'ying'xing'zhong'er'yan 变应性中耳炎
'bian'ying'xing'zi'dian 变应性紫癜
'bian'yuan'e'xing'zhong'liu 边缘恶性肿瘤
'bian'yuan'qu'biao'zhuang'hui'yan'zhe'e'xing'zhong'liu 边缘区杓状会厌褶恶性肿瘤
'bian'yuan'xi'tong'dian'xian 边缘系统癫痫
'bian'yuan'xing'dian'xian'xing'ren'ge'zong'he'zheng 边缘性癫痫性人格综合征
'bian'yuan'xing'hong'ban 边缘性红斑
'bian'yuan'xing'qian'zhi'tai'pan'bu'ban'chu'xie 边缘性前置胎盘不伴出血
'bian'yuan'xing'qian'zhi'tai'pan'huo'ban'chu'xie 边缘性前置胎盘或伴出血
'bian'yuan'xing'yin'yan 边缘性龈炎
'bian'yuan'zhuang'tai'jing'shen'fen'lie'zheng 边缘状态精神分裂症
'biao'ceng'tuo'luo'xing'shi'guan'yan 表层脱落性食管炎
'biao'da'xing'shi'yu 表达性失语
'biao'ju 瘭疽
'biao'mian'de'mei'jun'bing 表面的霉菌病
'biao'pi'tuo'luo'xing'cuo'chuang 表皮脱落性痤疮
'biao'pi'yang'nang'zhong 表皮样囊肿
'biao'qian'ju'xian'zhong'kuai 表浅局限肿块
'biao'qian'pi'fu'kui'yang 表浅皮肤溃疡
'biao'qian'sun'shang'de'hou'yi'zheng 表浅损伤的后遗症
'biao'yan'xing'ren'ge'zhang'ai 表演型人格障碍
'biao'zhuang'hui'yan'zhe'bian'yuan'qu'yuan'wei'ai 杓状会厌褶边缘区原位癌
'biao'zhuang'hui'yan'zhe'hou'mian'e'xing'zhong'liu 杓状会厌褶喉面恶性肿瘤
'biao'zhuang'hui'yan'zhe'hou'mian'yuan'wei'ai 杓状会厌褶喉面原位癌
'biao'zhuang'hui'yan'zhe'yan'xia'mian'e'xing'zhong'liu 杓状会厌褶咽下面恶性肿瘤
'biao'zhuang'hui'yan'zhe'yan'xia'mian'yuan'wei'ai 杓状会厌褶咽下面原位癌
'bie'he'jie'lie'fu'shi'bing 别赫捷列夫氏病
'bin'gu'ban'tuo'wei 髌骨半脱位
'bin'gu'chu'ji'gu'hua'zhong'xin 髌骨初级骨化中心
'bin'gu'ci'ji'gu'hua'zhong'xin 髌骨次级骨化中心
'bin'gu'duo'kai'xing'tuo'wei 髌骨哆开性脱位
'bin'gu'gu'zhe 髌骨骨折
'bin'gu'ji'huan 髌股疾患
'bin'gu'ji'huan 髌骨疾患
'bin'gu'ji'jian'yan 髌骨肌腱炎
'bin'gu'qi'ta'ji'huan 髌骨其他疾患
'bin'gu'qi'ta'wen'luan 髌骨其他紊乱
'bin'gu'qian'nian'ye'nang'yan 髌骨前粘液囊炎
'bin'gu'ruan'gu'ruan'hua 髌骨软骨软化
'bin'gu'tuo'wei 髌骨脱位
'bin'qian'zhi'zhi'hua'mo'yan 髌前脂质滑膜炎
'bin'si'wan'ge'shi'bing'zao'lao'xing'chi'dai'de'yi'zhong 宾斯万格氏病早老性痴呆的一种
'bin'si'wang'ge'bing 宾斯旺格病
'bin'you'nian'xing'gu'ruan'gu'ruan'gu'bing 髌幼年型骨软骨软骨病
'bing'chun'de'du'xing'xiao'ying 丙醇的毒性效应
'bing'dou'zong'he'zheng 病窦综合征
'bing'du'gan'ran 病毒感染
'bing'du'gan'ran'bing'fa'yu'ren'shen'fen'mian'he'chan'ru'qi 病毒感染并发于妊娠分娩和产褥期
'bing'du'xing'bing'yuan'ti'yin'qi'de'xian'tian'xing'fei'yan 病毒性病原体引起的先天性肺炎
'bing'du'xing'chang'yan 病毒性肠炎
'bing'du'xing'chang'yan'bing'fa'yu'ren'shen'fen'mian'he'chan'ru'qi 病毒性肠炎并发于妊娠分娩和产褥期
'bing'du'xing'chu'xue're 病毒性出血热
'bing'du'xing'fei'yan 病毒性肺炎
'bing'du'xing'fei'yan'ban'liu'gan 病毒性肺炎伴流感
'bing'du'xing'gan'mao 病毒性感冒
'bing'du'xing'gan'yan 病毒性肝炎
'bing'du'xing'gan'yan'ban'gan'hun'mi 病毒性肝炎伴肝昏迷
'bing'du'xing'gan'yan'bing'fa'yu'ren'shen'fen'mian'he'chan'ru'qi 病毒性肝炎并发于妊娠分娩和产褥期
'bing'du'xing'gan'yan'chong'die'gan'ran 病毒性肝炎重叠感染
'bing'du'xing'gan'yan'dai'jun'zhe 病毒性肝炎带菌者
'bing'du'xing'gan'yan'de'wan'qi'xiao'ying 病毒性肝炎的晚期效应
'bing'du'xing'jiao'mo'kui'yang 病毒性角膜溃疡
'bing'du'xing'jiao'mo'yan 病毒性角膜炎
'bing'du'xing'jie'mo'yan 病毒性结膜炎
'bing'du'xing'nao'mo'nao'yan 病毒性脑膜脑炎
'bing'du'xing'nao'mo'yan 病毒性脑膜炎
'bing'du'xing'nao'yan 病毒性脑炎
'bing'du'xing'nao'yan'hou'yi'zheng 病毒性脑炎后遗症
'bing'du'xing'nian'mo'zhen 病毒性粘膜疹
'bing'du'xing'pi'zhen 病毒性皮疹
'bing'du'xing'shang'hu'xi'dao'gan'ran 病毒性上呼吸道感染
'bing'du'xing'wei'chang'bing 病毒性胃肠病
'bing'du'xing'wei'chang'yan 病毒性胃肠炎
'bing'du'xing'xin'bao'yan 病毒性心包炎
'bing'du'xing'xin'ji'xin'bao'yan 病毒性心肌心包炎
'bing'du'xing'xin'ji'yan 病毒性心肌炎
'bing'du'xing'xin'yan 病毒性心炎
'bing'du'xing'yan'hou'tong 病毒性咽喉痛
'bing'du'xing'yan'jie'mo'yan're 病毒性咽结膜炎热
'bing'du'xing'yan'yan 病毒性咽炎
'bing'du'xing'you 病毒性疣
'bing'du'xue'zheng 病毒血症
'bing'fa'xing'bai'nei'zhang 并发性白内障
'bing'li'xing'du'bo 病理性赌博
'bing'li'xing'gu'zhe 病理性骨折
'bing'li'xing'guan'jie'tuo'wei 病理性关节脱位
'bing'li'xing'ren'ge 病理性人格
'bing'li'xing'tou'qie 病理性偷窃
'bing'li'xing'zong'huo 病理性纵火
'bing'qi 屏气
'bing'ren'dui'nan'nv'luan'xing'guan'xin 病人对男女乱性关心
'bing'ren'dui'wu'fan'ying'xing'guan'xin 病人对无反应性关心
'bing'ren'dui'xing'qu'xiang'guan'xin 病人对性取向关心
'bing'ren'dui'yang'wei'guan'xin 病人对阳萎关心
'bing'san'chun'san'xiao'suan'zhi'de'du'xing'xiao'ying 丙三醇三硝酸酯的毒性效应
'bing'suan'xue'zheng 丙酸血症
'bing'tai'jia'zhuang'xian'ji'neng'zheng'chang'zong'he'zheng 病态甲状腺机能正常综合征
'bing'tai'ren'ge 病态人格
'bing'tai'xing'fei'pang 病态性肥胖
'bing'tong'niao'zheng 丙酮尿症
'bing'tong'suan'ji'mei'que'fa'xing'pin'xue 丙酮酸激酶缺乏性贫血
'bing'tui'ji'xing'zong'he'zheng 并腿畸形综合征
'bing'wu'suan 丙戊酸
'bing'xiang'bing 冰箱病
'bing'xing'bing'du'xing'gan'yan 丙型病毒性肝炎
'bing'xing'bing'du'xing'huang'dan'xing'gan'yan 丙型病毒性黄疸性肝炎
'bing'xing'fu'shang'han 丙型副伤寒
'bing'xing'nao'yan 丙型脑炎
'bing'zao'nian'dan'bai'chen'ji'zheng 病灶粘蛋白沉积症
'bing'zao'xing'nao'sun'shang 病灶性脑损伤
'bing'zhi 并指
'bing'zhi'bing'zhi 并指并趾
'bo'de'te'gan'jun'bai'ri'ke 博德特杆菌百日咳
'bo'de'te'gan'jun'zhi'qi'guan'bai'xue'xing'bai'ri'ke 博德特杆菌支气管败血性百日咳
'bo'dong'xing'tu'yan 搏动性突眼
'bo'duo'xing'yan'qiu'zhen'chan 剥夺性眼球震颤
'bo'en'bing 博恩病
'bo'en'ha'te'luo'te'bing 伯恩哈特罗特病
'bo'en'si'de'gu'ruan'gu'bing'you'nian'xing 伯恩斯的骨软骨病幼年型
'bo'feng'shu'pi'fei 剥枫树皮肺
'bo'ge'shi'bing 伯格氏病
'bo'ji'te'lin'ba'liu'xiao'fei'he'lie'mi'man'xing'e'xing 伯基特淋巴瘤小非核裂弥漫性恶性
'bo'ji'te'liu 伯基特瘤
'bo'ke'ha'te'nong'pao'bing 伯克哈特脓疱病
'bo'ke'jie'jie'bing 伯克结节病
'bo'li'bing 伯里病
'bo'li'ce'shi'bing 波利策氏病
'bo'li'gong'ren'de'bai'nei'zhang 玻璃工人的白内障
'bo'li'mo'you 玻璃膜疣
'bo'li'ti'bian'xing 玻璃体变性
'bo'li'ti'chu'xie 玻璃体出血
'bo'li'ti'hun'zhuo 玻璃体混浊
'bo'li'ti'ji'hua 玻璃体机化
'bo'li'ti'ji'huan 玻璃体疾患
'bo'li'ti'nei'de'dan'gu'chun 玻璃体内的胆固醇
'bo'li'ti'nong'zhong 玻璃体脓肿
'bo'li'ti'shan 玻璃体疝
'bo'li'ti'shi'wang'mo'ying'yang'zhang'ai 玻璃体视网膜营养障碍
'bo'li'ti'sun'shang 玻璃体损伤
'bo'li'ti'tuo'chu 玻璃体脱出
'bo'li'ti'tuo'li 玻璃体脱离
'bo'li'ti'wei'suo 玻璃体萎缩
'bo'li'ti'xian 玻璃体线
'bo'li'ti'yan 玻璃体炎
'bo'li'ti'ye'hua 玻璃体液化
