'ai'gan'huang'tian'xi'cheng'wei'hui 哀感皇天兮城为隳
'ci'xia'wen'wei'yao'ci 此下文为繇辞
'ci'xia'you'hu'ma 此下有胡马
'ci'xiong'qun'you'yu'shan'e 雌雄群游于山阿
'ci'xiu'wen'bu'ru'yi'shi'men 刺绣文不如倚市门
'ci'yan'suo'wei 此谚所谓
'ci'yi'jian'zuo'zhuan'ran'fei'shi'ye 此亦见左传然非诗也
'ci'yi'jin'ce'zuo'shi'zhi'ye 赐以金策祚世之业
'ci'yi'shi 此逸诗
'ci'yi'shi'ye 此逸诗也
'ci'yi'ying'shi'wei'ge 此亦应视为歌
'ci'yu 此与
'ci'yu'qi 赐羽奇
'ci'yu'ye 此语也
'ci'yun'xian'sheng'yan'er'ju'you'yun 此云先圣言而句有韵
'ci'zai'gong'ji 次载弓既
'ci'zhang'bing 慈掌兵
'cong'biao'yi'shang'lai'shuo 从表意上来说
'cong'e'ru'beng 从恶如崩
'cong'feng'xi 从凤嬉
'cong'hun'fan'niu'bo'ye'ban 从昬饭牛薄夜半
'cong'jin'shu'zhi'xia 从晋书之下
'cong'qi 从其
'cong'qi'you'pi 从其有皮
'cong'qing'zhe'zhou 丛轻折轴
'cong'rong'bu'xia'cao'shu 匆冗不暇草书
'cong'shan'ru'deng 从善如登
'cong'ti'shi'er'yan 从体式而言
'cong'wo'yan'ru 从我焉如
'cong'wo'zhe'zi'hu 从我者子乎
'cong'wu'suo'hao 从吾所好
'cong'wu'suo'hao'qi'le'zhi 从吾所好其乐只
'cong'zheng'bu'xie 从正不邪
'cu'bi'xi'tu 徂彼西土
'cu'bu'yi'xi'yun'lv 麤布衣兮缊缕
'cui'bao 崔豹
'cui'shi 崔寔
'cun'wu'wang'wang 存无忘亡
'da'chen'zai'er'ce 大臣在尔侧
'da'dai'ji 大戴记
'da'dai'li 大戴礼
'da'dai'li'ji 大戴礼记
'da'dai'li'ji'jie'gu 大戴礼记解诂
'da'dao'ge 大道歌
'da'dao'yin'xi'li'wei'ji 大道隠兮礼为基
'da'di'gong 达帝功
'da'di'ke'shi'wei'xian'qin 大抵可视为先秦
'da'dong 大东
'da'fu'jun'zi 大夫君子
'da'geng'gui'ge 答庚癸歌
'da'guan'ruo'ji 大冠若箕
'da'hu 大护
'da'kuang 大匡
'da'lue'pian 大略篇
'da'ming'er'bu'ke'cheng 大命而不可称
'da'ming'qi'qing 大命其倾
'da'qi'dou'zhe'wei'qi'jun 大其都者危其君
'da'ru'dou 大如斗
'da'she'yi 大射义
'da'she'yi 大射仪
'da'sheng 大声
'da'shi'ji 大事记
'da'shi'le 大师乐
'da'sui'zhi'wai'qi'le'ye'xie'xie 大隧之外其乐也泄泄
'da'sui'zhi'zhong'qi'le'ye'rong'rong 大隧之中其乐也融融
'da'tang'ge 大唐歌
'da'ti'pian 大体篇
'da'wu 大武
'da'wu'yuan'zhai'bu'she 大武远宅不涉
'da'xi'xian'ming 达西县名
'da'xue 大学
'da'ya 大雅
'da'yu'zuo 大禹作
'da'zhao 大招
'da'zheng'zhen 大正箴
'da'zhou'zheng'guang'you'xu'wu'ci 大周正光有序无辞
'da'zong'shi 大宗师
'dai'fu'shi'ri'qin'se'yu 大夫士日琴瑟御
'dai'fu'wen'zhong 大夫文种
'dai'fu'zhong 大夫种
'dai'he 待核
'dai'he'cha'shang'shu'da'zhuan 待核查尚书大传
'dai'hu'dai'hu 殆乎殆乎
'dai'kao 待考
'dai'ming 带铭
'dai'qiu'mu 带丘墓
'dai'sheng'jing'zhe'mie 怠胜敬者灭
'dai'wo'dong'qiang 贷我东墙
'dai'wo'dong'qiang'chang'wo'bai'liang 贷我东墙偿我白粱
'dai'zhi'yi'wei'fu 带之以为服
'dan'du'zuo'wei'yi'juan 单独作为一卷
'dan'fu'dan'xi 旦复旦兮
'dan'ge 弹歌
'dan'jia'ge 弹铗歌
'dan'qi'ruo'he 丹漆若何
'dan'shu 丹书
'dan'xi'yu'shi'wo'jia 旦夕欲噬我猳
'dang'bing'fei'ji'lu'zi'yuan'wen 当并非辑录自原文
'dang'chu'zi'shi'ji 当出自史记
'dang'cong 当从
'dang'cong'wen'xian'shi'dai 当从文献时代
'dang'duan'bu'duan 当断不断
'dang'ke'shi'wei 当可视为
'dang'ru'han 当入汉
'dang'shi'ling'yi'zhang'qi'ju 当是另一章起句
'dang'shi'qi'suo'jian'xian'qin'yan 当是其所见先秦谚
'dang'shi'shi'cha 当是失察
'dang'shi'shi'wu 当是失误
'dang'shi'shu'wu 当是疏误
'dang'shi'wei'han'yan 当视为汉谚
'dang'shi'wei'liang'tiao 当视为两条
'dang'shi'wei'xian'qin'yan 当视为先秦谚
'dang'shi'you'qing'ming 当时有清名
'dang'shi'you'wu'ming 当时有污名
'dang'shi'you'yan'yue 当时有喭曰
'dang'shu'bei'qi 当属北齐
'dang'shu'jin'yan 当属晋谚
'dang'shu'tang 当属唐
'dang'shu'xian'qin'yan 当属先秦谚
'dang'wei 当为
'dang'wei'han'yan 当为汉谚
'dang'wei'hou'ren'ni'zuo 当为后人拟作
'dang'wei'qin'yan 当为秦谚
'dang'wei'shi'ren'zhi'ge'yao 当为时人之歌谣
'dang'wei'xian'qin'yan 当为先秦谚
'dang'wei'xian'qin'yao'yan 当为先秦谣谚
'dang'yi'tiao'ji'shu 当以条计数
'dang'yi'wen'xian'shi'dai'wei'zhun 当以文献时代为准
'dang'zai'jin'shi 当在晋时
'dang'zhi'xia'dai'yue'wu 当指夏代乐舞
'dang'zuo 当作
'dao'di'shi'yao'hai'shi'ge 到底是谣还是歌
'dao'li'wei'wei 刀利硙硙
'dao'li'you'yuan 道里悠远
'dao'qiu'fu'xi'zui'bu'xing 祷求福兮醉不醒
'dao'xiu'yu'jiao 稻秀雨浇
'dao'yu'ci 祷雨辞
'dao'yu'zhi'ci 祷雨之词
'de'ci'zhen'wan'jie'da'huan'xi 得此珍玩解大患兮
'de'guo'er'niu 得国而狃
'de'huang'jin'bai 得黄金百
'de'huang'jin'bai'jin 得黄金百斤
'de'mi'da'xi 德弥大兮
'de'qi'an'suo 得其安所
'de'qi'chu'suo 得其处所
'de'qi'lu'yu 得其露雨
'de'ren'zhe'xing 得人者兴
'de'sui'shan'yi'tao 得绥山一桃
'de'xiao'bai'yang 德销百殃
'de'xin'juan'gu'hou'bi'han 得新捐故后必寒
'de'yi'ze'kai 得意则恺
'de'yi'zheng'wen 得以正文
'de'yong'bu'rao 德用不扰
'deng'bi'gao'shan 登彼高山
'deng'bi'ji'shan'xi 登彼箕山兮
'deng'bi'qiu'ling 登彼丘陵
'deng'bi'xi'shan'xi 登彼西山兮
'deng'ci'kun'wu'zhi'xu 登此昆吾之虚
'deng'de'qian'li 登得前利
'deng'gao'tai'xi'wang'qing'ai 登高台兮望青挨
'deng'gao'wang'yuan 登高望远
'deng'gao'yuan'wang 登高远望
'deng'jiu'nao'yi'fa'qiong'sang 登九淖以伐穹桑
'deng'lou'fu 登楼赋
'deng'xi 邓析
'deng'xi'yan'yue 邓析言曰
'deng'ze'qian'li 登则前利
'di'bu'ru'ye 地不入也
'di'cheng'hu 帝成虎
'di'guo'po 敌国破
'di'he'li'yu'wo'zai 帝何力于我哉
'di'huo'da'ji'yu'ma'zou 帝惑妲己玉马走
'di'jiao 涤角
'di'jiao 滌角
'di'ku'zhi'shi 帝喾之世
'di'li'yu'wo'he'you'zai 帝力于我何有哉
'di'nai'zai'ge 帝乃载歌
'di'qi'shang'teng 地气上腾
'di'qing'gui'zhen'tian'xia 弟青贵振天下
'di'rong'qin'xi'tu'di'qian 狄戎侵兮土地迁
'di'ruo'xue'zhi'la'jia'ping 帝若学之腊嘉平
'di'shi'si 第十四
'di'shui'yan'xi'feng'yang'bo 狄水衍兮风扬波
'di'shun'yong'zuo'ge 帝舜庸作歌
'di'yi'hui'chang 帝以会昌
'di'yi'zhang'lv'shi'chun'qiu 第一章吕氏春秋
'di'you'zui'yan 帝有醉焉
'di'zhi'shui'xi'feng'yang'bo 狄之水兮风扬波
'di'zi'jie'qi 弟子皆起
'di'zi'nai'shi 弟子乃食
'di'zi'shi'ze 弟子是则
'di'zi'zhi 弟子职
'dian'ge 顚歌
'dian'ji'dian'zi 颠即滇字
'dian'lun 典论
'dian'lun'yin 典论引
'dian'sheng'jing'ji 殿生荆棘
'diao'e'zheng 雕鹗争
'diao'ge 嬥歌
'diao'long'shi 雕龙奭
'diao'qu'yuan'wen 吊屈原文
'ding'ming 鼎铭
'dong'bi'xing'de 动必行徳
'dong'bo'zhi'yue'wu 冬伯之乐舞
'dong'guo'you'quan'ai'ai 东郭有犬嘊嘊
'dong'han'tai'wei'mou'rong 东汉太尉牟融
'dong'jia'zi'yu 冬甲子雨
'dong'jin'tai'shou 东晋太守
'dong'qiang'si'ji 东墙似穄
'dong'shui'ge 冻水歌
'dong'shui'xi'wo'ruo'zhi'he 冻水洗我若之何
'dong'ting'shan 洞庭山
'dong'ting'xi'mu'qiu 洞庭兮木秋
'dong'you 冬有
'dong'you'kai'ming 东有开明
'dong'you'qi'ming 东有启明
'dong'yue'yang'bo'zhi'yue'wu 东岳阳伯之乐舞
'dong'zou'er'bu'zhi'suo'chu 东走而不知所处
'dou'ke'jin'zuo'wei'fu'lu'bao'cun 都可仅作为附录保存
'dou'que'fa'ming'que'yi'ju 都缺乏明确依据
'dou'tian'guan'han'chuan 窦田灌韩传
'du'bu'de'gan'yu 独不得甘雨
'du'bu'de'qi'suo 独不得其所
'du'bu'jian'chu'xiang'sun'shu'ao 独不见楚相孙叔敖
'du'bu'jian'wei'zi'fu 独不见卫子夫
'du'he'liang'xi'du'he'liang 渡河梁兮渡河梁
'du'qi'lai'geng'shun'chang 读起来更顺畅
'du'su'he'shang 独宿何伤
'du'tai'qing 杜台卿
'du'tai'qing'chuan 杜台卿传
'du'tai'qing'qi'chen 杜台卿齐谶
'du'wu'yuan'ge 渡伍员歌
'du'yi 杜以
'du'yi'liang'zhe'de'dui'chang 独以两者的对唱
'du'yi'shi'ke'yi'yan 睹轶诗可异焉
'du'yi'shui'ge 渡易水歌
'du'yi'yi'cheng 都邑以成
'du'zhong'er'mu'zhe 蠹众而木折
'du'zhu 杜注
'du'zhu'ming 读诸铭
'du'zhu'wei'wei'yi'shi 杜注谓为逸诗
'du'zhu'zai 杜注在
'du'zi'chou'ku 独自愁苦
'du'zi'chun'zhu'yun 杜子春注云
'duan'bu'dan'yi'shi'zhi'gan 短布单衣适至骭
'duan'er'bu'jue 断而不蹶
'duan'er'bu'jue'zhe 断而不厥者
'duan'gan'mu'ge 段干木歌
'duan'gan'mu'zhi'jing 段干木之敬
'duan'gan'mu'zhi'long 段干木之隆
'duan'ge'xing 短歌行
'duan'ge'xing'zhu 短歌行注
'duan'ju'bu'tong 断句不同
'duan'zhu'xu'zhu 断竹续竹
'dui'chu'wang'wen 对楚王问
'dui'di'san'ju'que'bu'zuo'pan'duan 对第三句却不做判断
'dui'hua'ti 对话体
'dui'yue 对曰
'dun'guan'bu'ke'fu 遁关不可复
'duo'cai'shan'gu 多财善贾
'duo'chu'si'ju 多出四句
'duo'qian'shan'gu 多钱善贾
'duo'suo'guai 多所怪
'duo'yi'sheng'zi'xue 铎以声自穴
'duo'zhi'niu 夺之牛
'e'cheng'bu'ji'gai 恶成不及改
'e'fu'ji 搤伏鸡
'e'fu'po'jia 恶妇破家
'e'hu'shi'dao'yu'shi'yu 恶乎失道于嗜欲
'e'hu'wei'yu'fen 恶乎危于忿
'e'hu'xiang'wang'yu'fu'gui 恶乎相忘于富贵
'e'nv'zhi'chou 恶女之仇
'e'pang'e'pang'wang'shi'huang 阿房阿房亡始皇
'e'ren'zai'wei 恶人在位
'er'bi'yi'wan'mei'yi 而彼义完美矣
'er'bu'ke'wei 而不可为
'er'bu'ke'wei'zhe 而不可为者
'er'bu'yan 而不言
'er'chang'duan'ke'zhi 而长短可知
'er'ci'ge'yi'fei'jian'ci 而此歌亦非谏辞
'er'dan'qi'kou 而啖其口
'er'duo'zhi'niu 而夺之牛
'er'fu'ren'kou'bu'ke'yong 儿妇人口不可用
'er'guo'wei'xu 而国为墟
'er'he'lai'wei 尔何来为
'er'hu'tong'xue 二虎同穴
'er'jian'zhu'chun'shou 而翦诸鹑首
'er'jiang'shan'mu'hou 而将山木后
'er'jin'shi 而晋诗
'er'jing'yu'ren 而镜于人
'er'ju 二句
'er'ke'wei'zhe 而可为者
'er'ke'yi'dui'zhi'wu'kui 而可以对之无愧
'er'li'cong'guo'zi'xun'cheng 二礼从国子巡城
'er'nv'zuo'ge'yi'zhong 二女作歌一终
'er'qi'qi'jia 而弃其家
'er'qian'lv'er'hou 尔前虑尔后
'er'qin'bu'dai 二亲不待
'er'qin'zheng'wu 而亲政务
'er'qin'zhi'shou 二亲之寿
'er'qu'ju'qi'shi'yan 而趋举其诗焉
'er'ren'tong'shu 二人同术
'er'sang'qi'xiong 而丧其雄
'er'she'ru'guo 二蛇入国
'er'shen'er'yuan'zhi 迩身而远志
'er'shi'qi'suo 而失其所
'er'shi'wu'nian'chun 二十五年春
'er'shi'zhuan'yin'lun'dao 而是转引论道
'er'si'qi'you'mu 而思其麀牡
'er'tong'pian'zi'qi'yu'shu'ju 而通篇自起语数句
'er'wang'chang'fa'zhi'li 而忘长发之利
'er'wo'you'wei'ren'yi 而我犹为人猗
'er'wu'wen 而悟闻
'er'wu'zi 而无子
'er'wu'zui'bao'zhi'xin 而无醉饱之心
'er'xing'dao'de 而行道徳
'er'xiu'gai'wen'zi'zhi'xian 而修改文字之嫌
'er'yi'fan'qi'zhen 而已反其真
'er'you'chang'fa'zhi'li'ye 而有长发之利也
'er'you'shi'chou'ye 而有是臭也
'er'you'zong'zhou'zhi'yun 而忧宗周之陨
'er'yu'ren'wu'hai'xi 而与人无害兮
'er'yue'wo'zhang'zhi'hu 而曰我杖之乎
'er'yue'wo'zhi'zhi'hu 而曰我知之乎
'er'zhao'wo'an'ju 而召我安居
'er'zhe'zhi'jian 二者之间
'er'zhi'li'jiu'ye 而只罹咎也
'er'zhi'li'jiu'ye 而祗离咎也
'er'zhi'qu'you'ye 而只取忧也
'er'zhi'qu'you'ye 而祗取忧也
'er'zhi'yu'die 而踬于垤
'er'zi'huai'hen'dong'ben'wu 二子怀恨东奔吴
'er'zi'nan'yi'pan'ding 二字难以判定
'fa'ji'shi'xi'du'nai'qing 罚既释兮渎乃清
'fa'li'yao 伐骊繇
'fa'rong'yan'yi'xian'wu 伐荣檐以献吴
'fa'xing 法行
'fa'xing'pian 法行篇
'fa'yang'he 发杨荷
'fa'yi'zhong'yi 罚已重矣
'fa'zi'zuo'qi'cheng'qin'se 伐梓作器成琴瑟
'fan'bai'jun'zi 凡百君子
'fan'bi'san'shan'xi 反彼三山兮
'fan'bo'you'li 反驳有理
'fan'e'qu 繁遏渠
'fan'guan'wu'xiao'shi'er'fu 反观吾小时二赋
'fan'guo'fa'cheng 犯国法程
'fan'hai'wu'ye 反害物也
'fan'jiang 反将
'fan'jiang'pian 凡将篇
'fan'jue'suo'ran 反觉索然
'fan'jun'da'xian'jiao'ji 凡军大献敎觊
'fan'li'yue 范蠡曰
'fan'niu'ge 饭牛歌
'fan'pan'zhi'dao 凡拚之道
'fan'pin'kun'ye 反贫困也
'fan'sheng'zhi'shu 氾胜之书
'fan'shou'qi'luan 反受其乱
'fan'shu'xian'tang'zhi'zuo 凡属先唐之作
'fan'sui'xiang'zhuan 帆随湘转
'fan'yi'shu'shi 凡以庶士
'fan'ze'guan'er'chan'you'rui 范则冠而蝉有緌
'fan'zhao'xia 樊昭夏
'fang'hui 方回
'fang'hui'shan'jing 方回山经
'fang'ji'pian'zhu 坊记篇注
'fang'jin'qi'zi'qiong'kun 方今妻子穷困
'fang'jin'zhi'shi 方今之时
'fang'qi'gong'shen 妨其躬身
'fang'shu'yuan'lao 方叔元老
'fang'xiang'dong 方向东
'fang'yi'zhi'xing 访议之行
'fang'zheng'gong'ping 方正公平
'fei'chun'qiu'shi'dai'yue'ren'ye 非春秋时代越人也
'fei'ci'he'yi'zhang'bing 非慈何以掌兵
'fei'fu'san'chi 肥肤三尺
'fei'gong 非攻
'fei'gong'pian 非攻篇
'fei'le'long'wu 非乐龙伍
'fei'niao'jin 飞鸟尽
'fei'niao'shang'ran'xi 飞鸟尚然兮
'fei'qu'fu'lai 飞去复来
'fei'qu'fu'lai'yin'ge'yue 飞去复来因歌曰
'fei'shi'zai'shang'zou'yi'zai'xia 飞矢在上走驿在下
'fei'wang'jian'yin 非王翦引
'fei'wu'dang'zhi'shi'hu 非吾党之士乎
'fei'xia'chen'yi'jian'yu'jun'ye 非下臣宜荐于君也
'fei'xing'zhi'xing 废兴之行
'fei'xue'qian'li 飞雪千里
'fei'yi'he'yi'zhu'cai 非义何以主财
'fei'yi'wen 非佚文
'fei'you'zi'tian 匪佑自天
'fei'ze'fu 废则覆
'fei'zhai'shi'bu 非宅是卜
'fei'zheng'zuo 蜚征作
'fen'bie 分别
'fen'chang'wo'he 粪长我禾
'fen'li'si'xia 分离四下
'fen'qi'yue'qi 焚其乐器
'fen'shu'bu'tong'zuo'zhe'de 分属不同作者的
'fen'wu'gu 奋五谷
'fen'yi'wa 坟以瓦
'feng'bu'cang'yu 凤不藏羽
'feng'bu'xiang'liu 凤不翔留
'feng'dang'ling'you'suo'ju 冯当另有所据
'feng'dun'hou 风敦厚
'feng'fa'shou'zhi 奉法守职
'feng'feng'bai'yun 逢逢白云
'feng'fu'ge 讽赋歌
'feng'ge 丰歌
'feng'gong 冯公
'feng'gong'zhi'chong 冯公之虫
'feng'gong'zhi'chong 冯功之虫
'feng'he'wei'tiao 冯合为条
'feng'huang'ben 凤凰本
'feng'huang'jie'jie 凤凰喈喈
'feng'huang'lai'xi'bai'shou'chen 凤皇来兮百兽晨
'feng'huang'lai'yi 凤凰来仪
'feng'huang'qiu'qiu 凤凰秋秋
'feng'huang'xia'feng 凤皇下丰
'feng'huang'xiang'xi'yu'zi'ting 凤凰翔兮于紫庭
'feng'huang'xiang'xi'yu'zi'ting 凤皇翔兮于紫庭
'feng'huang'yu'fei 凤凰于飞
'feng'jin'xiao'xu 冯仅小序
'feng'jun'hui'guang 逢君辉光
'feng'ke'neng'ling'you'yi'ju 冯可能另有依据
'feng'ling'cong 风另从
'feng'lu'bu'shou 冯逯不收
'feng'lu'jun'bu'shou 冯逯均不收
'feng'lu'jun'wu 冯录均无
'feng'qi'wu 丰其屋
'feng'shang 风上
'feng'shi'chang'she 封豕长蛇
'feng'su'tong 风俗通
'feng'su'tong'qian'li'pian 风俗通愆礼篇
'feng'su'tong'yi'jiao'zhu 风俗通义校注
'feng'su'tong'yin'li'yu 风俗通引里语
'feng'su'tong'yue 风俗通曰
'feng'tong'yang 冯同杨
'feng'tu'ji 风土记
'feng'wei'cha 冯未察
'feng'wei'ming'xian'shi'wu 风为明显失误
'feng'wu 冯误
'feng'xi'feng'xi 凤兮凤兮
'feng'xia 风下
'feng'xiao'xiao'xi'yi'shui'han 风萧萧兮易水寒
'feng'ya 风雅
'feng'ya'jiang 风雅将
'feng'ya'jiang'qi 风雅将其
'feng'ya'jun'zuo 风雅均作
'feng'ya'suo'yin'shi'si'yun 风雅所引是四韵
'feng'ya'wei'biao'zhu'yan'tie'lun 风雅未标注盐铁论
'feng'ya'wu 风雅无
'feng'ya'yi'pian 风雅逸篇
'feng'ya'yi'pian'ba 风雅逸篇八
'feng'ya'yi'pian'wu 风雅逸篇无
'feng'ya'yi'pian'zhu'yue 风雅逸篇注曰
'feng'ya'zuo 风雅作
'feng'yin'wei'yang'chuan 冯引卫鞅传
'feng'yu'zhi'fu'sha'ye 风雨之弗杀也
'fu'chao'hui'luan 覆巢毁卵
'fu'che'xiang'yi 辅车相依
'fu'che'xiang'yi 辅车相倚
'fu'che'xiang'yi'chun'wang'chi'han 辅车相倚唇亡齿寒
'fu'chen'yin'yan 富辰引谚
'fu'chou'dao'yuan 弗愁道远
'fu'ci'dai'kao 附此待考
'fu'cong'zhe'chang 服从者昌
'fu'gui'he'chang 富贵何常
'fu'gui'zhi'wei'ren 富贵之畏人
'fu'gui'zhi'wei'ren'xi 富贵之畏人兮
'fu'gun'zhi 服衮职
'fu'he'shui 赋河水
'fu'he'zu 富何卒
'fu'ji'bo'li 伏鸡搏狸
'fu'jiao'tian'wu'gu 夫叫天无辜
'fu'jiu'bu'xiang 弗救不祥
'fu'kou'zai'ce 伏寇在侧
'fu'la'he'huan 伏腊合欢
'fu'lian'you'jie 赋敛有节
'fu'long'bai'ri 伏龙白日
'fu'long'fei'wo'ma 伏龙非我马
'fu'luan'yi'yong 服乱以勇
'fu'ming'nan'de'er'yi'shi 夫名难得而易失
'fu'mu'bu'ke'yi'wei'zhu 腐木不可以为柱
'fu'mu'he'zai'zai'wo'ting 父母何在在我庭
'fu'mu'jiang'wei'zhi'gai'ying 父母将为之改婴
'fu'nan'yi'yong 服难以勇
'fu'nie'you'ren 弗孽由人
'fu'qing'hu'yu 福轻乎羽
'fu'qu'yi'bu'xiang 弗去亦不祥
'fu'ren'wu'gou'fu'ren'wu'jiu 辅人无苟扶人无咎
'fu'ren'zhi'hui 妇人之喙
'fu'ren'zhi'kou 妇人之口
'fu'ru'er'ni'ju 鲋入而鲵居
'fu'shang'shu'chen 辅上书陈
'fu'shen'jue'de 弗慎厥德
'fu'shui 赋税
'fu'si'fu'bei 妇死腹悲
'fu'xi 伏戏
'fu'xi'jia'bian 伏羲驾辩
'fu'xi'shi 伏羲氏
'fu'xi'you'wang'gu'zhi'ge 伏羲有网罟之歌
'fu'xiao'bu'sheng'ke 斧小不胜柯
'fu'xie'mu'xie 父邪母邪
'fu'xin'er'shi 负薪而食
'fu'ye'sheng'yu 妇谒盛与
'fu'yi'chai 覆以柴
'fu'yong'pin'qiu'fu 夫用贫求富
'fu'you'qian'yi 福佑千亿
'fu'zhi'xin'ling'huo'lai'shen'mei 福至心灵祸来神昧
'fu'zhi'zhe'zhong'ye 扶之者众也
'fu'zhou'zhi'xia'wu'bo'yi 覆舟之下无伯夷
'fu'zi'bu'fa'xi 夫子不伐兮
'fu'zi'bu'xiang'jie 父子不相借
'fu'zi'dao'shuai 父子道衰
'fu'zi'zhi'bu'jie'xi 夫子之不竭兮
'fu'zi'zhi'shi 夫子之谥
'fu'zi'zhi'xin'cheng 夫子之信诚
'fu'zong'jue'si 覆宗绝祀
'gai'bu'pan'gu 盖不盼顾
'gai'hou'shi'suo'ni'zhe 盖后世所拟者
'gai'shi'tong'yang'lai'zi 该诗同样来自
'gai'wei 改为
'gai'wen 该文
'gai'wen'yi 该文亦
'gai'xia 陔夏
'gai'you'zai'you'zai 盖优哉游哉
'gai'yu'cong'kao 陔余丛考
'gai'yu'cong'kao'yi'bu'shou 陔余丛考亦不收
'gai'zhi'yan'jie'ye 陔之言戒也
'gan'chang'duan'jue 肝肠断绝
'gan'dong'shang'huang 感动上皇
'gan'gao'pu'fu 敢告仆夫
'gan'gua'ku'di 甘瓜苦蒂
'gan'gua'shi'xi'ye'mian'man 甘瓜施兮叶绵蛮
'gan'hou'ji'kang 干侯既抗
'gan'jiu'shi'yin 甘酒嗜音
'gan'li'wei'hou 甘醴惟厚
'gan'mao'chuan 甘茂传
'gan'quan'ge 甘泉歌
'gan'quan'yao 甘泉谣
'gan'ze'er'yu 干泽而渔
'gan'zhe 干遮
'gang'gu'zhi'qu 掆鼓之曲
'gao'bu'jue'qiu'ling 高不绝丘陵
'gao'lin'su'xi'xiang'cuo'lian 高林肃兮相错连
'gao'shan'cui'wei 高山崔嵬
'gao'shi'chuan 高士传
'gao'xia'zai'xin 高下在心
'gao'ya'de'yin'yue 高雅的音乐
'gao'yao'geng'ge 皋陶赓歌
'gao'yao'geng'zai'ge 皋陶赓载歌
'gao'yao'you'ge 皋陶又歌
'gao'yi'ming'zi'shuo 膏以明自铄
'gao'you'zhu 高诱注
'gao'you'zhu'yun 高诱注云
'gao'you'zuo 髙诱作
'gao'yu'yin'gu'yu 皋鱼引古语
'gao'yu'yin'yu 皋鱼引语
'gao'yun'sheng 高允生
'ge'bu'lian'man'fen'tai'tai 葛不连蔓棻台台
'ge'chang'xi 歌长兮
'ge'chen'lu 歌晨露
'ge'de'qi'suo 各得其所
'ge'ju'er'you 各聚尔有
'ge'lei 歌类
'ge'shu'chuan 哥舒传
'ge'tian'duan 隔天端
'ge'tian'shi'ge'ba'que 葛天氏歌八阙
'ge'wu'yi'dai'dan 歌舞以待旦
'ge'yao'ji 歌谣集
'ge'yao'lei 歌谣类
'ge'yao'shi 歌谣氏
'ge'you'you'chu 各有攸处
'ge'zhi'hou 歌之后
'ge'zhu'ji 各注及
'geng'bi'nan'mu 耕彼南亩
'geng'cang'zi 更仓子
'geng'er'bu'lao 耕而不劳
'geng'fa'pian 更法篇
'geng'ge 赓歌
'geng'gui'ge 庚癸歌
'geng'qing'xiang'yu 更倾向于
'geng'shui'ku 耕水窟
'geng'shun'qi'feng 更顺其风
'geng'tian'er'shi 耕田而食
'geng'tie'qie'yi'dian 更贴切一点
'geng'wei'ke'zhu 更为客主
'geng'yue 更曰
'geng'zhe'fa 耕者发
'geng'zhe'ji'fa 耕者急发
'gong'bu'ru'shang 工不如商
'gong'chu'ru'zhi 公出辱之
'gong'da'er'quan'qing'zhe 功大而权轻者
'gong'dang'wei'wu'zi 工当为误字
'gong'di'bu'neng'xia 攻狄不能下
'gong'di'yao 攻狄谣
'gong'fan'bu'ji'hu'sun 觥饭不及壶飧
'gong'guan'pai'huai 宫馆徘徊
'gong'hu'bu'fu'yi'qi'guan'hu 公胡不复遗其冠乎
'gong'ji'ping'zhang 弓既平张
'gong'ling'zhi'ge 公陵之歌
'gong'ming 弓铭
'gong'ren'you'si 工人忧思
'gong'shi'chong'yu 宫室崇与
'gong'shi'pian 宫室篇
'gong'shi'zi'song 恭世子诵
'gong'tai'zi'geng'zang'xi 恭太子更葬兮
'gong'yang 公羊
'gong'yang'chuan 公羊传
'gong'yuan 公元
'gong'zai'gan'hou 公在干侯
'gong'zai'qian'hou 公在乾侯
'gong'zai'wai'ye 公在外野
'gong'ze'shou 恭则寿
'gong'zhi'qi'yin'yan 宫之奇引谚
'gou'jian'ru'chen'wai'zhuan 勾践入臣外传
'gou'jian'shi'gong'ren 勾践使工人
'gou'lou'bei 岣嵝碑
'gou'nu'she'shi 彀弩射市
'gou'ri'xin 苟日新
'gou'wo'si'ren'you'qin'qin'xi 遘我四人忧勤勤兮
'gu'bu'ban'bai'yu'dao 故不班白语道
'gu'chu'nan'gong'yue 故楚南公曰
'gu'ci 嘏辞
'gu'dang'lie'yu'wen'xian 故当列于文献
'gu'du'chu'ru 孤犊觕乳
'gu'du'chu'ru 孤犊触乳
'gu'du'zhu'wei 故杜注谓
'gu'fou 鼔缶
'gu'fu'lu 故附录
'gu'fu'zi'zuo'qiu'ling'zhi'ge 故夫子作丘陵之歌
'gu'gong'xi'zai 股肱喜哉
'gu'ji'po'sui 毂既破碎
'gu'jian'bi'zi 故见鄙姿
'gu'jian'ge 孤鹣歌
'gu'jin 古今
'gu'jin'he'bi'shi'lei'bei'yao 古今合璧事类备要
'gu'jin'le'lu 古今乐录
'gu'jin'le'lu'suo'yin 古今乐录所引
'gu'jin'tu'shu'ji'cheng 古今图书集成
'gu'jin'yan 古今谚
'gu'jin'yan'zai'xiao'zhu'zhong'ti'ji 古今谚在小注中提及
'gu'jin'zhu 古今注
'gu'jiu'yi 故旧矣
'gu'kang'er'she'nv 故抗而射女
'gu'li'yu'yue 故里语曰
'gu'ming 故名
'gu'ming'wu'que'ge 故名乌鹊歌
'gu'ming'yan 故名焉
'gu'mo'bu'ke'yi'qiang'yu'ben 故末不可以强于本
