'a'ba'du'lu'zhe'na 阿跋度路柘那
'an'lan'shui 闇蓝水
'an'le 安乐
'an'le'guo 安乐国
'an'le'ji 安乐集
'an'le'jing'tu 安乐净土
'an'le'shi'sheng 安乐十胜
'an'le'xing'pin 安乐行品
'an'le'xing'yi 安乐行义
'an'li 安立
'an'li'di'fei'an'li'di 安立谛非安立谛
'an'li'guo 安立果
'an'li'san'mei 安立三昧
'an'li'xing'pu'sa 安立行菩萨
'an'li'zhen'ru 安立真如
'an'lin 安廪
'an'lin 闇林
'an'luo 庵罗
'an'luo'bo'li 庵罗波利
'an'luo'guo'shu'shao 庵罗果熟少
'an'luo'nv 庵罗女
'an'luo'shu'yuan 庵罗树园
'an'luo'wei 庵罗卫
'an'luo'wei'nv 庵罗卫女
'an'luo'wei'yuan 庵罗卫园
'an'mei'luo 庵没罗
'an'mei'luo'nv 庵没罗女
'an'mei'luo'yuan 庵没罗园
'an'mi'li'di'jun'tu'li'pu'sa 闇密里帝军荼利菩萨
'an'ming 安名
'an'ming'shan 安明山
'an'ming'you'shan 安明由山
'an'mo 按摩
'an'mo'luo 庵摩罗
'an'mo'luo'jia 庵摩洛迦
'an'mo'luo'shi 庵摩罗识
'an'na'ban'na 安那般那
'an'po'li'sha 庵婆利沙
'an'po'luo 庵婆罗
'an'po'luo'duo'jia 庵婆罗多迦
'an'po'nv 庵婆女
'an'qing 安清
'an'ren 安忍
'an'shan'lin 安膳林
'an'shan'na 安膳那
'an'she'na 安阇那
'an'shi 庵室
'an'shi 闇室
'an'shi'hu'ming 闇室忽明
'an'shi'nian'fo 闇室念佛
'an'shi'quan'shu 安士全书
'an'shou'ku'ren 安受苦忍
'an'shu 岸树
'an'si 庵寺
'an'song 闇诵
'an'tou 岸头
'an'tu'di'zhen'yan 安土地真言
'an'tuo'hui 安陀会
'an'tuo'luo'she'po'luo 安陀罗舍婆罗
'an'wei'jie 按位接
'an'wen 安稳
'an'xi 安息
'an'xi'xiang 安息香
'an'xia'chu 安下处
'an'xiang 安详
'an'xiang'san'mei'yi'gui'jing 安像三昧仪轨经
'an'xin 安心
'an'xin 闇心
'an'xin'qi'xing 安心起行
'an'xuan 安玄
'an'yin 安隐
'an'yuan 安远
'an'yuan 庵园
'an'zhai'shen'zhou'jing 安宅神咒经
'an'zhang 闇障
'an'zhen'fa 安镇法
'an'zheng 暗证
'an'zheng'chan'shi 暗证禅师
'an'zhi 按指
'an'zhu 庵主
'an'zi'guan 唵字观
'an'zi'yin 唵字印
'an'zuo 安座
'ao'nao'san'chu'jing 懊恼三处经
'ao'pai'jia 奥箄迦
'ao'she'he'luo'gui 奥阇诃洛鬼
'ba'bai'gong'de 八百功德
'ba'bao'ta 八宝塔
'ba'bei 八辈
'ba'bei 跋陂
'ba'bei'pu'sa'jing 跋陂菩萨经
'ba'bei'she 八背舍
'ba'bei'shi'tiao 八备十条
'ba'bi 巴鼻
'ba'bi'tian 八臂天
'ba'bian 八辩
'ba'bian'hua 八变化
'ba'bo 拔波
'ba'bo'luo'yi 八波罗夷
'ba'bu 八不
'ba'bu 八部
'ba'bu'bo're 八部般若
'ba'bu'fo'ming'jing 八部佛名经
'ba'bu'gui'zhong 八部鬼众
'ba'bu'jing 八不净
'ba'bu'ke'yue 八不可越
'ba'bu'si'yi 八不思议
'ba'bu'xian'shi 八不显实
'ba'bu'zheng'guan 八不正观
'ba'bu'zheng'jian 八不正见
'ba'bu'zhong 八部众
'ba'bu'zhong'dao 八不中道
'ba'bu'zhong'guan 八不中观
'ba'can 罢参
'ba'can'zhai 罢参斋
'ba'cang 八藏
'ba'chan 八缠
'ba'cheng 八成
'ba'cheng'jing 八城经
'ba'cheng'li'yin 八成立因
'ba'chong 八重
'ba'chong'wu'jia 八重无价
'ba'chong'zhen'bao 八重真宝
'ba'chu 八触
'ba'chu'ru 八除入
'ba'chu'zui'zhang'zhou'wang'jing 拔除罪障咒王经
'ba'chuan'shou 拔传授
'ba'da 八大
'ba'da 八达
'ba'da'di'yu 八大地狱
'ba'da'fo'ding 八大佛顶
'ba'da'guan'yin 八大观音
'ba'da'jin'gang 八大金刚
'ba'da'jin'gang'ming'wang 八大金刚明王
'ba'da'jin'gang'tong'zi 八大金刚童子
'ba'da'ling'ta 八大灵塔
'ba'da'ling'ta'ming'hao'jing 八大灵塔名号经
'ba'da'long'wang 八大龙王
'ba'da'luo'cha'nv 八大罗剎女
'ba'da'man'na'luo'jing 八大曼拏罗经
'ba'da'ming'wang 八大明王
'ba'da'nai'luo 八大奈落
'ba'da'pu'sa 八大菩萨
'ba'da'pu'sa'fa 八大菩萨法
'ba'da'pu'sa'jing 八大菩萨经
'ba'da'pu'sa'man'tu'luo'jing 八大菩萨曼荼罗经
'ba'da'ren'jue 八大人觉
'ba'da'ren'jue'jing 八大人觉经
'ba'da'shen'jiang 八大神将
'ba'da'tong'zi 八大童子
'ba'da'tong'zi'yi'gui 八大童子仪轨
'ba'da'tong'zi'yin'yan 八大童子印言
'ba'da'xin'ku 八大辛苦
'ba'da'ye'cha 八大夜叉
'ba'da'zhang'fu 八大丈夫
'ba'da'zi'zai'wo 八大自在我
'ba'da'zong'chi'wang'jing 八大总持王经
'ba'dao 八倒
'ba'dao 八道
'ba'dao'chuan 八道船
'ba'dao'heng 八道行
'ba'dao'zhi 八道支
'ba'de 八德
'ba'deng'zhi 八等至
'ba'di 八谛
'ba'di'ye 拔底耶
'ba'dian'dao 八颠倒
'ba'ding 八定
'ba'ding'gen'ben 八定根本
'ba'duan 八段
'ba'duo 八堕
'ba'duo'luo'shu 八多罗树
'ba'fa 八法
'ba'fa 八筏
'ba'fan 八梵
'ba'fang'bian 八方便
'ba'fang'shang'xia 八方上下
'ba'fang'tian 八方天
'ba'fen'zhai'jie 八分斋戒
'ba'feng 八风
'ba'fo 八佛
'ba'fo'ming'hao'jing 八佛名号经
'ba'fu'sheng'chu 八福生处
'ba'fu'tian 八福田
'ba'gan 八干
'ba'gong 八供
'ba'gong'de'chi 八功德池
'ba'gong'de'shui 八功德水
'ba'gong'de'shui'xiang 八功德水想
'ba'gong'pu'sa 八供菩萨
'ba'gong'yang 八供养
'ba'guan'zhai 八关斋
'ba'guan'zhai'jing 八关斋经
'ba'guo'wang'fen'fo'she'li 八国王分佛舍利
'ba'hai 八海
'ba'hai 八还
'ba'han'ba're 八寒八热
'ba'han'bing'di'yu 八寒冰地狱
'ba'han'di'yu 八寒地狱
'ba'heng'he'sha 八恒河沙
'ba'heng'zhi'fo 八恒值佛
'ba'hu'shi 八斛食
'ba'hui 八会
'ba'hui 八秽
'ba'ji 八偈
'ba'ji 拔济
'ba'ji'ku'nan'tuo'luo'ni'jing 拔济苦难陀罗尼经
'ba'ji'wen'shu 八髻文殊
'ba'ji'xiang'jing 八吉祥经
'ba'ji'xiang'shen'zhou'jing 八吉祥神咒经
'ba'jia 八家
'ba'jia'jiu'zong 八家九宗
'ba'jia'po 跋伽婆
'ba'jia'xian 跋伽仙
'ba'jian'du 八犍度
'ba'jian'du'lun 八犍度论
'ba'jian'ji 八渐偈
'ba'jiang 八讲
'ba'jiang 罢讲
'ba'jiang'zhai 罢讲斋
'ba'jiao 八憍
'ba'jiao 八教
'ba'jiao'da'yi 八教大意
'ba'jiao'dao 八交道
'ba'jie 八戒
'ba'jie 八解
'ba'jie'tuo 八解脱
'ba'jie'zhai 八戒斋
'ba'jie'zhai'ba'zhong'sheng'fa 八戒斋八种胜法
'ba'jin 八禁
'ba'jing 八敬
'ba'jing'de 八敬得
'ba'jing'fa 八敬法
'ba'jing'jie 八敬戒
'ba'jiu'er'shi 八九二识
'ba'ju 八聚
'ba'ju'yi 八句义
'ba'juan'cang 八卷藏
'ba'jue 八觉
'ba'ku 八苦
'ba'ku'yu'le 拔苦与乐
'ba'lan 跋蓝
'ba'li'he'luo 跋利诃罗
'ba'li'jia 跋梨迦
'ba'li'sha'jian'na 跋利沙键拏
'ba'li'yu 巴利语
'ba'lian'fu 巴连弗
'ba'ling 巴陵
'ba'ling'san'zhuan'yu 巴陵三转语
'ba'liu'si'er'wan'shi'qian'jie 八六四二万十千劫
'ba'long 八龙
'ba'long'wang 八龙王
'ba'lun 八论
'ba'lun 八轮
'ba'luo'ha'mo'da'duo 跋罗哈摩达多
'ba'luo'mo'luo 拔罗魔啰
'ba'luo'mo'luo'qi'li 跋罗末罗耆厘
'ba'luo'po'tang 跋罗婆堂
'ba'man 八慢
'ba'man'tu'luo 八曼荼罗
'ba'men 八门
'ba'men'er'wu 八门二悟
'ba'men'liang'yi 八门两益
'ba'mi 八迷
'ba'mi'xi'lun 八迷戏论
'ba'ming'jing 八名经
'ba'ming'pu'mi'jing 八名普密经
'ba'ming'pu'mi'tuo'luo'ni'jing 八名普密陀罗尼经
'ba'ming'san'mei 八名三昧
'ba'mo 八魔
'ba'mo 跋摩
'ba'mo'zong 跋摩宗
'ba'mu'niao 拔目鸟
'ba'na'luo'po'na 跋捺罗婆娜
'ba'nan 八难
'ba'nan'guo 跋南国
'ba'nan'tuo 跋难陀
'ba'nan'yi'long 跋难阤龙
'ba'nian 八念
'ba'nian'jing 八念经
'ba'nian'men 八念门
'ba'pian 八篇
'ba'po 拔婆
'ba'pu'sa 八菩萨
'ba'qi 八弃
'ba'qu 跋渠
'ba're'di'yu 八热地狱
'ba'ren 八忍
'ba'ren'ba'guan 八忍八观
'ba'ren'ba'zhi 八忍八智
'ba'ren'di 八人地
'ba'se'fan 八色幡
'ba'she 跋阇
'ba'she'di'yu 拔舌地狱
'ba'she'luo 跋阇罗
'ba'she'luo'bo'ni 跋阇罗波腻
'ba'she'luo'po'luo 跋阇罗婆罗
'ba'she'zi 跋阇子
'ba'she'zi'bi'qiu 跋阇子比丘
'ba'she'zi'bi'qiu'shi'shi'fei'fa 跋阇子比丘十事非法
'ba'shen'bian 八神变
'ba'sheng 八圣
'ba'sheng'chu 八胜处
'ba'sheng'dao 八圣道
'ba'sheng'dao'zhi 八圣道支
'ba'sheng'yan 八圣言
'ba'shi 八师
'ba'shi 八施
'ba'shi 八时
'ba'shi 八识
'ba'shi'ba'fo 八十八佛
'ba'shi'ba'shi'jian'huo 八十八使见惑
'ba'shi'feng 八世风
'ba'shi'gui'ju 八识规矩
'ba'shi'hua'yan'jing 八十华严经
'ba'shi'jing 八师经
'ba'shi'shi'ming 八识十名
'ba'shi'si'fa 八十四法
'ba'shi'song'lv 八十诵律
'ba'shi'sui'shen 八事随身
'ba'shi'sui'xing'hao 八十随形好
'ba'shi'ti'bie 八识体别
'ba'shi'ti'yi 八识体一
'ba'shi'wu'jin 八十无尽
'ba'shi'wu'zhong 八识五重
'ba'shi'xin'wang 八识心王
'ba'shi'yi'fa 八十一法
'ba'shi'yi'jie 八十亿劫
'ba'shi'yi'ke 八十一科
'ba'shi'yi'long'wang 八十一龙王
'ba'shi'yi'pin'si'huo 八十一品思惑
'ba'shi'zhong'hao 八十种好
'ba'shui 八水
'ba'si'fu'duo'luo 跋私弗多罗
'ba'si'fu'duo'luo'bu 跋私弗多罗部
'ba'su'du 跋窣堵
'ba'ta 八塔
'ba'ti 拔提
'ba'ti 跋提
'ba'ti'da'duo 拔提达多
'ba'ti'li'jia 跋提唎加
'ba'ti'li'jia 跋提梨迦
'ba'tian 八天
'ba'tong'zi 八童子
'ba'tuo'he'li 跋陀和利
'ba'tuo'jia'pi'luo 跋陀迦毘罗
'ba'tuo'luo 跋陀罗
'ba'tuo'luo'jia'bei'li'ye 跋陀罗迦卑梨耶
'ba'tuo'luo'lou'zhi 跋陀罗楼支
'ba'tuo'luo'po'ti 跋陀罗婆提
'ba'tuo'luo'shi'li 跋陀罗室利
'ba'tuo'luo'ye'ni 跋陀罗耶尼
'ba'tuo'luo'ye'ni'bu 跋陀罗耶尼部
'ba'tuo'po'luo 跋陀婆罗
'ba'tuo'qi'po 跋陀耆婆
'ba'wan'cang 八万藏
'ba'wan'fa'men 八万法门
'ba'wan'fa'yun 八万法蕴
'ba'wan'fa'zang 八万法藏
'ba'wan'jie'xiao'cheng 八万劫小乘
'ba'wan'shi'er 八万十二
'ba'wan'si 八万四
'ba'wan'si'qian 八万四千
'ba'wan'si'qian'bing 八万四千病
'ba'wan'si'qian'chen'lao 八万四千尘劳
'ba'wan'si'qian'fa'men 八万四千法门
'ba'wan'si'qian'fa'zang 八万四千法藏
'ba'wan'si'qian'fan'nao 八万四千烦恼
'ba'wan'si'qian'guang'ming 八万四千光明
'ba'wan'si'qian'jiao'men 八万四千教门
'ba'wan'si'qian'ta 八万四千塔
'ba'wan'si'qian'xiang'hao 八万四千相好
'ba'wan'sui 八万岁
'ba'wan'wei'yi 八万威仪
'ba'wan'xi'xing 八万细行
'ba'wang'ri 八王日
'ba'wang'xiang 八妄想
'ba'wang'zi 八王子
'ba'wei 八位
'ba'wei 八味
'ba'wei'tai'cang 八位胎藏
'ba'wei'wu 八惟无
'ba'wu'ai 八无碍
'ba'wu'san'er 八五三二
'ba'wu'xia 八无暇
'ba'wu'xia'you'xia'jing 八无暇有暇经
'ba'xiang 八相
'ba'xiang'cheng'dao 八相成道
'ba'xiang'cheng'dao'tu'hua 八相成道图画
'ba'xiang'shi'xian 八相示现
'ba'xie 八邪
'ba'yan'huo'di'yu 八炎火地狱
'ba'yan're'di'yu 八炎热地狱
'ba'yang'shen'zhou'jing 八阳神咒经
'ba'ye'jia 八业家
'ba'ye'jiu'zun 八叶九尊
'ba'ye'lian'hua 八叶莲华
'ba'ye'lian'hua'guan 八叶莲华观
'ba'ye'lian'tai 八叶莲台
'ba'ye'lian'zuo 八叶莲座
'ba'ye'rou'tuan'xin 八叶肉团心
'ba'ye'yin 八叶印
'ba'ye'yin'zhong'xin 拔业因种心
'ba'ye'yuan 八叶院
'ba'ye'zhi'zhong'zun 八叶之中尊
'ba'ye'zhong'tai 八叶中台
'ba'yi'a'xiu'luo 跋移阿修罗
'ba'yi'si'qian'wan'nian 八亿四千万念
'ba'yi'you'neng 八一有能
'ba'yin 八音
'ba'yin'gong'de 八印功德
'ba'you 八有
'ba'you'xing 八游行
'ba'you'xing 八由行
'ba'yu 八喻
'ba'yuan 八圆
'ba'yue'luo'pu'ti 跋曰罗菩提
'ba'yun 八蕴
'ba'zai 八灾
'ba'zai'huan 八灾患
'ba'zha 巴咤
'ba'zhai 八斋
'ba'zhai'jie 八斋戒
'ba'zhe 八遮
'ba'zhe'luo 跋折罗
'ba'zhe'luo'mu'se'zhi 跋折罗母瑟知
'ba'zhe'luo'zha'he'sha 跋折罗咤诃沙
'ba'zhe'na 跋遮那
'ba'zheng 八正
'ba'zheng'dao 八正道
'ba'zheng'dao'jing 八正道经
'ba'zhi 八支
'ba'zhi 八智
'ba'zhi'chao 八袟钞
'ba'zhi'lun 八支论
'ba'zhi'xing 八直行
'ba'zhi'zhai 八支斋
'ba'zhong'bie'jie'tuo'jie 八种别解脱戒
'ba'zhong'bie'jie'tuo'lv'yi'wu'biao'se 八种别解脱律仪无表色
'ba'zhong'bu'hai 八种不还
'ba'zhong'bu'shi 八种布施
'ba'zhong'chang'yang'gong'de'jing 八种长养功德经
'ba'zhong'fa 八种法
'ba'zhong'geng'yao 八种更药
'ba'zhong'miu 八种谬
'ba'zhong'qing'feng 八种清风
'ba'zhong'sheng 八种声
'ba'zhong'sheng'fa 八种胜法
'ba'zhong'shi 八种施
'ba'zhong'shou'ji 八种授记
'ba'zhong'ta 八种塔
'ba'zhong'xuan'tuo'luo'ni'zi'lun'men 八种旋陀罗尼字轮门
'ba'zhong'xuan'tuo'luo'ni'zi'men 八种旋陀罗尼字门
'ba'zhong'zhou 八中洲
'ba'zhong'zhou 八种粥
'ba'zhong'zi'zai 八种自在
'ba'zhou 八轴
'ba'zhuan 八啭
'ba'zhuan'sheng 八啭声
'ba'zi 八字
'ba'zi'bu'zi 八字布字
'ba'zi'tuo'luo'ni 八字陀罗尼
'ba'zi'wen'shu'fa 八字文殊法
'ba'zi'zai 八自在
'ba'zong 八宗
'ba'zong'jiu'zong 八宗九宗
'ba'zu'xiang'cheng 八祖相承
'ba'zun'zhong'fa 八尊重法
'bai'ba'fa'ming'men 百八法明门
'bai'ba'fan'nao 百八烦恼
'bai'ba'jie'ye 百八结业
'bai'ba'ju 百八句
'bai'ba'ming'zan 百八名赞
'bai'ba'mou'ni 百八牟尼
'bai'ba'san'mei 百八三昧
'bai'ba'shou 百八兽
'bai'ba'shu'zhu 百八数珠
'bai'ba'wan 百八丸
'bai'ba'xiao'zai 百八消灾
'bai'ba'zhong 百八钟
'bai'ba'zun 百八尊
'bai'bai'ye 白白业
'bai'bao 白报
'bai'bao'lun'zhang 百宝轮掌
'bai'ben'lun'shi 百本论师
'bai'ben'shu'zhu 百本疏主
'bai'bu'hui 百不会
'bai'bu'shu'zhu 百部疏主
'bai'bu'zhi 百不知
'bai'chan 拜忏
'bai'cheng 百城
'bai'chi'gan'tou 百尺竿头
'bai'chu'guan'yin 白处观音
'bai'chu'zun 白处尊
'bai'chui 白槌
'bai'da'jie 百大劫
'bai'dao 白道
'bai'die'shi'jia'xiang 白迭释迦像
'bai'er'jie'mo 白二羯磨
'bai'er'shi'ba'gen'ben'fan'nao 百二十八根本烦恼
'bai'er'shi'ba'shi 百二十八使
'bai'er'shi'ba'zun 百二十八尊
'bai'er'shi'miao 百二十妙
'bai'er'shi'sui'shou'ming 百二十岁寿命
'bai'fa 白法
'bai'fa 百法
'bai'fa'jie 百法界
'bai'fa'lun 百法论
'bai'fa'ming'men 百法明门
'bai'fa'ming'men'lun 百法明门论
'bai'fa'wu'wei 百法五位
'bai'fan'wang 白饭王
'bai'fei 百非
'bai'fen 白分
'bai'fo 白佛
'bai'fo'ming'jing 百佛名经
'bai'fu 白拂
'bai'fu'xiang'jing 百福相经
'bai'fu'zhuang'yan 百福庄严
'bai'fu'zhuang'yan'xiang 百福庄严相
'bai'fu'zhuang'yan'xiang'jing 百福庄严相经
'bai'gai 白盖
'bai'gen 败根
'bai'gu'guan 白骨观
'bai'guang'bian'zhao'wang 百光遍照王
'bai'guang'wang'bian'zhao'zhen'yan 百光王遍照真言
'bai'hao 白毫
'bai'hao'zhi'ci 白毫之赐
'bai'he 白和
'bai'he 白鹤
'bai'hei'bu'sa 白黑布萨
'bai'hei'er'shu 白黑二鼠
'bai'hei'er'ye 白黑二业
'bai'huai'pu'sa 败坏菩萨
'bai'hui 百会
'bai'ji'bai'sheng 百即百生
'bai'jiang 百讲
'bai'jiao'shi 白脚师
'bai'jiao'xiang 白胶香
'bai'jie 百劫
'bai'jie 百界
'bai'jie'qian'ru 百界千如
'bai'jie'zi 白芥子
'bai'juan'chao 百卷钞
'bai'lian 白莲
'bai'lian'cai 白莲菜
'bai'lian'hua'she 白莲华社
'bai'lian'hua'zuo 白莲华座
'bai'lian'jiao 白莲教
'bai'lian'she 白莲社
'bai'lian'she'qi'zu 白莲社七祖
'bai'lian'she'shi'ba'xian 白莲社十八贤
'bai'lian'zhi'jiao 白莲之交
'bai'lin 白林
'bai'lu 百录
'bai'lu'chi 白鹭池
'bai'lu'chi'jing 白鹭池经
'bai'lun 百论
'bai'lv'san'mei 白缕三昧
'bai'ma 白马
'bai'ma'si 白马寺
'bai'men'xue'chu 百门学处
'bai'mu 百目
'bai'na 白衲
'bai'na'yi 百衲衣
'bai'nian 白拈
'bai'nian'zei 白拈贼
'bai'niu 白牛
'bai'niu'wu'jiao 白牛无角
'bai'pi'jing 百譬经
'bai'qian'wan'jie 百千万劫
'bai'qian'yin'tuo'luo'ni'jing 百千印陀罗尼经
'bai'qu 白瞿
'bai'ri 百日
'bai'ri'jing 百日经
'bai'san'fo'ding 白伞佛顶
'bai'san'gai'fo'ding 白伞盖佛顶
'bai'san'gai'shen'zhou 白伞盖神咒
'bai'seng 百僧
'bai'seng'gong 百僧供
'bai'sha'men 稗沙门
'bai'she'yin 白蛇印
'bai'shen'guan'yin 白身观音
'bai'shi'er'shi 百十二使
'bai'si 白四
'bai'si'jie'mo 白四羯磨
'bai'si'shi'bu'gong'fa 百四十不共法
'bai'su 白俗
'bai'ta 白塔
'bai'tan 白檀
'bai'ti 稗稊
'bai'ting 柏庭
'bai'wan'bian 百万遍
'bai'wei 百味
'bai'xia 白夏
'bai'xiang 白象
'bai'xiang'xiang'pu'sa 白香象菩萨
'bai'xin 白心
'bai'xue'hei'xue 白学黑学
'bai'ye 白业
'bai'yi 白衣
'bai'yi'bing'nao 百一病恼
'bai'yi'da'bei'zhou 白衣大悲咒
'bai'yi'gong'shen 百一供身
'bai'yi'guan'yin 白衣观音
'bai'yi'jie'mo 白一羯磨
'bai'yi'jie'mo 百一羯磨
'bai'yi'wu 百一物
'bai'yi'zhong'ju 百一众具
'bai'yu'jia'tuo'jing 百喻伽陀经
'bai'yu'jing 百喻经
'bai'yuan 拜愿
'bai'yuan'jing 百缘经
'bai'yue 白月
'bai'yun 白云
'bai'yun'cai 白云菜
'bai'yun'zong 白云宗
'bai'za'sui 百杂碎
'bai'zan 白赞
'bai'zhang 百丈
'bai'zhang'ji 百丈忌
'bai'zhang'qing'gui 百丈清规
'bai'zhang'san'ri'er'long 百丈三日耳聋
'bai'zhang'ye'hu 百丈野狐
'bai'zhen 白真
'bai'zhong 败种
'bai'zhong'er'cheng 败种二乘
'bai'zhong'xue 百众学
'bai'zi'lun 百字论
'bai'zu 白足
'bai'zu'a'lian 白足阿练
'bai'zu'he'shang 白足和尚
'bai'zuo'bu'dong'fa 百座不动法
'bai'zuo'ren'wang'jiang 百座仁王讲
'bai'zuo'wen'shu'fa 百座文殊法
'bai'zuo'yao'shi'jiang 百座药师讲
'ban'bu'nan 半不男
'ban'chan 伴禅
'ban'chan'e'er'de'ni 班禅额尔德尼
'ban'chan'la'ma 班禅喇嘛
'ban'chao 半超
'ban'dan'luo 般呾罗
'ban'dao 办道
'ban'guo 半果
'ban'hang'ban'zuo'san'mei 半行半坐三昧
'ban'ji 半偈
'ban'ji 板笈
'ban'jia'fu 半跏趺
'ban'jia'fu'zuo 半跏趺坐
'ban'jia'she'mo'di 般迦舍末底
'ban'jia'zuo 半跏坐
'ban'jin'ba'liang 半斤八两
'ban'la'mi'di 般剌蜜帝
'ban'lao 半酪
'ban'man'jiao 半满教
'ban'na 半娜
'ban'na'mo 般那摩
'ban'na'po 半娜婆
'ban'ni'huan 般泥洹
'ban'ni'huan'hou'guan'la'jing 般泥洹后灌腊经
'ban'ni'huan'jing 般泥洹经
'ban'nie'pan 般涅盘
'ban'nie'pan'hou'guan'la'jing 般涅盘后灌腊经
'ban'nie'pan'na 般涅盘那
'ban'qian 半钱
'ban're'jing 般若经
'ban're'jing'shi'yu 般若经十喻
'ban'ruo'lun 般若论
'ban'seng 伴僧
'ban'seng'ga'zhi 般僧伽胝
'ban'shi'ming'wang 办事明王
'ban'shi'zhen'yan 办事真言
'ban'tan 伴谈
'ban'ti 伴题
'ban'tian'po'luo'men 半天婆罗门
'ban'tu'jia 般荼迦
'ban'tu'lu'jia'fa 般荼卢伽法
'ban'tuo 般陀
'ban'tuo'jia 半托迦
'ban'tuo'luo 般陀罗
'ban'tuo'luo'fu'zi'ni 伴陀罗缚子尼
'ban'tuo'luo'fu'zi'ni 伴陀罗缚字尼
'ban'wan 半晚
'ban'xia 半夏
'ban'xiang 瓣香
'ban'ye 伴夜
'ban'yue'xing'xiang 半月形相
'ban'ze'jia 半择迦
'ban'zha 般咤
'ban'zhai 半斋
'ban'zhai'feng'jing 半斋讽经
'ban'zhe 般遮
'ban'zhe'ke'dan'ni 半者珂但尼
'ban'zhe'luo 半遮罗
'ban'zhe'luo 般遮罗
'ban'zhe'luo'jian'tu 般遮罗犍荼
'ban'zhe'po'li'shi'jia 般遮婆栗史迦
'ban'zhe'po'se 般遮婆瑟
'ban'zhe'pu'shan'ni 半者蒲膳尼
'ban'zhe'pu'she'ni 半者蒲阇尼
'ban'zhe'qu'she'ni 半者佉阇尼
'ban'zhe'shi 般遮尸
'ban'zhe'shi'qi 般遮尸弃
'ban'zhe'xun 般遮旬
'ban'zhe'yu'se 般遮于瑟
'ban'zhe'yu'xun 般遮于旬
'ban'zhe'yue'shi 般遮越师
'ban'zhen'tang 伴真汤
'ban'zhi'jia 半只迦
'ban'zhou 般舟
'ban'zhou'jing 般舟经
'ban'zhou'san'mei 般舟三昧
'ban'zhou'san'mei'jing 般舟三昧经
'ban'zhou'zan 般舟赞
'ban'zhuang'shu'shu'zhu 半装束数珠
'ban'zi 半字
'ban'zi'jiao 半字教
'ban'zu'wang 斑足王
'ban'zuo 半座
'bang'fa 谤法
'bang'fa'chan'ti 谤法阐提
'bang'fo'jing 谤佛经
'bang'he 棒喝
'bang'pai'shou 榜排手
'bang'san'bao'jie 谤三宝戒
'bang'sheng 傍生
'bang'sheng'qu 傍生趣
'bao'ba'jia 抱跋迦
'bao'bo'luo'mi 宝波罗蜜
'bao'bu 宝部
'bao'cha 宝剎
'bao'chang 宝唱
'bao'che 宝车
'bao'che'lu'yin 宝车辂印
'bao'cheng 宝乘
'bao'cheng 宝城
'bao'chi 宝池
'bao'chi'guan 宝池观
'bao'chu'pu'sa 宝处菩萨
'bao'chu'san'mei 宝处三昧
'bao'cong'lin 饱丛林
'bao'dai'tuo'luo'ni'jing 宝带陀罗尼经
'bao'de 报得
'bao'de'cang'jing 宝德藏经
'bao'di 宝地
'bao'dian 宝典
'bao'duo 宝铎
'bao'en 报恩
'bao'en'feng'pen'jing 报恩奉盆经
'bao'en'jing 报恩经
'bao'en'qiao'fang'bian 报恩巧方便
'bao'en'shi 报恩施
'bao'en'si 报恩寺
'bao'en'tian 报恩田
'bao'fa 宝筏
'bao'fang 宝坊
'bao'fo 报佛
'bao'fo'jiao 抱佛脚
'bao'fu'pi'zhi'fo 宝辐辟支佛
'bao'gai 宝盖
'bao'guan'pu'sa 宝冠菩萨
'bao'guan'shi'jia 宝冠释迦
'bao'guang'ming'chi 宝光明池
'bao'guang'tian'zi 宝光天子
'bao'guo 宝国
'bao'guo 报果
'bao'hai 宝海
'bao'hai'fan'zhi 宝海梵志
'bao'hao 宝号
'bao'hao'jing 宝号经
'bao'hua 宝华
'bao'hua'tai'zi 宝华太子
'bao'ji 宝偈
'bao'ji'fo 宝积佛
'bao'ji'fo 宝髻佛
'bao'ji'jing 宝积经
'bao'ji'jing'lun 宝积经论
'bao'ji'jing'si'fa'you'po'ti'she 宝髻经四法优婆提舍
'bao'ji'pu'sa 宝积菩萨
'bao'ji'san'mei 宝积三昧
'bao'ji'xiang'tian 宝吉祥天
'bao'ji'zhang'zhe'zi 宝积长者子
'bao'jie 宝界
'bao'jie 宝阶
'bao'jie'ta 宝阶塔
'bao'jing 宝镜
'bao'jing'jiang'jun 保境将军
'bao'jing'san'mei'ge 宝镜三昧歌
'bao'ju 宝聚
'bao'ju'san'mei 宝聚三昧
'bao'lin 宝林
'bao'lin'chuan 宝林传
'bao'ling 宝铃
'bao'lou'ge'fa 宝楼阁法
'bao'lou'ge'jing 宝楼阁经
'bao'lou'guan 宝楼观
'bao'lun 宝轮
'bao'luo 宝螺
'bao'luo'na'di'ye 褒罗那地耶
'bao'ming 报命
'bao'nv 宝女
'bao'nv'jing 宝女经
'bao'nv'san'mei'jing 宝女三昧经
'bao'nv'suo'wen'jing 宝女所问经
'bao'pi 剥皮
'bao'ping 宝瓶
'bao'ping'yin 宝瓶印
'bao'pu'sa'yin 宝菩萨印
'bao'qi 宝器
'bao'qi'tuo'luo'ni'jing 宝契陀罗尼经
'bao'qie'yin 宝箧印
'bao'qie'yin'ta 宝箧印塔
'bao'qie'yin'tuo'luo'ni 宝箧印陀罗尼
'bao'qie'yin'tuo'luo'ni'jing 宝箧印陀罗尼经
'bao'ru'lai'san'mei'jing 宝如来三昧经
