'a'ji'mi'de'luo'xian 阿基米德螺线
'xiu'fu'xing'wei'xiu 修复性维修
'xiu'gen 修根
'xiu'li'chan'pin 修理产品
'xiu'shi'deng'ji 锈蚀等级
'xiu'yuan 修缘
'xiu'zheng'e'ding'shou'ming 修正额定寿命
'xu'yong'hua'mo'gong 许用滑摩功
'xu'yong'hua'mo'gong'lv 许用滑摩功率
'xu'yong'mo'ca'gong 许用摩擦功
'xu'yong'mo'ca'gong'lv 许用摩擦功率
'xu'yong'mo'ca'mian'wen'du 许用摩擦面温度
'xu'yong're'zai'he'zhi 许用热载荷值
'xu'yong'zhi 许用值
'xu'yong'zhi'dong'gong 许用制动功
'xu'yong'zhi'dong'gong'lv 许用制动功率
'xu'yue'shu 虚约束
'xuan'bang'luo'ding 旋棒螺钉
'xuan'bi'ban'tan'huang 悬臂板弹簧
'xuan'jin'yu'liang 旋紧余量
'xuan'liang 旋量
'xuan'rao'bi 旋绕比
'xuan'ze'xing'fu'shi 选择性腐蚀
'xuan'ze'xing'zhuan'yi 选择性转移
'xuan'zhuan'ding'wei'shou'lun'zuo 旋转定位手轮座
'xuan'zhuan'huan 旋转环
'xuan'zhuan'zhou 旋转轴
'xuan'zhuan'zhuan'ju 旋转转矩
'xun'huan 循环
'xun'huan'ji'shu'fa 循环计数法
'xun'huan'lie'shu 循环列数
'xun'huan'liu'liang 循环流量
'xun'huan'qiu 循环球
'xun'huan'ruan'hua 循环软化
'xun'huan'run'hua 循环润滑
'xun'huan'ying'hua 循环硬化
'xun'huan'ying'li 循环应力
'xun'huan'yuan 循环圆
'xun'huan'zai'he 循环载荷
'ya'bing'gao'du 压并高度
'ya'bing'ying'li 压并应力
'ya'bing'zai'he 压并载荷
'ya'ce 牙侧
'ya'ce'jiao 牙侧角
'ya'ce'jiao'pian'cha 牙侧角偏差
'ya'di 牙底
'ya'di'gao 牙底高
'ya'di'yuan'hu'ban'jing 牙底圆弧半径
'ya'ding 牙顶
'ya'ding'gao 牙顶高
'ya'ding'yuan'hu'ban'jing 牙顶圆弧半径
'ya'hua'ba'shou 压花把手
'ya'jin'tan'huang 压紧弹簧
'ya'li'fa 压力阀
'ya'li'jiao 压力角
'ya'li'kong'zhi'fa 压力控制阀
'ya'nian'xi'shu 压黏系数
'ya'pan 压盘
'ya'qian'li'he'qi 牙嵌离合器
'ya'qian'shi'lian'jie 牙嵌式联接
'ya'qian'shi'lian'zhou'qi 牙嵌式联轴器
'ya'qian'shi'zhi'dong'qi 牙嵌式制动器
'ya'suo'shi'xiang'jiao'tan'huang 压缩式橡胶弹簧
'ya'suo'shu 压缩数
'ya'suo'te'xing'shu 压缩特性数
'ya'suo'xiao'ying 压缩效应
'ya'xing'ban'jiao 牙型半角
'ya'xing'gao'du 牙型高度
'ya'xing'jiao 牙型角
'yan'chang'jie'ju'gun'zi'lian 延长节距滚子链
'yan'hou'mian 咽喉面
'yan'hou'mu'yuan 咽喉母圆
'yan'hou'mu'yuan'ban'jing 咽喉母圆半径
'yan'shen'gong'cha'dai 延伸公差带
'yan'shen'jian'kai'xian 延伸渐开线
'yan'wu'shi'yan 盐雾试验
'yan'zhong'mo'sun 严重磨损
'yang'ben 样本
'yang'ben'liang 样本量
'yang'hua'mo'sun 氧化磨损
'yang'ji'bao'hu 阳极保护
'yang'ji'kong'zhi 阳极控制
'yang'shi'tu 仰视图
'yao'gan 摇杆
'yao'gan'hua'kuai'ji'gou 摇杆滑块机构
'yao'si 咬死
'yao'zhuang'gan'luo'zhu 腰状杆螺柱
'ye'dong'shi'bo'fa'sheng'qi 液动式波发生器
'ye'li'bian'ju'qi 液力变矩器
'ye'li'chuan'dong 液力传动
'ye'li'chuan'dong'zhuang'zhi 液力传动装置
'ye'li'huan'su'qi 液力缓速器
'ye'li'ji'xie'yuan'jian 液力机械元件
'ye'li'ou'he'qi 液力偶合器
'ye'li'sun'shi 液力损失
'ye'li'xiao'lv 液力效率
'ye'li'yuan'jian 液力元件
'ye'liu'jiao 液流角
'ye'lun 叶轮
'ye'lun'beng 叶轮泵
'ye'lun'de'zhou'xiang'li 叶轮的轴向力
'ye'pian 叶片
'ye'pian'bao'jiao 叶片包角
'ye'pian'bei'mian 叶片背面
'ye'pian'chang'du 叶片长度
'ye'pian'chu'kou'ban'jing 叶片出口半径
'ye'pian'chu'kou'bian 叶片出口边
'ye'pian'chu'kou'jiao 叶片出口角
'ye'pian'gu'mian 叶片骨面
'ye'pian'gu'xian 叶片骨线
'ye'pian'hou'du 叶片厚度
'ye'pian'jiao 叶片角
'ye'pian'jin'kou'ban'jing 叶片进口半径
'ye'pian'jin'kou'bian 叶片进口边
'ye'pian'jin'kou'jiao 叶片进口角
'ye'pian'shi'qi'ma'da 叶片式气马达
'ye'pian'zheng'mian 叶片正面
'ye'shi'biao'zheng'cai'liao'duan'lie'ren 也是表征材料断裂韧
'ye'ti'dong'li'run'hua 液体动力润滑
'ye'ti'dong'ya'zhou'cheng 液体动压轴承
'ye'ti'jing'li'run'hua 液体静力润滑
'ye'ti'jing'ya'zhou'cheng 液体静压轴承
'ye'ti'run'hua 液体润滑
'ye'ya'beng 液压泵
'ye'ya'chuan'dong 液压传动
'ye'ya'gang 液压缸
'ye'ya'huan'xiang'fa 液压换向阀
'ye'ya'ji'gou 液压机构
'ye'ya'li'he'qi 液压离合器
'ye'ya'ma'da 液压马达
'ye'ya'zhi'dong'qi 液压制动器
'ye'ya'zhi'xing'yuan'jian 液压执行元件
'ye'zha 叶栅
'yi'ce'chi'mian 异侧齿面
'yi'chai'lian 易拆链
'yi'dong'tu'lun 移动凸轮
'yi'dui'zhou'xian'xiang'jiao'cheng 一对轴线相交成
'yi'ju'xiu'xing 移距修形
'yi'kao'bao'rong'jian 依靠包容件
'yi'liu'fa 溢流阀
'yi'liu'liang 溢流量
'yi'liu'run'hua 溢流润滑
'yi'qi'jing'mi'zhou'cheng 仪器精密轴承
'yi'xing'luo'ding 翼形螺钉
'yi'xing'luo'mu 翼形螺母
'yi'xing'tan'huang 异形弹簧
'yin'ji'bao'hu 阴极保护
'yin'ji'kong'zhi 阴极控制
'ying'bian 应变
'ying'bian'bian'cheng 应变变程
'ying'bian'fu 应变幅
'ying'bian'ji'zhong 应变集中
'ying'bian'qu'xian 应变曲线
'ying'kui'gong 盈亏功
'ying'li 应力
'ying'li'bi 应力比
'ying'li'bian'cheng 应力变程
'ying'li'fu 应力幅
'ying'li'fu'shi 应力腐蚀
'ying'li'fu'shi'jie'xian'ying'li 应力腐蚀界限应力
'ying'li'fu'shi'po'lie 应力腐蚀破裂
'ying'li'ji'zhong 应力集中
'ying'li'qiang'du'gan'she'mo'xing 应力强度干涉模型
'ying'li'qiang'du'yin'zi 应力强度因子
'ying'li'qiang'du'yin'zi'fu'du 应力强度因子幅度
'ying'li'song'chi 应力松弛
'ying'xiang'xi'shu 影响系数
'ying'xiang'xi'shu'fa 影响系数法
'ying'zhi'zhou'cheng 英制轴承
'you'cao 油槽
'you'ce'chi'mian 右侧齿面
'you'dao 油道
'you'dian'run'hua 油垫润滑
'you'hai'zu'li 有害阻力
'you'huan'run'hua 油环润滑
'you'ji'bian'su 有级变速
'you'kong 油孔
'you'mo'gang'du 油膜刚度
'you'mo'li'he'qi 油膜离合器
'you'mo'zhen'dang 油膜振荡
'you'qiang 油腔
'you'shi'pin'lv 优势频率
'you'shi'tu 右视图
'you'wu'qi 油雾器
'you'wu'run'hua 油雾润滑
'you'xian'shou'ming'she'ji 有限寿命设计
'you'xian'ye'pian'xiu'zheng'xi'shu 有限叶片修正系数
'you'xiao'chang'du 有效长度
'you'xiao'chi'mian 有效齿面
'you'xiao'gong'zuo'shi'jian 有效工作时间
'you'xiao'kuan'du 有效宽度
'you'xiao'la'li 有效拉力
'you'xiao'lie'wen'chi'cun 有效裂纹尺寸
'you'xiao'luo'wen 有效螺纹
'you'xiao'mian'ji 有效面积
'you'xiao'mian'ji'bian'hua'te'xing 有效面积变化特性
'you'xiao'quan'shu 有效圈数
'you'xiao'xian'cha 有效线差
'you'xiao'ying'li'ji'zhong'xi'shu 有效应力集中系数
'you'xiao'yuan'zhou'chang 有效圆周长
'you'xiao'zhi'dong'ju'li 有效制动距离
'you'xiao'zhi'dong'shi'jian 有效制动时间
'you'xiao'zhi'jing 有效直径
'you'xiao'zu'li 有效阻力
'you'xing 油性
'you'xuan'chi 右旋齿
'you'xuan'chi'zhui'chi'lun 右旋齿锥齿轮
'you'xuan'luo'wen 右旋螺纹
'you'xun'huan'qiu 有循环球
'you'yi'tiao'huo'shu'tiao 由一条或数条
'you'yu'run'hua 油浴润滑
'you'zhu'bei'de'xi'tong 有贮备的系统
'yu'fang'xing'wei'xiu 预防性维修
'yu'liu'ji'shu'fa 雨流计数法
'yu'pen'qu'xian 浴盆曲线
'yu'run'hua'zhou'cheng 预润滑轴承
'yu'xian'jia'su'du'yun'dong'gui'ji 余弦加速度运动轨迹
'yu'xian'tu'lun'bo'fa'sheng'qi 余弦凸轮波发生器
'yu'zai'he 预载荷
'yuan'dai 圆带
'yuan'dai'chuan'dong 圆带传动
'yuan'dong'jian 原动件
'yuan'hu 圆弧
'yuan'hu'chi'hu'chi'zhui'chi'lun 圆弧齿弧齿锥齿轮
'yuan'hu'chi'kuo 圆弧齿廓
'yuan'hu'chi'kuo'zhui'chi'lun 圆弧齿廓锥齿轮
'yuan'hu'chi'lun 圆弧齿轮
'yuan'hu'shao'chi'cha'chi'lun'fu 圆弧少齿差齿轮副
'yuan'hu'tu'lun 圆弧凸轮
'yuan'hu'yuan'zhu'chi'lun 圆弧圆柱齿轮
'yuan'hu'yuan'zhu'wo'gan 圆弧圆柱蜗杆
'yuan'huan'mian 圆环面
'yuan'huan'mian'de'mu'yuan 圆环面的母圆
'yuan'huan'mian'de'nei'yuan 圆环面的内圆
'yuan'huan'mian'de'zhong'jian'ping'mian 圆环面的中间平面
'yuan'huan'mian'de'zhong'xing'yuan 圆环面的中性圆
'yuan'li'tu 原理图
'yuan'lun'yuan'shou'lun 圆轮缘手轮
'yuan'luo'mu 圆螺母
'yuan'pan'shi'bo'fa'sheng'qi 圆盘式波发生器
'yuan'pan'shou'bing'tao 圆盘手柄套
'yuan'pan'sun'shi 圆盘损失
'yuan'shi'lie'wen'chi'cun 原始裂纹尺寸
'yuan'shi'san'jiao'xing 原始三角形
'yuan'tong'xing'rou'lun 圆筒形柔轮
'yuan'tou'cao'xiao 圆头槽销
'yuan'tou'dai'sun'luo'shuan 圆头带榫螺栓
'yuan'tu 原图
'yuan'xing'hua'dong'zhou'cheng 圆形滑动轴承
'yuan'xiu'zhi'jiao 远休止角
'yuan'zhen'dong 圆振动
'yuan'zhou'ce'xi 圆周侧隙
'yuan'zhou'fen'su'du 圆周分速度
'yuan'zhou'su'du 圆周速度
'yuan'zhu 圆柱
'yuan'zhu'chi'lun 圆柱齿轮
'yuan'zhu'chi'lun'duan'mian'chi'lun'fu 圆柱齿轮端面齿轮副
'yuan'zhu'chi'lun'fu 圆柱齿轮副
'yuan'zhu'fen'du'tu'lun'ji'gou 圆柱分度凸轮机构
'yuan'zhu'fu 圆柱副
'yuan'zhu'gun'zi'zhou'cheng 圆柱滚子轴承
'yuan'zhu'luo'wen 圆柱螺纹
'yuan'zhu'luo'xuan'la'shen'tan'huang 圆柱螺旋拉伸弹簧
'yuan'zhu'luo'xuan'niu'zhuan'tan'huang 圆柱螺旋扭转弹簧
'yuan'zhu'luo'xuan'tan'huang 圆柱螺旋弹簧
'yuan'zhu'luo'xuan'xian 圆柱螺旋线
'yuan'zhu'luo'xuan'ya'suo'tan'huang 圆柱螺旋压缩弹簧
'yuan'zhu'tu'lun 圆柱凸轮
'yuan'zhu'wo'gan 圆柱蜗杆
'yuan'zhu'wo'gan'fu 圆柱蜗杆副
'yuan'zhu'xiao 圆柱销
'yuan'zhui'gun'zi'zhou'cheng 圆锥滚子轴承
'yuan'zhui'li'he'qi 圆锥离合器
'yuan'zhui'luo'wen 圆锥螺纹
'yuan'zhui'luo'xuan'xian 圆锥螺旋线
'yuan'zhui'nei'quan'zu'jian 圆锥内圈组件
'yuan'zhui'tu'lun 圆锥凸轮
'yuan'zhui'wai'quan'jiao 圆锥外圈角
'yuan'zhui'wai'quan'xiao'nei'jing 圆锥外圈小内径
'yuan'zhui'xiao 圆锥销
'yuan'zhui'zhi'dong'qi 圆锥制动器
'yuan'zi'mo'sun 原子磨损
'yun'dong 运动
'yun'dong'fu 运动副
'yun'dong'gou'jian 运动构件
'yun'dong'lian 运动链
'yun'dong'tan'xing'dong'li'xue 运动弹性动力学
'yun'dong'tan'xing'dong'li'xue'fen'xi 运动弹性动力学分析
'yun'dong'tan'xing'dong'li'xue'zong'he 运动弹性动力学综合
'yun'dong'xiang'si 运动相似
'za'san'dian'liu 杂散电流
'za'san'dian'liu'fu'shi 杂散电流腐蚀
'zai'bian'shi'xiao 灾变失效
'zai'er'ge'xuan'zhuan'fang'xiang 在二个旋转方向
'zai'he 载荷
'zai'he'gang'qiu 载荷钢球
'zai'he'hu'gao 载荷弧高
'zai'he'jiao 载荷角
'zai'he'pu 载荷谱
'zai'he'shun'xu'xiao'ying 载荷顺序效应
'zai'he'xi'shu 载荷系数
'zai'he'xian'chang 载荷弦长
'zai'huo'hua 在活化
'zai'huo'hua'dian'wei 再活化电位
'zai'qi'yi'ge'tao'quan 在其一个套圈
'zai'sheng'shi'gan'zao'qi 再生式干燥器
'zao'qi'shi'xiao'qi 早期失效期
'zao'sheng 噪声
'zeng'su'bi 增速比
'zeng'su'chi'lun'fu 增速齿轮副
'zeng'su'chi'lun'xi 增速齿轮系
'zha'dai'li'he'qi 闸带离合器
'zha'kuai 闸块
'zha'kuai'li'he'qi 闸块离合器
'zha'kuai'zhi'dong'qi 闸块制动器
'zha'wa'zhi'dong'qi 闸瓦制动器
'zhai'dai'sui'ji'zhen'dong 窄带随机振动
'zhai'mian'fa'lan 窄面法兰
'zhan'kai'tu 展开图
'zhang'chi'zhen'dong 张弛振动
'zhang'jie 胀接
'zhang'jin'lun 张紧轮
'zhang'jin'qi 张紧器
'zhang'kai'xing'lie'wen 张开型裂纹
'zhang'quan 胀圈
'zhang'quan'li'he'qi 胀圈离合器
'zhang'zha'shi'zhi'dong'qi 胀闸式制动器
'zhen'chi'ke 针齿壳
'zhen'chi'lun 针齿轮
'zhen'chi'tao 针齿套
'zhen'chi'xiao 针齿销
'zhen'chi'zhi'jing 针齿直径
'zhen'chi'zhong'xin'yuan 针齿中心圆
'zhen'chi'zhong'xin'yuan'chi'ju 针齿中心圆齿距
'zhen'chi'zhong'xin'yuan'zhi'jing 针齿中心圆直径
'zhen'chi'zhong'xin'yuan'zhu'mian 针齿中心圆柱面
'zhen'dang 振荡
'zhen'dong'li'ju 振动力矩
'zhen'dong'lie'du 振动烈度
'zhen'dong'mo'tai 振动模态
'zhen'dong'shi'yan 振动试验
'zhen'jing'xi'shu 针径系数
'zhen'lun 针轮
'zhen'ru'du 针入度
'zhen'shi'ying'bian 真实应变
'zhen'shi'ying'li 真实应力
'zhen'xing 振型
'zhen'xing'bu'ping'heng'yun'cha 振型不平衡允差
'zhen'xing'ping'heng 振型平衡
'zheng'bian'wei 正变位
'zheng'chang'mo'sun 正常磨损
'zheng'chang'nie'he 正常啮合
'zheng'chang'zhui'du'chi'zhui'chi'lun 正常锥度齿锥齿轮
'zheng'che'chi'mian 正车齿面
'zheng'ding'chu'li 整定处理
'zheng'jiao'bian'wei'chi'lun'fu 正角变位齿轮副
'zheng'jiao'zhui'chi'lun 正交锥齿轮
'zheng'jiao'zhui'chi'lun'fu 正交锥齿轮副
'zheng'liu'qi'gong'dian'de'zhi'liu 整流器供电的直流
'zheng'que'zhi'xian'ji'gou 正确直线机构
'zheng'shi'chong'ji'mai'chong 正矢冲击脉冲
'zheng'tai'sui'ji'zao'sheng 正态随机噪声
'zheng'ti'fa'lan 整体法兰
'zheng'ti'shi'hua'dong'zhou'cheng 整体式滑动轴承
'zheng'tou'ying 正投影
'zheng'tou'ying'fa 正投影法
'zheng'xian'jia'su'du'yun'dong'gui'ji 正弦加速度运动轨迹
'zheng'zhuan'ye'li'bian'ju'qi 正转液力变矩器
'zhi'bian'lian'ban 直边链板
'zhi'cao'xiao 直槽销
'zhi'cheng'ji 之乘积
'zhi'cheng'mian'kuan'du 支承面宽度
'zhi'cheng'mian'kuan'du'xi'shu 支承面宽度系数
'zhi'cheng'pan 支承盘
'zhi'cheng'quan'shu 支承圈数
'zhi'chi'lun 直齿轮
'zhi'chi'lun'fu 直齿轮副
'zhi'chi'tiao 直齿条
'zhi'chi'zhui'chi'lun 直齿锥齿轮
'zhi'dong'bi 制动臂
'zhi'dong'bu'jian'yu'yun'dong'bu'jian 制动部件与运动部件
'zhi'dong'chan'zhen 制动颤振
'zhi'dong'chen'dai 制动衬带
'zhi'dong'chen'kuai 制动衬块
'zhi'dong'chen'pian 制动衬片
'zhi'dong'cong'dong'jian 直动从动件
'zhi'dong'dai 制动带
'zhi'dong'fu'shu 制动副数
'zhi'dong'gang'dai 制动钢带
'zhi'dong'gong 制动功
'zhi'dong'gong'kuang 制动工况
'zhi'dong'gong'lv 制动功率
'zhi'dong'gu 制动鼓
'zhi'dong'guo'zai'xi'shu 制动过载系数
'zhi'dong'huan 止动环
'zhi'dong'huan'cao'kuan'du 止动环槽宽度
'zhi'dong'huan'cao'shen'du 止动环槽深度
'zhi'dong'huan'cao'zhi'jing 止动环槽直径
'zhi'dong'jian'su'du 制动减速度
'zhi'dong'kuai 制动块
'zhi'dong'lun 制动轮
'zhi'dong'pan 制动盘
'zhi'dong'pin'lv 制动频率
'zhi'dong'qi 制动器
'zhi'dong'qian'ban'bi 制动钳板臂
'zhi'dong'shi'xiao 制动失效
'zhi'dong'te'xing 制动特性
'zhi'dong'ti 制动蹄
'zhi'dong'tiao'dong 制动跳动
'zhi'dong'wa 制动瓦
'zhi'dong'zao'sheng 制动噪声
'zhi'dong'zhuan'ju 制动转矩
'zhi'dong'zhuan'su 制动转速
'zhi'he 之和
'zhi'jie'jie'chu'shi'zhi'dong'qi 直接接触式制动器
'zhi'jing'ji 质径积
'zhi'jing'xi'lie 直径系列
'zhi'jing'xi'shu 直径系数
'zhi'kuo'huan'mian'wo'gan 直廓环面蜗杆
'zhi'kuo'huan'mian'wo'gan'fu 直廓环面蜗杆副
'zhi'liang'ding'xin 质量定心
'zhi'liu'dian'qi'chuan'dong 直流电气传动
'zhi'ming'gu'zhang 致命故障
'zhi'ming'shi'xiao 致命失效
'zhi'neng'kong'zhi'xi'tong 智能控制系统
'zhi'shou'bing 直手柄
'zhi'suo'jian 止锁件
'zhi'tui'ca'cai'liao 纸推擦材料
'zhi'tui'dian'quan 止推垫圈
'zhi'tui'hua'dong'zhou'cheng 止推滑动轴承
'zhi'tui'huan 止推环
'zhi'xian 直线
'zhi'xian'chi'kuo 直线齿廓
'zhi'xian'chi'kuo'zhui'chi'lun 直线齿廓锥齿轮
'zhi'xian'dian'qi'chuan'dong 直线电气传动
'zhi'xian'ji'gou 直线机构
'zhi'xian'tu'lun 直线凸轮
'zhi'xian'zhen'dong 直线振动
'zhi'xian'zhou'cheng 直线轴承
'zhi'xin 质心
'zhi'zao'gu'zhang 制造故障
'zhi'zao'shi'xiao 制造失效
'zhong'ao'xing'luo'xuan'tan'huang 中凹形螺旋弹簧
'zhong'dang'quan 中挡圈
'zhong'dian'zhui'ju 中点锥距
'zhong'jian'liu'xian 中间流线
'zhong'jian'ping'mian 中间平面
'zhong'jian'zhui'mian 中间锥面
'zhong'jing 中径
'zhong'jing'xian 中径线
'zhong'li'liu'dong'xing 重力流动性
'zhong'li'zhi'dong'qi 重力制动器
'zhong'lian'ban 中链板
'zhong'quan 中圈
'zhong'tu'xing'luo'xuan'tan'huang 中凸形螺旋弹簧
'zhong'wei'shou'ming 中位寿命
'zhong'wei'zhi 中位秩
'zhong'xin 重心
'zhong'xin'ju 中心距
'zhong'xin'ju'bian'dong'xi'shu 中心距变动系数
'zhong'xin'lun 中心轮
'zhong'xin'tou'ying'fa 中心投影法
'zhong'xin'zhou'xiang'zai'he 中心轴向载荷
'zhong'xing'rou'lun 钟形柔轮
'zhong'yao'du 重要度
'zhong'zhi'e'ding'shou'ming 中值额定寿命
'zhong'zhi'shou'ming 中值寿命
'zhong'zhui 中锥
'zhou'ce'tou'ying 轴测投影
'zhou'ce'tu 轴测图
'zhou'cheng 轴承
'zhou'cheng'chen 轴承衬
'zhou'cheng'chen'bei 轴承衬背
'zhou'cheng'cheng'zai'neng'li 轴承承载能力
'zhou'cheng'dian'quan 轴承垫圈
'zhou'cheng'jian'mo'ceng 轴承减磨层
'zhou'cheng'jian'mo'ceng'hou'du 轴承减摩层厚度
'zhou'cheng'jing'xiang'zai'he 轴承径向载荷
'zhou'cheng'kuan'du 轴承宽度
'zhou'cheng'lian'xin'xian 轴承连心线
'zhou'cheng'mo'he'ceng 轴承磨合层
'zhou'cheng'nei'jing 轴承内径
'zhou'cheng'run'hua'you'liu'liang 轴承润滑油流量
'zhou'cheng'tao'quan 轴承套圈
'zhou'cheng'te'xing'shu 轴承特性数
'zhou'cheng'tou'ying'mian'ji 轴承投影面积
'zhou'cheng'wai'jing 轴承外径
'zhou'cheng'xi'lie 轴承系列
'zhou'cheng'xuan'zhuan'zu'zhuan'ju 轴承旋转阻转矩
'zhou'cheng'ya'qiang 轴承压强
'zhou'cheng'zhou'xiang'zai'he 轴承轴向载荷
'zhou'dian 轴点
'zhou'dian'qu'xian 轴点曲线
'zhou'duan'dang'quan 轴端挡圈
'zhou'gan'ji'gou 肘杆机构
'zhou'jian'dang'quan 轴肩挡圈
'zhou'jiao'jiao 轴交角
'zhou'jing 轴颈
'zhou'jing'zhong'xin 轴颈中心
'zhou'jing'zhong'xin'xian 轴颈中心线
'zhou'liu'ye'lun 轴流叶轮
'zhou'mian'fen'su'du 轴面分速度
'zhou'ping'mian 轴平面
'zhou'qi'xing'su'du'bo'dong 周期性速度波动
'zhou'qi'zhen'dong 周期振动
'zhou'quan 轴圈
'zhou'tao 轴套
'zhou'tao'hou'du 轴套厚度
'zhou'wa 轴瓦
'zhou'wa'ban'yuan'zhou'chang 轴瓦半圆周长
'zhou'wa'dui'kou'mian'ping'xing'du 轴瓦对口面平行度
'zhou'wa'hou'du 轴瓦厚度
'zhou'wa'tie'he'du 轴瓦贴合度
'zhou'wei'luo'ding 轴位螺钉
'zhou'xian'jiao'dian 轴线交点
'zhou'xiang'bian'xing 轴向变形
'zhou'xiang'chi'ju 轴向齿距
'zhou'xiang'chi'kuo 轴向齿廓
'zhou'xiang'dao'jiao'chi'cun 轴向倒角尺寸
'zhou'xiang'jie'chu'zhou'cheng 轴向接触轴承
'zhou'xiang'jie'ju 轴向节距
'zhou'xiang'mo'shu 轴向模数
'zhou'xiang'shuang'duan'mian'ji'xie'mi'feng 轴向双端面机械密封
'zhou'xiang'wei'yi 轴向位移
'zhou'xiang'xian'zhi'ji'gou 周向限制机构
'zhou'xiang'zai'he 轴向载荷
'zhou'xiang'zai'he'xi'shu 轴向载荷系数
'zhou'xin'gui'ji 轴心轨迹
'zhou'xuan'zhuan'ju'zhen 轴旋转矩阵
'zhu'dong'bu'jian 主动部件
'zhu'dong'chi'lun 主动齿轮
'zhu'dong'dai'lun 主动带轮
'zhu'dong'jian 主动件
'zhu'dong'lian'lun 主动链轮
'zhu'dong'lun 主动轮
'zhu'guan'xing'zhou 主惯性轴
'zhu'mi'feng 主密封
'zhu'mian'ye'pian 柱面叶片
'zhu'pian 主片
'zhu'sai'beng 柱塞泵
'zhu'sai'shi'qi'ma'da 柱塞式气马达
'zhu'sai'zhi'dong'qi 柱塞制动器
'zhu'shi'tu 主视图
'zhu'tie'guan'fa'lan 铸铁管法兰
'zhu'xiao 柱销
'zhu'xiao'kong'zhong'xin'qu'mian 柱销孔中心曲面
'zhu'xiao'kong'zhong'xin'yuan 柱销孔中心圆
'zhu'xiao'kong'zhong'xin'yuan'zhi'jing 柱销孔中心圆直径
'zhu'xiao'kong'zhong'xin'yuan'zhu'mian 柱销孔中心圆柱面
'zhu'xiao'tao 柱销套
'zhu'yao'yong'yu'ding'wei 主要用于定位
'zhu'zhuan'dong'guan'liang 主转动惯量
'zhuan'cha'lv 转差率
'zhuan'dong'fu 转动副
'zhuan'dong'guan'liang 转动惯量
'zhuan'dong'mo'ca 转动摩擦
'zhuan'dong'shou'bing 转动手柄
'zhuan'dong'xiao'shou'bing 转动小手柄
'zhuan'jiao'xiu'xing 转角修形
'zhuan'ju 转矩
'zhuan'yi 转移
'zhuan'zi 转子
'zhuan'zi'de'dong'ping'heng 转子的动平衡
'zhuan'zi'de'jing'ping'heng 转子的静平衡
'zhuan'zi'nao'qu'zhu'zhen'xing 转子挠曲主振型
'zhuan'zi'ping'heng'deng'ji 转子平衡等级
'zhuan'zi'xian'chang'ping'heng 转子现场平衡
'zhuang'ji 撞击
'zhuang'liao'liang 装料量
'zhuang'pei'tu 装配图
'zhuang'tian'cao'qiu'zhou'cheng 装填槽球轴承
'zhuang'zhi 装置
'zhui'cao'xiao 锥槽销
'zhui'chi'lun 锥齿轮
'zhui'chi'lun'de'ji'ben'chi'kuo 锥齿轮的基本齿廓
'zhui'chi'lun'fu 锥齿轮副
'zhui'chi'shao'chi'cha'chi'lun'fu 锥齿少齿差齿轮副
'zhui'jiao 锥角
'zhui'ju 锥距
'zhui'kong'zhou'cheng 锥孔轴承
'zhui'lun 锥轮
'zhui'mian'bao'luo'huan'mian'wo'gan 锥面包络环面蜗杆
'zhui'mian'bao'luo'yuan'zhu'wo'gan 锥面包络圆柱蜗杆
'zhui'wo'gan 锥蜗杆
'zhui'wo'gan'fu 锥蜗杆副
'zhui'wo'lun 锥蜗轮
'zhui'xing 锥形
'zhui'xing'ju'chi'suo'jin'dian'quan 锥形锯齿锁紧垫圈
'zhui'xing'tan'xing'dian'quan 锥形弹性垫圈
'zhui'zhu'shou'bing 锥柱手柄
'zhui'zu'zhi 锥阻值
'zhun'gang'xing'zhuan'zi 准刚性转子
'zhun'jian'kai'xian'chi'zhui'chi'lun 准渐开线齿锥齿轮
'zhun'jing'bu'ping'heng 准静不平衡
'zhun'shuang'qu'mian'chi'lun 准双曲面齿轮
'zhun'shuang'qu'mian'chi'lun'fu 准双曲面齿轮副
'zhun'zheng'xian'zhen'dong 准正弦振动
'zhun'zhou'qi'zhen'dong 准周期振动
'zi'dong'bian'su 自动变速
'zi'gong'luo'ding 自攻螺钉
'zi'gong'luo'wen 自攻螺纹
'zi'ji'zhen'dong 自激振动
'zi'kong'li'he'qi 自控离合器
'zi'nie'he'guan'lun 字啮合冠轮
'zi'nie'he'zhui'chi'lun 字啮合锥齿轮
'zi'qie'luo'ding 自切螺钉
'zi'ran'fu'shi'dian'wei 自然腐蚀电位
'zi'run'hua'zhou'cheng 自润滑轴承
'zi'run'hua'zhou'cheng'cai'liao 自润滑轴承材料
'zi'shi'ying'xi'tong 自适应系统
'zi'suo 自锁
'zi'suo'ji'gou 自锁机构
'zi'suo'tiao'jian 自锁条件
'zi'suo'zhi'dong'qi 自锁制动器
'zi'ti 字体
'zi'wei'hua'dong'zhou'cheng 自位滑动轴承
'zi'you'dan'zhang'liang 自由弹张量
'zi'you'du 自由度
'zi'you'fa'lan 自由法兰
'zi'you'gao'du 自由高度
'zi'you'hu'gao 自由弧高
'zi'you'jiao'du 自由角度
'zi'you'mian'ji 自由面积
'zi'you'xian'chang 自由弦长
'zi'you'zhen'dong 自由振动
'zong'bu'zhi'tu 总布置图
'zong'gong'zuo'shi'jian 总工作时间
'zong'he'shi'ye'li'bian'ju'qi 综合式液力变矩器
'zong'quan'shu 总圈数
'zong'rong'ji 总容积
