'a'bai'xi'pu'yan'nei'zhu'she'rong'ye 阿柏西普眼内注射溶液
'yin'xing'ye'ti'qu'wu'kou'fu'chang'shi'ji'xing 银杏叶提取物口服常释剂型
'yin'xing'ye'ti'qu'wu'kou'fu'ye'ti'ji 银杏叶提取物口服液体剂
'yin'xing'ye'ti'qu'wu'zhu'she'ji 银杏叶提取物注射剂
'ying'guang'su'na 荧光素钠
'ying'su'jian'kou'fu'chang'shi'ji'xing 罂粟碱口服常释剂型
'ying'su'jian'zhu'she'ji 罂粟碱注射剂
'ying'su'yi'dian'you 罂粟乙碘油
'you'bing'ya'an'you'lei'zuo'sheng 右丙亚胺右雷佐生
'you'mei'sha'fen'huan'shi'hun'xuan'ji 右美沙芬缓释混悬剂
'you'mei'sha'fen'ke'li'ji 右美沙芬颗粒剂
'you'mei'sha'fen'kou'fu'chang'shi'ji'xing 右美沙芬口服常释剂型
'you'mei'sha'fen'kou'fu'ye'ti'ji 右美沙芬口服液体剂
'you'mei'sha'fen'yu'chuang'gan'you'mi'tang'jiang 右美沙芬愈创甘油醚糖浆
'you'mei'tuo'mi'ding 右美托咪定
'you'xuan'bu'luo'fen 右旋布洛芬
'you'xuan'tang'gan'tie'kou'fu'ye'ti'ji 右旋糖酐铁口服液体剂
'you'xuan'tang'gan'tie'zhu'she'ji 右旋糖酐铁注射剂
'you'zuo'pi'ke'long 右佐匹克隆
'yu'chuang'wei'lin'na'min'pian 愈创维林那敏片
'yu'fen'pen'tuo'yi'bing'qin'ke'li 愈酚喷托异丙嗪颗粒
'yu'fen'wei'lin'pian 愈酚维林片
'yu'fen'wei'ma'pian 愈酚伪麻片
'yu'jing'dan'bai 鱼精蛋白
'yu'mei'jiao'nang 愈美胶囊
'yu'mei'ke'li'ji 愈美颗粒剂
'yu'mei'pian 愈美片
'yu'shi'zhi 鱼石脂
'yu'xing'cao'su 鱼腥草素
'yu'you'zhi'fang'ru 鱼油脂肪乳
'yu'you'zhong'chang'lian'zhi'fang'ru'zhu'she'ye 鱼油中长链脂肪乳注射液
'yun'san'xi'tong 孕三烯酮
'zha'lai'pu'long 扎来普隆
'zhang'nao'ruan'gao'ji 樟脑软膏剂
'zhang'nao'xu'ji 樟脑醑剂
'zhe'tang'tie 蔗糖铁
'zheng'dan'bai'xing'chang'nei'ying'yang'ji 整蛋白型肠内营养剂
'zhi'fang'ru'an'ji'suan'pu'tao'tang 脂肪乳氨基酸葡萄糖
'zhi'mei'su'kou'fu'chang'shi'ji'xing 制霉素口服常释剂型
'zhi'mei'su'shuan'ji 制霉素栓剂
'zhi'mei'su'yin'dao'pao'teng'pian 制霉素阴道泡腾片
'zhi'rong'xing'wei'sheng'su'zhi'rong'xing'wei'sheng'su 脂溶性维生素脂溶性维生素
'zhu'fei'lin'zhi 猪肺磷脂
'zhu'she'yong'ai'bo'wei'tai 注射用艾博韦泰
'zhu'she'yong'chong'zu'ren'niao'ji'mei'yuan 注射用重组人尿激酶原
'zhu'she'yong'cu'suan'ao'qu'tai'wei'qiu 注射用醋酸奥曲肽微球
'zhu'she'yong'fu'sha'pi'tan'shuang'pu'an 注射用福沙匹坦双葡胺
'zhu'she'yong'lin'suan'te'di'zuo'an 注射用磷酸特地唑胺
'zhu'she'yong'liu'suan'ai'sha'kang'zuo 注射用硫酸艾沙康唑
'zhu'she'yong'ti'mo'zuo'an 注射用替莫唑胺
'zhu'she'yong'tou'bao'fu'xin'na'lv'hua'na'zhu'she'ye 注射用头孢呋辛钠氯化钠注射液
'zhu'she'yong'tou'bao'mei'zuo'na'lv'hua'na'zhu'she'ye 注射用头孢美唑钠氯化钠注射液
'zhu'she'yong'tou'bao'sai'wo'na'ta'zuo'ba'tan'na 注射用头孢噻肟钠他唑巴坦钠
'zhu'she'yong'tou'bao'xi'ding'na'pu'tao'tang'zhu'she'ye 注射用头孢西丁钠葡萄糖注射液
'zhu'she'yong'ying'fu'li'xi'dan'kang 注射用英夫利西单抗
'zhu'she'yong'you'lan'suo'la'zuo 注射用右兰索拉唑
'zhu'she'yong'zi'shan'chun'zhi'zhi'ti 注射用紫杉醇脂质体
'zi'shan'chun 紫杉醇
'zi'shan'chun'bai'dan'bai'jie'he'xing 紫杉醇白蛋白结合型
'zuo'an'lv'di'ping'zuo'xuan'an'lv'di'ping 左氨氯地平左旋氨氯地平
'zuo'ao'xiao'zuo'lv'hua'na 左奥硝唑氯化钠
'zuo'bi'tan 唑吡坦
'zuo'bu'bi'ka'yin 左布比卡因
'zuo'bu'nuo'luo'er 左布诺洛尔
'zuo'jia'zhuang'xian'su 左甲状腺素
'zuo'ka'ba'si'ting 左卡巴斯汀
'zuo'ka'ni'ting'kou'fu'ye'ti'ji 左卡尼汀口服液体剂
'zuo'ka'ni'ting'zhu'she'ji 左卡尼汀注射剂
'zuo'lai'lin'suan 唑来膦酸
'zuo'mi'qu'pu'tan 佐米曲普坦
'zuo'ni'sha'an 唑尼沙胺
'zuo'pi'ke'long 佐匹克隆
'zuo'xi'meng'dan 左西孟旦
'zuo'xi'ti'li'qin'kou'fu'chang'shi'ji'xing 左西替利嗪口服常释剂型
'zuo'xi'ti'li'qin'kou'fu'ye'ti'ji 左西替利嗪口服液体剂
'zuo'xuan'duo'ba 左旋多巴
'zuo'yang'fu'sha'xing'di'er'ji 左氧氟沙星滴耳剂
'zuo'yang'fu'sha'xing'di'yan'ji 左氧氟沙星滴眼剂
'zuo'yang'fu'sha'xing'kou'fu'chang'shi'ji'xing 左氧氟沙星口服常释剂型
'zuo'yang'fu'sha'xing'lv'hua'na 左氧氟沙星氯化钠
'zuo'yang'fu'sha'xing'pu'tao'tang 左氧氟沙星葡萄糖
'zuo'yang'fu'sha'xing'yan'yong'ning'jiao'ji 左氧氟沙星眼用凝胶剂
'zuo'yang'fu'sha'xing'zhu'she'ji 左氧氟沙星注射剂
'zuo'yi'la'xi'tan'huan'shi'kong'shi'ji'xing 左乙拉西坦缓释控释剂型
'zuo'yi'la'xi'tan'kou'fu'chang'shi'ji'xing 左乙拉西坦口服常释剂型
'zuo'yi'la'xi'tan'kou'fu'ye'ti'ji 左乙拉西坦口服液体剂
'zuo'yi'la'xi'tan'zhu'she'ji 左乙拉西坦注射剂
