'a'da'pa'lin 阿达帕林
'pi'fu'shen'jing'tong 皮肤神经痛
'pi'fu'shi 皮肤石
'pi'fu'si'chong'bing 皮肤丝虫病
'pi'fu'song'chi'zheng 皮肤松弛症
'pi'fu'song'jie'zheng 皮肤松解症
'pi'fu'sui'dao'yang'ai 皮肤隧道样癌
'pi'fu'tan'xing'guo'du 皮肤弹性过度
'pi'fu'wei'suo 皮肤萎缩
'pi'fu'xi'tong'xing'xue'guan'yan'zhen 皮肤系统性血管炎疹
'pi'fu'xian'lin'ai 皮肤腺鳞癌
'pi'fu'xian'mao'xing'nang'zhong 皮肤纤毛性囊肿
'pi'fu'xian'wei'liu 皮肤纤维瘤
'pi'fu'xiang'guan'lin'ba'zu'zhi 皮肤相关淋巴组织
'pi'fu'xiang'guan'xing'lin'ba'yang'zu'zhi 皮肤相关性淋巴样组织
'pi'fu'xing'wei'zheng 皮肤行为症
'pi'fu'yi'se 皮肤异色
'pi'fu'yi'se'bing 皮肤异色病
'pi'fu'yi'se'bing'yang'dian'fen'yang'bian'bing 皮肤异色病样淀粉样变病
'pi'fu'yi'se'bing'you'nian'bai'nei'zhang'zong'he'zheng 皮肤异色病幼年白内障综合征
'pi'fu'yi'se'zheng 皮肤异色症
'pi'fu'yi'se'zheng'de'liang'xing'bian'zhong 皮肤异色症的良性变种
'pi'fu'ying'qu'bing 皮肤蝇蛆病
'pi'fu'yuan'xing'bai'nei'zhang 皮肤源性白内障
'pi'fu'yuan'zao'bing 皮肤原藻病
'pi'fu'zai'sheng'bu'liang 皮肤再生不良
'pi'fu'zhang'li'xian 皮肤张力线
'pi'fu'zhu'nang'chong'bing 皮肤猪囊虫病
'pi'ji'yan 皮肌炎
'pi'jiao 皮角
'pi'jie 皮节
'pi'mian'zhi'zhi 皮面脂质
'pi'mo'qi'te 匹莫齐特
'pi'nei'zhi 皮内痣
'pi'rou'ya'zhong 铍肉芽肿
'pi'tong 皮痛
'pi'xia'zao'jun'bing 皮下藻菌病
'pi'xia'zhi'fang'rou'ya'zhong'bing 皮下脂肪肉芽肿病
'pi'yang'nang'zhong 皮样囊肿
'pi'zhi'lei'gu'chun'hou'zhi'mo'yan 皮脂类固醇后脂膜炎
'pi'zhi'lei'gu'chun'zi'dian 皮质类固醇紫癜
'pi'zhi'que'fa'zheng 皮脂缺乏症
'pi'zhi'xian'ai 皮脂腺癌
'pi'zhi'xian'cuo'gou'liu 皮脂腺错构瘤
'pi'zhi'xian'mao'nang'liu 皮脂腺毛囊瘤
'pi'zhi'xian'mu'zhi'bing 皮脂腺母质病
'pi'zhi'xian'nang'zhong 皮脂腺囊肿
'pi'zhi'xian'shang'pi'liu 皮脂腺上皮瘤
'pi'zhi'xian'xian'liu 皮脂腺腺瘤
'pi'zhi'xian'zhi 皮脂腺痣
'pi'zhi'yi'chu 皮脂溢出
'pi'zhui 皮赘
'pian'ce'fei'da'zheng 偏侧肥大症
'pian'zhi 胼胝
'pian'zhi'bing 胼胝病
'piao'ling'lei'si'wu 嘌呤类似物
'piao'ling'mei'su 嘌呤霉素
'pin'ta 品他
'pin'ta'luo'xuan'ti 品他螺旋体
'pin'xue 贫血
'pin'xue'ban 贫血斑
'pin'xue'zhi 贫血痣
'pin'xue'zong'he'zheng 贫血综合症
'po'ni'song 泼尼松
'po'ni'song'long 泼尼松龙
'po'ni'song'long'yi'suan'zhi 泼尼松龙乙酸酯
'pu'ka'mei'su 普卡霉素
'pu'nai'luo'er 普萘洛尔
'pu'tang'shen'jing'xian'an 葡糖神经酰胺
'pu'tao'tang'nao'gan'zhi'bing 葡萄糖脑苷脂病
'pu'tao'zhuang'qiu'jun'bing 葡萄状球菌病
'pu'tu 普秃
'pu'xing'xing'ruan'xia'gan 匍行性软下疳
'pu'xing'zhen 匍行疹
'qi'dong'zi 启动子
'qi'duo'fu'ding 齐多夫定
'qi'fa'yu'yi'chang 脐发育异常
'qi'guan'yang'zhi 器官样痣
'qi'guan'zhong'da 器官肿大
'qi'qiu'xi'bao'zhi 气球细胞痣
'qi'ta'quan'shen'xing'ji'bing'ban'fa'hei'su'chen'zhuo 其它全身性疾病伴发黑素沉着
'qi'wu'ji 气雾剂
'qi'xing'huai'ju 气性坏疽
'qi'you 汽油
'qia'jia'si'bing 恰加斯病
'qian'bi'zhuang'rong'he'xing'ru'tou'liu'bing 钱币状融合性乳头瘤病
'qian'bi'zhuang'shi'zhen 钱币状湿疹
'qian'bi'zhuang'yin'xie'bing 钱币状银屑病
'qian'bi'zhuang'zhang'zhi'jiao'hua'bing 钱币状掌跖角化病
'qian'biao'hua'nong'xing'xian'xing'chun'yan 浅表化脓型腺性唇炎
'qian'biao'xing'pi'fu'zhi'fang'liu'zhi 浅表性皮肤脂肪瘤痣
'qian'dai'xian'xiang 前带现象
'qian'jia 嵌甲
'qian'jiao'yuan'tai 前胶原肽
'qian'la'xing'tuo'fa 牵拉性脱发
'qian'se'zhi'yi'xing'jiao'hua'bing 浅色脂溢性角化病
'qian'sheng'zhang'qi 前生长期
'qian'xing'jia'zong'he'zheng 钳形甲综合征
'qian'xuan'yang'ya'si 钱癣样雅司
'qian'yi'xing'jie'jie'xing'hong'ban 迁移性结节性红斑
'qian'zao'bing 潜蚤病
'qiang'ji'niao 羟基脲
'qiang'jia'ji'xian'wei'su 羟甲基纤维素
'qiang'jia'xi'long 羟甲烯龙
'qiang'jia'yang'ben'tong 羟甲氧苯酮
'qiang'kou'bu'pi'fu'jie'he 腔口部皮肤结核
'qiang'li'mei'su 强力霉素
'qiang'lin'hui'shi 羟磷灰石
'qiang'qin 羟嗪
'qiang'yi'ji'xian'wei'su 羟乙基纤维素
'qiang'zhi'she 强直舌
'qiang'zhi'xing'ji'zhui'yan 强直性脊椎炎
'qiao'ban'dan'bai 桥斑蛋白
'qiao'ban'zhu'dan'bai 桥斑珠蛋白
'qiao'li 桥粒
'qiao'li'xin'tang'dan'bai 桥粒芯糖蛋白
'qiao'mao 撬毛
'qiao'zhan'su 桥粘素
'qin'biao'pi'xing 亲表皮性
'qin'shi'xing'kui'yang 侵蚀性溃疡
'qin'xi'xing'zhi'zhi'ru'tou'zhuang'xian'liu 侵袭性指趾乳头状腺瘤
'qing'da'mei'su 庆大霉素
'qing'hua'ke'di'song 氢化可的松
'qing'hua'ke'di'song'ding'suan'zhi 氢化可的松丁酸酯
'qing'hua'ke'di'song'wu'suan'zhi 氢化可的松戊酸酯
'qing'kun 氢醌
'qing'mei'su 青霉素
'qing'mei'su'jia'yan 青霉素钾盐
'qing'nian'tan'xing'liu 青年弹性瘤
'qing'shao'nian'chun'ji'zhen 青少年春季疹
'qing'shao'nian'qiu'zhen'xing'pi'zhen 青少年丘疹性皮疹
'qing'yang'hua'gai 氢氧化钙
'qing'yang'hua'jia 氢氧化假
'qing'yang'hua'na 氢氧化钠
'qing'yu'lei'zhong'du'suo'zhi'chao'hong'zong'he'zheng 鲭鱼类中毒所致潮红综合症
'qing'zheng'yang'zhen 轻症痒疹
'qing'zi'xing'xue'shuan'xing'jing'mai'yan 青紫性血栓性静脉炎
'qiu'bao'zi'jun'bing 球孢子菌病
'qiu'ji'niao'piao'ling 巯基鸟嘌呤
'qiu'ji'piao'ling 巯基嘌呤
'qiu'pai'zhuang'jia 球拍状甲
'qiu'pao'zhen 丘疱疹
'qiu'shui'xian'jian 秋水仙碱
'qiu'yang'bi'ding'xin 巯氧吡啶锌
'qiu'zhen 丘疹
'qiu'zhen'huai'si'xing'jie'he 丘疹坏死性结核
'qiu'zhen'huai'si'xing'jie'he'zhen 丘疹坏死性结核疹
'qiu'zhen'shui'pao'zhi'duan'ju'xian'xing'zong'he'zheng 丘疹水疱肢端局限性综合征
'qiu'zhen'xing'cuo'chuang 丘疹性痤疮
'qiu'zhen'xing'hong'ban 丘疹性红斑
'qiu'zhen'xing'hong'pi'bing 丘疹性红皮病
'qiu'zhen'xing'nian'dan'bai'bing 丘疹性粘蛋白病
'qiu'zhen'xing'ruan'xia'gan 丘疹性软下疳
'qiu'zhen'xing'xun'ma'zhen 丘疹性荨麻疹
'qiu'zhen'xing'zhang'zhi'jiao'hua'zheng 丘疹性掌跖角化症
'qiu'zhen'zi'dian'xing'shou'tao'he'duan'wa'yang'zong'he'zheng 丘疹紫癜性手套和短袜样综合征
'qiu'zuo'piao'ling 巯唑嘌呤
'qu'an'nai'de 曲安萘德
'qu'an'xi'long 曲安西龙
'qu'dai 区带
'qu'dai'dui'wei'ben'er'an 取代对位苯二胺
'qu'gu'mei'su 曲古霉素
'qu'gu'mei'su 曲骨霉素
'qu'hua'ji'neng'bu'quan'zong'he'zheng 趋化机能不全综合征
'qu'hua'xing 趋化性
'qu'mei'bing 曲霉病
'qu'ni'si'te 曲尼司特
'qu'pu'li'ding 曲普利啶
'qu'qing'yi'xiong'zai'tong 去氢异雄甾酮
'qu'suan 曲酸
'qu'ta'an 曲他胺
'qu'xian'wei'dan'bai'zong'he'zheng 去纤维蛋白综合症
'qu'yang'mi'song 去氧米松
'qu'yi'xian'jia'ji'qiu'shui'xian'jian 去乙酰甲基秋水仙碱
'quan'bai'jia 全白甲
'quan'bu'he'qing'se'zhi 颧部褐青色痣
'quan'ceng'wei'suo 全层萎缩
'quan'jia'fen'li 全甲分离
'quan'jiang'fen'mi 全浆分泌
'quan'shen'pian'ce'wei'suo 全身偏侧萎缩
'quan'shen'xing'pi'fu'song'chi'zheng 全身性皮肤松弛症
'quan'shen'xing'sao'yang'bing 全身性瘙痒病
'quan'shen'xing'su'li'xing'pi'fu'jie'he 全身性粟粒性皮肤结核
'quan'shen'xing'zhi'fang'wei'suo 全身性脂肪萎缩
'quan'suo'mei 醛缩酶
'quan'tu 全秃
'quan'wei'suo 全萎缩
'quan'xue'xi'bao'jian'shao'ji'duo'fa'xing'ji'xing 全血细胞减少及多发性畸形
'que'ban 雀斑
'que'ci'chun 炔雌醇
'que'tie'xing'jie'duan'xing'hui'fa 缺铁性节段性灰发
'que'tie'xing'tun'yan'kun'nan'zong'he'zheng 缺铁性吞咽困难综合症
'que'xue'xing'ji'luan'suo 缺血性肌挛缩
'ran'se'ti'shu'song'kang'yuan 染色体疏松抗原
're'dai'han'bi'xing'shuai'jie 热带汗闭性衰竭
're'dai'kui'yang 热带溃疡
're'dai'li'shi'man'yuan'chong 热带利士曼原虫
're'dai'mei'chuang 热带莓疮
're'dai'nian'zhu'jun 热带念珠菌
're'xun'ma'zhen 热荨麻疹
'ren'dai'yang'liu 韧带样瘤
'ren'er'suan 壬二酸
'ren'gong'pi'yan 人工皮炎
'ren'gong'xing'zhi'mo'yan 人工性脂膜炎
'ren'gong'yin'xie'bing 人工银屑病
'ren'gong'zi'dian 人工紫癜
'ren'hou'dou 人猴痘
'ren'lei'dan'chun'pao'zhen'bing'du 人类单纯疱疹病毒
'ren'lei'mian'yi'que'xian'bing'du 人类免疫缺陷病毒
'ren'lei'wei'ba 人类尾巴
'ren'ru'tou'liu'bing'du 人乳头瘤病毒
'ren'shen'du'xue'zhen 妊娠毒血疹
'ren'shen'duo'xing'zhen 妊娠多形疹
'ren'shen'pao'zhen 妊娠疱疹
'ren'shen'wen 妊娠纹
'ren'shen'xing'qiu'zhen'xing'pi'yan 妊娠性丘疹性皮炎
'ren'shen'xing'yang'zhen 妊娠性痒疹
'ren'shen'zhong'du'xing'hong'ban 妊娠中毒性红斑
'ren'yi'yun'dong 任意运动
'ri'guang'xing'chun'yan 日光性唇炎
'ri'guang'xing'jia'fen'li 日光性甲分离
'ri'guang'xing'jiao'hua'bing 日光性角化病
'ri'guang'xing'tan'xing'xian'wei'bing 日光性弹性纤维病
'ri'guang'xing'xun'ma'zhen 日光性荨麻疹
'ri'guang'xing'zi'dian 日光性紫癜
'ri'shai'bing 日晒病
'rong'he'xing'wang'zhuang'ru'tou'liu'bing 融合性网状乳头瘤病
'rong'jiao'yuan'xian'wei'mei 溶胶原纤维酶
'rong'mao'mo'cu'xing'xian'ji'su 绒毛膜促性腺激素
'rong'tan'xing'xian'wei'mei 溶弹性纤维酶
'rong'xue'xing'lian'qiu'jun'xing'huai'ju 溶血性链球菌性坏疽
'rong'ye 溶液
'rong'yi'cuo'shang'zong'he'zheng 容易挫伤综合征
'rong'zu'zhi'a'mi'ba 溶组织阿米巴
'rou'suan 鞣酸
'rou'ya'zhong'bing 肉芽肿病
'rou'ya'zhong'jia'mo'gan'jun 肉芽肿荚膜杆菌
'rou'ya'zhong'xing'bang'zhuang'gan'jun 肉芽肿性棒状杆菌
'rou'ya'zhong'xing'chun'yan 肉芽肿性唇炎
'rou'ya'zhong'xing'jiu'zha'bi 肉芽肿性酒渣鼻
'rou'ya'zhong'xing'ju'chun'yan 肉芽肿性巨唇炎
'ru'chuang 褥疮
'ru'fang'bu'wei'tan'xing'xian'wei'zhi 乳房部位弹性纤维痣
'ru'fang'wai'shi'zhen'yang'ai 乳房外湿疹样癌
'ru'ji 乳剂
'ru'jian'zong'he'zheng 乳碱综合征
'ru'suan 乳酸
'ru'suan'tuo'qing'mei 乳酸脱氢酶
'ru'tou'dao'guan'cai'hua'yang'ru'tou'zhuang'liu'bing 乳头导管菜花样乳头状瘤病
'ru'tou'duo'kong'bing'du 乳头多空病毒
'ru'tou'liu'bing'du 乳头瘤病毒
'ru'tou'mi'lan'xing'xian'liu'bing 乳头糜烂性腺瘤病
'ru'tou'ru'yun'jiao'hua'guo'du'zheng 乳头乳晕角化过度症
'ru'tou'zhuang'han'guan'nang'xian'liu 乳头状汗管囊腺瘤
'ru'tou'zhuang'han'guan'nang'xian'liu'zhi 乳头状汗管囊腺瘤痣
'ru'tou'zhuang'han'xian'liu 乳头状汗腺瘤
'ru'tou'zhuang'han'xian'xian'liu 乳头状汗腺腺瘤
'ru'tou'zhuang'lang'chuang 乳头状狼疮
'ruan'gao'ji 软膏剂
'ruan'gu'fa'yu'yi'chang'xue'guan'liu'zong'he'zheng 软骨发育异常血管瘤综合症
'ruan'gu'mao'fa'fa'yu'bu'liang'zong'he'zheng 软骨毛发发育不良综合征
'ruan'gu'mao'fa'fa'yu'bu'quan 软骨毛发发育不全
'ruan'gu'pei'ye'fa'yu'bu'liang 软骨胚叶发育不良
'ruan'gu'pi'fu'jiao'mo'ying'yang'bu'liang'zong'he'zheng 软骨皮肤角膜营养不良综合症
'ruan'gu'xing'zhi 软骨性痣
'ruan'gu'yang'han'guan'liu 软骨样汗管瘤
'ruan'gu'ying'yang'bu'liang'xue'guan'liu'zong'he'zheng 软骨营养不良血管瘤综合症
'ruan'hou 软瘊
'ruan'jia 软甲
'ruan'xia'gan 软下疳
'ruan'xian'wei'liu 软纤维瘤
'rui'ding'yao 蚋叮咬
'sa'la'mei'su 萨拉霉素
'sa'luo 萨罗
'sai'kang'zuo 噻康唑
'sai'lv'pi'ding 噻氯匹啶
'sai'ti'pai 噻替派
'san'cha'shen'jing'ying'yang'xing'sun'hai 三叉神经营养性损害
'san'cha'shen'jing'ying'yang'xing'zong'he'zheng 三叉神经营养性综合症
'san'fa'xing'ban'zhen'shang'han 散发性斑疹伤寒
'san'lv'cu'suan 三氯醋酸
'san'ti'zong'he'zheng 三体综合征
'san'ti'zong'he'zheng 三体综合症
'san'yi'ji'jin'lin'hua'wu 三乙基金膦化物
'san'zhuang 伞状
'san'zuo'lun 三唑仑
'sang'mao'chong'pi'yan 桑毛虫皮炎
'sang'shen'chi 桑椹齿
'sao'yang'bing 瘙痒病
'sao'yang'xing'zi'dian 瘙痒性紫癜
'se'an'suan'bi'luo'mei'que'fa 色氨酸吡咯酶缺乏
'se'gan'suan'er'na 色甘酸二钠
'se'gan'suan'na 色甘酸钠
'se'han'zheng 色汗症
'se'ji 色基
'se'su'chen'zhuo'xi'rou'zong'he'zheng 色素沉着息肉综合征
'se'su'shi'jin'zheng 色素失禁症
'se'su'xi'bao'zhi'zong'he'zheng 色素细胞痣综合症
'se'su'xing'lei'zhi'zhi'zu'zhi'xi'bao'bing 色素性类脂质组织细胞病
'se'su'xing'mao'biao'pi'zhi 色素性毛表皮痣
'se'su'xing'mao'nang'nang'zhong 色素性毛囊囊肿
'se'su'xing'mei'gui'zhen 色素性玫瑰疹
'se'su'xing'mei'gui'zhen 色素性玫瑰诊
'se'su'xing'you'zhen 色素性疣疹
'se'su'xing'zi'dian'xing'pi'fu'bing 色素性紫癜性皮肤病
'se'zhi 色痣
'sha'lei'jun'shu 沙雷菌属
'sha'li'du'an 沙利度胺
'sha'li'yang'ban'hen 砂砾样瘢痕
'sha'men'jun'shu'gan'ran'chang're'zheng'de'pi'fu'biao'xian 沙门菌属感染肠热症的皮肤表现
'sha'mo'chuang 沙漠疮
'sha'nian'zhu'jun'su 杀念珠菌素
'shan'guang'beng'ran'liao 闪光泵染料
'shan'hu'ge'shang 珊瑚割伤
'shan'xi'jin'lan'pi'fu'bing'yan'jiu'suo 陕西金兰皮肤病研究所
'shang'ceng'tu'ran'huai'si'song'jie 上层突然坏死松解
'shang'pi'yang'ai 上皮样癌
'shang'pi'yang'rou'liu 上皮样肉瘤
'shang'pi'yang'xi'bao'zu'zhi'xi'bao'liu 上皮样细胞组织细胞瘤
'shang'pi'yang'xue'guan'liu'bing 上皮样血管瘤病
'shao'shang 烧伤
'she'chuang'zi 蛇床子
'she'de'jing'mai'qu'zhang 舌的静脉曲张
'she're'zheng 舌热症
'she'ru'tou'wei'suo 舌乳头萎缩
'she'shi'pi'yan 舌舐皮炎
'she'tong'zheng 舌痛症
'she'xia'jing'mai'qu'zhang 舌下静脉曲张
'she'xiang'cao'nao 麝香草脑
'she'xing'zhuang'yin'xie'bing 蛇行状银屑病
'she'yan 舌炎
'she'zhuo'zheng 舌灼症
'shen'bu'hua'nong'xing'xian'xing'chun'yan 深部化脓型腺性唇炎
'shen'bu'su'li'zhen 深部粟粒疹
'shen'bu'ying'ban'bing 深部硬斑病
'shen'chu'xing'duo'xing'hong'ban 渗出性多形红斑
'shen'chu'xing'pan'zhuang'ji'tai'xian'yang'pi'yan 渗出性盘状及苔藓样皮炎
'shen'chu'xing'shen'jing'xing'pi'yan 渗出性神经性皮炎
'shen'jiao'hua'bing 砷角化病
'shen'jing'guan 神经管
'shen'jing'guan'neng'bing'xing'biao'pi'bo'tuo 神经官能病性表皮剥脱
'shen'jing'ji 神经脊
'shen'jing'nei'mo 神经内膜
'shen'jing'pi'fu'bing 神经皮肤病
'shen'jing'pi'fu'hei'bian'bing 神经皮肤黑变病
'shen'jing'pi'fu'hei'su'mu'xi'bao'zeng'duo'zheng 神经皮肤黑素母细胞增多症
'shen'jing'pi'fu'zong'he'zheng 神经皮肤综合症
'shen'jing'shu'mo 神经束膜
'shen'jing'tai'xing'zhi'duan'gan'jue'yi'chang 神经肽性肢端感觉异常
'shen'jing'wai'mo 神经外膜
'shen'jing'xian'an 神经酰胺
'shen'jing'xian'an'mei'que'fa 神经酰胺酶缺乏
'shen'jing'xian'wei'liu'bing 神经纤维瘤病
'shen'jing'xian'wei'liu'xing'ju'she 神经纤维瘤性巨舌
'shen'jing'xing'pi'yan 神经性皮炎
'shen'jing'yan'pi'fu'zong'he'zheng 神经眼皮肤综合征
'shen'shang'xian'sheng'zhi'qi'zong'he'zheng 肾上腺生殖器综合征
'shen'shang'xian'xing'zheng'yi'chang'zong'he'zheng 肾上腺性征异常综合征
'shen'she'xing'chi'dai 伸舌性痴呆
'shen'zai'xing'hong'ban'lang'chuang 深在性红斑狼疮
'sheng'fa'ceng 生发层
'sheng'hua'liu'huang 升华硫黄
'sheng'wu'jian'lei 生物碱类
'sheng'wu'su 生物素
'sheng'xiang'jiao 生橡胶
'sheng'zhang'qi 生长期
'sheng'zhang'qi'tou'fa 生长期头发
'sheng'zhang'qi'tou'fa'song'dong'zong'he'zheng 生长期头发松动综合征
'sheng'zhang'qi'tuo'fa 生长期脱发
'sheng'zhang'yin'zi 生长因子
'sheng'zhang'yin'zi'he'zhuan'hua'sheng'zhang'yin'zi 生长因子和转化生长因子
'sheng'zhi'qi'han'guan'liu 生殖器汗管瘤
'sheng'zhi'qi'nian'zhu'jun'bing 生殖器念珠菌病
'sheng'zhi'qi'pao'zhen 生殖器疱疹
'sheng'zhi'qi'you 生殖器疣
'sheng'zhi'qi'zhu'ru 生殖器侏儒
'shi'bing 虱病
'shi'du'you 尸毒疣
'shi'ge'xi'bao'liu'jia'zhuang'xian'sui'yang'ai 嗜铬细胞瘤甲状腺髓样癌
'shi'la 石蜡
'shi'la'liu 石蜡瘤
'shi'liu'chun 十六醇
'shi'liu'tan'xi'suan 十六碳烯酸
'shi'mian'zhuang'kang'zhen 石棉状糠疹
'shi'mian'zhuang'xuan 石棉状癣
'shi'suan'xing'feng'wo'zhi'yan 嗜酸性蜂窝织炎
'shi'suan'xing'jin'mo'yan 嗜酸性筋膜炎
'shi'suan'xing'li'xi'bao'zeng'duo'zong'he'zheng 嗜酸性粒细胞增多综合症
'shi'suan'xing'nong'pao'xing'mao'nang'yan 嗜酸性脓疱性毛囊炎
'shi'suan'xing'zhi'mo'yan 嗜酸性脂膜炎
'shi'tan'suan 石炭酸
'shi'ti'nang'xing'han'xian'liu 实体囊性汗腺瘤
'shi'wang'mo'xue'guan'liu'bing 视网膜血管瘤病
'shi'wu'tan'xi'suan 十五碳烯酸
'shi'xue'fen'zhi'gan'jun 嗜血分枝杆菌
'shi'zhen 湿疹
'shi'zhen'zhen'yang'zi'dian 湿疹疹样紫癜
'shou'lian'ji 收敛剂
'shou'shu'hou'jin'xing'xing'xie'tong'xing'huai'ju 手术后进行性协同性坏疽
'shou'zu'biao'qian'xing'da'pao'xing'nong'pi'bing 手足表浅性大疱性脓皮病
'shou'zu'jiao'yuan'ban 手足胶原斑
'shou'zu'jun'lie 手足皲裂
'shou'zu'kou'bing 手足口病
'shou'zu'xuan 手足癣
'shu'le'an'ding 舒乐安定
'shu'san'xing'zhi'bu'han'kong'jiao'hua'zheng 疏散性跖部汗孔角化症
'shu'shang'han'gan'jun 鼠伤寒杆菌
'shu'tu'zhuang'biao'pi'xi'bao 树突状表皮细胞
'shu'tu'zhuang'xi'bao 树突状细胞
'shu'yao're 鼠咬热
'shu'yao're'luo'xuan'ti 鼠咬热螺旋体
'shu'yi 鼠疫
'shu'yi'jun'bing'ye'er'sen'jun'bing 鼠疫菌病耶尔森菌病
'shu'yi'yong 鼠疫痈
'shu'zhi'zhuang'pi'yan 树枝状皮炎
'shu'zhi'zhuang'qing'ban 树枝状青斑
'shu'zhi'zhuang'xi'bao 树枝状细胞
'shuan'ji 栓剂
'shuang'cu'fu'mei'song 双醋氟美松
'shuang'fu'mi'song'wu'suan'zhi 双氟米松戊酸酯
'shuang'mi'da'mo 双嘧达莫
'shuang'qing'su'zai'chun 双氢速甾醇
'shuang'tuo'yang'bao'gan 双脱氧胞苷
'shuang'tuo'yang'ji'gan 双脱氧肌苷
'shuang'xiang'dian'zi'wang'luo 双向电子网络
'shuang'xiang'dou'su 双香豆素
'shuang'xiang'dou'su'yi'zhi 双香豆素乙酯
'shuang'xiang'xing'hao'dian'fen'yang'bian'bing 双相型号淀粉样变病
'shui'dou 水痘
'shui'dou'dai'zhuang'pao'zhen'bing'du 水痘带状疱疹病毒
'shui'dou'yang'zhen 水痘样疹
'shui'he'lv'quan 水合氯醛
'shui'pao 水疱
'shui'pao'xing'yuan'duan'zhi'yan 水疱性远端指炎
'shui'ping'zhang 水屏障
'shui'yang'suan 水杨酸
'shui'yang'suan'ben'zhi 水杨酸苯酯
'shui'zhi'hua'wu 水脂化物
'shui'zhi'su 水蛭素
'shui'zhi'yao'shang 水蛭咬伤
'shui'zhong'xing'ju'she 水肿性巨舌
'shui'zhong'xing'ying'hua'zheng 水肿性硬化症
'shun'shi'liao'fa 顺势疗法
'shun'shi'zuo'yong'yuan'jian 顺式作用元件
'si'dan'zuo'lan'shi'yan 四氮唑蓝试验
'si'di'er'bing 斯蒂尔病
'si'fu'sha'xing 司氟沙星
'si'huan'su 四环素
'si'ju'he'dan'bai 丝聚合蛋白
'si'ju'he'dan'bai'yuan 丝聚合蛋白原
'si'lie'mei'su 丝裂霉素
'si'lv'hua'tan 四氯化碳
'si'pan 司盘
'si'tan'zuo'chun 司坦唑醇
'si'yang'hua'liao 四氧化钌
'si'zhuang'you 丝状疣
'song'mao'chong'pi'yan 松毛虫皮炎
'song'xiang 松香
'su'li'zhuang'nong'zhong 粟粒状脓肿
'su'mu'su'xiao'ti 苏木素小体
'su'qiu'zhen 粟丘疹
'suo'bian'xi'lin 羧苄西林
'suo'bing'suan'zhi 索丙酸酯
'suo'jia'ji'xian'wei'su 羧甲基纤维素
'suo'lian'su 锁链素
'suo'zhuang'ya'bao'gan'jun'yan'yang'xing'feng'wo'zhi'yan 梭状芽胞杆菌厌氧性蜂窝织炎
'ta'ka'xi'chun 他卡西醇
'ta'ke'mo'si 他克莫司
'ta'zha'luo'ding 它扎罗定
'tai'ding'an 酞丁安
'tai'mao 胎毛
'tai'tian'zhi 太田痣
'tai'xian'hua 苔藓化
'tai'xian'yang'dian'fen'yang'bian'bing 苔藓样淀粉样变病
'tai'xian'yang'jie'he'zhen 苔藓样结核疹
'tai'xian'yang'nian'zhu'zhuang'zhen 苔藓样念珠状疹
'tai'xian'yang'xing'fu'yin'xie'bing 苔藓样型副银屑病
'tai'zhuang'zu 苔状足
'tan'ju 炭疽
'tan'shui'hua'he'wu'xing'gao'zhi'xue'zheng 碳水化合物性高脂血症
'tan'suan'gai 碳酸钙
'tan'xing'dan'su'xian'wei 弹性单素纤维
'tan'xing'xian'wei'liu 弹性纤维瘤
'tan'xing'xian'wei'xing'jia'huang'liu 弹性纤维性假黄瘤
'tan'xing'xiang'guan'xian'wei 弹性相关纤维
'tang'liu'you 糖馏油
'tang'niao'bing'xing'chang'xu'fu'nv 糖尿病性长须妇女
'tang'niao'bing'xing'gan'ran 糖尿病性感染
'tang'niao'bing'xing'jia'bing 糖尿病性甲病
'tang'niao'bing'xing'ju'bu'que'xue 糖尿病性局部缺血
'tang'niao'bing'xing'pi'fu'bing 糖尿病性皮肤病
'tang'niao'bing'xing'pi'fu'fa'hong 糖尿病性皮肤发红
'tang'niao'bing'xing'shen'jing'ji'bing 糖尿病性神经疾病
'tang'niao'bing'xing'xue'guan'bing 糖尿病性血管病
'tao'chong'gan'ran 绦虫感染
'tao'die'xing'cui'fa'bing 套叠性脆发病
'tao'qiu'jun'xing'tang'shang'yang'pi'fu'zong'he'zheng 萄球菌性烫伤样皮肤综合症
'te'bi'nai'fen 特比萘芬
'te'fa'xing 特发性
'te'fa'xing'chi'fa'xing'mian'yi'qiu'dan'bai'que'fa'zheng 特发性迟发性免疫球蛋白缺乏症
'te'fa'xing'da'pao 特发性大泡
'te'fa'xing'dian'zhuang'se'su'jian'shao'zheng 特发性点状色素减少症
'te'fa'xing'duo'fa'xing'ban'zhuang'se'su'chen'zhuo'zheng 特发性多发性斑状色素沉着症
'te'fa'xing'duo'mao'zheng 特发性多毛症
'te'fa'xing'jia'zu'xing'gao'zhi'xue'zheng 特发性家族性高脂血症
'te'fa'xing'pi'fu'gai'chen'zhuo'zheng 特发性皮肤钙沉着症
'te'fa'xing'shi'suan'xing'fei'bing 特发性嗜酸性肺病
'te'fa'xing'wang'zhuang'qing'ban 特发性网状青斑
'te'fa'xing'xue'xiao'ban'jian'shao'xing'zi'dian 特发性血小板减少性紫癜
'te'ying'xing'bai'nei'zhang 特应性白内障
'ti'jia'pi 剔甲癖
'ti'jia'pi'huo'ba'jia'pi 剔甲癖或拔甲癖
'ti'ka'xi'lin 替卡西林
'ti'xuan 体癣
'ti'zhi'xing'yang'zhen 体质性痒疹
'tian'hua 天花
'tian'hua'bing'du 天花病毒
'tian'pao'chuang 天疱疮
'tiao'li'hua 调理化
