'a'ba 阿爸
'chao'ji'la'di'ou'si 超级拉帝欧斯
'chao'ji'la'di'ya'si 超级拉帝亚斯
'chao'ji'lei'dian'shou 超级雷电兽
'chao'ji'lie'kong'zuo 超级烈空坐
'chao'ji'lie'yao'lu'sha 超级烈咬陆鲨
'chao'ji'ling'zhen 超级领针
'chao'ji'lu'ka'li'ou 超级路卡利欧
'chao'ji'man'fu'san'ming'zhi 超级满腹三明治
'chao'ji'mao'ya'xie'san'ming'zhi 超级毛崖蟹三明治
'chao'ji'mian'tiao'san'ming'zhi 超级面条三明治
'chao'ji'miao'wa'hua 超级妙蛙花
'chao'ji'niu'you'guo'san'ming'zhi 超级牛油果三明治
'chao'ji'pen'huo'long 超级喷火龙
'chao'ji'pen'huo'tuo 超级喷火驼
'chao'ji'qi'xi'qing'niao 超级七夕青鸟
'chao'ji'qia'lei'mu 超级恰雷姆
'chao'ji'qing'shuang'san'ming'zhi 超级清爽三明治
'chao'ji'qiu 超级球
'chao'ji'qiu'ji 超级球级
'chao'ji're'dai'san'ming'zhi 超级热带三明治
'chao'ji'sha'nai'duo 超级沙奈朵
'chao'ji'shi'jin'san'ming'zhi 超级什锦三明治
'chao'ji'shou'si'feng'san'ming'zhi 超级寿司风三明治
'chao'ji'shou'tao 超级手套
'chao'ji'shou'zhuo 超级手镯
'chao'ji'shu'cai'san'ming'zhi 超级蔬菜三明治
'chao'ji'shui'guo'san'ming'zhi 超级水果三明治
'chao'ji'shui'jian'gui 超级水箭龟
'chao'ji'shui'liu'da'xuan'wo 超级水流大漩涡
'chao'ji'suan'huang'gua'san'ming'zhi 超级酸黄瓜三明治
'chao'ji'tian'la'san'ming'zhi 超级甜辣三明治
'chao'ji'tian'pin'san'ming'zhi 超级甜品三明治
'chao'ji'tou'guan 超级头冠
'chao'ji'tu'dou'sha'la'san'ming'zhi 超级土豆沙拉三明治
'chao'ji'xi'qu 超级吸取
'chao'ji'xi'yi'wang 超级蜥蜴王
'chao'ji'xiang'cao'xiang'chang'san'ming'zhi 超级香草香肠三明治
'chao'ji'xiang'la'san'ming'zhi 超级香辣三明治
'chao'ji'xin'shu'cai'san'ming'zhi 超级新蔬菜三明治
'chao'ji'yan'jing 超级眼镜
'chao'ji'yan'xun'yu'pian'san'ming'zhi 超级烟熏鱼片三明治
'chao'ji'zha'yu'pian'san'ming'zhi 超级炸鱼片三明治
'chao'ji'zhi'shi'san'ming'zhi 超级芝士三明治
'chao'ji'zhui'shi 超级坠饰
'chao'ji'zu'zhou'wa'wa 超级诅咒娃娃
'chao'jia'kuang'xi 超甲狂犀
'chao'jue'luo'xuan'lian'ji 超绝螺旋连击
'chao'meng 超梦
'chao'meng'de'tang'guo 超梦的糖果
'chao'meng'jin'hua'shi 超梦进化石
'chao'mian'tan 炒面摊
'chao'nao 吵闹
'chao'neng'li 超能力
'chao'neng'li'bao'shi 超能力宝石
'chao'neng'li'shou'ji'ke 超能力手机壳
'chao'neng'li'tai'jing'sui'kuai 超能力太晶碎块
'chao'neng'miao'miao 超能妙喵
'chao'neng'yan'tuo 超能艳鸵
'chao'qiang'ji'xian'bao'yan'dan 超强极限爆焰弹
'chao'shi'yan'shi 潮湿岩石
'chao'xiao'fei 超效肥
'chao'xing'yun 超幸运
'chao'xuan 潮旋
'chao'xue'qiu 巢穴球
'chao'yin'bo 超音波
'chao'yin'bo'you'chong 超音波幼虫
'chao'yin'fu 超音蝠
'chao'yin'fu'de'tang'guo 超音蝠的糖果
'chao'zhong'qiu 超重球
'che'lun'qiu 车轮球
'chen'guang 晨光
'chen'jiu'de'xin 陈旧的信
'chen'si 辰司
'chen'xin 辰信
'chen'zhong'qiu 沉重球
'cheng'ba'shi'jie'de 称霸世界的
'cheng'cheng 橙橙
'cheng'cheng'guo 橙橙果
'cheng'dou'di'qu 城都地区
'cheng'dou'shi'ban 城都石板
'cheng'dui 成对
'cheng'dui'bao'ke'meng 成对宝可梦
'cheng'fa 惩罚
'cheng'feng 乘风
'cheng'feng'xing'tai 乘风形态
'cheng'hua 橙花
'cheng'jie'hu'pa 惩戒胡帕
'cheng'jie'zhi'hu 惩戒之壶
'cheng'se 橙色
'cheng'se'ge'zi 橙色格子
'cheng'se'he'xin 橙色核心
'cheng'se'hua'ban 橙色花瓣
'cheng'shu'zi'wei'san'ming'zhi 成熟滋味三明治
'cheng'si'lang 诚四郎
'cheng'wei'hui'hua'mo'te'de 成为绘画模特的
'cheng'zai'bao'ke'meng 乘载宝可梦
'cheng'zhen'di'tu 城镇地图
'chi'bang'gong'ji 翅膀攻击
'chi'dun 迟钝
'chi'dun'bao'ke'meng 迟钝宝可梦
'chi'hou'ba 吃吼霸
'chi'hou'ba'de'hu'xu 吃吼霸的胡须
'chi'hun're'wu'lie'yin'bao 炽魂热舞烈音爆
'chi'jing'fei 吃惊肥
'chi'jiu'li 持久力
'chi'lun'bao'ke'meng 齿轮宝可梦
'chi'lun'er 齿轮儿
'chi'lun'fei'pan 齿轮飞盘
'chi'lun'guai 齿轮怪
'chi'lun'zu 齿轮组
'chi'mian'long 赤面龙
'chi're'yan'shi 炽热岩石
'chi'sheng'de'dong'xi 吃剩的东西
'chi'song 赤松
'chi'yan'pao'xiao'hu 炽焰咆哮虎
'chi'you'wu 持有物
'chong'bao'bao 虫宝包
'chong'bao'bao'bao'ke'meng 虫宝宝宝可梦
'chong'bao'bao'de'ye'pian 虫宝包的叶片
'chong'chong'meng'gong 冲冲猛攻
'chong'ci'de'cao'zuo 冲刺的操作
'chong'da 崇大
'chong'dian 充电
'chong'dian'bao 虫电宝
'chong'dian'dian'chi 充电电池
'chong'dian'guang'shu 充电光束
'chong'fu'qiu 重复球
'chong'gun'ni 虫滚泥
'chong'gun'ni'de'ni'ba 虫滚泥的泥巴
'chong'jia'sheng 虫甲圣
'chong'lang 冲浪
'chong'lang'de'cao'zuo 冲浪的操作
'chong'lang'zhi'wei 冲浪之尾
'chong'man'gan'jin'de 充满干劲的
'chong'ming 虫鸣
'chong'pao'bao'ke'meng 铳炮宝可梦
'chong'pu 虫扑
'chong'shou'ji'ke 虫手机壳
'chong'tai 崇太
'chong'tai'jing'sui'kuai 虫太晶碎块
'chong'tian'quan 冲天拳
'chong'tian'yan'hua 冲天烟花
'chong'xin'xuan'ze 重新选择
'chong'yan 冲岩
'chong'yao 虫咬
'chong'zhi 重置
'chong'zhi'bao'shi 虫之宝石
'chong'zhi'di'kang 虫之抵抗
'chong'zhi'jing'tou 重置镜头
'chong'zhi'mi'yu 重置密语
'chong'zhi'yu'gan 虫之预感
'chong'zi'cun'chu'die 虫子存储碟
'chong'zui'da'niao 铳嘴大鸟
'chou'chou'hua 臭臭花
'chou'chou'ni 臭臭泥
'chou'chou'yu 丑丑鱼
'chou'chou'yu'de'lin'pian 丑丑鱼的鳞片
'chou'ni 臭泥
'chou'ni'de'du'su 臭泥的毒素
'chou'ni'de'tang'guo 臭泥的糖果
'chou'xi 绸希
'chou'you'bao'ke'meng 臭鼬宝可梦
'chou'you'pu 臭鼬噗
'chou'you'pu'de'mao 臭鼬噗的毛
'chu'chong'cao 除虫草
'chu'chong'pen'wu 除虫喷雾
'chu'ci'you'jian 初次邮件
'chu'fa'qian'wang'bei'shang'xiang'ba 出发前往北上乡吧
'chu'ji 初级
'chu'ji'bao'ke'meng 雏鸡宝可梦
'chu'qi'yi'ji 出奇一击
'chu'shi'hua 初始化
'chu'shi'mao'zi 初始帽子
'chu'shi'mian'ju 础石面具
'chu'shou'bai'he 触手百合
'chu'shui 储水
'chu'xun'jia 初训家
'chu'ying'bao'ke'meng 雏鹰宝可梦
'chu'zhang 除障
'chu'zu'che'si'ji 出租车司机
'chuan'ci'bao'ke'meng 穿刺宝可梦
'chuan'di'li'wu 传递礼物
'chuan'piao 船票
'chuan'qi'ming'xing 传奇明星
'chuan'shan'shu 穿山鼠
'chuan'shan'shu'de'tang'guo 穿山鼠的糖果
'chuan'shan'shu'de'zhua'zi 穿山鼠的爪子
'chuan'shan'wang 穿山王
'chuan'shuo 传说
'chuan'shuo'bao'ke'meng 传说宝可梦
'chuan'shuo'bi'ji 传说笔记
'chuan'shuo'de'bao'ke'meng 传说的宝可梦
'chuan'shuo'jiang'zhang 传说奖章
'chuan'shuo'ku'wei'san'ming'zhi 传说苦味三明治
'chuan'shuo'la'wei'san'ming'zhi 传说辣味三明治
'chuan'shuo'shi'ban 传说石板
'chuan'shuo'suan'wei'san'ming'zhi 传说酸味三明治
'chuan'shuo'tian'wei'san'ming'zhi 传说甜味三明治
'chuan'shuo'xian'wei'san'ming'zhi 传说咸味三明治
'chuan'shuo'zhi'lu 传说之路
'chuan'tou 穿透
'chuan'zhe'xiong 穿着熊
'chuang'jian'dui'wu 创建队伍
'chuang'jian'ji'you'quan 创建集友圈
'chuang'zao'bao'ke'meng 创造宝可梦
'chui'fei 吹飞
'chui'kou'shao 吹口哨
'chui'lian'bao'ke'meng 锤炼宝可梦
'chui'peng 吹捧
'chui'zi'bao'ke'meng 锤子宝可梦
'chun'hui 春晖
'chun'mei 淳美
'chun'nai 春奈
'chun'ping 淳平
'chun'pu 纯朴
'chun'se 唇色
'chun'tian'de'yang'zi 春天的样子
'ci'ai'bao'ke'meng 慈爱宝可梦
'ci'chang'bao'ke'meng 磁场宝可梦
'ci'chang'cao'kong 磁场操控
'ci'er 刺耳
'ci'er'guo 刺耳果
'ci'er'sheng 刺耳声
'ci'fu'lie'che'zi'you'piao 磁浮列车自由票
'ci'guo'bao'ke'meng 刺果宝可梦
'ci'hou'bao'ke'meng 刺猴宝可梦
'ci'jia'bei 刺甲贝
'ci'jiao 刺角
'ci'jiao'guo 刺角果
'ci'kai'bao'ke'meng 刺铠宝可梦
'ci'lang 次郎
'ci'li 磁力
'ci'li'bao'ke'meng 刺栗宝可梦
'ci'long'wang 刺龙王
'ci'qiu'bao'ke'meng 刺球宝可梦
'ci'qiu'xian'ren'zhang 刺球仙人掌
'ci'qiu'xian'ren'zhang'de'ci 刺球仙人掌的刺
'ci'suo'yu 刺梭鱼
'ci'suo'yu'de'lin'pian 刺梭鱼的鳞片
'ci'tie 磁铁
'ci'tie'bao'ke'meng 磁铁宝可梦
'ci'tie'shou'ji'ke 磁铁手机壳
'ci'tie'zha'dan 磁铁炸弹
'ci'wei'chong 刺尾虫
'ci'xing'de'yang'zi 雌性的样子
'ci'yu'bao'ke'meng 刺鱼宝可梦
'cong'ai'dao'gao 从矮到高
'cong'gao'dao'ai 从高到矮
'cong'hui'de 聪慧的
'cong'lin'zhi'liao 丛林治疗
'cong'ming'da'shi'jiang'zhang 聪明大师奖章
'cong'qing'dao'zhong 从轻到重
'cong'you'bing 葱游兵
'cong'zhong'dao'qing 从重到轻
'cu'ban'yuan'ye'shui'mu'xiao'huang'gua 醋拌原野水母小黄瓜
'cu'bao'bao'ke'meng 粗暴宝可梦
'cu'cao'pi'fu 粗糙皮肤
'cu'gu'tou 粗骨头
'cu'guang'de 粗犷的
'cu'jiao'rou'xiang'chang 粗绞肉香肠
'cu'lu'bao'ke'meng 粗鲁宝可梦
'cu'zhi'da'cong 粗枝大葱
'cui'lv'zhen 翠绿镇
'cui'mian'bao'ke'meng 催眠宝可梦
'cui'mian'fen 催眠粉
'cui'mian'mo 催眠貘
'cui'mian'mo'de'mao 催眠貘的毛
'cui'mian'mo'de'tang'guo 催眠貘的糖果
'cui'mian'shu 催眠术
'cui'tong 脆筒
'cun'fang'dao'bao'bao'li 存放到包包里
'cun'zheng 村正
'da'bai'bao'yu 大白宝玉
'da'bai'jin'bao'yu 大白金宝玉
'da'bao'zha 大爆炸
'da'bi'niao 大比鸟
'da'bi'niao'jin'hua'shi 大比鸟进化石
'da'bo'lang'juan'fa 大波浪卷发
'da'cao'jie 打草结
'da'chao'bei'bi 大朝北鼻
'da'cheng 大成
'da'chi'cun 大尺寸
'da'cong 大葱
'da'cong'ya 大葱鸭
'da'cong'ya'de'tang'guo 大葱鸭的糖果
'da'dan 大胆
'da'dan'bo'he 大胆薄荷
'da'dang'zhi'zheng 搭档之证
'da'dao'bao'ke'meng 大刀宝可梦
'da'dao'shen'mi'de'bao'ke'meng'ba 打倒神秘的宝可梦吧
'da'di 大地
'da'di'bo'dong 大地波动
'da'di'cun'chu'die 大地存储碟
'da'di'mo 大地膜
'da'di'shen'li 大地神力
'da'di'shi'ban 大地石板
'da'di'zhang'kong 大地掌控
'da'di'zhi'li 大地之力
'da'dian'hai'yan 大电海燕
'da'dou'bao'ke'meng 打斗宝可梦
'da'e'bao'ke'meng 大颚宝可梦
'da'e'yi 大颚蚁
'da'e'yi'de'ke 大颚蚁的壳
'da'fen'kai 大愤慨
'da'fu 大辅
'da'gang'she 大钢蛇
'da'gang'she'jin'hua'shi 大钢蛇进化石
'da'ge 打嗝
'da'ge'ge 大哥哥
'da'ge'zi 大个子
'da'ge'zi'zhi'zheng 大个子之证
'da'gen'jing 大根茎
'da'gui'ji 打鬼祭
'da'guo'hu 大锅湖
'da'hai'hua'wen 大海花纹
'da'hai'shi'ban 大海石板
'da'han 打鼾
'da'he'hua'wen 大河花纹
'da'hong 达宏
'da'hou 大吼
'da'huo'zhu'bao'ke'meng 大火猪宝可梦
'da'ji'gui 打击鬼
'da'jia 大家
'da'jia'yi'qi'tiao'zhan 大家一起挑战
'da'jia'yi'qi'wan 大家一起玩
'da'jian'gui 大剑鬼
'da'jiang 大将
'da'jiao 大角
'da'jiao'bao'ke'meng 大角宝可梦
'da'jie'jie 大姐姐
'da'jin'gang'bao'yu 大金刚宝玉
'da'kai 打开
'da'kai'cai'dan 打开菜单
'da'kai'di'tu 打开地图
'da'ke'lai'yi 达克莱伊
'da'kong'bao'xian 打空保险
'da'kou'tun'de'yang'zi 大口吞的样子
'da'kuai'duo'yi 大快朵颐
'da'lang 达朗
'da'lang'quan 大狼犬
'da'lao'bao'ke'meng 大佬宝可梦
'da'lei 打雷
'da'li'e 大力鳄
'da'li'ou 达利欧
'da'li'shi 大力士
'da'li'ya 达莉雅
'da'liang'chu'xian 大量出现
'da'lu'bao'ke'meng 大陆宝可梦
'da'lu'hua'wen 大陆花纹
'da'lu'shi'ban 大陆石板
'da'ma'la'sa'da 大马拉萨达
'da'mo'fei'fei 达摩狒狒
'da'mo'gu 大蘑菇
'da'mo'mo'shi 达摩模式
'da'mu'de'xin 大木的信
'da'na 达娜
'da'nai'guan 大奶罐
'da'nao'yi'fan 大闹一番
'da'nian'bao'ke'meng 大鲶宝可梦
'da'niu'la 大狃拉
'da'qian'xie 大钳蟹
'da'qian'xie'de'tang'guo 大钳蟹的糖果
'da'qing'tian 大晴天
'da'ren'dai 达人带
'da'ri'zhao 大日照
'da'sai'de'zhong'lei 大赛的种类
'da'sai'ming'cheng 大赛名称
'da'sao'chu 大扫除
'da'she'bei 大舌贝
'da'she'bei'de'tang'guo 大舌贝的糖果
'da'she'bei'de'zhen'zhu 大舌贝的珍珠
'da'she'deng'yan 大蛇瞪眼
'da'she'tian 大舌舔
'da'she'tou 大舌头
'da'she'tou'de'tang'guo 大舌头的糖果
'da'sheng'bao'ke'meng 大声宝可梦
'da'sheng'pao'xiao 大声咆哮
'da'shi'cheng'shu'zi'wei'san'ming'zhi 大师成熟滋味三明治
'da'shi'dan'san'ming'zhi 大师蛋三明治
'da'shi'dian'xin'san'ming'zhi 大师点心三明治
'da'shi'dou'fu'san'ming'zhi 大师豆腐三明治
'da'shi'dui'zhan'jiang'zhang 大师对战奖章
'da'shi'dui'zhan'shu'jiang'zhang 大师对战树奖章
'da'shi'ga'li'mian'tiao'san'ming'zhi 大师咖喱面条三明治
'da'shi'guo'jiang'san'ming'zhi 大师果酱三明治
'da'shi'han'bao'pai'san'ming'zhi 大师汉堡排三明治
'da'shi'hao'hua'san'ming'zhi 大师豪华三明治
'da'shi'hua 大食花
'da'shi'hua'sheng'jiang'san'ming'zhi 大师花生酱三明治
'da'shi'huo'tui'san'ming'zhi 大师火腿三明治
'da'shi'ji'ben'kuan'san'ming'zhi 大师基本款三明治
'da'shi'ju'wu'ba'san'ming'zhi 大师巨无霸三明治
'da'shi'ju'zi'jiang'san'ming'zhi 大师橘子酱三明治
'da'shi'man'fu'san'ming'zhi 大师满腹三明治
'da'shi'mao'ya'xie'san'ming'zhi 大师毛崖蟹三明治
'da'shi'mian'tiao'san'ming'zhi 大师面条三明治
'da'shi'niu'you'guo'san'ming'zhi 大师牛油果三明治
'da'shi'qing'shuang'san'ming'zhi 大师清爽三明治
'da'shi'qiu 大师球
'da'shi'qiu'ji 大师球级
'da'shi're'dai'san'ming'zhi 大师热带三明治
'da'shi'shi'jin'san'ming'zhi 大师什锦三明治
'da'shi'shou'si'feng'san'ming'zhi 大师寿司风三明治
'da'shi'shu'cai'san'ming'zhi 大师蔬菜三明治
'da'shi'shui'guo'san'ming'zhi 大师水果三明治
'da'shi'suan'huang'gua'san'ming'zhi 大师酸黄瓜三明治
'da'shi'tian'la'san'ming'zhi 大师甜辣三明治
'da'shi'tian'pin'san'ming'zhi 大师甜品三明治
'da'shi'tu'dou'sha'la'san'ming'zhi 大师土豆沙拉三明治
'da'shi'xiang'cao'xiang'chang'san'ming'zhi 大师香草香肠三明治
'da'shi'xiang'la'san'ming'zhi 大师香辣三明治
'da'shi'xin'shu'cai'san'ming'zhi 大师新蔬菜三明治
'da'shi'yan'xun'yu'pian'san'ming'zhi 大师烟熏鱼片三明治
'da'shi'zha'yu'pian'san'ming'zhi 大师炸鱼片三明治
'da'shi'zhi'shi'san'ming'zhi 大师芝士三明治
'da'shi'zu 大师组
'da'tan'che 大炭车
'da'tou'mu'bao'ke'meng 大头目宝可梦
'da'wang'tong'xiang 大王铜象
'da'wang'yan 大王燕
'da'wei'li 大尾狸
'da'wei'li 大尾立
'da'wei'wang'bao'ke'meng 大胃王宝可梦
'da'ya'li 大牙狸
'da'yan'she 大岩蛇
'da'yan'she'de'tang'guo 大岩蛇的糖果
'da'yang'hua'wen 大洋花纹
'da'ye 大野
'da'yi'jiang'zhang 大意奖章
'da'yin'ci'shu 打印次数
'da'yu 大雨
'da'yu'bao'ke'meng 大鱼宝可梦
'da'yu'guai 大宇怪
'da'zai'nan 大灾难
'da'zhen'feng 大针蜂
'da'zhen'feng'jin'hua'shi 大针蜂进化石
'da'zhen'zhu 大珍珠
'da'zhu'kui 大竺葵
'da'zhu'sun 大竹笋
'da'zi'bao'yan 大字爆炎
'da'zi'ran'yi'zi 大自然椅子
'da'zi'ran'zhuo'jin 大自然桌巾
'da'zui'fu 大嘴蝠
'da'zui'ou 大嘴鸥
'da'zui'que 大嘴雀
'da'zui'wa 大嘴娃
'da'zui'wa'jin'hua'shi 大嘴娃进化石
'dai'bi'he 代币盒
'dai'dai'shou 呆呆兽
'dai'dai'shou'de'tang'guo 呆呆兽的糖果
'dai'dai'shou'de'zhua'zi 呆呆兽的爪子
'dai'dai'shou'shui'bei 呆呆兽水杯
'dai'dai'wang 呆呆王
'dai'dian'bao'ke'meng 带电宝可梦
'dai'dong'shou'tao 带洞手套
'dai'huo'e 呆火鳄
'dai'huo'e'shou'ji'ke 呆火鳄手机壳
'dai'huo'tuo 呆火驼
'dai'huo'tuo'de'rong'yan 呆火驼的熔岩
'dai'ke'shou 呆壳兽
'dai'ke'shou'jin'hua'shi 呆壳兽进化石
'dai'la'ji'weng 代拉基翁
'dai'la'ji'weng'de'dian'xin 代拉基翁的点心
'dai'lu'bi 戴鲁比
'dai'lu'bi'de'ya 戴鲁比的牙
'dai'mao'hua'wen 玳瑁花纹
'dai'mao'hua'wen'cha 玳瑁花纹茶
'dai'mao'hua'wen'hei 玳瑁花纹黑
'dai'mao'wu 黛貌屋
'dai'ou'qi'xi'si 代欧奇希斯
'dai'shang 戴上
'dai'shang'jiang'zhang 戴上奖章
'dai'shang'shi'de'ming'zi 戴上时的名字
'dai'shou 袋兽
'dai'shou'de'tang'guo 袋兽的糖果
'dai'shou'jin'hua'shi 袋兽进化石
'dai'zhe'de'jiang'zhang 戴着的奖章
'dai'zhuang'guo'shi 袋装果实
'dai'zhuang'shu'cai 袋装蔬菜
'dai'zhuang'tu'dou 袋装土豆
'dai'zhuang'xun'gu 袋装蕈菇
'dan'bao'ke'meng 蛋宝可梦
'dan'chun 单纯
'dan'chun'guang'shu 单纯光束
'dan'da'dui'zhan 单打对战
'dan'dan 蛋蛋
'dan'dan'de'ke 蛋蛋的壳
'dan'dan'de'tang'guo 蛋蛋的糖果
'dan'dan'li 蛋蛋力
'dan'dan'mian 担担面
'dan'du'de'yang'zi 单独的样子
'dan'duo'bao'ke'meng 单朵宝可梦
'dan'fen'hong'se 淡粉红色
'dan'huang'jiang 蛋黄酱
'dan'liang 胆量
'dan'luan'xi'bao'qiu 单卵细胞球
'dan'luan'xi'bao'qiu'de'ning'jiao 单卵细胞球的凝胶
'dan'lv'se 淡绿色
'dan'qi'gang'bao'ke'meng 单汽缸宝可梦
'dan'qie 胆怯
'dan'qie'qiu 胆怯球
'dan'san'ming'zhi 蛋三明治
'dan'shou'long 单首龙
'dan'shou'long'de'lin'pian 单首龙的鳞片
'dan'xiang'quan'bu'ji 单项全补剂
'dan'xiang'xiao'bu'ji 单项小补剂
'dan'xiao 胆小
'dan'xiao'bo'he 胆小薄荷
'dan'xiao'chong 胆小虫
'dan'yu 丹瑜
'dan'yu'de'fang'jian 丹瑜的房间
'dan'zhu 弹珠
'dan'zi'qi 弹子萁
'dan'zi'se 淡紫色
'dang'lu 挡路
'dang'qian'ming'ci 当前名次
'dang'shi'mei'li'dong'ren'de 当时美丽动人的
'dao'cao'ren'bao'ke'meng 稻草人宝可梦
'dao'dan'xiao'yao 捣蛋小妖
'dao'dan'xiao'yao'de'mao 捣蛋小妖的毛
'dao'dao'guan'de'qian'tai'bao'gao'ba 到道馆的前台报告吧
'dao'guan'guan'zhu 道馆馆主
'dao'guan'hui'zhang'ji'neng 道馆徽章技能
'dao'guan'xun'lian'jia 道馆训练家
'dao'jian'bao'ke'meng 刀剑宝可梦
'dao'jian'xing'tai 刀剑形态
'dao'ju 道具
'dao'ju'da'yin'ji 道具打印机
'dao'li'bao'ke'meng 倒立宝可梦
'dao'long 道隆
'dao'ren'bao'ke'meng 刀刃宝可梦
'dao'wai'mian'qu'ba 到外面去吧
'dao'xue'xiao'qian'ji'he'ba 到学校前集合吧
'dao'zhuan'bao'ke'meng 倒转宝可梦
'dao'zhuo'tai'shi'nan'men'ji'he'ba 到桌台市南门集合吧
'de'dui'wu 的队伍
'de'er'ta'qi'liu 德尔塔气流
'de'fang'jian 的房间
'de'te'zhi'san'ming'zhi 的特制三明治
'de'wen'de'wu'pin 得文的物品
'de'wen'qian'shui'zhuang'bei 得文潜水装备
'de'wen'zhen'ce'jing 得文侦测镜
'deng'bao'ke'meng 灯宝可梦
'deng'huo'you'ling 灯火幽灵
'deng'ji 等级
'deng'ji'qiu 等级球
'deng'ji'yi'shang 等级以上
'deng'ji'yi'xia 等级以下
'deng'jiang 灯浆
'deng'jiang'guo 灯浆果
'deng'li'zi'bao'ke'meng 等离子宝可梦
'deng'li'zi'ka 等离子卡
'deng'li'zi'shan'dian'quan 等离子闪电拳
'deng'li'zi'yu 等离子浴
'deng'long'yu 灯笼鱼
'deng'long'yu'de'dian'li 灯笼鱼的电力
'deng'lu 登录
'deng'lu'dui'wu 登录队伍
'deng'pao 灯泡
'deng'shan'nv'hai 登山女孩
'deng'shang'deng'ta'ba 登上灯塔吧
'deng'shi'bao'ke'meng 灯饰宝可梦
'deng'yan 瞪眼
'deng'zhao'ye'gu 灯罩夜菇
'di'an'xi 蒂安希
'di'an'xi'jin'hua'shi 蒂安希进化石
'di'bang'yun'dong'xie 低帮运动鞋
'di'di'bao'ke'meng 地底宝可梦
'di'dian 地点
'di'diao'de'yang'zi 低调的样子
'di'guan'ce'zhan 第观测站
'di'huang'bao'ke'meng 帝皇宝可梦
'di'kang'nian'gao 抵抗粘糕
'di'kang'zhi'yu 抵抗之羽
'di'lei'miao 蒂蕾喵
'di'lie 地裂
'di'ling'qu 第零区
'di'ling'qu'bao'ke'meng 第零区宝可梦
'di'ling'qu'de'guai'wu 第零区的怪物
'di'ling'qu'de'mao'xian 第零区的冒险
'di'ling'qu'quan'jing'tu 第零区全景图
'di'long'xiao'tian'da'zhong'jie 地隆啸天大终结
'di'man'bao'ke'meng 地幔宝可梦
'di'man'yan 地幔岩
'di'mian 地面
'di'mian'bao'shi 地面宝石
'di'mian'shou'ji'ke 地面手机壳
'di'mian'tai'jing'sui'kuai 地面太晶碎块
'di'ming 第名
'di'qiu'jiang'zhang 地球奖章
'di'qiu'shang'tou 地球上投
'di'qu'guan'jun 地区冠军
'di'qu'guan'jun'jiang'zhang 地区冠军奖章
'di'qu'jiang'zhang 地区奖章
'di'sai'ji 第赛季
'di'she'bao'ke'meng 地蛇宝可梦
'di'shu 地鼠
'di'shu'de'tang'guo 地鼠的糖果
'di'shu'de'tu 地鼠的土
'di'wang'na'bo 帝王拿波
'di'xia'yao'shi 地下钥匙
'di'ya'hai'shi 帝牙海狮
'di'ya'lu'ka 帝牙卢卡
'di'yu'gu 地狱谷
'di'zhen 地震
'di'zhu 滴蛛
'di'zhu'ba 滴蛛霸
'di'zhu'de'si 滴蛛的丝
'dian'can'nei'rong 点餐内容
'dian'ci'bo 电磁波
'dian'ci'pao 电磁炮
'dian'ci'piao'fu 电磁飘浮
'dian'dao 颠倒
'dian'dao'shao 颠倒烧
'dian'dao'wei'zhi 点到为止
'dian'deng'guai 电灯怪
'dian'dian'chong 电电虫
'dian'dian'chong'de'si 电电虫的丝
'dian'dian'jia'su 电电加速
'dian'du'wa 电肚蛙
'dian'fei'shu 电飞鼠
'dian'feng'shan 电风扇
'dian'guang 电光
'dian'guang'bao'ke'meng 电光宝可梦
'dian'guang'shu 电光束
'dian'guang'shuang'ji 电光双击
'dian'guang'yi'shan 电光一闪
'dian'hai'yan 电海燕
'dian'hai'yan'de'yu'mao 电海燕的羽毛
'dian'hui 电喙
'dian'ji 电击
'dian'ji'bao'ke'meng 电击宝可梦
'dian'ji'bo 电击波
'dian'ji'guai 电击怪
'dian'ji'guai'de'mao 电击怪的毛
'dian'ji'mo'shou 电击魔兽
'dian'ji'shou 电击兽
'dian'ji'shou'de'tang'guo 电击兽的糖果
'dian'jing'qiu 电竞球
'dian'jing'ti 电晶体
'dian'ke'dou'bao'ke'meng 电蝌蚪宝可梦
'dian'lan'se'bao'zhu 靛蓝色宝珠
'dian'li'shang'sheng 电力上升
'dian'li'zeng'fu'qi 电力增幅器
'dian'li'zhuan'huan 电力转换
'dian'long 电龙
'dian'long'jin'hua'shi 电龙进化石
'dian'mei 靛莓
'dian'mei'guo 靛莓果
'dian'pu'gou'mai'te'dian 店铺购买特典
'dian'qi'bao'ke'meng 电气宝可梦
'dian'qi'chang'di 电气场地
'dian'qi'pi'fu 电气皮肤
'dian'qi'qiu 电气球
'dian'qi'shi'yan'ku 电气石岩窟
'dian'qi'yin'qing 电气引擎
'dian'qi'zhi'zao'zhe 电气制造者
'dian'qi'zhong'zi 电气种子
'dian'qiu 电球
'dian'shou'ji'ke 电手机壳
'dian'shu'ka 点数卡
'dian'shu'mu 电束木
'dian'song'shu'bao'ke'meng 电松鼠宝可梦
'dian'tai'jing'sui'kuai 电太晶碎块
'dian'ti'yao'shi 电梯钥匙
'dian'wa'bao'ke'meng 电蛙宝可梦
'dian'wang 电网
'dian'xin'san'ming'zhi 点心三明治
'dian'xue 点穴
'dian'yin'ying 电音婴
'dian'yin'ying'de'dian'li 电音婴的电力
'dian'ying'chong 电萤虫
'dian'ying'chong'de'zhi'ye 电萤虫的汁液
'dian'yu 电鱼
'dian'yu'bao'ke'meng 电鱼宝可梦
'dian'zhi'bao'shi 电之宝石
